InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000001,1021001010649,19.36,0.2,0.030160000000000003,-21.900879999999997,54066.164339999996,0
1000001,1021001010649,19.7,0.23,0.029889999999999996,-21.90168,54419.13017999999,0
1000001,1021001010649,19.34,0.19,0.03003,-21.90079,54385.21031,0
1000001,1021001010649,18.87,0.16,0.030489999999999996,-21.90115,54358.33342,0
1000001,1021001010649,20.14,0.3,0.02985,-21.901629999999997,54794.15149,0
1000001,1021001010649,19.67,0.23,0.02955,-21.90085,54741.30122,0
1000001,1021001010649,19.91,0.26,0.028480000000000002,-21.90292,54768.2502,0
1000001,1021001010649,19.72,0.25,0.02937,-21.90147,55063.376879999996,0
1000001,1021001010649,19.44,0.21,0.03,-21.90097,55152.1944,0
1000001,1021001010649,19.19,0.19,0.02967,-21.901020000000003,55119.265889999995,0
1000001,1021001010649,19.35,0.2,0.0299,-21.9013,55126.216660000006,0
1000001,1021001010649,19.37,0.2,0.0299,-21.90148,55091.29527,0
1000001,1021001010649,20.8,0.45,0.029789999999999997,-21.90099,55098.3495,0
1000001,1021001010649,20.25,0.33,0.0308,-21.900370000000002,55504.1761,0
1000001,1021001010649,19.31,0.19,0.029789999999999997,-21.90174,55455.34652000001,0
1000001,1021001010649,19.51,0.21,0.030039999999999997,-21.90115,55830.321189999995,0
1000001,1021001010649,20.15,0.3,0.03011,-21.90166,55867.18865,0
1000001,1021001010649,19.56,0.22,0.03022,-21.90129,55837.31619,0
1000001,1021001010649,19.86,0.26,0.02833,-21.90224,55895.122129999996,0
1000001,1021001010649,19.55,0.23,0.02957,-21.90129,56192.33895,0
1000001,1021001010649,19.42,0.23,0.029769999999999998,-21.90069,56547.36559,0
1000001,1021001010867,19.62,0.22,0.059660000000000005,-21.890829999999998,54057.203310000004,0
1000001,1021001010867,20.29,0.32,0.060489999999999995,-21.89035,54066.15433,0
1000001,1021001010867,19.79,0.24,0.0613,-21.89039,54004.32889,0
1000001,1021001010867,19.99,0.27,0.05973,-21.89051,54004.336279999996,0
1000001,1021001010867,20.47,0.35,0.059629999999999996,-21.89034,54409.204820000006,0
1000001,1021001010867,19.91,0.26,0.05977999999999999,-21.89102,54385.20284,0
1000001,1021001010867,20.65,0.38,0.06072,-21.89149,54385.21777,0
1000001,1021001010867,20.8,0.44,0.06051,-21.89077,54358.33987,0
1000001,1021001010867,19.9,0.26,0.060520000000000004,-21.89031,54741.285070000005,0
1000001,1021001010867,19.9,0.26,0.06027999999999999,-21.88999,54741.30122,0
1000001,1021001010867,20.31,0.32,0.06025,-21.89066,54748.29471,0
1000001,1021001010867,19.7,0.23,0.060129999999999996,-21.89079,54748.30265,0
1000001,1021001010867,20.79,0.42,0.06065,-21.89048,54768.27366,0
1000001,1021001010867,18.41,0.14,0.060529999999999994,-21.89078,55063.36362999999,0
1000001,1021001010867,20.1,0.31,0.06021,-21.891270000000002,55063.370279999996,0
1000001,1021001010867,19.55,0.22,0.0606,-21.89021,55152.21001,0
1000001,1021001010867,19.83,0.26,0.06034,-21.89025,55119.24885,0
1000001,1021001010867,20.53,0.37,0.06268,-21.891560000000002,55119.25735,0
1000001,1021001010867,20.98,0.48,0.06081,-21.89013,55119.265889999995,0
1000001,1021001010867,19.67,0.24,0.05923,-21.88916,55126.23352,0
1000001,1021001010867,19.84,0.26,0.060289999999999996,-21.89096,55091.29527,0
1000001,1021001010867,20.95,0.48,0.05944,-21.89049,55091.3127,0
1000001,1021001010867,19.9,0.27,0.06146,-21.89082,55098.3495,0
1000001,1021001010867,20.09,0.3,0.059620000000000006,-21.890829999999998,55504.1761,0
1000001,1021001010867,20.15,0.31,0.06034,-21.89096,55504.181220000006,0
1000001,1021001010867,20.56,0.4,0.06051,-21.89023,55483.264,0
1000001,1021001010867,19.88,0.26,0.06064,-21.890539999999998,55455.3316,0
1000001,1021001010867,20.53,0.37,0.06085,-21.89074,55455.34652000001,0
1000001,1021001010867,19.88,0.26,0.06017,-21.890320000000003,55830.33606,0
1000001,1021001010867,19.07,0.17,0.0601,-21.8895,55830.343460000004,0
1000001,1021001010867,19.74,0.24,0.06122999999999999,-21.891170000000002,55867.19539,0
1000001,1021001010867,20.18,0.3,0.05945,-21.89095,55867.20205,0
1000001,1021001010867,20.38,0.34,0.06087000000000001,-21.89111,55837.29435,0
1000001,1021001010867,20.11,0.29,0.060570000000000006,-21.89141,55837.3016,0
1000001,1021001010867,20.29,0.33,0.06006,-21.8909,55837.31619,0
1000001,1021001010867,19.74,0.23,0.058660000000000004,-21.89112,55853.246979999996,0
1000001,1021001010867,20.63,0.38,0.060020000000000004,-21.89099,55853.259379999996,0
1000001,1021001010867,20.85,0.44,0.06087000000000001,-21.891,55895.146629999996,0
1000001,1021001010867,19.58,0.24,0.060070000000000005,-21.89098,56192.33895,0
1000001,1021001010867,20.54,0.38,0.06076,-21.8908,56209.24861,0
1000001,1021001010867,21.04,0.55,0.05886,-21.891920000000002,56547.358420000004,0
1000001,1021001010867,19.85,0.28,0.05959,-21.89047,56547.37269,0
1000001,1021001010867,21.02,0.49,0.06023,-21.889229999999998,56564.30673,0
1000001,1021001010867,19.72,0.24,0.06037000000000001,-21.89153,56564.31224,0
1000001,1021001010867,19.98,0.28,0.06015,-21.8905,56564.31782999999,0
1000001,1021001010867,19.28,0.2,0.06002999999999999,-21.89002,56589.25527,0
1000001,1021001010880,18.52,0.14,0.04894,-21.89619,53673.17594,0
1000001,1021001010880,18.68,0.15,0.048780000000000004,-21.89656,53673.18076,0
1000001,1021001010880,18.39,0.13,0.049069999999999996,-21.89629,53673.1856,0
1000001,1021001010880,18.48,0.14,0.049,-21.89646,53673.19041,0
1000001,1021001010880,18.13,0.11,0.04916,-21.89644,54057.18177999999,0
1000001,1021001010880,18.63,0.14,0.048960000000000004,-21.896420000000003,54057.18895,0
1000001,1021001010880,18.37,0.13,0.04899,-21.89626,54057.19613,0
1000001,1021001010880,18.2,0.12,0.04886,-21.8963,54057.203310000004,0
1000001,1021001010880,18.01,0.11,0.04925,-21.8963,54066.15433,0
1000001,1021001010880,18.44,0.13,0.04882,-21.89636,54066.164339999996,0
1000001,1021001010880,18.35,0.13,0.04922,-21.89646,54066.17434,0
1000001,1021001010880,18.58,0.14,0.04875,-21.896320000000003,54066.20379,0
1000001,1021001010880,18.51,0.13,0.04892,-21.89627,54004.314060000004,0
1000001,1021001010880,18.18,0.12,0.04882,-21.89623,54004.32147,0
1000001,1021001010880,18.16,0.12,0.04888,-21.8963,54004.32889,0
1000001,1021001010880,18.31,0.12,0.04885,-21.89619,54004.336279999996,0
1000001,1021001010880,18.34,0.13,0.048639999999999996,-21.896379999999997,54409.19627000001,0
1000001,1021001010880,18.24,0.12,0.04893,-21.89619,54409.20054,0
1000001,1021001010880,18.5,0.14,0.048780000000000004,-21.89629,54409.204820000006,0
1000001,1021001010880,18.42,0.13,0.04877,-21.89629,54409.20912000001,0
1000001,1021001010880,18.57,0.14,0.04887,-21.896279999999997,54419.13017999999,0
1000001,1021001010880,18.4,0.13,0.048780000000000004,-21.896320000000003,54419.13725,0
1000001,1021001010880,18.31,0.12,0.048889999999999996,-21.896379999999997,54419.14431,0
1000001,1021001010880,18.47,0.13,0.04894,-21.89631,54419.1514,0
1000001,1021001010880,18.33,0.13,0.04922,-21.89619,54385.20284,0
1000001,1021001010880,18.45,0.13,0.048839999999999995,-21.89622,54385.21031,0
