InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000021,1129001026275,19.83,0.25,1.85234,29.25975,53709.14499,0
1000021,1129001026275,19.59,0.25,1.8533099999999998,29.2609,53537.38336,0
1000021,1129001026275,19.47,0.23,1.85237,29.2601,53537.38939,0
1000021,1129001026275,20.25,0.33,1.8524900000000002,29.260590000000004,53678.2683,0
1000021,1129001026275,20.45,0.37,1.85198,29.260240000000003,53678.27475,0
1000021,1129001026275,19.5,0.22,1.8518599999999998,29.26022,53695.13952999999,0
1000021,1129001026275,20.37,0.34,1.85234,29.260170000000002,53695.145489999995,0
1000021,1129001026275,20.53,0.37,1.8522900000000002,29.260409999999997,53695.15727,0
1000021,1129001026275,19.88,0.28,1.85287,29.26036,53657.22735,0
1000021,1129001026275,19.9,0.29,1.85233,29.260440000000003,53642.2549,0
1000021,1129001026275,19.97,0.3,1.85232,29.259929999999997,53642.26139,0
1000021,1129001026275,20.22,0.27,1.8522900000000002,29.26009,54055.172379999996,0
1000021,1129001026275,18.95,0.15,1.8531799999999998,29.26067,54055.18396,0
1000021,1129001026275,19.85,0.22,1.8523900000000002,29.259729999999998,54055.19556,0
1000021,1129001026275,19.48,0.19,1.8529099999999998,29.260640000000002,54055.20721,0
1000021,1129001026275,20.19,0.29,1.8522299999999998,29.259929999999997,54061.18329,0
1000021,1129001026275,20.25,0.3,1.8520400000000001,29.26012,54061.1929,0
1000021,1129001026275,20.43,0.33,1.8522900000000002,29.26036,54027.22542,0
1000021,1129001026275,20.68,0.38,1.8523,29.26037,54027.23455,0
1000021,1129001026275,20.74,0.39,1.85201,29.26052,54027.24371,0
1000021,1129001026275,19.66,0.22,1.8526200000000002,29.26013,54035.205010000005,0
1000021,1129001026275,19.82,0.24,1.85227,29.26052,54035.21285,0
1000021,1129001026275,20.62,0.36,1.85244,29.26016,54035.22062000001,0
1000021,1129001026275,19.35,0.19,1.8523599999999998,29.26,53995.268729999996,0
1000021,1129001026275,19.91,0.25,1.85233,29.26032,53995.28808,0
1000021,1129001026275,19.36,0.19,1.85232,29.26053,53995.29775,0
1000021,1129001026275,19.66,0.27,1.85258,29.25998,54407.31052000001,0
1000021,1129001026275,19.62,0.27,1.8521299999999998,29.2597,54407.31597999999,0
1000021,1129001026275,19.33,0.23,1.85208,29.26023,54407.32142000001,0
1000021,1129001026275,19.13,0.21,1.85287,29.259829999999997,54407.326839999994,0
1000021,1129001026275,19.77,0.25,1.8519900000000002,29.259959999999996,54423.0705,0
1000021,1129001026275,20.07,0.28,1.8522900000000002,29.26019,54423.08036,0
1000021,1129001026275,19.85,0.25,1.85207,29.259909999999998,54382.22679,0
1000021,1129001026275,20.08,0.28,1.85235,29.259809999999998,54394.22062000001,0
1000021,1129001026275,20.56,0.38,1.85221,29.26025,54358.26005,0
1000021,1129001026275,20.74,0.4,1.85233,29.26039,54771.204229999996,0
1000021,1129001026275,20.12,0.29,1.8524,29.260070000000002,54777.2664,0
1000021,1129001026275,18.42,0.13,1.85265,29.25971,54777.28494,0
1000021,1129001026275,20.26,0.32,1.85244,29.26065,54791.28826,0
1000021,1129001026275,20.2,0.31,1.8523599999999998,29.259909999999998,54791.295560000006,0
1000021,1129001026275,19.31,0.2,1.8524900000000002,29.26008,54791.31001,0
1000021,1129001026275,19.76,0.24,1.85222,29.26008,54732.2004,0
1000021,1129001026275,20.37,0.32,1.85255,29.260379999999998,54732.209220000004,0
1000021,1129001026275,19.03,0.17,1.85225,29.26015,55062.40708,0
1000021,1129001026275,19.68,0.24,1.8530099999999998,29.260309999999997,55062.4138,0
1000021,1129001026275,19.75,0.25,1.8524900000000002,29.25995,55062.420679999996,0
1000021,1129001026275,20.24,0.32,1.8521400000000001,29.26052,55062.42754,0
1000021,1129001026275,19.98,0.27,1.8520900000000002,29.26036,55161.159810000005,0
1000021,1129001026275,20.29,0.32,1.85336,29.26032,55161.16676,0
1000021,1129001026275,19.14,0.18,1.85296,29.26026,55161.1877,0
1000021,1129001026275,20.11,0.3,1.8519599999999998,29.26025,55085.32921,0
1000021,1129001026275,20.57,0.39,1.85224,29.26033,55505.172360000004,0
1000021,1129001026275,19.81,0.25,1.85277,29.25998,55511.17204,0
