InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000061,1135002041968,19.27,0.2,4.22564,35.33096,53708.16876,0
1000061,1135002041968,19.91,0.21,4.22486,35.33098,55858.29275,0
1000061,1135002042197,20.44,0.36,4.217169999999999,35.339420000000004,53714.1455,0
1000061,1135002042197,20.77,0.54,4.21751,35.34,55722.41947000001,0
1000061,1135002042197,21.31,0.58,4.21719,35.339690000000004,55866.23247,0
1000061,1135002042197,21.21,0.62,4.2177,35.34013,56541.44714,0
1000061,1135002042226,20.07,0.29,4.2387,35.33766,53708.14069,0
1000061,1135002042226,20.0,0.28,4.23859,35.33757,53708.15049,0
1000061,1135002042226,20.24,0.32,4.2386800000000004,35.337559999999996,53708.15983,0
1000061,1135002042226,20.37,0.35,4.23832,35.33742,53708.16876,0
1000061,1135002042226,19.6,0.25,4.23947,35.33757,53735.14056,0
1000061,1135002042226,20.95,0.48,4.23871,35.33748,53694.161120000004,0
1000061,1135002042226,19.84,0.26,4.238980000000001,35.33743,53674.2013,0
1000061,1135002042226,19.67,0.21,4.23906,35.337720000000004,53674.20692,0
1000061,1135002042226,19.64,0.23,4.23878,35.337720000000004,53674.21264,0
1000061,1135002042226,19.99,0.29,4.2386,35.3375,53643.27867,0
1000061,1135002042226,19.26,0.2,4.2388,35.337579999999996,53643.28699,0
1000061,1135002042226,20.03,0.28,4.23905,35.33742,54085.14472999999,0
1000061,1135002042226,21.49,0.52,4.238580000000001,35.337920000000004,54060.192310000006,0
1000061,1135002042226,19.87,0.25,4.2384699999999995,35.33769,54060.20637000001,0
1000061,1135002042226,19.86,0.25,4.23758,35.337759999999996,54060.213260000004,0
1000061,1135002042226,21.04,0.47,4.239319999999999,35.33762,54031.2842,0
1000061,1135002042226,20.46,0.34,4.238569999999999,35.337709999999994,54003.251829999994,0
1000061,1135002042226,20.01,0.27,4.23912,35.337109999999996,54452.160489999995,0
1000061,1135002042226,20.55,0.4,4.239,35.337509999999995,54299.382489999996,0
1000061,1135002042226,20.59,0.42,4.238980000000001,35.33775,54299.405629999994,0
1000061,1135002042226,20.07,0.34,4.2384,35.33761,54407.307389999994,0
1000061,1135002042226,20.22,0.37,4.23896,35.337759999999996,54407.32373,0
1000061,1135002042226,20.17,0.3,4.23833,35.338,54382.28235,0
1000061,1135002042226,19.68,0.23,4.23865,35.33764,54382.294610000004,0
1000061,1135002042226,19.98,0.27,4.239380000000001,35.33788,54382.30708,0
1000061,1135002042226,20.13,0.29,4.23919,35.337709999999994,54389.201129999994,0
1000061,1135002042226,20.11,0.25,4.23895,35.33735,54389.20942000001,0
1000061,1135002042226,19.93,0.27,4.23883,35.337759999999996,54358.2638,0
1000061,1135002042226,19.97,0.28,4.238630000000001,35.33786,54358.270370000006,0
1000061,1135002042226,20.02,0.27,4.23864,35.33782,54772.21671,0
1000061,1135002042226,20.22,0.3,4.23851,35.33748,54772.223210000004,0
1000061,1135002042226,19.58,0.22,4.23842,35.337740000000004,54772.22969,0
1000061,1135002042226,20.35,0.27,4.23915,35.33773,54772.23615,0
1000061,1135002042226,20.15,0.38,4.23879,35.33746,55722.4139,0
1000061,1135002042226,20.45,0.28,4.23883,35.337740000000004,55858.28163,0
1000061,1135002042226,20.0,0.22,4.238659999999999,35.33783,55858.29275,0
1000061,1135002042226,20.62,0.31,4.239,35.337920000000004,55858.303920000006,0
1000061,1135002042226,19.99,0.22,4.23854,35.33773,55858.31518,0
1000061,1135002042226,19.91,0.26,4.23912,35.33719,55828.23812,0
1000061,1135002042226,20.55,0.37,4.2387,35.33768,55866.226879999995,0
1000061,1135002042226,20.05,0.28,4.2385,35.338029999999996,55866.23247,0
1000061,1135002042226,20.02,0.28,4.23851,35.337740000000004,55866.24382,0
1000061,1135002042226,19.65,0.23,4.23815,35.33767,55889.21225,0
1000061,1135002042226,19.2,0.19,4.2384,35.3376,55889.22,0
1000061,1135002042226,19.93,0.27,4.23862,35.3373,55889.227829999996,0
1000061,1135002042226,19.93,0.27,4.23885,35.33748,55889.23561,0
1000061,1135002042226,19.88,0.27,4.23882,35.33781,56206.32572000001,0
1000061,1135002042226,19.52,0.19,4.23848,35.33807,56237.25084,0
1000061,1135002042226,20.45,0.3,4.23865,35.337509999999995,56237.2579,0
1000061,1135002042226,20.22,0.27,4.23845,35.3376,56237.26494,0
1000061,1135002042226,20.42,0.3,4.23872,35.33773,56237.27199,0
1000061,1135002042226,20.04,0.23,4.23894,35.337509999999995,56246.18377999999,0
1000061,1135002042226,20.57,0.33,4.23886,35.33767,56304.139970000004,0
1000061,1135002042226,21.25,0.63,4.23895,35.337579999999996,56541.444910000006,0
1000061,1135002042226,19.6,0.25,4.238919999999999,35.33777,56541.44714,0
1000061,1135002042226,19.84,0.28,4.23882,35.33753,56541.44941,0
1000061,1135002042226,20.63,0.39,4.23871,35.337340000000005,56569.218839999994,0
1000061,1135002042226,20.23,0.31,4.2390300000000005,35.337379999999996,56569.22663,0
1000061,1135002042226,19.82,0.25,4.23844,35.33797,56569.23447999999,0
1000061,1135002042226,19.81,0.25,4.23926,35.33762,56569.2424,0
1000061,1135002042226,19.92,0.27,4.23894,35.3378,56593.31825,0
1000061,1135002042503,19.44,0.21,4.24681,35.34432,53708.14069,0
1000061,1135002042503,19.97,0.28,4.24648,35.344409999999996,53708.15049,0
1000061,1135002042503,19.93,0.27,4.24605,35.34421,53708.15983,0
1000061,1135002042503,20.02,0.29,4.2464900000000005,35.34437,53708.16876,0
1000061,1135002042503,19.72,0.24,4.24683,35.34452,53735.127739999996,0
1000061,1135002042503,20.08,0.31,4.24672,35.344229999999996,53735.14699,0
1000061,1135002042503,20.68,0.45,4.2465,35.3442,53537.38777,0
1000061,1135002042503,20.04,0.31,4.24648,35.3446,53537.399710000005,0
1000061,1135002042503,20.05,0.29,4.24637,35.344570000000004,53684.1723,0
1000061,1135002042503,19.46,0.21,4.2466,35.3444,53694.161120000004,0
1000061,1135002042503,19.78,0.25,4.24653,35.34411,53694.17043,0
1000061,1135002042503,20.2,0.31,4.24568,35.34495,53694.179670000005,0
1000061,1135002042503,20.28,0.33,4.246519999999999,35.34452,53668.19337,0
1000061,1135002042503,19.68,0.24,4.24635,35.34413,53668.20201,0
1000061,1135002042503,19.96,0.24,4.24699,35.34468,53668.21062,0
1000061,1135002042503,19.86,0.26,4.2464900000000005,35.344429999999996,53674.2013,0
1000061,1135002042503,20.49,0.32,4.24608,35.3441,53674.20692,0
1000061,1135002042503,19.23,0.19,4.246630000000001,35.3446,53674.21264,0
1000061,1135002042503,20.06,0.29,4.2468900000000005,35.34405,53674.21851,0
1000061,1135002042503,19.95,0.25,4.24595,35.34483,53643.26155,0
1000061,1135002042503,19.67,0.25,4.2463,35.34447,53643.26999,0
1000061,1135002042503,19.81,0.27,4.246630000000001,35.34432,53643.27867,0
1000061,1135002042503,19.45,0.22,4.24656,35.34435,53643.28699,0
1000061,1135002042503,19.68,0.23,4.24667,35.34401,54085.14472999999,0
1000061,1135002042503,20.28,0.32,4.24615,35.343959999999996,54085.153770000004,0
1000061,1135002042503,19.03,0.17,4.246630000000001,35.344429999999996,54085.162679999994,0
1000061,1135002042503,19.53,0.21,4.24642,35.34403,54085.17152999999,0
1000061,1135002042503,19.7,0.25,4.246580000000001,35.344229999999996,53768.11235,0
1000061,1135002042503,20.11,0.31,4.24629,35.34433,53768.11755,0
1000061,1135002042503,19.7,0.25,4.2461199999999995,35.34408,53768.12726,0
1000061,1135002042503,19.76,0.2,4.24686,35.34452,54060.192310000006,0
1000061,1135002042503,19.72,0.23,4.24638,35.34448,54060.199389999994,0
1000061,1135002042503,20.48,0.34,4.24669,35.34448,54060.20637000001,0
1000061,1135002042503,19.88,0.25,4.24706,35.34421,54060.213260000004,0
1000061,1135002042503,20.1,0.28,4.2468,35.34431,54010.311270000006,0
1000061,1135002042503,20.14,0.29,4.24621,35.34469,54010.31971,0
1000061,1135002042503,20.25,0.31,4.2467,35.34454,54010.32811,0
1000061,1135002042503,20.34,0.32,4.24619,35.34429,54031.2668,0
1000061,1135002042503,20.61,0.37,4.24686,35.34432,54031.27552,0
1000061,1135002042503,19.54,0.21,4.24627,35.3447,54031.2842,0
1000061,1135002042503,19.72,0.23,4.24655,35.34465,54037.220120000005,0
1000061,1135002042503,19.64,0.19,4.246090000000001,35.34449,54037.22799,0
1000061,1135002042503,19.43,0.2,4.24636,35.34425,54037.234820000005,0
1000061,1135002042503,19.73,0.23,4.24637,35.34426,54037.241539999995,0
1000061,1135002042503,19.63,0.22,4.24697,35.34453,54003.22735,0
1000061,1135002042503,19.26,0.18,4.24633,35.34451,54003.235510000006,0
1000061,1135002042503,19.75,0.23,4.24639,35.34429,54003.24367,0
1000061,1135002042503,20.43,0.33,4.24619,35.34408,54003.251829999994,0
1000061,1135002042503,19.77,0.24,4.246230000000001,35.344390000000004,54452.14097000001,0
1000061,1135002042503,19.74,0.24,4.24656,35.34454,54452.14744,0
1000061,1135002042503,19.08,0.17,4.24604,35.344190000000005,54452.15392999999,0
1000061,1135002042503,20.14,0.32,4.24639,35.34449,54299.382489999996,0
1000061,1135002042503,20.01,0.3,4.24644,35.344640000000005,54299.388929999994,0
1000061,1135002042503,20.37,0.36,4.24621,35.34432,54299.395370000006,0
1000061,1135002042503,19.87,0.28,4.24646,35.34453,54299.405629999994,0
1000061,1135002042503,19.71,0.28,4.2463,35.34431,54407.307389999994,0
1000061,1135002042503,19.98,0.28,4.24634,35.34462,54407.312860000005,0
1000061,1135002042503,19.7,0.28,4.24675,35.34432,54407.3183,0
1000061,1135002042503,20.77,0.51,4.24656,35.34446,54407.32373,0
1000061,1135002042503,19.86,0.25,4.2466099999999996,35.34451,54414.203989999995,0
1000061,1135002042503,19.62,0.22,4.24656,35.34448,54414.20963,0
1000061,1135002042503,19.54,0.22,4.24643,35.3445,54382.28235,0
1000061,1135002042503,19.54,0.22,4.24637,35.34453,54382.294610000004,0
1000061,1135002042503,19.64,0.23,4.24636,35.34448,54382.30708,0
1000061,1135002042503,19.82,0.25,4.24678,35.344359999999995,54382.319610000006,0
1000061,1135002042503,19.66,0.23,4.2468699999999995,35.34454,54389.18449,0
1000061,1135002042503,19.8,0.24,4.2466099999999996,35.3448,54389.19286,0
1000061,1135002042503,20.38,0.33,4.24631,35.34476,54389.201129999994,0
1000061,1135002042503,19.72,0.2,4.24685,35.344590000000004,54389.20942000001,0
1000061,1135002042503,20.05,0.33,4.24639,35.344590000000004,54394.154870000006,0
1000061,1135002042503,19.32,0.2,4.247,35.34469,54394.168020000005,0
1000061,1135002042503,20.1,0.3,4.24664,35.34431,54358.2638,0
1000061,1135002042503,19.32,0.2,4.2464900000000005,35.34446,54358.270370000006,0
1000061,1135002042503,20.12,0.3,4.24635,35.34451,54358.27692999999,0
1000061,1135002042503,19.65,0.2,4.24651,35.34463,54358.28351,0
1000061,1135002042503,19.57,0.22,4.246630000000001,35.34445,54504.10114,0
1000061,1135002042503,19.9,0.26,4.2469,35.34437,54504.1119,0
1000061,1135002042503,19.19,0.18,4.24712,35.344440000000006,54480.134060000004,0
1000061,1135002042503,19.73,0.24,4.24608,35.344229999999996,54480.13902,0
1000061,1135002042503,19.52,0.21,4.24672,35.34421,54772.21671,0
1000061,1135002042503,19.47,0.2,4.246180000000001,35.34417,54772.223210000004,0
1000061,1135002042503,19.98,0.27,4.2465,35.344359999999995,54772.22969,0
1000061,1135002042503,19.69,0.2,4.2461199999999995,35.34476,54772.23615,0
1000061,1135002042503,20.69,0.51,4.24638,35.344590000000004,55722.4139,0
1000061,1135002042503,19.54,0.27,4.24615,35.344,55722.41947000001,0
1000061,1135002042503,19.23,0.15,4.246169999999999,35.344359999999995,55858.28163,0
1000061,1135002042503,19.44,0.17,4.24654,35.34425,55858.29275,0
1000061,1135002042503,19.71,0.19,4.24667,35.344429999999996,55858.303920000006,0
