InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000221,1104005049049,19.28,0.2,12.30151,5.396059999999999,53727.09517000001,0
1000221,1104005049049,20.57,0.4,12.30108,5.39596,53727.09994,0
1000221,1104005049049,19.45,0.22,12.30119,5.39577,53727.104739999995,0
1000221,1104005049049,19.43,0.22,12.30107,5.39611,53727.109520000005,0
1000221,1104005049049,19.16,0.2,12.30107,5.395919999999999,53563.43722,0
1000221,1104005049049,19.46,0.23,12.30145,5.395919999999999,53563.44318,0
1000221,1104005049049,19.57,0.24,12.301110000000001,5.39586,53563.44919,0
1000221,1104005049049,19.64,0.25,12.30112,5.39594,53563.45514,0
1000221,1104005049049,19.8,0.26,12.30108,5.39608,53703.09502000001,0
1000221,1104005049049,18.96,0.17,12.30136,5.3960099999999995,53703.1016,0
1000221,1104005049049,18.81,0.16,12.30124,5.39595,53703.1081,0
1000221,1104005049049,19.01,0.17,12.3014,5.39565,53703.11455,0
1000221,1104005049049,19.5,0.24,12.301169999999999,5.395980000000001,53650.27813,0
1000221,1104005049049,19.22,0.21,12.30141,5.39604,53650.28514,0
1000221,1104005049049,19.29,0.21,12.30103,5.39569,53650.29215,0
1000221,1104005049049,18.95,0.18,12.30114,5.395969999999999,53650.29916,0
1000221,1104005049049,19.52,0.24,12.30136,5.39613,53671.220839999994,0
1000221,1104005049049,19.28,0.21,12.300980000000001,5.39596,53671.22583,0
1000221,1104005049049,19.14,0.19,12.30115,5.39586,53671.2306,0
1000221,1104005049049,18.99,0.18,12.30083,5.39625,53671.23537,0
1000221,1104005049049,19.14,0.19,12.30147,5.395969999999999,53628.268039999995,0
1000221,1104005049049,17.99,0.12,12.300930000000001,5.39575,53628.27604,0
1000221,1104005049049,19.74,0.26,12.30154,5.39618,53636.304710000004,0
1000221,1104005049049,19.48,0.23,12.300989999999999,5.3957,53636.31595,0
1000221,1104005049049,20.67,0.43,12.30102,5.3956800000000005,53636.327189999996,0
1000221,1104005049049,19.04,0.18,12.30109,5.39577,53636.33847,0
1000221,1104005049049,19.41,0.2,12.301210000000001,5.396,53975.37233,0
1000221,1104005049049,19.51,0.21,12.301060000000001,5.3958900000000005,53975.38039,0
1000221,1104005049049,19.72,0.23,12.30134,5.39596,53975.388439999995,0
1000221,1104005049049,19.56,0.21,12.30108,5.395969999999999,53975.39652,0
1000221,1104005049049,19.48,0.21,12.30086,5.3961,54080.21817000001,0
1000221,1104005049049,19.65,0.23,12.30105,5.39583,54080.23832999999,0
1000221,1104005049049,18.96,0.16,12.30108,5.3960099999999995,54094.0843,0
1000221,1104005049049,19.43,0.2,12.30136,5.395980000000001,54094.09352,0
1000221,1104005049049,19.17,0.18,12.301219999999999,5.39555,54094.10264,0
1000221,1104005049049,19.95,0.26,12.3012,5.39602,54094.111829999994,0
1000221,1104005049049,19.6,0.24,12.301219999999999,5.39611,53767.08557999999,0
1000221,1104005049049,19.25,0.2,12.30118,5.39622,53767.0898,0
1000221,1104005049049,19.88,0.27,12.30145,5.395630000000001,53767.094020000004,0
1000221,1104005049049,20.31,0.35,12.30127,5.39593,53767.09826,0
1000221,1104005049049,19.74,0.25,12.30092,5.39572,53756.10615,0
1000221,1104005049049,19.72,0.25,12.30114,5.39611,53756.11266,0
1000221,1104005049049,19.88,0.27,12.30138,5.395519999999999,53756.11915,0
1000221,1104005049049,19.59,0.23,12.301039999999999,5.39571,53756.12565,0
1000221,1104005049049,19.58,0.21,12.30107,5.39595,54050.19994,0
1000221,1104005049049,19.18,0.18,12.30107,5.39602,54050.21019,0
1000221,1104005049049,19.14,0.17,12.301219999999999,5.39624,54050.21989,0
1000221,1104005049049,19.14,0.17,12.301060000000001,5.39584,54050.22961,0
1000221,1104005049049,19.19,0.18,12.30103,5.39605,54056.19225,0
1000221,1104005049049,19.17,0.18,12.301039999999999,5.39581,54056.1993,0
1000221,1104005049049,19.35,0.19,12.30125,5.395980000000001,54056.206360000004,0
1000221,1104005049049,19.4,0.2,12.30105,5.39576,54056.21344,0
1000221,1104005049049,19.39,0.2,12.301039999999999,5.395569999999999,54025.220570000005,0
1000221,1104005049049,19.31,0.19,12.3012,5.396059999999999,54025.22837999999,0
1000221,1104005049049,19.13,0.17,12.300989999999999,5.39588,54025.23617999999,0
1000221,1104005049049,19.28,0.19,12.30085,5.39582,54025.24393,0
1000221,1104005049049,19.17,0.18,12.30097,5.39609,53990.44764,0
1000221,1104005049049,19.46,0.21,12.30131,5.395969999999999,53990.460479999994,0
1000221,1104005049049,19.26,0.19,12.30078,5.39624,53990.46691,0
1000221,1104005049049,19.25,0.19,12.301039999999999,5.3960099999999995,54439.171279999995,0
1000221,1104005049049,19.58,0.22,12.30129,5.39604,54439.1778,0
1000221,1104005049049,19.6,0.22,12.30079,5.39617,54439.184310000004,0
1000221,1104005049049,19.35,0.19,12.301110000000001,5.39618,54439.19085,0
1000221,1104005049049,19.77,0.24,12.30141,5.396059999999999,54449.104289999996,0
1000221,1104005049049,19.46,0.2,12.30151,5.39604,54449.110779999995,0
1000221,1104005049049,19.63,0.22,12.30107,5.39594,54449.11728,0
1000221,1104005049049,19.91,0.26,12.30074,5.3958900000000005,54449.123779999994,0
1000221,1104005049049,18.85,0.16,12.300930000000001,5.3958900000000005,54108.13812999999,0
1000221,1104005049049,18.63,0.15,12.30124,5.39559,54108.15527,0
1000221,1104005049049,19.18,0.19,12.30137,5.395980000000001,54108.1638,0
