InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000261,1018005035422,20.02,0.29,13.94699,-17.74011,53705.17027,0
1000261,1018005035422,20.52,0.38,13.94765,-17.74031,53705.1783,0
1000261,1018005035422,19.46,0.22,13.947429999999999,-17.740289999999998,53705.18635,0
1000261,1018005035422,19.39,0.21,13.947479999999999,-17.74061,53705.1944,0
1000261,1018005035422,20.21,0.32,13.947379999999999,-17.74035,53712.091539999994,0
1000261,1018005035422,20.6,0.39,13.94699,-17.739810000000002,53680.190610000005,0
1000261,1018005035422,20.17,0.31,13.94752,-17.73965,53680.19714,0
1000261,1018005035422,19.84,0.26,13.94765,-17.74022,53680.21024,0
1000261,1018005035422,20.36,0.37,13.94766,-17.74004,53648.30575,0
1000261,1018005035422,20.27,0.33,13.94721,-17.73974,53673.22259,0
1000261,1018005035422,19.79,0.26,13.94769,-17.740460000000002,53673.22857,0
1000261,1018005035422,19.64,0.24,13.947339999999999,-17.74033,53673.2346,0
1000261,1018005035422,20.74,0.4,13.947610000000001,-17.73996,54093.142510000005,0
1000261,1018005035422,20.32,0.32,13.947510000000001,-17.74002,54057.22159,0
1000261,1018005035422,19.71,0.23,13.947170000000002,-17.73982,54057.22807999999,0
1000261,1018005035422,20.76,0.41,13.9473,-17.73968,54066.1931,0
1000261,1018005035422,19.58,0.21,13.947379999999999,-17.74019,54039.21186,0
1000261,1018005035422,20.12,0.28,13.949160000000001,-17.739539999999998,54039.22479,0
1000261,1018005035422,20.48,0.35,13.947239999999999,-17.74018,54000.375920000006,0
1000261,1018005035422,19.83,0.25,13.947460000000001,-17.74036,54000.381779999996,0
1000261,1018005035422,19.86,0.25,13.947420000000001,-17.73997,54000.38764,0
1000261,1018005035422,21.04,0.47,13.94539,-17.74067,54005.29874,0
1000261,1018005035422,20.34,0.32,13.9479,-17.739910000000002,54005.29874,1
1000261,1018005035422,20.49,0.35,13.94721,-17.74005,54005.30515,0
1000261,1018005035422,19.85,0.25,13.94757,-17.74001,54005.311579999994,0
1000261,1018005035422,20.19,0.3,13.94716,-17.74021,54005.318029999995,0
