InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000281,1126005039203,21.09,0.56,15.3595,26.9353,53642.28582,0
1000281,1126005039203,20.24,0.3,15.35796,26.93555,54027.25117,0
1000281,1126005039203,20.7,0.46,15.35728,26.93725,54274.420560000006,0
1000281,1126005039203,20.06,0.32,15.35999,26.93447,54274.420560000006,1
1000281,1126005039203,21.24,0.56,15.358939999999999,26.9366,55092.29909,0
1000281,1126005039203,21.08,0.52,15.35856,26.93758,55499.15764,0
1000281,1126005039203,18.53,0.14,15.35917,26.9344,55591.12216,0
1000281,1126005039203,20.25,0.45,15.35687,26.93802,55863.154010000006,0
1000281,1126005039203,20.95,0.47,15.358279999999999,26.936709999999998,56569.26624,0
1000281,1126005039512,18.19,0.12,15.38076,26.93934,53708.211839999996,0
1000281,1126005039512,18.38,0.13,15.380679999999998,26.9395,53708.217639999995,0
1000281,1126005039512,18.31,0.13,15.38074,26.93947,53708.22342,0
1000281,1126005039512,18.27,0.13,15.38079,26.93951,53708.22919,0
1000281,1126005039512,18.33,0.13,15.38069,26.939490000000003,53728.075679999994,0
1000281,1126005039512,18.43,0.14,15.38096,26.93945,53728.08309,0
1000281,1126005039512,18.33,0.13,15.38066,26.93951,53728.09047,0
1000281,1126005039512,18.18,0.13,15.38096,26.93967,53728.09785,0
1000281,1126005039512,18.36,0.13,15.3808,26.939420000000002,53735.15125,0
1000281,1126005039512,18.25,0.12,15.38076,26.93947,53735.15768,0
1000281,1126005039512,18.27,0.13,15.38069,26.939559999999997,53735.164079999995,0
1000281,1126005039512,18.23,0.13,15.3808,26.939359999999997,53735.17055,0
1000281,1126005039512,18.26,0.13,15.38088,26.939459999999997,53561.43593,0
1000281,1126005039512,18.25,0.13,15.38088,26.93954,53561.443269999996,0
1000281,1126005039512,18.47,0.14,15.38084,26.93947,53561.450580000004,0
1000281,1126005039512,18.39,0.13,15.38083,26.93927,53561.45789,0
1000281,1126005039512,17.99,0.11,15.38066,26.939529999999998,53678.3267,0
1000281,1126005039512,18.28,0.13,15.38086,26.939590000000003,53678.33207,0
1000281,1126005039512,18.38,0.13,15.38085,26.93951,53678.33745,0
1000281,1126005039512,18.42,0.14,15.38069,26.93951,53678.34282,0
1000281,1126005039512,18.3,0.13,15.38079,26.939420000000002,53695.16165,0
1000281,1126005039512,18.28,0.13,15.38083,26.93957,53695.1682,0
1000281,1126005039512,18.45,0.13,15.38091,26.939429999999998,53695.17475,0
1000281,1126005039512,18.41,0.13,15.38076,26.939490000000003,53695.18127000001,0
1000281,1126005039512,18.22,0.12,15.38084,26.93945,53702.1742,0
1000281,1126005039512,18.32,0.13,15.38078,26.93938,53702.180179999996,0
1000281,1126005039512,18.4,0.13,15.38069,26.93948,53702.186120000006,0
1000281,1126005039512,18.33,0.13,15.38101,26.93951,53702.19205,0
1000281,1126005039512,18.31,0.14,15.38076,26.93968,53652.26473,0
1000281,1126005039512,18.21,0.13,15.3807,26.93931,53656.32871,0
1000281,1126005039512,18.17,0.13,15.3809,26.939420000000002,53656.33437,0
1000281,1126005039512,18.24,0.13,15.380870000000002,26.93948,53656.340019999996,0
1000281,1126005039512,18.11,0.12,15.38054,26.939529999999998,53656.3457,0
1000281,1126005039512,18.26,0.13,15.38076,26.939490000000003,53672.236880000004,0
1000281,1126005039512,18.38,0.13,15.38078,26.93938,53672.24634,0
