InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000301,1018006027396,18.93,0.17,16.21657,-18.10494,53705.1708,0
1000301,1018006027396,19.09,0.18,16.216179999999998,-18.10516,53705.17884,0
1000301,1018006027396,19.0,0.17,16.21629,-18.10503,53705.18689,0
1000301,1018006027396,18.91,0.17,16.21635,-18.10517,53705.19493,0
1000301,1018006027396,19.15,0.18,16.2164,-18.104689999999998,53712.091010000004,0
1000301,1018006027396,18.91,0.17,16.21639,-18.10473,53712.09631,0
1000301,1018006027396,18.86,0.16,16.21624,-18.10509,53712.10163,0
1000301,1018006027396,18.89,0.16,16.216070000000002,-18.10494,53712.10695,0
1000301,1018006027396,18.88,0.16,16.2163,-18.10514,53680.19008,0
1000301,1018006027396,18.69,0.15,16.21649,-18.10503,53680.19661,0
1000301,1018006027396,19.17,0.19,16.21632,-18.10512,53680.203160000005,0
1000301,1018006027396,18.68,0.15,16.21605,-18.10526,53680.20971,0
1000301,1018006027396,18.86,0.16,16.21625,-18.10512,53673.22205,0
1000301,1018006027396,18.87,0.16,16.216379999999997,-18.105220000000003,53673.228039999995,0
1000301,1018006027396,18.56,0.14,16.21646,-18.10512,53673.23406,0
1000301,1018006027396,18.83,0.16,16.216279999999998,-18.104979999999998,53673.24005,0
1000301,1018006027396,18.76,0.15,16.216260000000002,-18.10517,54093.12269,0
1000301,1018006027396,18.66,0.14,16.21633,-18.104870000000002,54093.12908,0
1000301,1018006027396,18.85,0.15,16.21642,-18.10489,54093.13555,0
1000301,1018006027396,18.7,0.14,16.216160000000002,-18.10526,54093.14197999999,0
1000301,1018006027396,19.21,0.18,16.21651,-18.105179999999997,54057.20907999999,0
1000301,1018006027396,18.81,0.15,16.2163,-18.10494,54057.2156,0
1000301,1018006027396,19.02,0.17,16.216279999999998,-18.104870000000002,54057.22863,0
1000301,1018006027396,18.8,0.15,16.21642,-18.10485,54058.18433,0
1000301,1018006027396,19.39,0.2,16.21627,-18.10521,54058.19085,0
1000301,1018006027396,19.15,0.17,16.21632,-18.10528,54058.197420000004,0
1000301,1018006027396,18.77,0.15,16.21658,-18.10501,54058.203929999996,0
1000301,1018006027396,19.06,0.17,16.21604,-18.10495,54066.16182,0
1000301,1018006027396,18.83,0.16,16.2163,-18.10501,54066.17181,0
1000301,1018006027396,18.8,0.15,16.2161,-18.10511,54066.19365,0
1000301,1018006027396,19.1,0.17,16.21649,-18.10485,54066.21129,0
1000301,1018006027396,18.41,0.13,16.21632,-18.10505,54039.20485,0
1000301,1018006027396,18.61,0.14,16.21637,-18.10504,54039.21133,0
1000301,1018006027396,19.22,0.18,16.21646,-18.1052,54039.2178,0
1000301,1018006027396,18.84,0.15,16.21629,-18.10521,54039.22426,0
1000301,1018006027396,18.91,0.16,16.2162,-18.1052,54000.370579999995,0
1000301,1018006027396,18.95,0.16,16.21637,-18.104960000000002,54000.37646,0
1000301,1018006027396,18.97,0.16,16.216279999999998,-18.10519,54000.38231,0
1000301,1018006027396,19.22,0.18,16.216639999999998,-18.10504,54000.38816,0
1000301,1018006027396,19.15,0.18,16.21629,-18.104870000000002,54005.29927999999,0
1000301,1018006027396,18.95,0.16,16.216279999999998,-18.104979999999998,54005.30568,0
1000301,1018006027396,19.09,0.17,16.21634,-18.10507,54005.31212,0
1000301,1018006027396,18.95,0.16,16.216260000000002,-18.104870000000002,54005.31857,0
1000301,1018006027396,19.11,0.18,16.21604,-18.10473,54409.23443,0
1000301,1018006027396,19.0,0.17,16.21631,-18.104979999999998,54409.24042,0
1000301,1018006027396,18.84,0.16,16.2161,-18.10493,54409.24641,0
1000301,1018006027396,18.6,0.14,16.216070000000002,-18.10493,54409.252389999994,0
