InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000321,1123006034346,19.27,0.19,16.83832,23.97938,53708.28042999999,0
1000321,1123006034346,21.32,0.55,16.83834,23.9805,54061.2343,0
1000321,1123006034346,20.8,0.37,16.83908,23.98079,54802.18836,0
1000321,1123006034346,21.18,0.53,16.8394,23.98026,55154.20812999999,0
1000321,1123006034346,20.49,0.33,16.83897,23.98116,55506.235420000005,0
1000321,1123006034555,19.76,0.25,16.85315,23.98425,53708.274110000006,0
1000321,1123006034555,19.48,0.21,16.8532,23.98449,53708.28042999999,0
1000321,1123006034555,19.55,0.22,16.85301,23.984389999999998,53708.286739999996,0
1000321,1123006034555,19.7,0.24,16.85313,23.98424,53708.293079999996,0
1000321,1123006034555,19.4,0.22,16.853070000000002,23.98464,53728.11097,0
1000321,1123006034555,19.53,0.23,16.85318,23.98457,53728.11952000001,0
1000321,1123006034555,19.35,0.2,16.85334,23.984460000000002,53728.12805,0
1000321,1123006034555,19.03,0.18,16.8536,23.9843,53728.13657,0
1000321,1123006034555,19.84,0.18,16.853,23.98435,53679.27618,0
1000321,1123006034555,19.57,0.15,16.85302,23.98441,53679.28157,0
1000321,1123006034555,19.37,0.14,16.853279999999998,23.98441,53679.28697,0
1000321,1123006034555,19.23,0.13,16.85314,23.98445,53679.292369999996,0
1000321,1123006034555,19.31,0.2,16.85308,23.98434,53696.22681,0
1000321,1123006034555,19.38,0.2,16.85304,23.98443,53696.233770000006,0
1000321,1123006034555,19.52,0.22,16.85312,23.98434,53696.24073,0
1000321,1123006034555,19.64,0.24,16.85352,23.98441,53696.247729999995,0
1000321,1123006034555,19.75,0.24,16.8529,23.984579999999998,53702.17527000001,0
1000321,1123006034555,19.65,0.23,16.8528,23.98435,53702.18125,0
1000321,1123006034555,20.62,0.39,16.85316,23.984289999999998,53702.18719,0
1000321,1123006034555,19.32,0.2,16.85298,23.98424,53644.33838,0
1000321,1123006034555,19.59,0.23,16.85313,23.98464,53644.34757,0
1000321,1123006034555,19.49,0.22,16.853379999999998,23.98443,53644.35677,0
1000321,1123006034555,19.74,0.25,16.853070000000002,23.98449,53644.36595,0
