InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000421,1001008025818,20.93,0.47,21.73177,-1.33755,53675.24332,0
1000421,1001008025818,20.13,0.29,21.73282,-1.33771,55182.10817000001,0
1000421,1001008025818,20.65,0.41,21.733320000000003,-1.33702,56191.351070000004,0
1000421,1001008025818,20.9,0.47,21.73208,-1.33693,56191.36625,0
1000421,1001008025818,21.15,0.53,21.7341,-1.3366200000000001,56297.118220000004,0
1000421,1001008025818,21.21,0.55,21.732979999999998,-1.3370799999999998,56570.28596,0
1000421,1001008025818,20.51,0.37,21.73302,-1.33636,56580.272670000006,0
1000421,1001008025995,20.65,0.41,21.73771,-1.32892,53703.092379999995,0
1000421,1001008025995,20.83,0.38,21.73743,-1.32917,54055.235,0
1000421,1001008025995,21.08,0.49,21.7372,-1.32952,54440.08752000001,0
1000421,1001008025995,20.39,0.37,21.73891,-1.32765,54127.10577,0
1000421,1001008025995,21.13,0.51,21.73811,-1.32886,54411.21928,0
1000421,1001008025995,20.89,0.44,21.738889999999998,-1.32946,54404.2458,0
1000421,1001008025995,21.15,0.52,21.73989,-1.32904,54355.36848,0
1000421,1001008025995,20.94,0.44,21.7379,-1.32894,54789.20171,0
1000421,1001008025995,20.94,0.45,21.73763,-1.32943,54715.37752,0
1000421,1001008025995,20.07,0.42,21.73696,-1.32857,55073.337920000005,0
1000421,1001008025995,20.12,0.29,21.73848,-1.3283,55498.28209,0
1000421,1001008025995,19.67,0.23,21.73862,-1.3283200000000002,55834.2862,0
1000421,1001008025995,20.12,0.3,21.73807,-1.3284799999999999,55834.29365,0
1000421,1001008025995,20.62,0.38,21.73815,-1.32702,55882.224089999996,0
1000421,1001008025995,20.55,0.38,21.73807,-1.329,56223.21617000001,0
1000421,1001008026031,18.46,0.13,21.75607,-1.33181,53710.1328,0
1000421,1001008026031,18.46,0.13,21.7559,-1.33184,53710.139279999996,0
1000421,1001008026031,18.26,0.12,21.75614,-1.33178,53710.14575,0
1000421,1001008026031,18.25,0.12,21.75594,-1.3319,53710.152239999996,0
1000421,1001008026031,18.31,0.13,21.75601,-1.33192,53729.133460000005,0
1000421,1001008026031,18.37,0.13,21.75603,-1.3318299999999998,53729.13964,0
1000421,1001008026031,18.25,0.12,21.75599,-1.33192,53729.145820000005,0
1000421,1001008026031,18.5,0.14,21.75604,-1.33197,53729.152010000005,0
1000421,1001008026031,18.38,0.13,21.7559,-1.3319,53675.24332,0
1000421,1001008026031,18.48,0.14,21.75596,-1.3318299999999998,53675.2492,0
1000421,1001008026031,18.49,0.14,21.75581,-1.33189,53675.25505,0
1000421,1001008026031,18.33,0.13,21.75596,-1.33192,53675.260930000004,0
1000421,1001008026031,18.32,0.13,21.75594,-1.3319,53703.092379999995,0
1000421,1001008026031,18.27,0.13,21.75599,-1.3318299999999998,53703.09895,0
1000421,1001008026031,18.11,0.12,21.75621,-1.33191,53703.10545,0
1000421,1001008026031,18.48,0.14,21.75581,-1.33194,53703.1119,0
1000421,1001008026031,18.38,0.14,21.75587,-1.33194,53646.353039999995,0
1000421,1001008026031,18.35,0.14,21.7559,-1.33188,53646.359619999996,0
1000421,1001008026031,18.35,0.14,21.75596,-1.3318299999999998,53646.36621,0
1000421,1001008026031,18.23,0.13,21.75595,-1.3319299999999998,53646.37278,0
1000421,1001008026031,18.01,0.17,21.75599,-1.3318299999999998,53651.30967,0
1000421,1001008026031,18.53,0.15,21.75619,-1.3318299999999998,53651.3228,0
1000421,1001008026031,18.39,0.14,21.75596,-1.33188,53651.329410000006,0
1000421,1001008026031,18.18,0.12,21.755860000000002,-1.33188,53667.26289,0
1000421,1001008026031,18.11,0.12,21.75605,-1.33199,53667.274560000005,0
1000421,1001008026031,18.28,0.13,21.75601,-1.33192,53667.28595,0
1000421,1001008026031,18.39,0.13,21.75597,-1.33187,53667.29747,0
1000421,1001008026031,18.55,0.16,21.75595,-1.33198,53627.28384,0
1000421,1001008026031,18.4,0.15,21.75617,-1.33172,53627.29195,0
1000421,1001008026031,18.65,0.17,21.75602,-1.33216,53627.30002,0
1000421,1001008026031,18.18,0.14,21.75591,-1.33174,53627.30808,0
1000421,1001008026031,18.21,0.13,21.755979999999997,-1.33191,53637.4415,0
1000421,1001008026031,18.38,0.14,21.75595,-1.3320299999999998,53637.44988,0
1000421,1001008026031,18.26,0.13,21.75603,-1.3319,53637.4583,0
