InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000441,1004009033392.0,21.05,0.48,22.59985,-3.8797900000000003,54801.216479999995,0.0
1000441,1004009033392.0,20.08,0.29,22.6,-3.87917,55180.206289999995,0.0
1000441,1004009033392.0,20.13,0.25,22.60003,-3.87911,55119.27862999999,0.0
1000441,1004009033392.0,20.6,0.39,22.60071,-3.8787,55501.227029999995,0.0
1000441,1004009033392.0,20.99,0.48,22.60161,-3.87835,55530.189470000005,0.0
1000441,1004009033392.0,21.0,0.48,22.60006,-3.87934,55824.428420000004,0.0
1000441,1004009033392.0,20.08,0.29,22.60191,-3.87921,55827.35695,0.0
1000441,1004009033392.0,21.12,0.43,22.60284,-3.8790400000000003,55868.231739999996,0.0
1000441,1004009033392.0,21.22,0.55,22.60141,-3.8792400000000002,55882.21616,0.0
1000441,1004009033392.0,20.5,0.31,22.60056,-3.87954,56238.266220000005,0.0
1000441,1004009033392.0,21.06,0.43,22.59894,-3.8787,56273.222270000006,0.0
1000441,1004009033392.0,21.14,0.53,22.6011,-3.87984,56570.28095,0.0
1000441,1004009033417.0,20.27,0.32,22.605439999999998,-3.87859,54355.37281,0.0
1000441,1004009033417.0,20.59,0.37,22.60528,-3.87825,54789.21227,0.0
1000441,1004009033417.0,19.08,0.18,22.60523,-3.8774300000000004,54716.35802000001,0.0
1000441,1004009033417.0,19.53,0.22,22.60482,-3.8776699999999997,55180.206289999995,0.0
1000441,1004009033417.0,19.5,0.22,22.60549,-3.8773800000000005,55501.227029999995,0.0
1000441,1004009033417.0,19.37,0.21,22.60533,-3.87759,55516.17906,0.0
1000441,1004009033417.0,19.51,0.22,22.60536,-3.87806,55476.323070000006,0.0
1000441,1004009033417.0,20.96,0.47,22.604589999999998,-3.8789599999999997,55824.428420000004,0.0
1000441,1004009033417.0,20.55,0.33,22.606679999999997,-3.8781199999999996,56185.4077,0.0
1000441,1004009033417.0,20.68,0.41,22.60449,-3.87735,56215.27259,0.0
1000441,1004009033417.0,18.99,0.15,22.60547,-3.8776800000000002,56238.2423,0.0
1000441,1004009033417.0,19.61,0.2,22.60509,-3.87756,56273.24061,0.0
1000441,1004009033423.0,20.01,0.28,22.58191,-3.8818,53710.13066,0.0
1000441,1004009033423.0,20.25,0.32,22.58144,-3.88119,53710.13712000001,0.0
1000441,1004009033423.0,20.23,0.32,22.58148,-3.8810300000000004,53710.1436,0.0
1000441,1004009033423.0,20.07,0.29,22.58136,-3.88131,53710.150089999996,0.0
1000441,1004009033423.0,19.62,0.23,22.58107,-3.88154,53729.16074,0.0
1000441,1004009033423.0,19.78,0.25,22.58111,-3.88089,53729.168710000005,0.0
1000441,1004009033423.0,19.46,0.21,22.58127,-3.88124,53729.17671,0.0
1000441,1004009033423.0,20.14,0.31,22.58152,-3.8810800000000003,53675.248139999996,0.0
1000441,1004009033423.0,20.32,0.34,22.58148,-3.8814,53675.259860000006,0.0
1000441,1004009033423.0,19.7,0.25,22.58135,-3.8813800000000005,53704.23156,0.0
1000441,1004009033423.0,20.99,0.5,22.58141,-3.88206,53704.24015,0.0
1000441,1004009033423.0,19.55,0.23,22.58138,-3.88107,53704.24872999999,0.0
1000441,1004009033423.0,20.43,0.38,22.58138,-3.8813400000000002,53646.354719999996,0.0
1000441,1004009033423.0,19.46,0.23,22.581020000000002,-3.88155,53646.3613,0.0
1000441,1004009033423.0,19.95,0.3,22.58149,-3.88119,53646.36787,0.0
1000441,1004009033423.0,20.21,0.34,22.58095,-3.8810800000000003,53646.37445,0.0
1000441,1004009033423.0,20.12,0.34,22.58134,-3.8811699999999996,53651.31185,0.0
1000441,1004009033423.0,20.46,0.4,22.58119,-3.8814599999999997,53651.324960000005,0.0
1000441,1004009033423.0,20.15,0.34,22.58129,-3.8812900000000004,53651.33157,0.0
1000441,1004009033423.0,19.24,0.19,22.58147,-3.88096,53667.26183,0.0
1000441,1004009033423.0,19.94,0.28,22.58111,-3.8811199999999997,53667.27351,0.0
1000441,1004009033423.0,19.65,0.24,22.58142,-3.88115,53667.284889999995,0.0
1000441,1004009033423.0,19.72,0.25,22.58106,-3.8811699999999996,53667.29632,0.0
1000441,1004009033423.0,20.34,0.41,22.58222,-3.8810599999999997,53627.30429,0.0
1000441,1004009033423.0,19.37,0.24,22.58173,-3.88145,53627.31236,0.0
1000441,1004009033423.0,20.35,0.33,22.58129,-3.88116,54090.150689999995,0.0
1000441,1004009033423.0,19.59,0.22,22.58116,-3.8814,54090.15845,0.0
1000441,1004009033423.0,19.46,0.2,22.58171,-3.8816800000000002,54090.16621,0.0
1000441,1004009033423.0,19.67,0.23,22.58184,-3.881,54090.17397999999,0.0
1000441,1004009033423.0,19.48,0.19,22.58129,-3.88121,54055.23677,0.0
1000441,1004009033423.0,21.25,0.49,22.58139,-3.88121,54055.2487,0.0
1000441,1004009033423.0,20.06,0.25,22.581529999999997,-3.8813699999999995,54055.26067,0.0
1000441,1004009033423.0,19.38,0.18,22.581529999999997,-3.88124,54055.27262,0.0
1000441,1004009033423.0,19.46,0.2,22.58152,-3.88098,54024.26382000001,0.0
1000441,1004009033423.0,20.28,0.31,22.581329999999998,-3.8810800000000003,54024.27161,0.0
1000441,1004009033423.0,19.91,0.26,22.58138,-3.88125,54024.2794,0.0
1000441,1004009033423.0,19.72,0.23,22.58161,-3.8812599999999997,54024.2872,0.0
1000441,1004009033423.0,19.54,0.21,22.58148,-3.88121,54030.30835,0.0
1000441,1004009033423.0,19.91,0.26,22.581210000000002,-3.8812,54030.31479,0.0
1000441,1004009033423.0,19.5,0.21,22.581529999999997,-3.88098,54030.32127000001,0.0
1000441,1004009033423.0,20.2,0.3,22.5813,-3.88116,54030.32775,0.0
1000441,1004009033423.0,19.94,0.26,22.58149,-3.8808199999999995,53996.309760000004,0.0
1000441,1004009033423.0,19.71,0.23,22.58156,-3.88116,53996.316210000005,0.0
1000441,1004009033423.0,19.76,0.24,22.581329999999998,-3.8811400000000003,53996.322660000005,0.0
1000441,1004009033423.0,19.64,0.22,22.581870000000002,-3.88109,53996.32915,0.0
1000441,1004009033423.0,19.81,0.24,22.58135,-3.8811400000000003,54004.351070000004,0.0
1000441,1004009033423.0,19.95,0.26,22.581129999999998,-3.88135,54004.359410000005,0.0
1000441,1004009033423.0,19.87,0.25,22.58125,-3.88133,54004.36775,0.0
1000441,1004009033423.0,20.1,0.28,22.58118,-3.8813699999999995,54004.376110000005,0.0
1000441,1004009033423.0,19.93,0.26,22.58149,-3.88122,54440.15082,0.0
1000441,1004009033423.0,19.82,0.25,22.58169,-3.8814800000000003,54440.158370000005,0.0
1000441,1004009033423.0,19.31,0.19,22.581229999999998,-3.8809199999999997,54440.16589,0.0
1000441,1004009033423.0,20.03,0.27,22.58149,-3.88131,54440.1734,0.0
1000441,1004009033423.0,20.28,0.32,22.58161,-3.8812800000000003,54406.23696,0.0
1000441,1004009033423.0,20.19,0.3,22.58127,-3.88084,54406.24349,0.0
1000441,1004009033423.0,20.15,0.29,22.58164,-3.88096,54406.25,0.0
1000441,1004009033423.0,19.34,0.19,22.5814,-3.88055,54406.2565,0.0
