InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000481,1018009001920.0,19.76,0.25,24.19674,-19.64815,53705.202379999995,0.0
1000481,1018009001920.0,19.9,0.27,24.19697,-19.64829,53705.21041,0.0
1000481,1018009001920.0,19.27,0.2,24.197020000000002,-19.64836,53705.21849,0.0
1000481,1018009001920.0,19.34,0.2,24.19707,-19.648220000000002,53705.22656,0.0
1000481,1018009001920.0,20.03,0.28,24.1969,-19.64856,53711.179710000004,0.0
1000481,1018009001920.0,19.44,0.21,24.19697,-19.64878,53711.18774,0.0
1000481,1018009001920.0,19.0,0.17,24.19652,-19.648229999999998,53711.19579,0.0
1000481,1018009001920.0,19.59,0.23,24.1971,-19.64862,53711.20383,0.0
1000481,1018009001920.0,19.58,0.23,24.19678,-19.64828,53680.22196,0.0
1000481,1018009001920.0,19.57,0.23,24.197029999999998,-19.64827,53680.22844,0.0
1000481,1018009001920.0,19.71,0.24,24.19698,-19.64858,53680.23488,0.0
1000481,1018009001920.0,20.24,0.32,24.19685,-19.648120000000002,53680.24134,0.0
1000481,1018009001920.0,19.41,0.21,24.19683,-19.64829,53673.263360000004,0.0
1000481,1018009001920.0,19.76,0.25,24.19707,-19.6483,53673.26987,0.0
1000481,1018009001920.0,19.63,0.24,24.19687,-19.64779,53673.27652,0.0
1000481,1018009001920.0,19.45,0.21,24.19679,-19.6482,53673.28308,0.0
1000481,1018009001920.0,18.9,0.17,24.19714,-19.648039999999998,53628.38327,0.0
1000481,1018009001920.0,19.98,0.29,24.19715,-19.64865,53628.39137,0.0
1000481,1018009001920.0,19.28,0.19,24.19685,-19.64842,54093.15694,0.0
1000481,1018009001920.0,20.39,0.33,24.19649,-19.648229999999998,54093.16335,0.0
1000481,1018009001920.0,19.33,0.19,24.19681,-19.64854,54093.16978,0.0
1000481,1018009001920.0,19.68,0.22,24.1969,-19.648220000000002,54040.21142000001,0.0
1000481,1018009001920.0,19.71,0.23,24.19712,-19.64859,54040.21713,0.0
1000481,1018009001920.0,19.28,0.18,24.19683,-19.64834,54057.2391,0.0
1000481,1018009001920.0,19.29,0.19,24.1964,-19.64811,54057.2465,0.0
1000481,1018009001920.0,18.94,0.16,24.197210000000002,-19.64829,54057.2539,0.0
1000481,1018009001920.0,19.44,0.2,24.197010000000002,-19.64847,54064.2252,0.0
1000481,1018009001920.0,19.41,0.2,24.197039999999998,-19.648320000000002,54064.23242000001,0.0
1000481,1018009001920.0,19.9,0.25,24.19686,-19.64847,54064.239610000004,0.0
1000481,1018009001920.0,19.71,0.23,24.196820000000002,-19.64846,54064.2468,0.0
1000481,1018009001920.0,19.61,0.22,24.19686,-19.64811,54039.24332,0.0
1000481,1018009001920.0,19.07,0.17,24.197020000000002,-19.64836,54039.259170000005,0.0
1000481,1018009001920.0,19.57,0.21,24.19712,-19.64815,54000.372220000005,0.0
1000481,1018009001920.0,19.32,0.19,24.196939999999998,-19.64819,54000.37806,0.0
1000481,1018009001920.0,19.45,0.2,24.19676,-19.64828,54000.3839,0.0
1000481,1018009001920.0,19.27,0.18,24.19693,-19.64796,54000.389760000005,0.0
1000481,1018009001920.0,19.81,0.24,24.19696,-19.64861,54005.33971,0.0
1000481,1018009001920.0,19.36,0.19,24.197020000000002,-19.64825,54005.348379999996,0.0
1000481,1018009001920.0,19.54,0.21,24.19705,-19.648329999999998,54005.357039999995,0.0
1000481,1018009001920.0,19.55,0.21,24.19696,-19.64816,54005.3657,0.0
1000481,1018009001920.0,19.58,0.22,24.19674,-19.64844,54409.236039999996,0.0
