InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000701,1115013004298.0,18.73,0.18,34.93603,14.31771,53649.32138,0.0
1000701,1115013004298.0,18.76,0.18,34.935990000000004,14.3175,53649.32713,0.0
1000701,1115013004298.0,18.55,0.16,34.93607,14.31759,53649.332669999996,0.0
1000701,1115013004298.0,18.54,0.16,34.936170000000004,14.317720000000001,53649.33831,0.0
1000701,1115013004298.0,18.59,0.15,34.93619,14.317620000000002,53673.24682,0.0
1000701,1115013004298.0,18.66,0.16,34.93591,14.31751,53673.2514,0.0
1000701,1115013004298.0,18.65,0.16,34.935990000000004,14.3176,53673.25599,0.0
1000701,1115013004298.0,18.52,0.15,34.93603,14.31763,53673.26056,0.0
1000701,1115013004298.0,18.36,0.18,34.93627,14.31751,53619.41321,0.0
1000701,1115013004298.0,18.53,0.19,34.936170000000004,14.317689999999999,53619.419669999996,0.0
1000701,1115013004298.0,17.89,0.14,34.935959999999994,14.317820000000001,53619.42612,0.0
1000701,1115013004298.0,18.56,0.19,34.93609,14.31761,53619.43259,0.0
1000701,1115013004298.0,18.62,0.15,34.93619,14.317739999999999,53975.4383,0.0
1000701,1115013004298.0,18.71,0.15,34.93603,14.317620000000002,53975.44477,0.0
1000701,1115013004298.0,18.54,0.14,34.93594,14.317670000000001,53975.45121,0.0
1000701,1115013004298.0,18.49,0.14,34.93623,14.31759,53975.45767,0.0
1000701,1115013004298.0,18.72,0.18,34.935959999999994,14.31765,54079.28627999999,0.0
1000701,1115013004298.0,18.75,0.16,34.936240000000005,14.317720000000001,54081.239989999995,0.0
1000701,1115013004298.0,18.63,0.15,34.93612,14.317279999999998,54081.24656,0.0
1000701,1115013004298.0,18.63,0.15,34.93602,14.31755,54081.25328,0.0
1000701,1115013004298.0,18.87,0.17,34.935829999999996,14.31761,54081.259920000004,0.0
1000701,1115013004298.0,18.48,0.14,34.93607,14.317260000000001,54094.182270000005,0.0
1000701,1115013004298.0,18.43,0.14,34.9359,14.3177,54094.192729999995,0.0
1000701,1115013004298.0,18.64,0.15,34.93588,14.317639999999999,54094.20318,0.0
1000701,1115013004298.0,18.62,0.15,34.93594,14.31749,54094.21362,0.0
1000701,1115013004298.0,18.66,0.16,34.93594,14.317520000000002,53786.102470000005,0.0
1000701,1115013004298.0,18.5,0.15,34.93592,14.31737,53786.10731,0.0
1000701,1115013004298.0,18.68,0.16,34.935990000000004,14.317429999999998,53786.11217000001,0.0
1000701,1115013004298.0,18.55,0.15,34.935970000000005,14.317279999999998,53786.11701,0.0
1000701,1115013004298.0,18.73,0.16,34.936240000000005,14.31753,53755.0842,0.0
1000701,1115013004298.0,19.03,0.19,34.93605,14.317620000000002,53755.08899,0.0
1000701,1115013004298.0,18.6,0.15,34.936,14.31759,53755.0938,0.0
1000701,1115013004298.0,18.35,0.14,34.93603,14.31761,53755.09864,0.0
1000701,1115013004298.0,18.68,0.15,34.93616,14.31746,54050.28505,0.0
1000701,1115013004298.0,18.41,0.14,34.93634,14.317620000000002,54050.29611,0.0
1000701,1115013004298.0,18.55,0.14,34.93611,14.31756,54050.307179999996,0.0
1000701,1115013004298.0,18.53,0.14,34.93607,14.31754,54050.31824,0.0
1000701,1115013004298.0,18.47,0.14,34.93619,14.317620000000002,54056.24917,0.0
1000701,1115013004298.0,18.67,0.15,34.93603,14.31756,54056.25617000001,0.0
1000701,1115013004298.0,18.66,0.15,34.936240000000005,14.31761,54056.26323,0.0
1000701,1115013004298.0,18.29,0.13,34.935970000000005,14.317860000000001,54056.27028,0.0
1000701,1115013004298.0,18.73,0.16,34.93609,14.317420000000002,54066.21875,0.0
1000701,1115013004298.0,18.48,0.14,34.93611,14.31765,54066.228839999996,0.0
1000701,1115013004298.0,18.47,0.14,34.93615,14.317620000000002,54066.23896,0.0
1000701,1115013004298.0,18.42,0.14,34.93609,14.317620000000002,54066.2491,0.0
1000701,1115013004298.0,18.34,0.13,34.9361,14.31751,54012.39777,0.0
1000701,1115013004298.0,18.78,0.16,34.935959999999994,14.317570000000002,54012.40325,0.0
1000701,1115013004298.0,18.52,0.14,34.93616,14.317520000000002,54012.408760000006,0.0
1000701,1115013004298.0,18.32,0.13,34.93592,14.31749,54012.414260000005,0.0
1000701,1115013004298.0,18.1,0.12,34.93622,14.31763,53993.439920000004,0.0
1000701,1115013004298.0,18.58,0.15,34.93606,14.31753,53993.44654,0.0
1000701,1115013004298.0,18.6,0.15,34.93603,14.31756,53993.453160000005,0.0
1000701,1115013004298.0,18.54,0.14,34.935990000000004,14.317520000000002,53993.45979,0.0
1000701,1115013004298.0,18.85,0.16,34.93598,14.317570000000002,54437.26266,0.0
1000701,1115013004298.0,18.63,0.15,34.93586,14.31756,54437.27121,0.0
1000701,1115013004298.0,18.53,0.14,34.936,14.317839999999999,54437.279760000005,0.0
1000701,1115013004298.0,18.6,0.15,34.9359,14.31771,54437.288329999996,0.0
1000701,1115013004298.0,18.78,0.16,34.93609,14.3176,54448.190279999995,0.0
1000701,1115013004298.0,18.55,0.15,34.93605,14.31755,54448.195739999996,0.0
1000701,1115013004298.0,18.59,0.15,34.93608,14.31754,54448.20115,0.0
1000701,1115013004298.0,18.79,0.16,34.93595,14.3176,54448.2066,0.0
