InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000721,1101013038626,19.65,0.23,36.00189,1.87247,53710.1982,0
1000721,1101013038626,20.42,0.36,36.001090000000005,1.87336,53696.2988,0
1000721,1101013038626,20.93,0.51,36.001129999999996,1.8732799999999998,53671.30533,0
1000721,1101013038626,21.06,0.49,36.00054,1.87317,54421.27132000001,0
1000721,1101013038626,21.09,0.48,36.00119,1.8742,54801.22365,0
1000721,1101013038626,21.03,0.48,36.001,1.87435,54498.154220000004,0
1000721,1101013038626,20.98,0.48,36.0008,1.8739299999999999,55143.317970000004,0
1000721,1101013038626,21.31,0.58,36.0024,1.87343,55539.225679999996,0
1000721,1101013038626,19.96,0.27,36.00137,1.87345,55208.10332,0
1000721,1101013038626,20.76,0.44,36.00131,1.8738599999999999,55472.41006,0
1000721,1101013038626,20.32,0.33,36.00047,1.87346,55498.31454,0
1000721,1101013038626,21.1,0.57,36.001290000000004,1.8734,53648.3727,0
1000721,1101013038626,20.26,0.33,36.00065,1.8730099999999998,55861.24638,0
1000721,1101013038626,20.29,0.32,36.00032,1.87285,55851.24005,0
1000721,1101013038626,20.71,0.41,36.00115,1.8733799999999998,55893.21197999999,0
1000721,1101013038626,21.16,0.53,36.00188,1.87297,55922.18754,0
1000721,1101013038626,21.03,0.51,36.0009,1.8735400000000002,56191.37188,0
1000721,1101013038626,21.25,0.58,36.00144,1.8729900000000002,56191.38699,0
1000721,1101013038626,21.05,0.51,36.00092,1.8732900000000001,56213.35008,0
1000721,1101013038626,20.56,0.38,35.99971,1.8742599999999998,56233.230579999996,0
1000721,1101013038626,19.69,0.26,36.00107,1.87322,56540.40418,0
1000721,1101013038626,20.09,0.33,36.000890000000005,1.8733799999999998,56541.43306,0
1000721,1101013038626,20.56,0.37,36.001329999999996,1.8735400000000002,56571.3413,0
1000721,1101013038627,21.11,0.49,36.0165,1.87179,54058.232220000005,0
1000721,1101013038627,21.12,0.49,36.01542,1.87337,54801.23951,0
1000721,1101013038627,20.62,0.4,36.01684,1.8726099999999999,55061.40109,0
1000721,1101013038627,21.05,0.49,36.01663,1.8725900000000002,55180.1296,0
1000721,1101013038627,20.17,0.3,36.01769,1.87373,54881.12199,0
1000721,1101013038627,20.15,0.39,36.01495,1.8733,55589.113110000006,0
1000721,1101013038627,20.42,0.38,36.01849,1.8721,53648.354210000005,0
1000721,1101013038627,21.06,0.49,36.01842,1.87158,55881.23936,0
1000721,1101013038627,20.4,0.34,36.01641,1.87258,55851.247970000004,0
1000721,1101013038627,20.45,0.35,36.01783,1.87156,55893.21197999999,0
1000721,1101013038627,21.26,0.59,36.0179,1.8711900000000001,56191.37188,0
1000721,1101013038627,20.19,0.32,36.01619,1.87325,56191.38699,0
1000721,1101013038627,20.62,0.4,36.01784,1.8727099999999999,56213.36361,0
1000721,1101013038627,20.41,0.37,36.01442,1.87293,56552.34741,0
1000721,1101013038688,21.24,0.54,36.02132,1.87989,54392.31367999999,0
1000721,1101013038750,19.66,0.23,36.00132,1.87828,53710.1982,0
1000721,1101013038750,19.87,0.26,35.99986,1.8794099999999998,53733.173610000005,0
1000721,1101013038750,19.76,0.25,35.99975,1.87983,53733.18049,0
1000721,1101013038750,20.52,0.37,35.99985,1.87906,53733.1878,0
1000721,1101013038750,20.72,0.43,35.99982,1.87895,53677.25796,0
1000721,1101013038750,19.87,0.27,36.00005,1.87887,53677.26394,0
1000721,1101013038750,20.4,0.36,36.000040000000006,1.87907,53677.26988,0
1000721,1101013038750,19.85,0.26,35.99973,1.8791099999999998,53677.275819999995,0
1000721,1101013038750,20.91,0.47,35.999959999999994,1.8791799999999999,53696.3041,0
1000721,1101013038750,19.34,0.2,35.99974,1.87887,53703.183970000006,0
1000721,1101013038750,21.07,0.52,36.000409999999995,1.8788599999999998,53703.196879999996,0
1000721,1101013038750,20.15,0.33,36.00026,1.8791799999999999,53648.34083,0
1000721,1101013038750,20.1,0.33,35.999829999999996,1.87903,53671.293860000005,0
1000721,1101013038750,19.95,0.28,35.99994,1.8791799999999999,53671.3015,0
1000721,1101013038750,20.54,0.4,35.99984,1.8790799999999999,53627.382730000005,0
1000721,1101013038750,19.99,0.29,35.99992,1.87915,53627.39196,0
1000721,1101013038750,19.94,0.29,36.0001,1.8794799999999998,53627.4012,0
1000721,1101013038750,20.23,0.33,35.99978,1.8788,53627.41027,0
1000721,1101013038750,20.04,0.28,36.000040000000006,1.8792900000000001,54080.256310000004,0
1000721,1101013038750,20.72,0.39,35.99961,1.87837,54090.19202,0
1000721,1101013038750,19.78,0.24,36.00022,1.879,54090.19902000001,0
1000721,1101013038750,19.73,0.23,36.00038,1.8792200000000001,54090.206029999994,0
1000721,1101013038750,19.26,0.2,35.999159999999996,1.87925,53773.12695,0
1000721,1101013038750,19.52,0.22,35.99971,1.8796099999999998,53763.096289999994,0
1000721,1101013038750,19.73,0.23,35.99985,1.87953,54052.2244,0
1000721,1101013038750,20.28,0.31,35.99994,1.8789,54052.23089,0
1000721,1101013038750,20.62,0.37,36.00014,1.87913,54052.23735,0
1000721,1101013038750,20.16,0.29,36.0003,1.8791900000000001,54058.22561,0
1000721,1101013038750,19.87,0.25,35.99982,1.87925,54024.30095,0
1000721,1101013038750,20.43,0.33,35.99985,1.87894,54024.306339999996,0
1000721,1101013038750,20.42,0.33,35.99981,1.8790200000000001,54024.31171,0
1000721,1101013038750,20.77,0.4,35.999629999999996,1.87942,54024.31707999999,0
1000721,1101013038750,20.3,0.31,36.000040000000006,1.879,54030.34902,0
1000721,1101013038750,19.53,0.21,35.99994,1.87923,54030.35494,0
1000721,1101013038750,20.05,0.27,36.00006,1.8794,54030.36087999999,0
1000721,1101013038750,20.46,0.34,36.00035,1.8787900000000002,53996.344710000005,0
1000721,1101013038750,19.98,0.26,36.00053,1.8790900000000001,53996.352779999994,0
1000721,1101013038750,19.9,0.25,36.00019,1.87907,53996.36084,0
1000721,1101013038750,19.68,0.23,35.99985,1.87935,54004.42468,0
1000721,1101013038750,19.64,0.22,35.999759999999995,1.8785900000000002,54004.43752000001,0
1000721,1101013038750,19.28,0.19,35.99981,1.87916,54004.443929999994,0
1000721,1101013038750,19.49,0.21,36.00023,1.87945,54440.111260000005,0
1000721,1101013038750,20.69,0.39,35.99998,1.87906,54440.11767000001,0
1000721,1101013038750,20.19,0.3,36.00055,1.8787200000000002,54440.130679999995,0
1000721,1101013038750,20.21,0.31,36.00015,1.8791799999999999,54411.24612999999,0
1000721,1101013038750,20.23,0.31,35.99995,1.8788099999999999,54411.25573,0
1000721,1101013038750,20.23,0.31,35.9999,1.87936,54411.26538,0
1000721,1101013038750,19.89,0.26,36.00038,1.8789,54411.275,0
1000721,1101013038750,20.3,0.32,36.00009,1.8794400000000002,54421.27132000001,0
1000721,1101013038750,20.04,0.28,35.999590000000005,1.87903,54421.289679999994,0
1000721,1101013038750,20.42,0.35,36.00012,1.87926,54383.30846,0
1000721,1101013038750,20.0,0.28,36.00042,1.87952,54383.31497000001,0
1000721,1101013038750,20.28,0.31,36.000029999999995,1.87905,54392.30447999999,0
1000721,1101013038750,20.23,0.3,36.0001,1.87937,54392.32291,0
1000721,1101013038750,20.5,0.36,36.00011,1.8792,54404.26524,0
1000721,1101013038750,20.21,0.3,35.99982,1.8793400000000002,54404.273760000004,0
1000721,1101013038750,20.39,0.34,36.00025,1.8788099999999999,54354.364010000005,0
1000721,1101013038750,19.39,0.2,36.00016,1.87873,54801.23951,0
