InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000741,1109014038657,20.42,0.41,37.09106,10.40467,53650.30995,0
1000741,1109014038657,19.97,0.28,37.09195,10.404010000000001,54052.236789999995,0
1000741,1109014038657,21.06,0.51,37.09131,10.4046,54024.31385,0
1000741,1109014038657,20.32,0.34,37.091390000000004,10.4046,54008.3564,0
1000741,1109014038657,20.7,0.43,37.0912,10.40468,54411.31586,0
1000741,1109014038657,20.66,0.42,37.09081,10.405619999999999,54403.3215,0
1000741,1109014038657,20.99,0.52,37.09135,10.404530000000001,54353.40172,0
1000741,1109014038657,21.02,0.5,37.09066,10.40357,54475.1618,0
1000741,1109014038657,20.03,0.35,37.09086,10.404630000000001,55141.37815,0
1000741,1109014038657,20.31,0.35,37.09124,10.40475,55125.277689999995,0
1000741,1109014038657,20.45,0.39,37.08978,10.403310000000001,55517.14189,0
1000741,1109014038657,21.16,0.57,37.09171,10.40465,55480.358960000005,0
1000741,1109014038657,21.3,0.48,37.0908,10.40402,55566.137670000004,0
1000741,1109014038657,20.16,0.27,37.09199,10.40427,55566.14521,0
1000741,1109014038657,20.8,0.61,37.09185,10.40498,55572.094229999995,0
1000741,1109014038657,19.98,0.3,37.091190000000005,10.40441,55588.14652,0
1000741,1109014038657,19.29,0.16,37.09073,10.40209,55864.31502,0
1000741,1109014038657,19.89,0.28,37.09174,10.40525,55851.22584,0
1000741,1109014038657,19.67,0.25,37.091879999999996,10.40473,55851.241729999994,0
1000741,1109014038657,19.79,0.27,37.0928,10.40511,55968.128939999995,0
1000741,1109014038657,19.92,0.29,37.09083,10.40395,56188.356510000005,0
1000741,1109014038657,19.95,0.24,37.092,10.4037,56243.3534,0
1000741,1109014038657,19.9,0.24,37.09137,10.404580000000001,56273.24672999999,0
1000741,1109014038657,21.19,0.49,37.09137,10.4043,56273.25376,0
1000741,1109014038657,20.55,0.34,37.0931,10.40541,56273.25376,1
1000741,1109014038657,19.8,0.23,37.090990000000005,10.40477,56273.26081,0
1000741,1109014038657,20.37,0.38,37.09276,10.40427,56325.12071,0
1000741,1109014038657,20.92,0.49,37.09165,10.40452,55946.13077,0
1000741,1109014038657,20.44,0.4,37.09134,10.40329,56549.36285,0
1000741,1109014039090,19.79,0.27,37.08487,10.42257,53725.176960000004,0
1000741,1109014039090,19.66,0.25,37.08477,10.42275,53725.18335,0
1000741,1109014039090,19.97,0.29,37.08481,10.42262,53725.189770000005,0
1000741,1109014039090,19.66,0.25,37.08478,10.422889999999999,53725.19617999999,0
1000741,1109014039090,19.43,0.22,37.08442,10.42247,53684.28969,0
1000741,1109014039090,20.71,0.45,37.08463,10.42275,53684.29613,0
1000741,1109014039090,19.8,0.27,37.084720000000004,10.42267,53684.309,0
1000741,1109014039090,19.84,0.28,37.08442,10.42282,53699.19387,0
1000741,1109014039090,19.8,0.27,37.084790000000005,10.42278,53699.20137,0
1000741,1109014039090,20.07,0.32,37.08484,10.42291,53699.20884,0
1000741,1109014039090,19.83,0.28,37.08468,10.422989999999999,53699.21635,0
1000741,1109014039090,19.36,0.22,37.08469,10.42275,53644.37495,0
1000741,1109014039090,19.5,0.24,37.08485,10.422830000000001,53644.38438,0
1000741,1109014039090,19.49,0.24,37.08463,10.422830000000001,53644.39377,0
1000741,1109014039090,19.46,0.24,37.084340000000005,10.42278,53644.40318,0
1000741,1109014039090,20.32,0.39,37.08502,10.4227,53650.30995,0
1000741,1109014039090,20.04,0.33,37.08446,10.42268,53650.318210000005,0
1000741,1109014039090,20.11,0.35,37.08481,10.42273,53650.32649,0
1000741,1109014039090,19.26,0.22,37.08463,10.42268,53650.33485,0
1000741,1109014039090,20.0,0.29,37.08446,10.42287,54081.263920000005,0
1000741,1109014039090,20.15,0.31,37.08469,10.42263,54081.270829999994,0
1000741,1109014039090,19.74,0.25,37.08422,10.422369999999999,54081.27771,0
1000741,1109014039090,19.61,0.24,37.08461,10.42249,54081.28457999999,0
1000741,1109014039090,19.18,0.22,37.08443,10.42227,53769.118370000004,0
1000741,1109014039090,19.56,0.26,37.08514,10.42303,53769.12476,0
1000741,1109014039090,19.24,0.22,37.084109999999995,10.42329,53769.131120000005,0
1000741,1109014039090,19.77,0.27,37.08468,10.422830000000001,53758.14679,0
1000741,1109014039090,19.6,0.25,37.08477,10.42269,53758.1528,0
1000741,1109014039090,20.19,0.34,37.08464,10.42261,53758.158789999994,0
1000741,1109014039090,19.93,0.29,37.08482,10.423,53758.1648,0
1000741,1109014039090,19.67,0.26,37.08473,10.422839999999999,54051.28139,0
1000741,1109014039090,19.47,0.24,37.08468,10.42285,54051.29011,0
1000741,1109014039090,19.62,0.23,37.08449,10.42258,54052.22384,0
1000741,1109014039090,19.94,0.27,37.08473,10.42268,54052.23032,0
1000741,1109014039090,19.46,0.21,37.0847,10.42298,54052.236789999995,0
1000741,1109014039090,19.31,0.2,37.08488,10.42275,54052.243239999996,0
1000741,1109014039090,19.46,0.21,37.08469,10.42269,54024.3031,0
1000741,1109014039090,19.91,0.27,37.084540000000004,10.42285,54024.30847999999,0
1000741,1109014039090,19.39,0.21,37.08491,10.42223,54024.31385,0
1000741,1109014039090,19.74,0.25,37.08508,10.42275,54024.31921,0
1000741,1109014039090,18.91,0.17,37.08471,10.42243,53992.432310000004,0
1000741,1109014039090,19.62,0.23,37.08487,10.4227,53992.43881,0
