InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000781,1129013014909.0,20.05,0.32,39.46804,28.83432,53707.19816,0.0
1000781,1129013014909.0,19.92,0.29,39.46754,28.83417,53707.207989999995,0.0
1000781,1129013014909.0,20.26,0.39,39.4676,28.83345,53713.143189999995,0.0
1000781,1129013014909.0,19.61,0.21,39.46767,28.833840000000002,53653.369739999995,0.0
1000781,1129013014909.0,20.09,0.33,39.46713,28.83473,53638.36701,0.0
1000781,1129013014909.0,21.02,0.57,39.46841,28.834390000000003,53642.34092,0.0
1000781,1129013014909.0,20.23,0.36,39.46795,28.83428,53642.349089999996,0.0
1000781,1129013014909.0,20.27,0.37,39.46829,28.83434,53642.36545,0.0
1000781,1129013014909.0,20.18,0.32,39.46774,28.834459999999996,54083.267660000005,0.0
1000781,1129013014909.0,20.17,0.32,39.46779,28.8346,54083.27425,0.0
1000781,1129013014909.0,20.45,0.39,39.46744,28.833640000000003,53768.19007999999,0.0
1000781,1129013014909.0,20.03,0.3,39.46784,28.83437,53740.14512000001,0.0
1000781,1129013014909.0,19.87,0.28,39.46805,28.83415,53740.15158,0.0
1000781,1129013014909.0,20.79,0.47,39.46692,28.834690000000002,53756.16347000001,0.0
1000781,1129013014909.0,20.97,0.51,39.46821,28.834459999999996,53762.09275,0.0
1000781,1129013014909.0,19.92,0.29,39.46745,28.83425,53762.099120000006,0.0
1000781,1129013014909.0,20.42,0.35,39.4677,28.834220000000002,54054.26399,0.0
1000781,1129013014909.0,20.0,0.28,39.46753,28.834459999999996,54060.169389999995,0.0
1000781,1129013014909.0,20.23,0.32,39.46783,28.83404,54060.17593,0.0
1000781,1129013014909.0,20.62,0.4,39.46819,28.83425,54060.18249,0.0
1000781,1129013014909.0,20.35,0.34,39.46778,28.834059999999997,54027.30353,0.0
1000781,1129013014909.0,20.29,0.33,39.46826,28.834429999999998,54027.313720000006,0.0
1000781,1129013014909.0,20.24,0.32,39.468309999999995,28.833959999999998,54035.31401,0.0
1000781,1129013014909.0,19.76,0.25,39.46772,28.834390000000003,54035.33335,0.0
1000781,1129013014909.0,20.33,0.34,39.46782,28.83476,53997.29922000001,0.0
1000781,1129013014909.0,20.05,0.29,39.467859999999995,28.833890000000004,54006.39642999999,0.0
1000781,1129013014909.0,20.22,0.32,39.46787,28.83425,54006.409360000005,0.0
1000781,1129013014909.0,20.12,0.31,39.46758,28.834429999999998,54450.254479999996,0.0
1000781,1129013014909.0,20.32,0.34,39.46776,28.83432,54450.26111,0.0
1000781,1129013014909.0,20.14,0.31,39.46752,28.83435,54450.274410000005,0.0
1000781,1129013014909.0,20.6,0.4,39.46754,28.834090000000003,54117.20823,0.0
1000781,1129013014909.0,19.54,0.23,39.46754,28.83424,54406.43897999999,0.0
1000781,1129013014909.0,20.69,0.43,39.467690000000005,28.834509999999998,54406.445629999995,0.0
1000781,1129013014909.0,21.06,0.52,39.46768,28.834690000000002,54413.3241,0.0
1000781,1129013014909.0,19.86,0.27,39.46784,28.83441,54382.33719,0.0
1000781,1129013014909.0,21.07,0.52,39.4671,28.83424,54389.39977,0.0
1000781,1129013014909.0,20.4,0.35,39.46754,28.834429999999998,54389.415179999996,0.0
1000781,1129013014909.0,19.87,0.27,39.46797,28.834359999999997,54394.3999,0.0
1000781,1129013014909.0,20.3,0.34,39.46801,28.8342,54394.410489999995,0.0
1000781,1129013014909.0,20.31,0.34,39.46741,28.834020000000002,54394.421120000006,0.0
1000781,1129013014909.0,20.37,0.35,39.46775,28.83414,54356.41342999999,0.0
1000781,1129013014909.0,20.19,0.32,39.46753,28.834190000000003,54356.41949,0.0
1000781,1129013014909.0,20.54,0.39,39.46768,28.834359999999997,54356.42551,0.0
1000781,1129013014909.0,20.14,0.31,39.46784,28.834329999999998,54356.431520000006,0.0
1000781,1129013014909.0,20.38,0.35,39.46796,28.83403,54363.37786,0.0
1000781,1129013014909.0,19.78,0.25,39.467859999999995,28.8342,54831.24066,0.0
1000781,1129013014909.0,19.99,0.28,39.46798,28.83448,54831.249639999995,0.0
1000781,1129013014909.0,20.45,0.37,39.46764,28.83411,54831.25874,0.0
1000781,1129013014909.0,20.36,0.35,39.4674,28.834020000000002,54476.1621,0.0
1000781,1129013014909.0,20.0,0.29,39.46778,28.834540000000004,54476.18155,0.0
1000781,1129013014909.0,19.78,0.23,39.46797,28.83425,54535.129629999996,0.0
1000781,1129013014909.0,19.66,0.24,39.4678,28.834159999999997,54777.27371,0.0
1000781,1129013014909.0,19.68,0.24,39.46757,28.8343,54777.29217000001,0.0
1000781,1129013014909.0,20.44,0.36,39.46785,28.83438,54800.2657,0.0
1000781,1129013014909.0,19.97,0.28,39.46772,28.8345,54800.29797000001,0.0
1000781,1129013014909.0,20.34,0.34,39.467929999999996,28.83434,54749.27982999999,0.0
1000781,1129013014909.0,20.32,0.33,39.46745,28.833779999999997,54764.36297,0.0
1000781,1129013014909.0,20.94,0.48,39.4678,28.834220000000002,54770.31612999999,0.0
1000781,1129013014909.0,20.61,0.4,39.46783,28.83425,54770.32216,0.0
1000781,1129013014909.0,20.26,0.33,39.46757,28.834559999999996,54770.328270000005,0.0
1000781,1129013014909.0,20.26,0.32,39.4682,28.83425,54732.41395,0.0
1000781,1129013014909.0,20.11,0.3,39.46761,28.834690000000002,54732.42119,0.0
1000781,1129013014909.0,20.44,0.36,39.46788,28.8341,54732.42841,0.0
1000781,1129013014909.0,21.11,0.53,39.46782,28.83442,54739.40537000001,0.0
1000781,1129013014909.0,20.68,0.42,39.468309999999995,28.83414,54739.41209,0.0
1000781,1129013014909.0,20.19,0.28,39.46731,28.83405,55143.20069,0.0
1000781,1129013014909.0,20.81,0.39,39.46787,28.8346,55143.2165,0.0
1000781,1129013014909.0,20.13,0.32,39.46785,28.834329999999998,55154.262310000006,0.0
1000781,1129013014909.0,19.69,0.25,39.46785,28.834590000000002,55154.27922999999,0.0
1000781,1129013014909.0,20.07,0.31,39.46788,28.83424,55154.287520000005,0.0
1000781,1129013014909.0,20.57,0.4,39.4676,28.834190000000003,55120.40874,0.0
1000781,1129013014909.0,20.19,0.33,39.46745,28.83444,55120.415389999995,0.0
1000781,1129013014909.0,20.16,0.32,39.46788,28.834609999999998,55120.42212,0.0
1000781,1129013014909.0,21.0,0.52,39.46825,28.834359999999997,55120.42879,0.0
1000781,1129013014909.0,20.4,0.38,39.46777,28.83437,55133.22452,0.0
1000781,1129013014909.0,20.54,0.4,39.46744,28.83414,55092.387,0.0
1000781,1129013014909.0,20.31,0.35,39.467290000000006,28.83403,55092.39546,0.0
1000781,1129013014909.0,20.1,0.31,39.46757,28.83403,55092.40392999999,0.0
1000781,1129013014909.0,21.21,0.59,39.46781,28.8342,55092.4123,0.0
1000781,1129013014909.0,20.87,0.49,39.46805,28.83435,55102.32442999999,0.0
1000781,1129013014909.0,20.27,0.35,39.46755,28.8344,55102.339060000006,0.0
1000781,1129013014909.0,20.34,0.28,39.4681,28.83444,55535.24916,0.0
1000781,1129013014909.0,20.12,0.25,39.46792,28.83413,55535.262570000006,0.0
1000781,1129013014909.0,20.49,0.31,39.46783,28.8342,55535.269270000004,0.0
1000781,1129013014909.0,20.33,0.36,39.467690000000005,28.83427,55543.178329999995,0.0
1000781,1129013014909.0,20.33,0.35,39.46776,28.834220000000002,55242.1243,0.0
1000781,1129013014909.0,20.4,0.37,39.46757,28.83425,55209.15035,0.0
1000781,1129013014909.0,19.49,0.22,39.46682,28.833840000000002,55209.1561,0.0
1000781,1129013014909.0,20.81,0.45,39.46798,28.834329999999998,55209.16748,0.0
1000781,1129013014909.0,20.76,0.45,39.46797,28.83428,55511.285,0.0
1000781,1129013014909.0,20.28,0.34,39.46787,28.83408,55511.29916,0.0
1000781,1129013014909.0,20.28,0.34,39.46759,28.834259999999997,55511.30628,0.0
1000781,1129013014909.0,20.31,0.36,39.4677,28.834190000000003,55470.40787,0.0
1000781,1129013014909.0,20.32,0.36,39.467690000000005,28.83411,55470.42442999999,0.0
1000781,1129013014909.0,20.26,0.34,39.468070000000004,28.8342,55478.41161,0.0
1000781,1129013014909.0,20.36,0.36,39.467909999999996,28.83448,55478.42314,0.0
1000781,1129013014909.0,20.26,0.34,39.4677,28.83407,55478.42901,0.0
1000781,1129013014909.0,19.89,0.32,39.46753,28.83435,55486.31424,0.0
1000781,1129013014909.0,19.76,0.26,39.468709999999994,28.833920000000003,55498.22464,0.0
1000781,1129013014909.0,19.74,0.28,39.467859999999995,28.83424,55563.225379999996,0.0
1000781,1129013014909.0,19.82,0.28,39.46761,28.83404,55563.23287000001,0.0
1000781,1129013014909.0,20.28,0.36,39.46783,28.83418,55563.24042,0.0
1000781,1129013014909.0,20.68,0.46,39.467490000000005,28.834390000000003,55563.24796,0.0
1000781,1129013014909.0,20.01,0.39,39.467940000000006,28.8344,55573.084820000004,0.0
1000781,1129013014909.0,20.72,0.43,39.46733,28.83395,55862.34677999999,0.0
1000781,1129013014909.0,20.59,0.39,39.46819,28.83447,55830.35641,0.0
1000781,1129013014909.0,19.91,0.27,39.46785,28.833779999999997,55830.36466,0.0
1000781,1129013014909.0,20.32,0.34,39.46813,28.83432,55830.38129,0.0
1000781,1129013014909.0,20.3,0.34,39.467859999999995,28.83431,55883.22794,0.0
1000781,1129013014909.0,21.1,0.56,39.468,28.834429999999998,55883.23304,0.0
1000781,1129013014909.0,20.39,0.37,39.467620000000004,28.834559999999996,55883.23816,0.0
1000781,1129013014909.0,20.41,0.37,39.4674,28.8342,55919.132260000006,0.0
1000781,1129013014909.0,19.8,0.26,39.46776,28.83437,55927.170979999995,0.0
1000781,1129013014909.0,20.94,0.51,39.467259999999996,28.834590000000002,56216.43292000001,0.0
1000781,1129013014909.0,20.09,0.32,39.46747,28.83442,56216.43949,0.0
1000781,1129013014909.0,20.51,0.4,39.46718,28.83415,56216.44605,0.0
1000781,1129013014909.0,19.56,0.24,39.467690000000005,28.834020000000002,56235.22128,0.0
