InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000921,1007017014703.0,19.41,0.21,46.62882000000001,-7.66242,53710.2142,0.0
1000921,1007017014703.0,19.93,0.28,46.62896,-7.6625,53710.22022,0.0
1000921,1007017014703.0,19.94,0.28,46.62898,-7.662260000000002,53710.22624,0.0
1000921,1007017014703.0,19.61,0.23,46.62877,-7.66243,53710.23222000001,0.0
1000921,1007017014703.0,19.57,0.23,46.6288,-7.6623899999999985,53680.30674,0.0
1000921,1007017014703.0,19.73,0.25,46.62901,-7.66316,53680.31478,0.0
1000921,1007017014703.0,19.27,0.2,46.62899,-7.66207,53680.32288,0.0
1000921,1007017014703.0,19.48,0.22,46.62878,-7.6627100000000015,53680.33096,0.0
1000921,1007017014703.0,19.67,0.25,46.62883,-7.66268,53704.31201,0.0
1000921,1007017014703.0,19.49,0.23,46.62891,-7.66223,53704.32142000001,0.0
1000921,1007017014703.0,19.98,0.29,46.62898,-7.6623899999999985,53704.33085,0.0
1000921,1007017014703.0,19.74,0.26,46.62879,-7.66264,53704.34026,0.0
1000921,1007017014703.0,20.1,0.33,46.62859,-7.66241,53651.37148,0.0
1000921,1007017014703.0,19.54,0.24,46.62869,-7.6623199999999985,53651.37745,0.0
1000921,1007017014703.0,19.51,0.24,46.62874,-7.6623,53651.3834,0.0
1000921,1007017014703.0,19.27,0.21,46.62878,-7.66224,53651.38935,0.0
1000921,1007017014703.0,19.82,0.26,46.62912,-7.66247,53667.35709,0.0
1000921,1007017014703.0,19.83,0.26,46.62898,-7.6623199999999985,53667.36978,0.0
1000921,1007017014703.0,18.88,0.17,46.62904,-7.66258,53667.38216,0.0
1000921,1007017014703.0,19.59,0.23,46.6291,-7.66222,53667.39458,0.0
1000921,1007017014703.0,19.82,0.26,46.62889000000001,-7.662439999999999,53673.37035,0.0
1000921,1007017014703.0,19.94,0.28,46.629,-7.6623199999999985,53673.37686,0.0
1000921,1007017014703.0,19.3,0.2,46.62887,-7.6623,53673.3834,0.0
1000921,1007017014703.0,19.42,0.22,46.62902,-7.66212,53673.38992,0.0
1000921,1007017014703.0,19.49,0.23,46.62872,-7.66245,53626.36792,0.0
1000921,1007017014703.0,19.7,0.26,46.62894,-7.661969999999997,53626.37695,0.0
1000921,1007017014703.0,19.29,0.21,46.62916,-7.66212,53626.38592,0.0
1000921,1007017014703.0,19.65,0.25,46.62909000000001,-7.66242,53626.39489,0.0
1000921,1007017014703.0,19.7,0.24,46.62885,-7.66257,54084.23265,0.0
1000921,1007017014703.0,20.08,0.29,46.62871,-7.662730000000002,54084.24445,0.0
1000921,1007017014703.0,19.49,0.22,46.62897,-7.66257,54091.21048,0.0
