InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000961,1001018018481.0,19.01,0.17,48.52648,-1.88068,53710.24486,0.0
1000961,1001018018481.0,18.87,0.16,48.52662,-1.88052,53710.25289,0.0
1000961,1001018018481.0,19.05,0.18,48.52642,-1.88061,53710.26093,0.0
1000961,1001018018481.0,18.83,0.16,48.52665,-1.88082,53710.26896,0.0
1000961,1001018018481.0,18.92,0.17,48.5265,-1.8807,53729.2234,0.0
1000961,1001018018481.0,18.81,0.16,48.52642,-1.8807,53729.23137,0.0
1000961,1001018018481.0,19.26,0.2,48.52655,-1.88069,53729.23935,0.0
1000961,1001018018481.0,18.64,0.15,48.52638,-1.88058,53729.24736,0.0
1000961,1001018018481.0,18.68,0.13,48.52672000000001,-1.88049,53675.31365,0.0
1000961,1001018018481.0,18.95,0.15,48.52662,-1.88068,53675.32235,0.0
1000961,1001018018481.0,18.9,0.14,48.52656,-1.88062,53675.33107,0.0
1000961,1001018018481.0,18.93,0.15,48.52662,-1.88069,53675.33981000001,0.0
1000961,1001018018481.0,18.68,0.15,48.52663,-1.88041,53703.20055,0.0
1000961,1001018018481.0,18.79,0.16,48.52656,-1.88063,53703.20695,0.0
1000961,1001018018481.0,18.92,0.17,48.52675,-1.88041,53703.2134,0.0
1000961,1001018018481.0,18.81,0.16,48.52655,-1.88064,53703.21985,0.0
1000961,1001018018481.0,18.85,0.17,48.52661,-1.88065,53650.37944,0.0
1000961,1001018018481.0,18.92,0.18,48.5266,-1.88049,53650.38648,0.0
1000961,1001018018481.0,18.65,0.16,48.5265,-1.8806,53650.39372,0.0
1000961,1001018018481.0,18.98,0.18,48.52653,-1.8807,53650.40075,0.0
1000961,1001018018481.0,18.95,0.17,48.52656,-1.8807,53670.3456,0.0
1000961,1001018018481.0,18.99,0.17,48.52675,-1.88066,53670.35044,0.0
1000961,1001018018481.0,18.75,0.16,48.52657,-1.88069,53670.35535,0.0
1000961,1001018018481.0,19.07,0.18,48.52654,-1.88055,53670.36033,0.0
1000961,1001018018481.0,18.71,0.16,48.52666,-1.88066,53627.4289,0.0
1000961,1001018018481.0,19.04,0.18,48.52665,-1.88054,53627.43676,0.0
1000961,1001018018481.0,18.73,0.16,48.52668,-1.88059,53627.44466,0.0
1000961,1001018018481.0,18.76,0.16,48.52648,-1.88059,53627.45251,0.0
1000961,1001018018481.0,18.67,0.14,48.52662,-1.88078,54090.22287000001,0.0
1000961,1001018018481.0,18.65,0.14,48.52655,-1.88071,54090.22821,0.0
1000961,1001018018481.0,18.87,0.16,48.52643,-1.8807,54090.23357,0.0
1000961,1001018018481.0,18.7,0.15,48.52664,-1.88057,54090.23894,0.0
1000961,1001018018481.0,19.14,0.19,48.52641,-1.88065,53740.20234,0.0
1000961,1001018018481.0,18.85,0.16,48.52659,-1.88056,53740.21037000001,0.0
1000961,1001018018481.0,18.98,0.17,48.52653,-1.88063,53740.21842000001,0.0
1000961,1001018018481.0,18.74,0.15,48.52648,-1.88061,53740.22645,0.0
1000961,1001018018481.0,18.94,0.17,48.52658,-1.88072,53763.12723,0.0
1000961,1001018018481.0,18.66,0.15,48.52673,-1.88068,53763.1353,0.0
1000961,1001018018481.0,18.97,0.17,48.52648,-1.88059,53763.14336,0.0
1000961,1001018018481.0,18.91,0.17,48.52659,-1.88048,53763.15139,0.0
1000961,1001018018481.0,18.95,0.15,48.5265,-1.88068,54055.29128,0.0
1000961,1001018018481.0,18.73,0.14,48.52652,-1.88051,54055.30256,0.0
1000961,1001018018481.0,18.97,0.15,48.52672000000001,-1.88051,54055.31385,0.0
1000961,1001018018481.0,18.79,0.14,48.5265,-1.88066,54055.32517,0.0
1000961,1001018018481.0,18.76,0.15,48.52654,-1.88053,54025.32321,0.0
1000961,1001018018481.0,18.98,0.16,48.52662,-1.88054,54025.33124,0.0
1000961,1001018018481.0,18.66,0.14,48.52655,-1.88054,53996.36966,0.0
1000961,1001018018481.0,18.93,0.16,48.52669,-1.88058,53996.37717000001,0.0
1000961,1001018018481.0,18.81,0.15,48.52662,-1.88063,53996.38474,0.0
1000961,1001018018481.0,18.78,0.15,48.52658,-1.88045,53996.39226,0.0
1000961,1001018018481.0,18.72,0.15,48.52663,-1.88055,54004.44942999999,0.0
1000961,1001018018481.0,18.88,0.16,48.52652,-1.88057,54004.45587000001,0.0
1000961,1001018018481.0,18.95,0.16,48.52659,-1.88052,54004.4623,0.0
1000961,1001018018481.0,18.71,0.15,48.52679000000001,-1.88067,54004.46872999999,0.0
1000961,1001018018481.0,18.99,0.17,48.52645,-1.88065,54440.18579,0.0
1000961,1001018018481.0,18.61,0.14,48.52663,-1.88052,54440.19284,0.0
1000961,1001018018481.0,18.84,0.15,48.52655,-1.88051,54440.19993,0.0
1000961,1001018018481.0,18.8,0.15,48.52663,-1.88056,54440.20699,0.0
1000961,1001018018481.0,18.89,0.16,48.52649,-1.88043,54411.24186,0.0
1000961,1001018018481.0,18.96,0.17,48.52654,-1.8806,54411.25146,0.0
1000961,1001018018481.0,18.9,0.16,48.52651,-1.88052,54411.26108,0.0
1000961,1001018018481.0,18.99,0.17,48.52649,-1.88043,54411.27071,0.0
1000961,1001018018481.0,18.85,0.16,48.52671,-1.8806,54419.23419,0.0
1000961,1001018018481.0,18.8,0.15,48.52674,-1.88059,54419.24087,0.0
1000961,1001018018481.0,18.77,0.15,48.52651,-1.88047,54419.24735,0.0
1000961,1001018018481.0,18.84,0.16,48.52642,-1.88054,54419.25389,0.0
1000961,1001018018481.0,18.86,0.16,48.52657,-1.88047,54383.34156,0.0
1000961,1001018018481.0,18.89,0.16,48.52671,-1.88045,54383.35307999999,0.0
1000961,1001018018481.0,18.91,0.16,48.52638,-1.8804,54383.36465,0.0
1000961,1001018018481.0,18.77,0.15,48.52645,-1.8804,54383.37621,0.0
1000961,1001018018481.0,18.91,0.16,48.52663,-1.88055,54392.34417999999,0.0
1000961,1001018018481.0,18.82,0.15,48.52656,-1.88043,54392.35231,0.0
1000961,1001018018481.0,18.82,0.15,48.52647,-1.88044,54392.36048,0.0
1000961,1001018018481.0,18.65,0.14,48.52666,-1.88046,54392.3686,0.0
1000961,1001018018481.0,18.72,0.15,48.5268,-1.88054,54404.2998,0.0
1000961,1001018018481.0,18.72,0.15,48.52654,-1.88062,54404.30974,0.0
1000961,1001018018481.0,19.05,0.17,48.52654,-1.88052,54404.33882999999,0.0
