InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000981,1015018038872.0,19.69,0.25,50.0059,-14.76116,53705.28679,0.0
1000981,1015018038872.0,20.85,0.46,50.00572,-14.7607,53705.29583,0.0
1000981,1015018038872.0,19.92,0.28,50.00571,-14.761,53705.30491,0.0
1000981,1015018038872.0,19.81,0.26,50.00602,-14.76054,53711.24539,0.0
1000981,1015018038872.0,21.03,0.5,50.0055,-14.76142,53711.25836,0.0
1000981,1015018038872.0,21.03,0.5,50.00567,-14.76066,53711.264870000006,0.0
1000981,1015018038872.0,19.56,0.24,50.00581,-14.76074,53684.31895,0.0
1000981,1015018038872.0,20.91,0.48,50.00629,-14.76031,53684.32481000001,0.0
1000981,1015018038872.0,20.22,0.32,50.00575,-14.76071,53684.33068,0.0
1000981,1015018038872.0,19.44,0.22,50.00557,-14.76058,53654.39907,0.0
1000981,1015018038872.0,19.8,0.27,50.00601,-14.76061,53654.40444,0.0
1000981,1015018038872.0,19.95,0.28,50.00622,-14.76066,53667.41667,0.0
1000981,1015018038872.0,19.61,0.24,50.00617,-14.760329999999998,53667.43203,0.0
1000981,1015018038872.0,19.66,0.24,50.00599,-14.76061,53674.30407,0.0
1000981,1015018038872.0,19.68,0.24,50.00595,-14.76064,53674.31356,0.0
1000981,1015018038872.0,19.32,0.21,50.00586,-14.76055,53628.48741,0.0
1000981,1015018038872.0,19.32,0.22,50.00609,-14.76026,54084.25892000001,0.0
1000981,1015018038872.0,19.32,0.19,50.00582,-14.76078,54093.19003,0.0
1000981,1015018038872.0,19.98,0.27,50.00569,-14.76073,54093.19644,0.0
1000981,1015018038872.0,20.17,0.29,50.00607,-14.76085,54057.30647999999,0.0
1000981,1015018038872.0,19.73,0.23,50.00575,-14.7605,54057.32257,0.0
1000981,1015018038872.0,19.58,0.22,50.00577,-14.76075,54063.25557,0.0
1000981,1015018038872.0,19.96,0.26,50.00594,-14.76079,54063.26206,0.0
1000981,1015018038872.0,19.94,0.26,50.00602,-14.76092,54063.26857000001,0.0
1000981,1015018038872.0,20.33,0.32,50.00591,-14.76069,54063.27506,0.0
1000981,1015018038872.0,19.62,0.22,50.00664,-14.76079,54002.45133,0.0
1000981,1015018038872.0,20.02,0.27,50.00553,-14.760279999999998,54002.45716000001,0.0
1000981,1015018038872.0,20.42,0.34,50.00589,-14.76067,54002.46302,0.0
1000981,1015018038872.0,20.17,0.3,50.00595,-14.76063,54002.46887999999,0.0
1000981,1015018038872.0,20.05,0.28,50.00599,-14.76041,54406.36083,0.0
1000981,1015018038872.0,19.6,0.22,50.00604000000001,-14.76079,54406.36791,0.0
1000981,1015018038872.0,19.94,0.26,50.006,-14.76077,54406.38157000001,0.0
1000981,1015018038872.0,19.79,0.24,50.00603,-14.761029999999998,54417.29514,0.0
1000981,1015018038872.0,19.2,0.18,50.00566,-14.76089,54417.30238,0.0
1000981,1015018038872.0,19.48,0.21,50.00623,-14.76085,54417.3096,0.0
1000981,1015018038872.0,20.67,0.38,50.00551,-14.7604,54417.31688,0.0
1000981,1015018038872.0,19.69,0.23,50.00589,-14.76019,54423.29926,0.0
1000981,1015018038872.0,20.45,0.34,50.00571,-14.76083,54423.3117,0.0
1000981,1015018038872.0,19.75,0.24,50.00585,-14.76066,54423.32417000001,0.0
1000981,1015018038872.0,19.96,0.27,50.00558,-14.76114,54423.33672000001,0.0
1000981,1015018038872.0,19.98,0.27,50.00569,-14.7604,54385.3731,0.0
1000981,1015018038872.0,20.01,0.27,50.00587,-14.76051,54385.38076,0.0
1000981,1015018038872.0,19.66,0.23,50.00594,-14.76074,54385.39599,0.0
1000981,1015018038872.0,19.93,0.27,50.00552,-14.76025,54358.43015,0.0
1000981,1015018038872.0,20.31,0.34,50.00559000000001,-14.76069,54358.43768,0.0
1000981,1015018038872.0,20.13,0.3,50.0053,-14.76069,54358.44522,0.0
1000981,1015018038872.0,19.4,0.2,50.00601,-14.76048,54505.13867000001,0.0
1000981,1015018038872.0,20.43,0.35,50.0059,-14.76141,54505.14468,0.0
1000981,1015018038872.0,19.63,0.23,50.00573,-14.760420000000002,54505.15069,0.0
1000981,1015018038872.0,19.87,0.27,50.00635,-14.76101,54483.2365,0.0
1000981,1015018038872.0,20.17,0.29,50.00625,-14.76067,54776.32323,0.0
1000981,1015018038872.0,19.69,0.23,50.00595,-14.76083,54776.3304,0.0
1000981,1015018038872.0,19.89,0.25,50.00563,-14.7605,54776.33766000001,0.0
1000981,1015018038872.0,19.88,0.25,50.00603,-14.76022,54776.34491,0.0
