InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001101,1109020006438.0,19.81,0.3,56.53276999999999,8.82333,53674.38686000001,0.0
1001101,1109020006438.0,20.05,0.34,56.53321,8.82381,53674.39431,0.0
1001101,1109020006438.0,19.87,0.3,56.53312,8.82284,54081.3026,0.0
1001101,1109020006438.0,20.34,0.38,56.53295,8.82338,54096.20046,0.0
1001101,1109020006438.0,19.8,0.3,56.53368,8.823310000000003,53758.18358,0.0
1001101,1109020006438.0,19.71,0.27,56.5334,8.823739999999997,54024.45796,0.0
1001101,1109020006438.0,19.6,0.25,56.53249,8.823210000000003,54030.42385,0.0
1001101,1109020006438.0,20.6,0.43,56.53299000000001,8.82357,53996.40828,0.0
1001101,1109020006438.0,19.93,0.3,56.53293000000001,8.82334,54008.40912999999,0.0
1001101,1109020006438.0,19.97,0.31,56.53305,8.82306,54439.22456,0.0
1001101,1109020006438.0,20.87,0.51,56.53316,8.82354,54439.23105,0.0
1001101,1109020006438.0,20.55,0.43,56.53335,8.823269999999997,54439.24411,0.0
1001101,1109020006438.0,21.03,0.56,56.53305,8.82322,54465.20653,0.0
1001101,1109020006438.0,20.05,0.33,56.53256,8.82361,54108.24554,0.0
1001101,1109020006438.0,20.51,0.47,56.53214000000001,8.82359,54125.09899,0.0
1001101,1109020006438.0,19.86,0.38,56.53259,8.82328,54169.10965,0.0
1001101,1109020006438.0,20.43,0.41,56.53327,8.82342,54386.28684,0.0
1001101,1109020006438.0,19.95,0.31,56.533530000000006,8.823089999999997,54354.43822999999,0.0
1001101,1109020006438.0,20.3,0.37,56.53343,8.82359,54822.21026,0.0
1001101,1109020006438.0,20.13,0.33,56.53293000000001,8.82295,54822.21685,0.0
1001101,1109020006438.0,20.28,0.37,56.53333000000001,8.8236,54505.20396,0.0
1001101,1109020006438.0,19.7,0.27,56.53381,8.82391,54524.129,0.0
1001101,1109020006438.0,20.56,0.44,56.53291,8.82323,54524.14315,0.0
1001101,1109020006438.0,19.58,0.25,56.5333,8.82311,54788.32681000001,0.0
1001101,1109020006438.0,20.64,0.47,56.53341,8.82335,55144.36144,0.0
1001101,1109020006438.0,19.95,0.32,56.53292,8.82276,55144.36798,0.0
1001101,1109020006438.0,20.11,0.35,56.53325,8.82347,55094.37182000001,0.0
1001101,1109020006438.0,19.09,0.2,56.5335,8.8234,55102.45116,0.0
1001101,1109020006438.0,20.04,0.33,56.53296,8.82311,55102.45855,0.0
1001101,1109020006438.0,19.71,0.28,56.53337,8.82323,55532.32031,0.0
1001101,1109020006438.0,19.85,0.3,56.53347,8.823039999999997,55538.21211,0.0
1001101,1109020006438.0,19.73,0.28,56.53374,8.823039999999997,55559.2143,0.0
1001101,1109020006438.0,20.81,0.5,56.53341,8.8238,55204.14457,0.0
1001101,1109020006438.0,20.45,0.41,56.53326,8.822980000000003,55204.14972,0.0
1001101,1109020006438.0,19.79,0.37,56.53262,8.82248,55268.1101,0.0
1001101,1109020006438.0,19.68,0.35,56.53269,8.823310000000003,55268.12232,0.0
1001101,1109020006438.0,19.73,0.22,56.53318,8.823030000000003,55506.39627999999,0.0
1001101,1109020006438.0,21.05,0.46,56.53339,8.82317,55506.42328,0.0
1001101,1109020006438.0,19.56,0.26,56.53298,8.82371,55514.33738,0.0
1001101,1109020006438.0,19.63,0.27,56.53315,8.82364,55514.35246,0.0
1001101,1109020006438.0,19.91,0.31,56.53296,8.82325,55480.43398,0.0
1001101,1109020006438.0,19.58,0.26,56.53364000000001,8.82347,55480.44789,0.0
1001101,1109020006438.0,20.48,0.44,56.53319000000001,8.82345,55498.43839,0.0
1001101,1109020006438.0,19.84,0.29,56.53332,8.82382,55455.43045,0.0
1001101,1109020006438.0,19.96,0.27,56.53314,8.82343,55596.16026,0.0
1001101,1109020006438.0,20.4,0.34,56.53348,8.82297,55596.16862999999,0.0
1001101,1109020006438.0,20.57,0.38,56.53359,8.82352,55596.1769,0.0
1001101,1109020006438.0,19.95,0.32,56.53289,8.822980000000003,55588.16342999999,0.0
1001101,1109020006438.0,19.58,0.27,56.53225,8.82318,55588.16916000001,0.0
1001101,1109020006438.0,20.64,0.48,56.53401,8.82338,55622.10806000001,0.0
1001101,1109020006438.0,20.16,0.39,56.53248000000001,8.82306,55622.11492000001,0.0
1001101,1109020006438.0,20.03,0.34,56.53291,8.82365,53700.30948,0.0
1001101,1109020006438.0,19.66,0.27,56.53292,8.82357,55861.31247,0.0
1001101,1109020006438.0,19.92,0.31,56.53301,8.8227,55861.32373,0.0
1001101,1109020006438.0,19.72,0.23,56.53376,8.8228,55868.33171000001,0.0
1001101,1109020006438.0,20.25,0.37,56.53371,8.823839999999997,55919.14427999999,0.0
1001101,1109020006438.0,19.9,0.32,56.53293000000001,8.823030000000003,55925.18403,0.0
1001101,1109020006438.0,19.78,0.29,56.53311,8.82352,56184.47204,0.0
1001101,1109020006438.0,20.02,0.34,56.53341999999999,8.823160000000003,56214.32133,0.0
1001101,1109020006438.0,20.07,0.34,56.53307,8.82311,56214.33047000001,0.0
1001101,1109020006438.0,19.85,0.26,56.53363,8.82329,56266.1423,0.0
1001101,1109020006438.0,20.67,0.46,56.53364000000001,8.82328,56266.15317000001,0.0
1001101,1109020006438.0,20.12,0.29,56.53329,8.8232,56273.29663,0.0
1001101,1109020006438.0,20.18,0.36,56.53308000000001,8.82325,56328.14476,0.0
1001101,1109020006438.0,19.73,0.31,56.5325,8.82349,56547.45833,0.0
1001101,1109020006438.0,20.28,0.43,56.5332,8.82294,56547.47416000001,0.0
1001101,1109020006438.0,20.19,0.36,56.5334,8.8238,56563.39986000001,0.0
1001101,1109020006438.0,20.55,0.44,56.53348,8.82354,56571.4403,0.0
1001101,1109020006777.0,19.84,0.31,56.52095,8.84249,53684.3688,0.0
1001101,1109020006777.0,20.37,0.41,56.52109,8.84238,53684.37569,0.0
1001101,1109020006777.0,19.77,0.3,56.52006,8.84244,53644.41221,0.0
1001101,1109020006777.0,19.52,0.27,56.52091,8.84248,53644.42863,0.0
1001101,1109020006777.0,19.75,0.29,56.52084,8.84326,53668.36078,0.0
1001101,1109020006777.0,19.55,0.26,56.52084,8.84272,53668.36937,0.0
1001101,1109020006777.0,19.82,0.3,56.52074,8.84227,53674.39431,0.0
1001101,1109020006777.0,19.05,0.19,56.52083,8.84273,54081.29601000001,0.0
1001101,1109020006777.0,20.07,0.33,56.52093000000001,8.84259,54081.3026,0.0
1001101,1109020006777.0,19.15,0.2,56.52069,8.8428,54096.20046,0.0
1001101,1109020006777.0,19.8,0.28,56.52124,8.84281,54096.21133,0.0
1001101,1109020006777.0,19.98,0.31,56.52096,8.84272,54096.22222,0.0
1001101,1109020006777.0,19.98,0.31,56.5211,8.843160000000003,54096.23311,0.0
1001101,1109020006777.0,20.72,0.5,56.52124,8.84464,53758.19001000001,0.0
1001101,1109020006777.0,19.63,0.27,56.5207,8.8428,53766.19912000001,0.0
1001101,1109020006777.0,19.81,0.3,56.5213,8.84315,53766.20557000001,0.0
1001101,1109020006777.0,20.04,0.34,56.52072,8.842210000000003,53766.21845,0.0
1001101,1109020006777.0,20.05,0.34,56.52123,8.84293,54052.37124,0.0
1001101,1109020006777.0,19.6,0.25,56.52078,8.842830000000003,54058.29689,0.0
1001101,1109020006777.0,20.19,0.34,56.52087,8.84244,54058.303,0.0
1001101,1109020006777.0,19.97,0.3,56.52115,8.84305,54058.3091,0.0
1001101,1109020006777.0,20.12,0.33,56.52079000000001,8.842039999999997,54024.47227000001,0.0
1001101,1109020006777.0,20.08,0.32,56.52083,8.84281,54030.41305,0.0
1001101,1109020006777.0,20.33,0.37,56.5209,8.84263,54030.42934,0.0
1001101,1109020006777.0,19.51,0.24,56.52136,8.843639999999997,53996.39877000001,0.0
1001101,1109020006777.0,20.59,0.43,56.52168,8.8428,53996.40828,0.0
1001101,1109020006777.0,20.1,0.32,56.52049,8.84251,53996.42739,0.0
1001101,1109020006777.0,20.09,0.33,56.5208,8.842369999999997,54008.38567999999,0.0
1001101,1109020006777.0,19.89,0.29,56.52116,8.8425,54008.39738,0.0
1001101,1109020006777.0,19.83,0.29,56.52081,8.84251,54439.22456,0.0
1001101,1109020006777.0,19.51,0.24,56.52044,8.84271,54439.23105,0.0
1001101,1109020006777.0,20.08,0.33,56.52101999999999,8.84272,54439.23757000001,0.0
1001101,1109020006777.0,19.92,0.3,56.52089,8.84234,54452.19903,0.0
1001101,1109020006777.0,19.85,0.29,56.52067,8.84293,54465.18398,0.0
1001101,1109020006777.0,19.45,0.24,56.52055,8.84258,54144.14119,0.0
1001101,1109020006777.0,20.5,0.42,56.52014000000001,8.842789999999997,54413.3268,0.0
1001101,1109020006777.0,20.18,0.35,56.52087,8.84239,54413.34339,0.0
1001101,1109020006777.0,19.93,0.3,56.52099000000001,8.84281,54413.3516,0.0
1001101,1109020006777.0,20.42,0.39,56.52162,8.84261,54380.36669,0.0
1001101,1109020006777.0,20.46,0.4,56.52119,8.842839999999997,54380.39368,0.0
1001101,1109020006777.0,20.82,0.51,56.51935,8.842310000000003,54386.27756,0.0
1001101,1109020006777.0,20.84,0.51,56.52119,8.8421,54386.29426,0.0
1001101,1109020006777.0,19.88,0.3,56.52085,8.84285,54386.30169,0.0
1001101,1109020006777.0,20.1,0.34,56.521,8.84295,54354.42641,0.0
1001101,1109020006777.0,19.56,0.25,56.52137,8.842889999999997,54822.21026,0.0
1001101,1109020006777.0,19.88,0.29,56.52051,8.84298,54822.21685,0.0
1001101,1109020006777.0,19.59,0.26,56.52085,8.84234,54505.19749,0.0
1001101,1109020006777.0,19.95,0.31,56.5211,8.84281,54524.129,0.0
1001101,1109020006777.0,19.87,0.3,56.52119,8.84257,54475.21051,0.0
1001101,1109020006777.0,20.45,0.41,56.52044,8.84239,54534.10791,0.0
1001101,1109020006777.0,19.94,0.3,56.52064,8.84285,54788.33869,0.0
1001101,1109020006777.0,19.81,0.27,56.52104,8.842939999999997,54746.37862,0.0
1001101,1109020006777.0,20.51,0.4,56.52063,8.84335,54746.40237,0.0
1001101,1109020006777.0,19.54,0.25,56.52141999999999,8.84222,54716.48486,0.0
1001101,1109020006777.0,20.12,0.32,56.52119,8.84262,54738.4609,0.0
1001101,1109020006777.0,19.34,0.29,56.5214,8.84175,55071.45916000001,0.0
1001101,1109020006777.0,20.65,0.61,56.52104,8.84255,55071.46502,0.0
1001101,1109020006777.0,19.06,0.19,56.52107,8.84293,54834.2299,0.0
1001101,1109020006777.0,19.77,0.27,56.52105,8.842789999999997,54834.23769,0.0
1001101,1109020006777.0,19.37,0.22,56.52131,8.84266,54834.24555,0.0
1001101,1109020006777.0,19.79,0.28,56.52123,8.842210000000003,54834.25331,0.0
1001101,1109020006777.0,19.41,0.23,56.52171,8.843689999999997,54849.17039,0.0
1001101,1109020006777.0,19.85,0.29,56.52072,8.84265,54849.17772000001,0.0
1001101,1109020006777.0,20.04,0.32,56.52091,8.84257,54849.18499,0.0
1001101,1109020006777.0,19.58,0.26,56.52101999999999,8.84261,55144.36144,0.0
1001101,1109020006777.0,20.9,0.57,56.52114,8.84428,55094.34653,0.0
1001101,1109020006777.0,19.41,0.25,56.52113000000001,8.84258,55094.35494,0.0
1001101,1109020006777.0,19.88,0.3,56.5209,8.84339,55102.44362000001,0.0
1001101,1109020006777.0,20.62,0.46,56.52106,8.84252,55102.46595,0.0
1001101,1109020006777.0,19.56,0.26,56.52101,8.84269,55538.20068,0.0
1001101,1109020006777.0,19.99,0.33,56.52092,8.84255,55538.21211,0.0
1001101,1109020006777.0,19.21,0.22,56.5212,8.84244,55538.21788,0.0
1001101,1109020006777.0,20.62,0.46,56.52091,8.84262,55559.2143,0.0
1001101,1109020006777.0,20.08,0.34,56.52081999999999,8.842880000000003,55559.23702000001,0.0
1001101,1109020006777.0,19.67,0.35,56.52166,8.8444,55268.1101,0.0
1001101,1109020006777.0,20.31,0.5,56.52103,8.84217,55268.12232,0.0
1001101,1109020006777.0,19.95,0.25,56.52119,8.8428,55506.39627999999,0.0
1001101,1109020006777.0,19.02,0.16,56.52129,8.842789999999997,55506.41424,0.0
1001101,1109020006777.0,19.58,0.26,56.52073000000001,8.84251,55514.33738,0.0
1001101,1109020006777.0,19.84,0.3,56.52105,8.84275,55514.35246,0.0
1001101,1109020006777.0,20.08,0.44,56.52088000000001,8.84273,55527.32487999999,0.0
1001101,1109020006777.0,19.49,0.25,56.52112,8.84259,55480.43398,0.0
