InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001321,1121025088817.0,20.03,0.34,72.14537,22.12904,53786.16524,0.0
1001321,1121025088817.0,19.76,0.3,72.14653,22.12823,55128.43896,0.0
1001321,1121025088817.0,20.71,0.48,72.14531,22.12812000000001,55888.30784,0.0
1001321,1121025088817.0,20.62,0.46,72.14641,22.12876,56563.44969,0.0
1001321,1121025088817.0,20.33,0.39,72.14488,22.12919,56581.4777,0.0
1001321,1121025088842.0,19.56,0.27,72.13033,22.12295,53469.13591000001,0.0
1001321,1121025088842.0,18.98,0.19,72.13056,22.12285,53725.26821,0.0
1001321,1121025088842.0,19.46,0.25,72.13029,22.123,53725.27786,0.0
1001321,1121025088842.0,19.24,0.22,72.13039,22.12304,53725.29722000001,0.0
1001321,1121025088842.0,19.35,0.23,72.1305,22.12281,53695.40215,0.0
1001321,1121025088842.0,19.23,0.22,72.13054,22.12283,53695.40862,0.0
1001321,1121025088842.0,19.39,0.24,72.13044000000002,22.12298,53695.41511,0.0
1001321,1121025088842.0,18.7,0.17,72.1301,22.12279,53695.42157000001,0.0
1001321,1121025088842.0,19.75,0.29,72.13034,22.12313,53702.37909,0.0
1001321,1121025088842.0,19.54,0.26,72.13078,22.12284,53702.38818,0.0
1001321,1121025088842.0,19.36,0.24,72.13038,22.12292,53702.39727,0.0
1001321,1121025088842.0,19.4,0.24,72.13041,22.12292,53668.48744,0.0
1001321,1121025088842.0,19.72,0.29,72.13065999999998,22.12269,53668.49072,0.0
1001321,1121025088842.0,19.5,0.26,72.13074,22.12288,53668.49402,0.0
1001321,1121025088842.0,19.0,0.2,72.13056999999998,22.12294,53668.4973,0.0
1001321,1121025088842.0,18.87,0.2,72.13045,22.12284,53642.44058,0.0
1001321,1121025088842.0,19.21,0.23,72.13016,22.12297,53642.44764,0.0
1001321,1121025088842.0,19.63,0.29,72.13061,22.12287,53642.45477,0.0
1001321,1121025088842.0,19.45,0.26,72.13074,22.1228,53642.46189,0.0
1001321,1121025088842.0,19.43,0.24,72.13034,22.12288,53976.44178,0.0
1001321,1121025088842.0,19.32,0.22,72.13042,22.12299,53976.44936000001,0.0
1001321,1121025088842.0,19.16,0.2,72.13046999999997,22.12295,53976.45695,0.0
1001321,1121025088842.0,19.25,0.21,72.13061,22.12301,53976.4646,0.0
1001321,1121025088842.0,18.93,0.19,72.13056999999998,22.12262,54081.37715,0.0
1001321,1121025088842.0,19.35,0.23,72.13055,22.12277000000001,54081.38319,0.0
1001321,1121025088842.0,18.52,0.15,72.13071,22.12292,54081.38918,0.0
1001321,1121025088842.0,19.3,0.22,72.13063000000002,22.12297,54081.39517999999,0.0
1001321,1121025088842.0,19.4,0.23,72.13046999999997,22.12324,54090.3383,0.0
1001321,1121025088842.0,19.55,0.25,72.13036,22.12294,54090.34483,0.0
1001321,1121025088842.0,19.1,0.2,72.13067,22.12295,54090.35136,0.0
1001321,1121025088842.0,19.64,0.26,72.13028,22.1228,54090.35789,0.0
1001321,1121025088842.0,19.46,0.27,72.13048,22.1231,54096.1681,0.0
1001321,1121025088842.0,19.48,0.27,72.1305,22.12274,54096.17579,0.0
1001321,1121025088842.0,19.26,0.24,72.13065999999998,22.12293,54096.19116,0.0
1001321,1121025088842.0,18.96,0.2,72.13024,22.12298,53770.09357000001,0.0
1001321,1121025088842.0,19.19,0.22,72.13025,22.12302,53770.10967000001,0.0
1001321,1121025088842.0,19.41,0.24,72.13046,22.12297,53770.11767000001,0.0
1001321,1121025088842.0,18.87,0.18,72.13056,22.12297,53786.15066,0.0
1001321,1121025088842.0,18.99,0.2,72.13042,22.12271,53786.15553,0.0
1001321,1121025088842.0,19.54,0.26,72.13041,22.12274,53786.16039,0.0
1001321,1121025088842.0,19.58,0.26,72.13099,22.12308,53786.16524,0.0
1001321,1121025088842.0,19.22,0.22,72.13063000000002,22.12299,53753.17032999999,0.0
1001321,1121025088842.0,19.84,0.3,72.13039,22.12283,53753.18434,0.0
1001321,1121025088842.0,19.43,0.23,72.13037,22.12295,54041.46962999999,0.0
1001321,1121025088842.0,19.0,0.19,72.13053000000002,22.12299,54041.473,0.0
1001321,1121025088842.0,19.07,0.19,72.13081,22.1229,54041.47637999999,0.0
1001321,1121025088842.0,19.68,0.26,72.13051,22.12287,54041.47975,0.0
1001321,1121025088842.0,19.17,0.2,72.13046999999997,22.12311,54054.31178,0.0
1001321,1121025088842.0,19.47,0.23,72.13032,22.12318,54054.31911,0.0
1001321,1121025088842.0,19.11,0.19,72.13071,22.12272,54054.32642000001,0.0
1001321,1121025088842.0,19.01,0.19,72.1307,22.12272,54054.33372,0.0
1001321,1121025088842.0,19.02,0.19,72.13046,22.1231,54027.47671,0.0
1001321,1121025088842.0,19.21,0.2,72.13042,22.12284,54027.48665,0.0
