InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001341,1107027015173.0,20.57,0.41,74.18717,6.09946,53677.37489,0.0
1001341,1107027015173.0,21.16,0.55,74.18683,6.09879,53699.28817000001,0.0
1001341,1107027015173.0,20.97,0.51,74.1866,6.09949,53643.47224,0.0
1001341,1107027015173.0,20.39,0.33,74.18666,6.09933,54090.27924,0.0
1001341,1107027015173.0,20.4,0.33,74.18672,6.0992,54090.29325,0.0
1001341,1107027015173.0,20.92,0.48,74.18679,6.09935,53790.15585,0.0
1001341,1107027015173.0,20.6,0.4,74.18721,6.09883,53799.16459,0.0
1001341,1107027015173.0,20.1,0.28,74.18679,6.09891,54058.38902,0.0
1001341,1107027015173.0,19.97,0.27,74.18695,6.0987800000000005,54419.29313,0.0
1001341,1107027015173.0,21.07,0.49,74.1863,6.0987800000000005,54391.38268,0.0
1001341,1107027015173.0,21.12,0.51,74.18726,6.0991,54499.1475,0.0
1001341,1107027015173.0,20.52,0.36,74.18704,6.099,54524.16095,0.0
1001341,1107027015173.0,19.75,0.24,74.1862,6.09919,54524.168,0.0
1001341,1107027015173.0,21.04,0.48,74.1868,6.09937,54477.2296,0.0
1001341,1107027015173.0,21.04,0.48,74.18708000000002,6.09906,54477.23718,0.0
1001341,1107027015173.0,20.16,0.34,74.1869,6.0989900000000015,54788.47317000001,0.0
1001341,1107027015173.0,21.18,0.52,74.18691,6.09945,54860.21086,0.0
1001341,1107027015173.0,20.36,0.33,74.18641,6.0990199999999986,54860.21565,0.0
1001341,1107027015173.0,20.53,0.36,74.18658,6.09865,55204.2616,0.0
1001341,1107027015173.0,20.87,0.44,74.18655,6.09886,55204.26674,0.0
1001341,1107027015173.0,20.9,0.46,74.1866,6.09845,55270.12663,0.0
1001341,1107027015173.0,21.27,0.57,74.18691,6.09903,55512.33026,0.0
1001341,1107027015173.0,21.28,0.58,74.18696,6.09906,55569.17662000001,0.0
1001341,1107027015173.0,20.05,0.32,74.18647,6.0994699999999975,55586.21193,0.0
1001341,1107027015173.0,20.1,0.3,74.18691,6.0990400000000005,55591.1606,0.0
1001341,1107027015173.0,20.93,0.47,74.18663000000002,6.09981,55591.1711,0.0
1001341,1107027015173.0,19.53,0.22,74.18642,6.0993,55855.38322999999,0.0
1001341,1107027015173.0,20.19,0.31,74.18654000000002,6.0990199999999986,55926.33466,0.0
1001341,1107027015173.0,20.48,0.36,74.18654000000002,6.09912,55926.33929,0.0
