InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001461,1018030044849.0,17.91,0.11,87.04645,-18.23217,53710.35677000001,0.0
1001461,1018030044849.0,17.9,0.11,87.04668000000002,-18.23229,53710.36332,0.0
1001461,1018030044849.0,17.79,0.11,87.04651,-18.23218,53710.36984,0.0
1001461,1018030044849.0,17.97,0.11,87.04653,-18.23215,53710.37635,0.0
1001461,1018030044849.0,17.78,0.11,87.04651,-18.23217,53703.36355,0.0
1001461,1018030044849.0,17.81,0.11,87.04653,-18.23208,53703.37119,0.0
1001461,1018030044849.0,17.76,0.11,87.04659000000002,-18.23224,53703.37889,0.0
1001461,1018030044849.0,17.82,0.11,87.04663000000002,-18.23223,53703.3865,0.0
1001461,1018030044849.0,17.79,0.11,87.04658,-18.23216,53674.450999999994,0.0
1001461,1018030044849.0,17.82,0.11,87.04653,-18.23223,53674.45743,0.0
1001461,1018030044849.0,18.0,0.11,87.04653,-18.2322,53674.46415,0.0
1001461,1018030044849.0,17.96,0.11,87.04649,-18.23234,53674.47074,0.0
1001461,1018030044849.0,17.85,0.12,87.04654000000002,-18.2322,54084.30196,0.0
1001461,1018030044849.0,17.72,0.1,87.04661999999998,-18.23226,54084.30738,0.0
1001461,1018030044849.0,17.99,0.11,87.04654000000002,-18.23217,54084.3128,0.0
1001461,1018030044849.0,17.77,0.1,87.0466,-18.23224,54084.31824,0.0
1001461,1018030044849.0,17.86,0.11,87.04646,-18.23217,53772.16572999999,0.0
1001461,1018030044849.0,17.6,0.23,87.04665,-18.23178,53745.23941,0.0
1001461,1018030044849.0,17.72,0.25,87.04673000000004,-18.23202,53745.24343,0.0
1001461,1018030044849.0,18.15,0.31,87.04624,-18.232,53745.24751,0.0
1001461,1018030044849.0,18.16,0.31,87.04664,-18.23227,53745.25159,0.0
1001461,1018030044849.0,17.66,0.1,87.04651,-18.23204,53764.24325,0.0
1001461,1018030044849.0,17.76,0.11,87.04651,-18.2322,53764.24969,0.0
1001461,1018030044849.0,17.79,0.11,87.04659000000002,-18.23215,53764.25612000001,0.0
1001461,1018030044849.0,17.94,0.11,87.04656999999996,-18.23216,53764.26252,0.0
1001461,1018030044849.0,17.85,0.1,87.04656,-18.23224,54040.46034,0.0
1001461,1018030044849.0,17.7,0.1,87.04666,-18.23214,54040.46577,0.0
1001461,1018030044849.0,17.95,0.11,87.04661,-18.23226,54040.4712,0.0
1001461,1018030044849.0,17.78,0.1,87.04646,-18.23215,54040.47661000001,0.0
1001461,1018030044849.0,17.89,0.11,87.04656999999996,-18.23226,54058.40399,0.0
1001461,1018030044849.0,17.79,0.1,87.04651,-18.23225,54058.41056,0.0
1001461,1018030044849.0,17.81,0.1,87.04668000000002,-18.23218,54058.41714,0.0
1001461,1018030044849.0,17.83,0.1,87.04659000000002,-18.23225,54058.42369,0.0
1001461,1018030044849.0,17.7,0.1,87.0465,-18.23214,54064.37461,0.0
1001461,1018030044849.0,17.8,0.1,87.04658,-18.23228,54064.38059,0.0
1001461,1018030044849.0,17.74,0.1,87.04659000000002,-18.23222,54064.38654,0.0
1001461,1018030044849.0,17.77,0.1,87.0466,-18.23219,54064.39255,0.0
1001461,1018030044849.0,17.81,0.1,87.0466,-18.23216,54440.31609,0.0
1001461,1018030044849.0,17.88,0.11,87.04656,-18.23219,54440.32155,0.0
1001461,1018030044849.0,17.92,0.11,87.04656999999996,-18.23225,54440.32693,0.0
1001461,1018030044849.0,17.8,0.1,87.04656999999996,-18.23215,54440.33234,0.0
1001461,1018030044849.0,17.8,0.11,87.04658,-18.23218,54179.14118,0.0
1001461,1018030044849.0,17.9,0.11,87.04655,-18.23209,54179.14651000001,0.0
1001461,1018030044849.0,17.85,0.11,87.04652,-18.23222,54179.15185,0.0
1001461,1018030044849.0,17.83,0.11,87.0466,-18.23216,54179.15716,0.0
1001461,1018030044849.0,17.64,0.1,87.04656,-18.23233,54409.38024,0.0
1001461,1018030044849.0,17.71,0.1,87.04659000000002,-18.23219,54409.38566,0.0
1001461,1018030044849.0,17.74,0.1,87.04653,-18.23212,54409.39107000001,0.0
