InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001661,1118042069964.0,18.39,0.13,120.14909,19.42191,53469.15304,0.0
1001661,1118042069964.0,18.06,0.11,120.14911,19.42199,53469.16122,0.0
1001661,1118042069964.0,16.75,0.08,120.14991,19.41951,53469.16934,0.0
1001661,1118042069964.0,18.15,0.12,120.1492,19.42205,53469.17789,0.0
1001661,1118042069964.0,18.36,0.13,120.14906,19.42199,53480.19704,0.0
1001661,1118042069964.0,18.18,0.12,120.14901,19.42216,53480.20519,0.0
1001661,1118042069964.0,18.17,0.12,120.14917,19.42209,53480.21336,0.0
1001661,1118042069964.0,18.18,0.12,120.1489,19.42195,53480.22153,0.0
1001661,1118042069964.0,18.08,0.11,120.14922,19.42209,53725.47624,0.0
1001661,1118042069964.0,18.22,0.12,120.14932,19.42212,53725.48411000001,0.0
1001661,1118042069964.0,18.37,0.13,120.14918,19.422,53725.49199,0.0
1001661,1118042069964.0,18.19,0.12,120.14923,19.42193,53725.49994,0.0
1001661,1118042069964.0,16.77,0.08,120.1499,19.41959,53731.39753,0.0
1001661,1118042069964.0,16.8,0.08,120.14992,19.41947,53731.40311,0.0
1001661,1118042069964.0,16.69,0.08,120.14988,19.41935,53731.40879,0.0
1001661,1118042069964.0,16.8,0.08,120.14984,19.41955,53731.41426000001,0.0
1001661,1118042069964.0,18.1,0.12,120.14935,19.42181,53506.16724,0.0
1001661,1118042069964.0,18.17,0.12,120.14933,19.42202,53506.17262,0.0
1001661,1118042069964.0,18.08,0.12,120.14883,19.42209,53506.17799,0.0
1001661,1118042069964.0,18.3,0.13,120.14932,19.42178,53506.18335,0.0
1001661,1118042069964.0,18.07,0.11,120.14908,19.42193,53688.39824,0.0
1001661,1118042069964.0,17.88,0.11,120.14937,19.42204,53688.41436,0.0
1001661,1118042069964.0,18.2,0.13,120.14934,19.42196,53688.42247000001,0.0
1001661,1118042069964.0,18.06,0.11,120.14934,19.42209,53699.44102000001,0.0
