InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001701,1104044029092.0,20.8,0.41,123.42874,3.63976,53710.43099,0.0
1001701,1104044029092.0,20.65,0.39,123.4292,3.63967,53679.45068,0.0
1001701,1104044029092.0,20.12,0.28,123.42926,3.639,53742.31388,0.0
1001701,1104044029092.0,21.22,0.53,123.42952,3.63971,53797.26292000001,0.0
1001701,1104044029092.0,20.44,0.33,123.42931000000002,3.63955,54465.3969,0.0
1001701,1104044029092.0,20.76,0.39,123.42897,3.63966,54477.25796,0.0
1001701,1104044029092.0,20.26,0.32,123.42897,3.63969,54944.17486,0.0
1001701,1104044029092.0,21.24,0.51,123.42853999999998,3.63873,54857.18799,0.0
1001701,1104044029092.0,20.97,0.46,123.42882,3.63959,55121.46916,0.0
1001701,1104044029092.0,21.07,0.49,123.42836,3.63949,55298.13922000001,0.0
1001701,1104044029092.0,21.13,0.45,123.42865,3.64129,55679.17478,0.0
1001701,1104044029092.0,20.43,0.31,123.42888,3.63992,55679.18234,0.0
1001701,1104044029092.0,20.16,0.3,123.42942,3.64012,56015.12493,0.0
1001701,1104044029092.0,21.41,0.59,123.42925,3.64,56305.32717999999,0.0
1001701,1104044029092.0,20.52,0.36,123.42934,3.63951,56329.21034,0.0
1001701,1104044029475.0,19.67,0.28,123.43629,3.65396,54039.41959,0.0
1001701,1104044029517.0,20.64,0.37,123.42046,3.65133,53464.15985,0.0
1001701,1104044029517.0,20.39,0.33,123.42079,3.65116,53710.40824,0.0
1001701,1104044029517.0,20.04,0.27,123.41994,3.650830000000002,53710.43099,0.0
1001701,1104044029517.0,19.96,0.26,123.42055,3.65094,53726.38886,0.0
1001701,1104044029517.0,20.96,0.48,123.42027,3.6512,53732.35114,0.0
1001701,1104044029517.0,20.27,0.32,123.42035,3.65093,53732.35921,0.0
1001701,1104044029517.0,20.75,0.45,123.41969,3.65113,53732.36732000001,0.0
1001701,1104044029517.0,20.91,0.48,123.42114,3.65096,53732.37542999999,0.0
1001701,1104044029517.0,19.76,0.24,123.42063,3.65079,53679.45714,0.0
1001701,1104044029517.0,19.3,0.19,123.4207,3.6507,53679.46361,0.0
1001701,1104044029517.0,19.67,0.24,123.42074,3.65102,53845.1449,0.0
1001701,1104044029517.0,20.7,0.42,123.42063,3.65099,53845.15128,0.0
1001701,1104044029517.0,20.39,0.31,123.42066,3.6509,54090.37495,0.0
1001701,1104044029517.0,21.21,0.5,123.42091,3.65119,54090.38038,0.0
1001701,1104044029517.0,19.5,0.23,123.42041,3.65055,53789.22604,0.0
1001701,1104044029517.0,19.72,0.23,123.42029,3.65109,53742.31388,0.0
1001701,1104044029517.0,20.36,0.32,123.42023,3.65093,53742.31982999999,0.0
1001701,1104044029517.0,19.11,0.17,123.41966,3.65125,53753.29806,0.0
1001701,1104044029517.0,20.79,0.42,123.42052,3.65156,53760.26276000001,0.0
1001701,1104044029517.0,20.52,0.36,123.42051,3.65076,53766.22875,0.0
1001701,1104044029517.0,20.11,0.29,123.42052,3.65086,53766.23942000001,0.0
1001701,1104044029517.0,19.63,0.22,123.42071,3.65066,53797.26292000001,0.0
1001701,1104044029517.0,20.06,0.28,123.42059,3.65077,53797.2694,0.0
1001701,1104044029517.0,20.24,0.31,123.42017,3.65125,53797.28268,0.0
1001701,1104044029517.0,20.09,0.3,123.42042,3.6510000000000002,53856.14696000001,0.0
1001701,1104044029517.0,19.9,0.32,123.42006,3.65103,54039.41959,0.0
1001701,1104044029517.0,20.72,0.38,123.42116,3.6508,54465.3969,0.0
1001701,1104044029517.0,19.83,0.24,123.42039,3.65104,54465.4034,0.0
1001701,1104044029517.0,19.72,0.23,123.42018,3.65133,54110.3208,0.0
