InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001881,1009048058207,20.87,0.45,134.83056000000002,-9.17811,53790.23389,0
1001881,1009048058207,20.64,0.38,134.83093,-9.1779,54172.21439,0
1001881,1009048058207,20.05,0.29,134.83118000000002,-9.17646,54574.13241000001,0
1001881,1009048058207,20.14,0.29,134.83078999999998,-9.17809,55946.3128,0
1001881,1009048058207,21.31,0.57,134.8296,-9.17922,55946.32967000001,0
1001881,1009048058638,19.01,0.17,134.83646000000002,-9.16706,53481.12758,0
1001881,1009048058638,18.81,0.16,134.83674,-9.16701,53481.14395,0
1001881,1009048058638,18.76,0.16,134.83685,-9.16702,53732.39905,0
1001881,1009048058638,18.99,0.17,134.83678999999998,-9.16706,53732.40821,0
1001881,1009048058638,19.19,0.19,134.83685,-9.16701,53732.41764,0
1001881,1009048058638,18.77,0.15,134.83685,-9.16735,53732.42691,0
1001881,1009048058638,18.75,0.15,134.83691000000002,-9.16717,54093.35478,0
1001881,1009048058638,18.91,0.16,134.83694,-9.16724,54093.36132999999,0
1001881,1009048058638,19.04,0.17,134.83671,-9.16709,54093.36788,0
1001881,1009048058638,18.82,0.15,134.83675,-9.16711,54093.37442000001,0
1001881,1009048058638,18.9,0.17,134.83683,-9.16696,53790.21902,0
1001881,1009048058638,18.97,0.17,134.8369,-9.167,53790.22646000001,0
1001881,1009048058638,19.08,0.18,134.83675,-9.16713,53790.23389,0
1001881,1009048058638,19.1,0.18,134.83676,-9.16715,53790.24136,0
1001881,1009048058638,19.17,0.18,134.83664,-9.16707,53763.30322,0
1001881,1009048058638,18.96,0.17,134.83691000000002,-9.16718,53763.31035,0
1001881,1009048058638,19.07,0.17,134.83664,-9.16733,53763.31749,0
1001881,1009048058638,19.14,0.18,134.83688,-9.16698,53763.32467,0
1001881,1009048058638,18.8,0.16,134.83685,-9.1671,53860.13897000001,0
1001881,1009048058638,19.48,0.23,134.83635,-9.16695,53860.14487,0
1001881,1009048058638,19.83,0.27,134.8364,-9.16679,53860.15075,0
1001881,1009048058638,19.12,0.17,134.83677,-9.16708,54064.41927000001,0
1001881,1009048058638,19.01,0.16,134.83664,-9.16722,54064.42479,0
1001881,1009048058638,18.88,0.15,134.83687,-9.16704,54064.43025,0
1001881,1009048058638,18.71,0.14,134.83683,-9.1672,54064.43574,0
1001881,1009048058638,18.99,0.16,134.83667,-9.16709,54172.21007000001,0
1001881,1009048058638,19.24,0.18,134.83673000000002,-9.16708,54172.21439,0
1001881,1009048058638,19.26,0.19,134.83676,-9.16711,54172.21869,0
1001881,1009048058638,18.98,0.16,134.83694,-9.16728,54172.22301,0
1001881,1009048058638,18.95,0.16,134.83675,-9.16698,54423.41616,0
1001881,1009048058638,19.27,0.19,134.83681,-9.16699,54423.4227,0
1001881,1009048058638,19.09,0.17,134.83681,-9.16706,54423.42928,0
1001881,1009048058638,19.02,0.16,134.83669,-9.16704,54423.43584,0
1001881,1009048058638,18.91,0.17,134.83661999999998,-9.16721,54565.17374,0
1001881,1009048058638,19.1,0.18,134.83672,-9.16709,54565.18075,0
1001881,1009048058638,19.14,0.19,134.83651,-9.16684,54565.18777,0
1001881,1009048058638,18.94,0.17,134.83639,-9.16699,54565.1948,0
1001881,1009048058638,19.32,0.2,134.83658,-9.1672,54574.12278,0
1001881,1009048058638,19.06,0.17,134.83669,-9.16697,54574.1276,0
1001881,1009048058638,18.87,0.16,134.83678,-9.16704,54574.13241000001,0
1001881,1009048058638,19.07,0.17,134.83681,-9.16704,54498.33666,0
1001881,1009048058638,19.23,0.18,134.83681,-9.16698,54498.34275,0
1001881,1009048058638,18.95,0.16,134.83699,-9.16719,54498.34889,0
1001881,1009048058638,18.89,0.15,134.83663,-9.16712,54498.35501,0
1001881,1009048058638,18.85,0.15,134.83646000000002,-9.16687,54483.30401,0
1001881,1009048058638,18.83,0.15,134.83664,-9.16695,54483.31046,0
1001881,1009048058638,18.61,0.14,134.83673000000002,-9.1672,54483.31691,0
1001881,1009048058638,18.85,0.15,134.83686,-9.16696,54483.32336,0
1001881,1009048058638,19.23,0.18,134.83677,-9.16696,54526.19369,0
1001881,1009048058638,18.9,0.16,134.83669,-9.16715,54526.20014,0
1001881,1009048058638,19.03,0.17,134.83675,-9.16696,54526.20657,0
1001881,1009048058638,19.27,0.19,134.83688999999998,-9.1671,54526.212999999996,0
1001881,1009048058638,18.82,0.15,134.83675,-9.16696,54532.17258,0
1001881,1009048058638,18.82,0.15,134.83684,-9.16713,54532.17848,0
1001881,1009048058638,18.78,0.15,134.83695,-9.16717,54532.18436,0
1001881,1009048058638,19.0,0.17,134.83668,-9.16691,54532.19021,0
1001881,1009048058638,18.97,0.17,134.83677,-9.16716,54556.14323,0
1001881,1009048058638,19.3,0.19,134.8369,-9.1668,54556.15039,0
1001881,1009048058638,19.19,0.18,134.83666000000002,-9.16705,54556.15754,0
1001881,1009048058638,18.91,0.16,134.83665,-9.16687,54556.16468,0
1001881,1009048058638,18.57,0.16,134.83616,-9.16702,54597.13803,0
1001881,1009048058638,19.67,0.28,134.83688,-9.16724,54597.1434,0
1001881,1009048058638,18.89,0.19,134.83674,-9.16713,54597.14881,0
1001881,1009048058638,19.34,0.24,134.83648,-9.16685,54597.1542,0
1001881,1009048058638,18.73,0.15,134.83664,-9.16719,54951.14746,0
1001881,1009048058638,18.93,0.16,134.83672,-9.16712,54951.15535,0
1001881,1009048058638,18.34,0.13,134.83658,-9.1672,54951.16315,0
1001881,1009048058638,18.86,0.16,134.83663,-9.16723,54951.17098,0
1001881,1009048058638,18.97,0.16,134.83665,-9.16707,54863.2774,0
1001881,1009048058638,19.15,0.17,134.83675,-9.1669,54863.28288,0
1001881,1009048058638,19.45,0.2,134.83694,-9.16718,54863.28838,0
1001881,1009048058638,19.28,0.18,134.83672,-9.16692,54863.2939,0
1001881,1009048058638,19.18,0.18,134.83682,-9.16704,54882.24853,0
1001881,1009048058638,18.85,0.15,134.83661,-9.16709,54882.25454,0
1001881,1009048058638,18.84,0.15,134.83663,-9.16725,54882.26049,0
1001881,1009048058638,19.01,0.16,134.83661,-9.16709,54882.2665,0
1001881,1009048058638,18.96,0.16,134.83663,-9.16691,54834.4155,0
1001881,1009048058638,19.08,0.17,134.83674,-9.16712,54834.4236,0
1001881,1009048058638,18.91,0.16,134.83669,-9.16697,54849.3709,0
1001881,1009048058638,18.9,0.16,134.83665,-9.16691,54849.37919,0
1001881,1009048058638,19.24,0.18,134.83655,-9.16686,54849.38742000001,0
1001881,1009048058638,19.3,0.19,134.83672,-9.167,54849.39571,0
1001881,1009048058638,19.05,0.17,134.8368,-9.16718,55157.4799,0
