InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001921,1112048012242.0,20.74,0.42,136.76056,11.86162,53726.45198,0.0
1001921,1112048012242.0,19.77,0.25,136.75867,11.86194,53688.44357999999,0.0
1001921,1112048012242.0,19.74,0.26,136.75941,11.86161,53655.48104,0.0
1001921,1112048012242.0,19.59,0.25,136.7598,11.86186,53671.44542,0.0
1001921,1112048012242.0,18.6,0.15,136.75975,11.86233,53671.4513,0.0
1001921,1112048012242.0,20.96,0.49,136.75958,11.86169,53843.15007,0.0
1001921,1112048012242.0,19.13,0.19,136.75991000000002,11.86173,53843.1607,0.0
1001921,1112048012242.0,17.16,0.08,136.75945,11.86251,54081.46655,0.0
1001921,1112048012242.0,20.13,0.28,136.75953,11.862,54093.40015,0.0
1001921,1112048012242.0,19.99,0.26,136.75973,11.8622,54093.40842000001,0.0
1001921,1112048012242.0,19.9,0.28,136.75938,11.86163,53765.2628,0.0
1001921,1112048012242.0,20.0,0.28,136.75921,11.86182,53799.19416,0.0
1001921,1112048012242.0,20.7,0.45,136.75953,11.86192,53881.17124,0.0
1001921,1112048012242.0,20.95,0.45,136.75933,11.86171,54029.4648,0.0
1001921,1112048012242.0,19.74,0.23,136.75913,11.86163,54437.45728,0.0
1001921,1112048012242.0,20.16,0.29,136.75946000000002,11.86177,54454.37751000001,0.0
1001921,1112048012242.0,19.76,0.24,136.7594,11.86189,54125.25683,0.0
1001921,1112048012242.0,19.5,0.21,136.75942,11.86227,54125.2763,0.0
1001921,1112048012242.0,20.66,0.38,136.75874,11.86225,54125.28606000001,0.0
1001921,1112048012242.0,21.18,0.52,136.75871999999998,11.8624,54169.17544,0.0
1001921,1112048012242.0,19.64,0.23,136.75918,11.86239,54169.18197000001,0.0
1001921,1112048012242.0,20.41,0.34,136.75951,11.86185,54169.1885,0.0
1001921,1112048012242.0,20.99,0.47,136.75943,11.86187,54421.44056,0.0
1001921,1112048012242.0,21.0,0.48,136.75892,11.86202,54559.12198,0.0
1001921,1112048012242.0,20.5,0.35,136.75922,11.86179,54475.46983,0.0
1001921,1112048012242.0,20.4,0.33,136.75916999999998,11.8624,54475.4829,0.0
1001921,1112048012242.0,20.92,0.49,136.75963000000002,11.86205,54533.18426,0.0
1001921,1112048012242.0,20.09,0.24,136.7592,11.86202,54537.1897,0.0
1001921,1112048012242.0,20.09,0.24,136.75888999999998,11.86248,54537.21149,0.0
1001921,1112048012242.0,19.5,0.21,136.75916,11.86234,54591.1526,0.0
1001921,1112048012242.0,19.53,0.21,136.75965,11.86239,54777.48219,0.0
1001921,1112048012242.0,20.51,0.35,136.75941,11.86205,54777.49408,0.0
1001921,1112048012242.0,19.98,0.31,136.75865,11.86181,54792.44559,0.0
1001921,1112048012242.0,20.23,0.31,136.75884,11.86165,54938.15279,0.0
1001921,1112048012242.0,20.26,0.31,136.75943999999998,11.86176,54938.1637,0.0
1001921,1112048012242.0,20.23,0.31,136.75932,11.86208,54944.18562999999,0.0
1001921,1112048012242.0,20.58,0.37,136.75938,11.8618,54945.12796000001,0.0
1001921,1112048012242.0,20.31,0.32,136.75942,11.86234,54945.14132,0.0
1001921,1112048012242.0,20.41,0.29,136.75923,11.86212,54887.27851,0.0
1001921,1112048012242.0,20.25,0.26,136.75916,11.86212,54887.28431,0.0
1001921,1112048012242.0,20.78,0.34,136.75942,11.86197,54887.29013,0.0
1001921,1112048012242.0,20.57,0.33,136.759,11.86205,54887.30117000001,0.0
1001921,1112048012242.0,19.12,0.18,136.75913,11.86252,54848.4481,0.0
1001921,1112048012242.0,20.29,0.31,136.75893,11.86214,54859.21527000001,0.0
1001921,1112048012242.0,21.14,0.49,136.75918,11.86169,54859.22141000001,0.0
1001921,1112048012242.0,19.84,0.25,136.75895,11.86191,54907.17342000001,0.0
1001921,1112048012242.0,20.38,0.33,136.75922,11.86201,54919.16475,0.0
1001921,1112048012242.0,20.39,0.33,136.75905,11.86203,54919.17679,0.0
1001921,1112048012242.0,19.9,0.25,136.75901000000002,11.8622,54919.18275,0.0
1001921,1112048012242.0,19.88,0.26,136.75971,11.86219,55161.44024,0.0
1001921,1112048012242.0,19.87,0.25,136.7591,11.86193,55161.44875,0.0
1001921,1112048012242.0,20.27,0.32,136.76004,11.8623,55301.15836,0.0
1001921,1112048012242.0,20.04,0.28,136.7592,11.86209,55532.48237000001,0.0
1001921,1112048012242.0,20.63,0.39,136.75936000000002,11.86208,55539.4459,0.0
1001921,1112048012242.0,18.84,0.16,136.75927,11.86267,55539.46682,0.0
1001921,1112048012242.0,20.32,0.33,136.75937,11.86174,55545.38825,0.0
1001921,1112048012242.0,20.18,0.34,136.75906,11.86232,55232.25121,0.0
1001921,1112048012242.0,20.5,0.36,136.75912,11.86215,55275.18541000001,0.0
1001921,1112048012242.0,20.09,0.29,136.75921,11.86202,55503.47982000001,0.0
1001921,1112048012242.0,20.23,0.31,136.75898999999998,11.86247,55503.49721,0.0
1001921,1112048012242.0,19.41,0.2,136.75898999999998,11.86193,55512.4447,0.0
1001921,1112048012242.0,19.93,0.3,136.75972,11.86181,55483.49819,0.0
1001921,1112048012242.0,20.43,0.3,136.75916,11.86158,55656.20137,0.0
1001921,1112048012242.0,20.06,0.24,136.75937,11.86189,55596.2725,0.0
1001921,1112048012242.0,20.19,0.26,136.75913,11.86192,55596.292,0.0
1001921,1112048012242.0,19.83,0.22,136.75907,11.86204,55596.30172999999,0.0
1001921,1112048012242.0,19.9,0.26,136.7601,11.86282,55617.24761000001,0.0
1001921,1112048012242.0,20.06,0.29,136.75898,11.86213,55617.25561,0.0
1001921,1112048012242.0,19.85,0.26,136.75955,11.86206,55617.2717,0.0
1001921,1112048012242.0,21.3,0.59,136.75915,11.86214,55563.33616,0.0
1001921,1112048012242.0,19.84,0.26,136.75937,11.86204,55563.34368,0.0
1001921,1112048012242.0,18.8,0.16,136.75918,11.86209,55563.35154,0.0
1001921,1112048012242.0,20.53,0.37,136.75932,11.8617,55572.44923,0.0
1001921,1112048012242.0,20.17,0.3,136.75882,11.86196,55572.45495,0.0
1001921,1112048012242.0,19.82,0.25,136.7592,11.8618,55572.46083,0.0
1001921,1112048012242.0,19.73,0.21,136.75885,11.86216,55624.1875,0.0
1001921,1112048012242.0,20.14,0.26,136.75916999999998,11.8616,55624.20662999999,0.0
1001921,1112048012242.0,20.69,0.34,136.75923999999998,11.86219,55624.21622,0.0
1001921,1112048012242.0,19.21,0.19,136.75906,11.86225,55631.15679,0.0
