InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001941,1107049050240.0,21.13,0.53,137.64652,7.8046,53788.27934,0.0
1001941,1107049050240.0,20.92,0.47,137.64646000000002,7.80422,53799.2227,0.0
1001941,1107049050240.0,19.07,0.17,137.64643,7.80277,54125.2988,0.0
1001941,1107049050240.0,20.22,0.26,137.64713999999998,7.80364,54537.23922,0.0
1001941,1107049050240.0,19.25,0.28,137.64782,7.80496,55850.49657,0.0
1001941,1107049050271.0,20.11,0.28,137.6586,7.80824,54448.46785,0.0
1001941,1107049050271.0,16.05,0.07,137.65513,7.8069,54109.29397000001,0.0
1001941,1107049050271.0,21.23,0.52,137.6575,7.80756,54125.31923,0.0
1001941,1107049050271.0,21.38,0.49,137.65758,7.80743,54537.22589,0.0
1001941,1107049050271.0,19.83,0.21,137.65838,7.80864,54537.24587000001,0.0
1001941,1107049050271.0,19.53,0.33,137.65581,7.808789999999999,55850.51019,0.0
1001941,1107049050271.0,20.33,0.28,137.65747,7.80722,55982.25257999999,0.0
1001941,1107049050271.0,19.94,0.27,137.65749,7.80732,56297.33822000001,0.0
1001941,1107049050361.0,14.72,0.06,137.64099,7.7964600000000015,53466.19347,0.0
1001941,1107049050361.0,14.73,0.06,137.64102,7.7964600000000015,53466.20109,0.0
1001941,1107049050361.0,14.74,0.06,137.64099,7.7964600000000015,53466.20861,0.0
1001941,1107049050361.0,14.71,0.06,137.64099,7.79645,53466.21625,0.0
1001941,1107049050361.0,14.74,0.06,137.64096,7.7964699999999985,53710.43522000001,0.0
1001941,1107049050361.0,14.75,0.06,137.64098,7.79645,53710.44222,0.0
1001941,1107049050361.0,14.75,0.06,137.64099,7.79648,53710.44925,0.0
1001941,1107049050361.0,14.75,0.06,137.64096999999998,7.79645,53710.45632000001,0.0
1001941,1107049050361.0,14.74,0.06,137.64099,7.7964699999999985,53726.45367,0.0
1001941,1107049050361.0,14.74,0.06,137.64099,7.79645,53726.46032000001,0.0
1001941,1107049050361.0,14.72,0.06,137.641,7.79644,53726.46698,0.0
1001941,1107049050361.0,14.72,0.06,137.64098,7.7964699999999985,53726.47368,0.0
1001941,1107049050361.0,14.73,0.06,137.64099,7.79644,53500.14901,0.0
1001941,1107049050361.0,14.74,0.06,137.64099,7.7964699999999985,53500.15431000001,0.0
1001941,1107049050361.0,14.73,0.06,137.64096999999998,7.7964600000000015,53500.15966000001,0.0
1001941,1107049050361.0,14.73,0.06,137.64099,7.79643,53500.16499,0.0
1001941,1107049050361.0,14.71,0.06,137.641,7.7964600000000015,53521.15581,0.0
1001941,1107049050361.0,14.71,0.06,137.641,7.796489999999999,53521.16391,0.0
1001941,1107049050361.0,14.71,0.06,137.64098,7.796489999999999,53521.17205,0.0
1001941,1107049050361.0,14.71,0.06,137.64098,7.7964699999999985,53521.18017,0.0
1001941,1107049050361.0,14.73,0.06,137.641,7.7964600000000015,53680.4873,0.0
1001941,1107049050361.0,14.73,0.06,137.64099,7.79648,53680.49207,0.0
1001941,1107049050361.0,14.72,0.06,137.64098,7.79645,53680.49687,0.0
1001941,1107049050361.0,14.72,0.06,137.64102,7.7964600000000015,53680.50167,0.0
1001941,1107049050361.0,14.73,0.06,137.641,7.7964699999999985,53688.47007999999,0.0
1001941,1107049050361.0,14.75,0.06,137.641,7.7965,53688.4776,0.0
1001941,1107049050361.0,14.74,0.06,137.64096999999998,7.79645,53688.4851,0.0
1001941,1107049050361.0,14.71,0.06,137.641,7.7964600000000015,53688.49262999999,0.0
1001941,1107049050361.0,14.73,0.06,137.64096999999998,7.7964600000000015,53703.42184,0.0
1001941,1107049050361.0,14.69,0.06,137.64099,7.796489999999999,53703.42835,0.0
1001941,1107049050361.0,14.72,0.06,137.64098,7.796489999999999,53703.43877000001,0.0
1001941,1107049050361.0,14.73,0.06,137.64102,7.7964600000000015,53703.44527,0.0
1001941,1107049050361.0,14.74,0.06,137.64096,7.7964699999999985,53673.45897,0.0
1001941,1107049050361.0,14.73,0.06,137.64099,7.79645,53673.46551,0.0
1001941,1107049050361.0,14.74,0.06,137.64099,7.7964699999999985,53673.47205,0.0
1001941,1107049050361.0,14.73,0.06,137.641,7.7964600000000015,53673.47869,0.0
1001941,1107049050361.0,14.74,0.06,137.64098,7.7964699999999985,53845.15875,0.0
1001941,1107049050361.0,14.75,0.06,137.64096999999998,7.7964699999999985,53845.16827,0.0
1001941,1107049050361.0,14.72,0.06,137.64098,7.7964699999999985,53845.17781,0.0
1001941,1107049050361.0,14.71,0.06,137.641,7.7964600000000015,53845.18732000001,0.0
1001941,1107049050361.0,14.74,0.06,137.64098,7.7964699999999985,54070.42196,0.0
1001941,1107049050361.0,14.73,0.06,137.64098,7.7964600000000015,54070.42961,0.0
1001941,1107049050361.0,14.74,0.06,137.64098,7.79648,54070.43756000001,0.0
1001941,1107049050361.0,14.73,0.06,137.64094,7.79645,54070.44535,0.0
1001941,1107049050361.0,14.72,0.06,137.64096999999998,7.7964600000000015,54082.45443,0.0
1001941,1107049050361.0,14.72,0.06,137.64096,7.79648,54082.45986,0.0
1001941,1107049050361.0,14.72,0.06,137.64098,7.796489999999999,54082.46531,0.0
1001941,1107049050361.0,14.73,0.06,137.64096,7.79645,54082.47077000001,0.0
1001941,1107049050361.0,14.73,0.06,137.64096,7.7964600000000015,54093.39085,0.0
1001941,1107049050361.0,14.72,0.06,137.64098,7.7964600000000015,54093.39905,0.0
1001941,1107049050361.0,14.72,0.06,137.641,7.79648,54093.40736000001,0.0
1001941,1107049050361.0,14.71,0.06,137.64096999999998,7.79645,54093.41562000001,0.0
1001941,1107049050361.0,14.75,0.06,137.64098,7.7964600000000015,53772.26196,0.0
1001941,1107049050361.0,14.86,0.06,137.64098,7.7964699999999985,53772.2695,0.0
1001941,1107049050361.0,14.7,0.06,137.64096999999998,7.7964699999999985,53772.277,0.0
1001941,1107049050361.0,14.73,0.06,137.64099,7.796419999999999,53772.2845,0.0
1001941,1107049050361.0,14.73,0.06,137.641,7.796489999999999,53773.29843,0.0
1001941,1107049050361.0,14.74,0.06,137.64098,7.79645,53773.30482000001,0.0
