InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001961,1115048001710.0,21.07,0.49,138.91092,14.17781,53469.19277,0.0
1001961,1115048001710.0,20.62,0.37,138.91203000000002,14.17779,54094.30078,0.0
1001961,1115048001710.0,20.59,0.39,138.91154,14.17823,53799.23191,0.0
1001961,1115048001710.0,18.83,0.15,138.91111,14.17889,54448.41857,0.0
1001961,1115048001710.0,19.98,0.25,138.91223,14.17701,54448.41857,1.0
1001961,1115048001710.0,21.06,0.48,138.91144,14.17781,54464.39425,0.0
1001961,1115048001710.0,20.06,0.3,138.91138999999998,14.177999999999999,54241.14855,0.0
1001961,1115048001710.0,19.7,0.23,138.91179,14.1782,54421.41338,0.0
1001961,1115048001710.0,20.36,0.33,138.91128,14.17854,54421.44771,0.0
1001961,1115048001710.0,21.17,0.51,138.91168000000002,14.17826,54503.2738,0.0
1001961,1115048001710.0,20.46,0.39,138.91118,14.17789,54867.27622000001,0.0
1001961,1115048001710.0,21.16,0.51,138.91335,14.17891,54905.19184,0.0
1001961,1115048001710.0,20.92,0.46,138.91181,14.17726,55241.30601,0.0
1001961,1115048001710.0,20.18,0.29,138.91302,14.17924,55202.44654,0.0
1001961,1115048001710.0,20.25,0.31,138.91235,14.177999999999999,55259.27134,0.0
1001961,1115048001710.0,20.97,0.46,138.91133,14.17731,55259.27712000001,0.0
1001961,1115048001710.0,19.96,0.27,138.91178,14.17827,55275.20896,0.0
1001961,1115048001710.0,20.27,0.32,138.91126,14.17876,55503.4903,0.0
1001961,1115048001710.0,19.76,0.21,138.90977,14.17965,55655.24135,0.0
1001961,1115048001710.0,19.93,0.23,138.91144,14.17841,55596.26905,0.0
1001961,1115048001710.0,21.31,0.59,138.91126,14.17829,55615.18144,0.0
1001961,1115048001710.0,21.28,0.57,138.91136,14.17808,55615.18887000001,0.0
1001961,1115048001710.0,20.33,0.25,138.91132,14.17833,55625.1508,0.0
1001961,1115048001710.0,20.21,0.23,138.91199,14.17801,55625.16846,0.0
1001961,1115048001710.0,19.34,0.15,138.91224,14.178579999999998,55625.17735,0.0
1001961,1115048001710.0,20.62,0.4,138.91175,14.17906,55631.19433,0.0
1001961,1115048001710.0,19.94,0.28,138.91194,14.17766,55645.16763,0.0
1001961,1115048001710.0,20.5,0.36,138.91163,14.17756,55864.47346,0.0
1001961,1115048001710.0,19.91,0.26,138.91275,14.177879999999998,55864.48271,0.0
1001961,1115048001710.0,19.89,0.26,138.91185,14.17741,55919.43781,0.0
1001961,1115048001710.0,20.45,0.31,138.91187,14.17753,56220.47492000001,0.0
1001961,1115048001710.0,19.81,0.25,138.91141000000002,14.17821,56245.44179,0.0
1001961,1115048001710.0,21.09,0.43,138.91208999999998,14.17777,56255.41632999999,0.0
1001961,1115048001710.0,20.53,0.31,138.91161,14.1784,56268.39845,0.0
1001961,1115048001710.0,19.64,0.19,138.9118,14.17829,56274.41235,0.0
1001961,1115048001710.0,21.29,0.47,138.91074,14.17736,56274.41886000001,0.0
1001961,1115048001710.0,20.43,0.34,138.9111,14.17801,56281.41235,0.0
1001961,1115048001710.0,20.31,0.33,138.911,14.17829,56330.3667,0.0
1001961,1115048001710.0,20.35,0.28,138.91183999999998,14.17799,55955.2908,0.0
1001961,1115048001710.0,19.83,0.25,138.91177,14.17828,56591.49276,0.0
1001961,1115048001898.0,20.18,0.3,138.91554,14.18769,53469.18466,0.0
1001961,1115048001898.0,19.65,0.23,138.91543,14.18804,53469.20906,0.0
1001961,1115048001898.0,20.38,0.34,138.91556,14.18781,53726.45527000001,0.0
1001961,1115048001898.0,19.01,0.17,138.91564,14.18833,54081.45452000001,0.0
1001961,1115048001898.0,20.91,0.47,138.91342,14.18743,53745.4755,0.0
1001961,1115048001898.0,21.02,0.5,138.91527,14.18749,53799.23191,0.0
1001961,1115048001898.0,19.72,0.24,138.91494,14.18779,53799.23756,0.0
1001961,1115048001898.0,19.16,0.43,138.9153,14.187170000000002,53885.15586,0.0
1001961,1115048001898.0,20.95,0.44,138.91657,14.18658,54027.51176,0.0
1001961,1115048001898.0,20.21,0.3,138.91515,14.18794,54437.37555,0.0
1001961,1115048001898.0,20.68,0.38,138.91548999999998,14.18728,54437.38836,0.0
1001961,1115048001898.0,20.4,0.33,138.91515,14.18743,54437.40112,0.0
1001961,1115048001898.0,20.78,0.4,138.91536000000002,14.18739,54437.41393,0.0
1001961,1115048001898.0,20.28,0.31,138.91477,14.187970000000002,54448.42395,0.0
1001961,1115048001898.0,20.29,0.31,138.91512,14.18829,54124.37837000001,0.0
1001961,1115048001898.0,19.75,0.24,138.91476,14.18767,54408.45801,0.0
1001961,1115048001898.0,20.29,0.32,138.91601,14.18793,54411.42288,0.0
1001961,1115048001898.0,20.72,0.41,138.91555,14.18824,54559.16669,0.0
1001961,1115048001898.0,21.12,0.51,138.91493,14.18777,54559.17427,0.0
1001961,1115048001898.0,19.19,0.18,138.91545,14.187879999999998,54567.15631000001,0.0
1001961,1115048001898.0,20.29,0.31,138.91545,14.18798,54503.2672,0.0
1001961,1115048001898.0,20.34,0.32,138.91533,14.1876,54503.2738,0.0
1001961,1115048001898.0,20.09,0.28,138.91491000000002,14.18759,54475.47092000001,0.0
1001961,1115048001898.0,20.18,0.29,138.9149,14.18814,54495.32735,0.0
1001961,1115048001898.0,19.78,0.2,138.91557,14.18753,54537.1653,0.0
1001961,1115048001898.0,20.18,0.25,138.91528,14.18809,54537.17171,0.0
1001961,1115048001898.0,20.36,0.28,138.91556,14.18793,54537.17811,0.0
1001961,1115048001898.0,20.7,0.33,138.91565,14.18814,54537.18453,0.0
1001961,1115048001898.0,20.32,0.32,138.9153,14.18772,54590.14567000001,0.0
1001961,1115048001898.0,20.62,0.43,138.91468999999998,14.18817,54590.1586,0.0
1001961,1115048001898.0,19.98,0.27,138.91556,14.18741,54594.15635,0.0
1001961,1115048001898.0,20.07,0.27,138.91522,14.18779,54791.49274,0.0
1001961,1115048001898.0,20.25,0.31,138.91538,14.1875,54938.18929,0.0
1001961,1115048001898.0,20.15,0.33,138.91519,14.18837,54867.28059,0.0
1001961,1115048001898.0,19.92,0.22,138.91523,14.18801,54887.30626000001,0.0
1001961,1115048001898.0,20.14,0.3,138.91432,14.1879,55162.40022,0.0
1001961,1115048001898.0,20.05,0.28,138.91518,14.1878,55296.16444,0.0
1001961,1115048001898.0,20.33,0.37,138.91521,14.18814,55539.44357999999,0.0
1001961,1115048001898.0,19.96,0.28,138.91502,14.18758,55232.25992999999,0.0
1001961,1115048001898.0,20.88,0.45,138.91541999999998,14.18726,55241.30601,0.0
1001961,1115048001898.0,20.66,0.4,138.91498,14.18791,55241.31358,0.0
1001961,1115048001898.0,19.88,0.26,138.91494,14.18741,55241.32109,0.0
1001961,1115048001898.0,21.27,0.56,138.91533,14.18813,55275.19518,0.0
1001961,1115048001898.0,19.55,0.22,138.91498,14.18812,55503.49602000001,0.0
1001961,1115048001898.0,19.88,0.3,138.91526000000002,14.18828,55483.49769,0.0
1001961,1115048001898.0,20.67,0.34,138.91503,14.18762,55655.22752000001,0.0
1001961,1115048001898.0,20.21,0.26,138.9151,14.18765,55596.26905,0.0
1001961,1115048001898.0,20.38,0.28,138.91537,14.18781,55596.27875,0.0
1001961,1115048001898.0,20.07,0.24,138.91512,14.18755,55596.29824,0.0
1001961,1115048001898.0,20.35,0.34,138.91532,14.18779,55615.18144,0.0
1001961,1115048001898.0,20.39,0.35,138.91564,14.18754,55615.19633,0.0
1001961,1115048001898.0,20.38,0.34,138.91599,14.18832,55615.20369,0.0
1001961,1115048001898.0,20.08,0.22,138.91507,14.18818,55625.1508,0.0
1001961,1115048001898.0,19.9,0.2,138.91478999999998,14.18765,55625.15963,0.0
1001961,1115048001898.0,19.99,0.29,138.91494,14.18728,55684.20488,0.0
1001961,1115048001898.0,19.74,0.24,138.91482,14.18742,55857.49242,0.0
1001961,1115048001898.0,19.96,0.27,138.91543,14.18687,55887.43198,0.0
1001961,1115048001898.0,20.8,0.43,138.91533,14.18774,55919.44629,0.0
1001961,1115048001898.0,20.83,0.42,138.91532,14.18729,55940.39555,0.0
1001961,1115048001898.0,20.44,0.3,138.91492,14.18723,55979.21795,0.0
1001961,1115048001898.0,20.04,0.24,138.915,14.18764,55979.23559,0.0
1001961,1115048001898.0,20.63,0.33,138.91472,14.18771,55979.24439,0.0
1001961,1115048001898.0,20.3,0.27,138.91522,14.18743,56007.2078,0.0
1001961,1115048001898.0,20.68,0.34,138.91567,14.1877,56007.21805,0.0
1001961,1115048001898.0,20.17,0.25,138.91568,14.18796,56007.22821,0.0
1001961,1115048001898.0,20.18,0.32,138.91521,14.187970000000002,56040.14301,0.0
1001961,1115048001898.0,19.72,0.2,138.91487,14.18818,56063.17067000001,0.0
1001961,1115048001898.0,19.96,0.23,138.91528,14.18837,56063.18555,0.0
1001961,1115048001898.0,20.77,0.43,138.91492,14.18835,56213.46987000001,0.0
1001961,1115048001898.0,20.8,0.38,138.91468999999998,14.18849,56220.48043,0.0
1001961,1115048001898.0,19.86,0.25,138.91529,14.18743,56245.45029,0.0
1001961,1115048001898.0,20.83,0.37,138.91539,14.18819,56268.41067000001,0.0
1001961,1115048001898.0,20.07,0.24,138.91491000000002,14.18791,56274.40582000001,0.0
1001961,1115048001898.0,20.04,0.28,138.91558,14.18743,56281.3922,0.0
1001961,1115048001898.0,19.9,0.26,138.91548999999998,14.18726,56295.48721,0.0
1001961,1115048001898.0,20.46,0.52,138.91526000000002,14.18791,56326.16031,0.0
1001961,1115048001898.0,19.65,0.23,138.91518,14.18751,56330.37704,0.0
1001961,1115048001898.0,20.42,0.29,138.91463000000002,14.1878,56337.26608,0.0
1001961,1115048001898.0,20.13,0.25,138.91533,14.18785,56337.27569,0.0
1001961,1115048001898.0,21.44,0.52,138.91541999999998,14.187829999999998,56337.28536,0.0
1001961,1115048001898.0,20.26,0.26,138.91438,14.187779999999998,55955.30166000001,0.0
1001961,1115048001898.0,19.81,0.27,138.91515,14.18745,56383.19096,0.0
1001961,1115048001898.0,19.91,0.23,138.91501,14.18757,56389.16157999999,0.0
1001961,1115048001898.0,19.88,0.28,138.91585,14.18738,56396.13316000001,0.0
1001961,1115048001898.0,19.91,0.27,138.91494,14.18741,56396.14054,0.0
1001961,1115048001898.0,20.47,0.37,138.9153,14.18779,56396.14797000001,0.0
1001961,1115048001898.0,20.88,0.46,138.91613,14.18734,56573.49758,0.0
1001961,1115048001951.0,17.77,0.1,138.92013,14.184000000000001,53469.18466,0.0
1001961,1115048001951.0,17.75,0.1,138.92029,14.18402,53469.19277,0.0
1001961,1115048001951.0,17.78,0.1,138.92028,14.183979999999998,53469.20091,0.0
1001961,1115048001951.0,17.77,0.1,138.92018000000002,14.18397,53469.20906,0.0
1001961,1115048001951.0,17.72,0.1,138.92016,14.18387,53726.45527000001,0.0
1001961,1115048001951.0,17.64,0.1,138.92032,14.18401,53726.46194,0.0
1001961,1115048001951.0,17.71,0.1,138.92011000000002,14.18406,53726.4686,0.0
1001961,1115048001951.0,17.83,0.11,138.92025,14.18409,53726.47532000001,0.0
1001961,1115048001951.0,17.57,0.11,138.92039,14.18413,53500.12681,0.0
1001961,1115048001951.0,17.76,0.12,138.92027,14.18381,53500.13059,0.0
1001961,1115048001951.0,17.78,0.12,138.92033,14.1839,53500.13438,0.0
1001961,1115048001951.0,17.85,0.13,138.92028,14.18399,53500.13816,0.0
1001961,1115048001951.0,17.84,0.11,138.92033,14.18376,53688.44251,0.0
1001961,1115048001951.0,17.7,0.1,138.92018000000002,14.18399,53688.44899,0.0
1001961,1115048001951.0,17.54,0.1,138.92021,14.18402,53688.45543,0.0
1001961,1115048001951.0,17.59,0.1,138.92015,14.183979999999998,53688.46355,0.0
1001961,1115048001951.0,17.78,0.11,138.92021,14.18405,53703.45273,0.0
1001961,1115048001951.0,17.89,0.11,138.92014,14.18397,53703.45868,0.0
1001961,1115048001951.0,17.71,0.11,138.92032,14.18404,53654.47786,0.0
1001961,1115048001951.0,17.66,0.1,138.92033999999998,14.18386,53654.48218,0.0
1001961,1115048001951.0,17.8,0.11,138.92031,14.1839,53654.48663,0.0
1001961,1115048001951.0,17.75,0.11,138.9203,14.18392,53654.49096,0.0
1001961,1115048001951.0,17.69,0.11,138.92036000000002,14.18379,53671.44489,0.0
1001961,1115048001951.0,17.59,0.1,138.92013,14.183929999999998,53671.45077,0.0
1001961,1115048001951.0,17.7,0.11,138.92014,14.183979999999998,53671.45664,0.0
1001961,1115048001951.0,17.72,0.11,138.92016,14.18404,53671.46253,0.0
1001961,1115048001951.0,17.77,0.11,138.92026,14.18391,53827.17529,0.0
1001961,1115048001951.0,17.7,0.1,138.92027,14.18404,53827.18063,0.0
1001961,1115048001951.0,17.69,0.1,138.9202,14.18397,53827.18601000001,0.0
1001961,1115048001951.0,17.75,0.1,138.92023,14.18397,53827.19137000001,0.0
1001961,1115048001951.0,17.73,0.1,138.92025,14.183979999999998,53844.14926000001,0.0
1001961,1115048001951.0,17.84,0.11,138.92016999999998,14.183929999999998,53844.15682999999,0.0
1001961,1115048001951.0,17.74,0.1,138.92018000000002,14.18392,53844.1644,0.0
1001961,1115048001951.0,17.7,0.1,138.92022,14.18395,53844.17197999999,0.0
1001961,1115048001951.0,17.79,0.1,138.92023999999998,14.184029999999998,54081.45452000001,0.0
1001961,1115048001951.0,17.8,0.1,138.92006999999998,14.18404,54081.46106,0.0
1001961,1115048001951.0,17.8,0.1,138.92019,14.18396,54081.46766,0.0
1001961,1115048001951.0,17.83,0.1,138.92015,14.184000000000001,54081.47426,0.0
1001961,1115048001951.0,17.79,0.1,138.92033,14.18387,54094.28936,0.0
1001961,1115048001951.0,17.87,0.1,138.92025,14.1839,54094.30078,0.0
1001961,1115048001951.0,17.72,0.1,138.9203,14.18389,54094.31216,0.0
1001961,1115048001951.0,17.81,0.1,138.92029,14.18383,54094.32353,0.0
1001961,1115048001951.0,17.68,0.1,138.92031,14.18386,53786.19887000001,0.0
1001961,1115048001951.0,17.66,0.1,138.9202,14.18389,53786.20641,0.0
1001961,1115048001951.0,17.7,0.11,138.92021,14.18386,53786.21394,0.0
1001961,1115048001951.0,17.66,0.1,138.92023999999998,14.18386,53786.22146,0.0
1001961,1115048001951.0,17.65,0.1,138.92026,14.184029999999998,53745.44953,0.0
1001961,1115048001951.0,17.53,0.1,138.92025,14.18394,53745.45816,0.0
1001961,1115048001951.0,17.61,0.1,138.92027,14.183979999999998,53745.46681000001,0.0
1001961,1115048001951.0,17.65,0.1,138.92023,14.183929999999998,53745.4755,0.0
1001961,1115048001951.0,17.7,0.1,138.9202,14.18397,53754.23359,0.0
1001961,1115048001951.0,17.67,0.1,138.92042,14.18395,53754.24019,0.0
1001961,1115048001951.0,17.74,0.1,138.92012,14.18404,53754.24677000001,0.0
1001961,1115048001951.0,17.79,0.1,138.92033,14.183929999999998,53754.2534,0.0
1001961,1115048001951.0,17.95,0.3,138.92061,14.18413,53903.15102000001,0.0
1001961,1115048001951.0,17.42,0.23,138.92006999999998,14.18394,53903.15304,0.0
1001961,1115048001951.0,17.84,0.11,138.92023999999998,14.18395,53799.23191,0.0
1001961,1115048001951.0,17.68,0.1,138.92016999999998,14.18397,53799.23756,0.0
1001961,1115048001951.0,17.76,0.1,138.92023999999998,14.18399,53799.24315,0.0
1001961,1115048001951.0,17.73,0.1,138.92021,14.183929999999998,53799.24863,0.0
1001961,1115048001951.0,17.89,0.29,138.92001000000002,14.18374,53866.22429,0.0
1001961,1115048001951.0,17.87,0.29,138.92053,14.18419,53866.22504,0.0
1001961,1115048001951.0,17.44,0.23,138.92016999999998,14.18366,53866.22577000001,0.0
1001961,1115048001951.0,17.7,0.26,138.91981,14.1836,53866.22652,0.0
1001961,1115048001951.0,17.78,0.11,138.92016,14.18395,53874.15192999999,0.0
1001961,1115048001951.0,17.81,0.11,138.92014,14.1839,53874.15727,0.0
1001961,1115048001951.0,17.58,0.1,138.9201,14.18405,53874.16265,0.0
1001961,1115048001951.0,17.63,0.11,138.92026,14.18391,53874.168,0.0
1001961,1115048001951.0,17.75,0.2,138.92019,14.183929999999998,53885.15501,0.0
1001961,1115048001951.0,17.61,0.19,138.92019,14.18384,53885.15586,0.0
1001961,1115048001951.0,17.66,0.19,138.92016,14.184000000000001,53885.156720000006,0.0
1001961,1115048001951.0,17.8,0.21,138.92029,14.18378,53885.15761,0.0
1001961,1115048001951.0,17.67,0.11,138.91997,14.183979999999998,53886.16468,0.0
1001961,1115048001951.0,17.64,0.11,138.92009,14.18385,53886.17401,0.0
1001961,1115048001951.0,17.61,0.11,138.92011000000002,14.18382,53886.18338,0.0
1001961,1115048001951.0,17.69,0.11,138.92016999999998,14.183929999999998,53886.19278,0.0
1001961,1115048001951.0,17.8,0.1,138.92031,14.18396,54054.45826,0.0
1001961,1115048001951.0,17.62,0.09,138.92016,14.18399,54054.46485,0.0
1001961,1115048001951.0,17.77,0.1,138.92015,14.184029999999998,54054.47141000001,0.0
1001961,1115048001951.0,17.83,0.1,138.92018000000002,14.18396,54054.47793,0.0
1001961,1115048001951.0,17.7,0.09,138.92031,14.184000000000001,54066.35207000001,0.0
1001961,1115048001951.0,17.74,0.09,138.92031,14.183879999999998,54066.36374,0.0
1001961,1115048001951.0,17.63,0.09,138.92023999999998,14.18394,54066.37537,0.0
1001961,1115048001951.0,17.74,0.09,138.92021,14.184000000000001,54066.38701000001,0.0
1001961,1115048001951.0,17.66,0.1,138.92029,14.1839,54009.4987,0.0
1001961,1115048001951.0,17.72,0.1,138.92022,14.183979999999998,54009.5009,0.0
1001961,1115048001951.0,17.62,0.1,138.92043,14.18395,54009.50312,0.0
1001961,1115048001951.0,17.68,0.1,138.92038,14.18394,54009.50532999999,0.0
1001961,1115048001951.0,17.74,0.1,138.92026,14.18396,54027.50847000001,0.0
1001961,1115048001951.0,17.7,0.1,138.92026,14.18409,54027.51176,0.0
1001961,1115048001951.0,17.74,0.1,138.92028,14.18392,54027.51507,0.0
1001961,1115048001951.0,17.83,0.1,138.92039,14.18386,54027.5184,0.0
1001961,1115048001951.0,17.79,0.1,138.92023,14.183879999999998,54028.45943,0.0
1001961,1115048001951.0,17.74,0.1,138.9203,14.18392,54028.46867,0.0
1001961,1115048001951.0,17.71,0.1,138.92028,14.1839,54028.4779,0.0
1001961,1115048001951.0,17.8,0.1,138.92029,14.18402,54028.48713,0.0
1001961,1115048001951.0,17.78,0.1,138.92023999999998,14.183929999999998,54437.37555,0.0
1001961,1115048001951.0,17.73,0.1,138.92027,14.183929999999998,54437.38836,0.0
1001961,1115048001951.0,17.7,0.1,138.92023999999998,14.18385,54437.40112,0.0
1001961,1115048001951.0,17.7,0.1,138.92023,14.183929999999998,54437.41393,0.0
1001961,1115048001951.0,17.7,0.1,138.92016,14.18401,54448.40781,0.0
1001961,1115048001951.0,17.68,0.1,138.92026,14.18394,54448.41318,0.0
1001961,1115048001951.0,17.76,0.1,138.92027,14.18389,54448.41857,0.0
1001961,1115048001951.0,17.72,0.1,138.92026,14.18394,54448.42395,0.0
1001961,1115048001951.0,17.7,0.1,138.92023999999998,14.1839,54454.36227000001,0.0
1001961,1115048001951.0,17.79,0.1,138.92022,14.18402,54454.36878,0.0
1001961,1115048001951.0,17.76,0.1,138.92031,14.18396,54454.37536000001,0.0
1001961,1115048001951.0,17.78,0.1,138.92021,14.18389,54454.38187999999,0.0
1001961,1115048001951.0,17.61,0.1,138.92023999999998,14.18397,54464.38771,0.0
1001961,1115048001951.0,17.81,0.1,138.92022,14.18399,54464.39425,0.0
1001961,1115048001951.0,17.77,0.1,138.92023999999998,14.18392,54464.4008,0.0
1001961,1115048001951.0,17.69,0.1,138.92028,14.18392,54464.40737000001,0.0
1001961,1115048001951.0,17.85,0.34,138.92013,14.18372,54140.32734,0.0
1001961,1115048001951.0,17.94,0.38,138.92026,14.18383,54140.32834,0.0
1001961,1115048001951.0,17.64,0.1,138.92031,14.18394,54157.21511000001,0.0
1001961,1115048001951.0,17.8,0.11,138.92022,14.18377,54109.29556000001,0.0
1001961,1115048001951.0,17.73,0.11,138.9203,14.18404,54109.30366000001,0.0
1001961,1115048001951.0,17.56,0.11,138.92006,14.18366,54109.31177000001,0.0
1001961,1115048001951.0,17.72,0.1,138.92023999999998,14.183929999999998,54110.33582000001,0.0
1001961,1115048001951.0,17.73,0.1,138.9202,14.18399,54110.34351,0.0
1001961,1115048001951.0,17.76,0.1,138.92036000000002,14.18385,54110.35126,0.0
1001961,1115048001951.0,17.72,0.1,138.92023999999998,14.18396,54110.35898,0.0
1001961,1115048001951.0,17.71,0.1,138.92018000000002,14.18402,54124.37182000001,0.0
1001961,1115048001951.0,17.71,0.1,138.92022,14.18405,54124.37837000001,0.0
1001961,1115048001951.0,17.71,0.1,138.9203,14.184079999999998,54124.38494,0.0
1001961,1115048001951.0,17.76,0.1,138.92014,14.18397,54124.39148,0.0
