InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1002041,1135042024235.0,20.82,0.43,142.44013,35.08525,53711.36864,0.0
1002041,1135042024235.0,19.77,0.24,142.44005,35.085159999999995,53711.37692,0.0
1002041,1135042024235.0,20.11,0.29,142.4409,35.08511,53711.38513,0.0
1002041,1135042024235.0,19.82,0.25,142.44057,35.08524,53726.45898,0.0
1002041,1135042024235.0,20.23,0.31,142.4405,35.08517,53726.46573,0.0
1002041,1135042024235.0,20.17,0.3,142.43978,35.08511,53726.47243,0.0
1002041,1135042024235.0,19.75,0.24,142.43998,35.08527,53726.47918,0.0
1002041,1135042024235.0,19.53,0.23,142.44023,35.08495,53495.17108,0.0
1002041,1135042024235.0,20.19,0.33,142.4399,35.08527,53495.17756,0.0
1002041,1135042024235.0,19.78,0.25,142.44006000000005,35.08572,53678.44143,0.0
1002041,1135042024235.0,19.04,0.17,142.44043,35.08528,53678.4469,0.0
1002041,1135042024235.0,20.15,0.3,142.44079,35.08526,53678.45241000001,0.0
1002041,1135042024235.0,19.58,0.22,142.44033000000005,35.0853,53687.43658,0.0
1002041,1135042024235.0,19.73,0.24,142.43948,35.08567,53687.44302000001,0.0
1002041,1135042024235.0,20.38,0.34,142.44066999999995,35.084790000000005,53687.44945,0.0
1002041,1135042024235.0,19.81,0.25,142.44013,35.08615,53687.4559,0.0
1002041,1135042024235.0,19.24,0.19,142.44038,35.08527,53702.47772,0.0
1002041,1135042024235.0,19.91,0.26,142.44038999999995,35.08529,53702.48649,0.0
1002041,1135042024235.0,19.96,0.27,142.44014,35.08524,53702.49534,0.0
1002041,1135042024235.0,21.02,0.52,142.44038,35.08515,53854.22013,0.0
1002041,1135042024235.0,20.26,0.34,142.43982,35.08538,53854.23425,0.0
1002041,1135042024235.0,20.51,0.34,142.44008,35.08547,54094.34509,0.0
1002041,1135042024235.0,19.41,0.2,142.43986,35.08525,54094.35556,0.0
1002041,1135042024235.0,20.26,0.3,142.44024,35.08555,54094.36601000001,0.0
1002041,1135042024235.0,19.75,0.23,142.44035,35.08521,54094.3765,0.0
1002041,1135042024235.0,19.52,0.22,142.43963,35.08503,53770.23421,0.0
1002041,1135042024235.0,19.79,0.25,142.44025,35.08529,53770.24194,0.0
1002041,1135042024235.0,20.16,0.3,142.44021999999995,35.08549,53770.24965,0.0
1002041,1135042024235.0,19.4,0.21,142.44036,35.08526,53788.16093,0.0
1002041,1135042024235.0,20.05,0.3,142.4399,35.085,53788.17563,0.0
1002041,1135042024235.0,19.89,0.26,142.44021,35.08531,53788.18217000001,0.0
