InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1002081,1118050051695.0,21.03,0.49,144.69732,19.61436,53733.33855,0.0
1002081,1118050051695.0,18.73,0.15,144.69716,19.6139,54205.19297999999,0.0
1002081,1118050051695.0,21.29,0.55,144.69697,19.61439,54175.24124,0.0
1002081,1118050051695.0,20.41,0.33,144.69737,19.61452,54417.47355,0.0
1002081,1118050051695.0,20.08,0.24,144.69725,19.614420000000006,55596.33677,0.0
1002081,1118050051695.0,21.23,0.45,144.69746999999995,19.61545,55979.25752000001,0.0
1002081,1118050051695.0,20.05,0.29,144.69795,19.61425,55986.24106,0.0
1002081,1118050051695.0,20.41,0.29,144.69725,19.61435,56244.45313,0.0
1002081,1118050051891.0,20.48,0.35,144.70041,19.6396,53469.23634,0.0
1002081,1118050051891.0,20.86,0.43,144.70057,19.6398,54081.5229,0.0
1002081,1118050051891.0,19.97,0.26,144.70061,19.64016,54092.4636,0.0
1002081,1118050051891.0,20.53,0.37,144.70043,19.63952,53788.2542,0.0
1002081,1118050051891.0,20.99,0.49,144.70115,19.64047,53745.48029,0.0
1002081,1118050051891.0,20.36,0.42,144.70093,19.63977,53803.19721000001,0.0
1002081,1118050051891.0,19.8,0.27,144.70115,19.63966,53875.18751,0.0
1002081,1118050051891.0,19.93,0.29,144.7019,19.64043,53875.19394,0.0
1002081,1118050051891.0,20.66,0.44,144.69941,19.64013,53875.20682000001,0.0
1002081,1118050051891.0,20.82,0.46,144.70073,19.63963,53881.14992999999,0.0
1002081,1118050051891.0,19.82,0.24,144.70076,19.63937,54029.50562,0.0
1002081,1118050051891.0,21.01,0.47,144.70054,19.63964,54464.3861,0.0
1002081,1118050051891.0,20.45,0.34,144.70075,19.63948,54146.36509,0.0
1002081,1118050051891.0,19.76,0.23,144.70045,19.6398,54157.27032,0.0
1002081,1118050051891.0,20.8,0.41,144.70096999999996,19.63783,54157.27032,1.0
1002081,1118050051891.0,20.3,0.31,144.70002,19.63966,54116.33546,0.0
1002081,1118050051891.0,20.71,0.38,144.70081000000005,19.63959,54116.3551,0.0
1002081,1118050051891.0,20.9,0.44,144.70129,19.63977,54175.22924,0.0
1002081,1118050051891.0,19.72,0.23,144.70033999999995,19.63972,54175.24124,0.0
1002081,1118050051891.0,20.86,0.43,144.70083,19.63918,54175.24724,0.0
1002081,1118050051891.0,20.59,0.38,144.70082,19.63916,54231.16677999999,0.0
1002081,1118050051891.0,21.17,0.51,144.70057,19.64026,54417.45028,0.0
1002081,1118050051891.0,20.21,0.3,144.70078999999996,19.6399,54417.46579,0.0
1002081,1118050051891.0,20.43,0.33,144.70042,19.63961,54417.47355,0.0
1002081,1118050051891.0,20.12,0.29,144.70113999999995,19.63985,54564.1761,0.0
1002081,1118050051891.0,19.68,0.23,144.70051,19.64,54564.18314,0.0
1002081,1118050051891.0,20.15,0.29,144.70071000000004,19.63987,54564.19712999999,0.0
1002081,1118050051891.0,20.81,0.4,144.70054,19.63995,54830.4188,0.0
1002081,1118050051891.0,20.6,0.36,144.70039,19.63969,54830.42484,0.0
1002081,1118050051891.0,20.67,0.39,144.70038,19.63953,54535.29136,0.0
1002081,1118050051891.0,21.17,0.51,144.70064,19.6402,54535.30479,0.0
1002081,1118050051891.0,21.37,0.58,144.70047,19.63986,54535.31156,0.0
1002081,1118050051891.0,20.11,0.29,144.70164,19.639470000000006,54548.2811,0.0
1002081,1118050051891.0,20.23,0.32,144.70033999999995,19.64037,54592.17259,0.0
1002081,1118050051891.0,19.68,0.24,144.70091000000005,19.64019,54592.17861,0.0
1002081,1118050051891.0,21.1,0.5,144.70078,19.63941,54923.15605,0.0
1002081,1118050051891.0,20.57,0.37,144.70128,19.63833,54938.19148,0.0
1002081,1118050051891.0,20.66,0.39,144.70035,19.63999,54951.19075,0.0
1002081,1118050051891.0,19.22,0.2,144.69968,19.64,54867.23629,0.0
1002081,1118050051891.0,20.0,0.26,144.70065,19.63923,54887.30931,0.0
1002081,1118050051891.0,20.91,0.45,144.7006,19.63978,54906.19316,0.0
1002081,1118050051891.0,20.06,0.29,144.69975,19.63958,54977.18022,0.0
1002081,1118050051891.0,20.55,0.38,144.70062,19.63942,54977.18682,0.0
1002081,1118050051891.0,20.51,0.35,144.70051999999995,19.63964,55161.45539,0.0
1002081,1118050051891.0,21.07,0.5,144.70058,19.63977,55162.43302999999,0.0
1002081,1118050051891.0,20.43,0.35,144.70085,19.63969,55162.44218,0.0
1002081,1118050051891.0,20.11,0.3,144.70268000000004,19.63826,55118.48402,0.0
1002081,1118050051891.0,20.15,0.3,144.69975,19.64081,55118.48895,0.0
1002081,1118050051891.0,20.27,0.4,144.70003,19.64088,55126.49407000001,0.0
1002081,1118050051891.0,18.7,0.18,144.70074,19.63977,55126.50106,0.0
1002081,1118050051891.0,19.1,0.22,144.70096999999996,19.63918,55126.50455,0.0
1002081,1118050051891.0,19.23,0.18,144.70117,19.63977,55296.17848,0.0
1002081,1118050051891.0,20.54,0.36,144.70044,19.63963,55296.18415,0.0
1002081,1118050051891.0,21.04,0.48,144.70036000000005,19.64003,55296.18983,0.0
1002081,1118050051891.0,19.97,0.27,144.70058999999995,19.63949,55538.45322999999,0.0
1002081,1118050051891.0,20.33,0.32,144.70025,19.63948,55203.38799,0.0
1002081,1118050051891.0,19.89,0.25,144.70058,19.64018,55259.26734,0.0
1002081,1118050051891.0,20.3,0.31,144.70074,19.63903,55272.17009,0.0
1002081,1118050051891.0,20.09,0.29,144.70058,19.64061,55329.17901,0.0
1002081,1118050051891.0,20.57,0.37,144.70049,19.6397,55329.19396,0.0
1002081,1118050051891.0,21.38,0.51,144.70041,19.64007,55656.25257999999,0.0
