InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1002121,1112052038931.0,19.93,0.29,147.00508,13.31186,53671.48204,0.0
1002121,1112052038931.0,21.54,0.52,147.00406,13.30994,54887.28141,0.0
1002121,1112052038931.0,19.37,0.16,147.00339,13.31089,54887.28722000001,0.0
1002121,1112052038931.0,21.43,0.52,147.00534,13.31012,54887.30408,0.0
1002121,1112052038931.0,20.28,0.32,147.00405,13.31021,55296.19496,0.0
1002121,1112052038931.0,21.25,0.56,147.00479,13.3093,55559.3423,0.0
1002121,1112052038931.0,20.92,0.47,147.00343999999996,13.31159,55329.20973,0.0
1002121,1112052038931.0,21.13,0.51,147.00363000000004,13.308229999999998,55887.46381,0.0
1002121,1112052038931.0,21.07,0.49,147.00265,13.31073,55887.48617,0.0
1002121,1112052038931.0,20.01,0.27,147.0033,13.3107,55924.49806000001,0.0
1002121,1112052038931.0,20.08,0.29,147.00598,13.31001,56590.49526,0.0
1002121,1112052038972.0,16.58,0.08,146.99941,13.30073,53728.32668,0.0
1002121,1112052038972.0,16.55,0.08,146.99938,13.30078,53728.33603,0.0
1002121,1112052038972.0,16.57,0.08,146.99948,13.30074,53728.34536,0.0
1002121,1112052038972.0,16.64,0.08,146.99937,13.300770000000002,53728.35472,0.0
1002121,1112052038972.0,16.62,0.07,146.99942,13.300670000000002,53731.42222000001,0.0
1002121,1112052038972.0,16.58,0.07,146.99936,13.3007,53731.4267,0.0
1002121,1112052038972.0,16.61,0.07,146.99938999999995,13.300720000000002,53731.4311,0.0
1002121,1112052038972.0,16.58,0.07,146.99947,13.3007,53731.43569,0.0
1002121,1112052038972.0,16.51,0.07,146.99943000000005,13.30066,53500.1717,0.0
1002121,1112052038972.0,16.56,0.07,146.99945,13.30074,53500.17936,0.0
1002121,1112052038972.0,16.61,0.07,146.99938,13.300770000000002,53500.18703,0.0
1002121,1112052038972.0,16.63,0.08,146.99936,13.30074,53500.1947,0.0
1002121,1112052038972.0,16.54,0.07,146.99938,13.3007,53521.15264,0.0
1002121,1112052038972.0,16.63,0.08,146.99935,13.3008,53521.16073,0.0
1002121,1112052038972.0,16.56,0.07,146.99934,13.30073,53521.16885,0.0
1002121,1112052038972.0,16.59,0.08,146.99935,13.30073,53521.17699,0.0
1002121,1112052038972.0,16.58,0.07,146.99943000000005,13.300720000000002,53684.49347,0.0
1002121,1112052038972.0,16.57,0.07,146.99942,13.30074,53684.49828,0.0
1002121,1112052038972.0,16.59,0.08,146.99942,13.30074,53684.50313000001,0.0
1002121,1112052038972.0,16.6,0.08,146.99943000000005,13.30071,53684.50796,0.0
1002121,1112052038972.0,16.58,0.07,146.99947,13.30076,53703.45487,0.0
1002121,1112052038972.0,16.55,0.08,146.9995,13.300770000000002,53671.46891,0.0
1002121,1112052038972.0,16.59,0.08,146.99943000000005,13.30079,53671.47323,0.0
1002121,1112052038972.0,16.57,0.08,146.99938999999995,13.30073,53671.47758,0.0
1002121,1112052038972.0,16.58,0.08,146.99944,13.30076,53671.48204,0.0
1002121,1112052038972.0,16.58,0.08,146.99937,13.30071,53827.19637000001,0.0
1002121,1112052038972.0,16.61,0.08,146.99938,13.300770000000002,53827.20192000001,0.0
1002121,1112052038972.0,16.59,0.08,146.99938999999995,13.30075,53827.2073,0.0
1002121,1112052038972.0,16.61,0.08,146.9994,13.30076,53827.21275,0.0
1002121,1112052038972.0,16.6,0.08,146.99938999999995,13.30071,53843.16625,0.0
1002121,1112052038972.0,16.62,0.08,146.9994,13.300770000000002,53843.17429,0.0
1002121,1112052038972.0,16.59,0.08,146.99942,13.300820000000002,53843.18234,0.0
1002121,1112052038972.0,16.57,0.08,146.99942,13.3007,53843.19047,0.0
1002121,1112052038972.0,16.58,0.08,146.9994,13.30073,53786.23499,0.0
1002121,1112052038972.0,16.6,0.08,146.99944,13.30075,53786.2427,0.0
1002121,1112052038972.0,16.54,0.07,146.99944,13.30074,53786.25042,0.0
1002121,1112052038972.0,16.61,0.08,146.99945,13.30074,53786.25812000001,0.0
1002121,1112052038972.0,16.62,0.08,146.9994,13.30075,53745.45702,0.0
1002121,1112052038972.0,16.64,0.08,146.99941,13.30078,53745.46569,0.0
1002121,1112052038972.0,16.51,0.07,146.99944,13.30073,53745.47433,0.0
1002121,1112052038972.0,16.64,0.08,146.99935,13.30079,53745.48297999999,0.0
1002121,1112052038972.0,16.53,0.07,146.99938,13.30076,53755.27884,0.0
1002121,1112052038972.0,16.61,0.07,146.99937,13.30075,53755.2858,0.0
1002121,1112052038972.0,16.55,0.08,146.99944,13.3008,53755.29275,0.0
1002121,1112052038972.0,16.47,0.08,146.99933,13.30079,53755.2997,0.0
1002121,1112052038972.0,16.48,0.15,146.99934,13.30074,53903.16918,0.0
1002121,1112052038972.0,16.59,0.16,146.99944,13.30069,53903.17016,0.0
1002121,1112052038972.0,16.53,0.15,146.99945,13.30071,53903.1712,0.0
1002121,1112052038972.0,16.67,0.16,146.99941,13.300770000000002,53903.1722,0.0
1002121,1112052038972.0,16.62,0.08,146.99941,13.30075,53817.16339,0.0
1002121,1112052038972.0,16.58,0.07,146.99944,13.300679999999998,53817.17192000001,0.0
1002121,1112052038972.0,16.58,0.07,146.9994,13.30069,53817.18047000001,0.0
1002121,1112052038972.0,16.56,0.07,146.99946,13.30069,53817.18902000001,0.0
1002121,1112052038972.0,16.62,0.16,146.99922,13.3008,53866.24766,0.0
1002121,1112052038972.0,16.56,0.16,146.99918,13.30064,53866.24859,0.0
1002121,1112052038972.0,16.65,0.16,146.99926000000005,13.300820000000002,53866.24944,0.0
1002121,1112052038972.0,16.45,0.15,146.9996,13.30079,53866.2502,0.0
1002121,1112052038972.0,16.56,0.08,146.99944,13.30074,53874.17492000001,0.0
1002121,1112052038972.0,16.61,0.08,146.99938,13.30078,53874.18188,0.0
1002121,1112052038972.0,16.6,0.08,146.99934,13.30079,53874.18881,0.0
1002121,1112052038972.0,16.65,0.08,146.99938,13.30073,53874.19577000001,0.0
1002121,1112052038972.0,16.63,0.12,146.99929,13.30076,53885.1587,0.0
1002121,1112052038972.0,16.58,0.12,146.99933,13.300820000000002,53885.15957999999,0.0
1002121,1112052038972.0,16.5,0.12,146.99944,13.30071,53885.16048,0.0
1002121,1112052038972.0,16.53,0.12,146.99943000000005,13.30071,53885.16136000001,0.0
1002121,1112052038972.0,16.62,0.08,146.99938999999995,13.3007,53886.15744,0.0
1002121,1112052038972.0,16.56,0.08,146.99946,13.300720000000002,53886.16681,0.0
1002121,1112052038972.0,16.59,0.08,146.99941,13.30075,53886.17616,0.0
1002121,1112052038972.0,16.57,0.08,146.99942,13.30076,53886.1855,0.0
1002121,1112052038972.0,16.62,0.07,146.99948,13.30073,54027.51062000001,0.0
1002121,1112052038972.0,16.57,0.07,146.99938,13.30079,54027.51393,0.0
1002121,1112052038972.0,16.61,0.07,146.99938,13.30071,54027.51724,0.0
1002121,1112052038972.0,16.55,0.07,146.99933,13.30065,54027.52058,0.0
1002121,1112052038972.0,16.59,0.07,146.99941,13.30075,54028.46319,0.0
1002121,1112052038972.0,16.66,0.07,146.99938,13.30075,54028.4724,0.0
1002121,1112052038972.0,16.51,0.07,146.99941,13.30076,54028.48165,0.0
1002121,1112052038972.0,16.59,0.07,146.99947,13.30081,54028.49089,0.0
1002121,1112052038972.0,16.6,0.08,146.99935,13.30075,54197.16913,0.0
1002121,1112052038972.0,16.62,0.08,146.99937,13.30076,54197.17448,0.0
1002121,1112052038972.0,16.61,0.08,146.9994,13.30078,54197.17986,0.0
1002121,1112052038972.0,16.63,0.07,146.99943000000005,13.30075,54197.18521,0.0
