InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1002221,1129048016424.0,20.7,0.4,151.34633,29.04498,53708.51712,0.0
1002221,1129048016424.0,20.87,0.51,151.34593,29.04499,53737.33141,0.0
1002221,1129048016424.0,18.97,0.17,151.34818,29.04428,53740.42035,0.0
1002221,1129048016424.0,20.91,0.46,151.34473,29.04409,53757.44597000001,0.0
1002221,1129048016424.0,21.3,0.55,151.34566,29.04658,54174.28135,0.0
1002221,1129048016424.0,20.9,0.46,151.3466,29.0448,54804.43606,0.0
1002221,1129048016424.0,21.14,0.5,151.34608,29.04533,54866.27967,0.0
1002221,1129048016424.0,20.86,0.36,151.34585,29.04432000000001,54851.47257000001,0.0
1002221,1129048016424.0,20.77,0.42,151.346,29.04508,55302.11528,0.0
1002221,1129048016424.0,20.75,0.42,151.34615,29.04547,55617.36436,0.0
1002221,1129048016424.0,21.31,0.58,151.34593999999996,29.04474,55589.27118,0.0
1002221,1129048016424.0,20.93,0.5,151.34625,29.04519,55708.2253,0.0
1002221,1129048016424.0,20.89,0.38,151.34618999999995,29.04458,55980.25957,0.0
1002221,1129048016424.0,20.9,0.51,151.34566999999996,29.0449,55986.27328,0.0
1002221,1129048016424.0,20.65,0.41,151.34501,29.0455,56044.2818,0.0
1002221,1129048016424.0,20.61,0.39,151.34585,29.04475,56309.51311,0.0
1002221,1129048016424.0,21.21,0.61,151.34779,29.04692,56329.33761,0.0
1002221,1129048016424.0,20.28,0.35,151.34585,29.04506,56329.34957000001,0.0
1002221,1129048016469.0,20.19,0.31,151.32996,29.04447,53490.21447,0.0
1002221,1129048016469.0,20.48,0.37,151.3305,29.04399,53849.18471,0.0
1002221,1129048016469.0,20.43,0.36,151.33052,29.04396,53849.1981,0.0
1002221,1129048016469.0,21.03,0.49,151.33008,29.04422000000001,54095.35389,0.0
1002221,1129048016469.0,20.53,0.37,151.33072,29.04424,53793.31127000001,0.0
1002221,1129048016469.0,20.17,0.3,151.33125,29.04453,53737.33873,0.0
1002221,1129048016469.0,18.41,0.13,151.33033999999995,29.04634,53740.43126000001,0.0
1002221,1129048016469.0,20.29,0.31,151.33016,29.04422000000001,54440.39657,0.0
1002221,1129048016469.0,21.29,0.55,151.33005,29.04422000000001,54140.28139,0.0
1002221,1129048016469.0,20.2,0.22,151.32985,29.04426,54259.17267000001,0.0
1002221,1129048016469.0,20.02,0.29,151.33097,29.04323,54245.16528,0.0
1002221,1129048016469.0,21.02,0.48,151.32986,29.04409,54422.41812,0.0
1002221,1129048016469.0,20.53,0.36,151.3304,29.04463,54557.24739,0.0
1002221,1129048016469.0,20.27,0.47,151.32837,29.04405,54497.21887,0.0
1002221,1129048016469.0,20.35,0.32,151.33028000000004,29.04466,54504.30931,0.0
1002221,1129048016469.0,20.06,0.27,151.3305,29.0441,54504.32272999999,0.0
1002221,1129048016469.0,20.71,0.39,151.33087,29.04445,54524.36006,0.0
1002221,1129048016469.0,21.39,0.57,151.33046000000004,29.04425,54476.38806000001,0.0
1002221,1129048016469.0,20.55,0.37,151.33106999999995,29.043540000000004,54538.31118,0.0
1002221,1129048016469.0,20.14,0.29,151.33033,29.04436,54940.18573,0.0
1002221,1129048016469.0,20.51,0.35,151.33086,29.04461,54883.28967000001,0.0
1002221,1129048016469.0,20.44,0.36,151.33046000000004,29.04446,54884.18,0.0
1002221,1129048016469.0,21.43,0.49,151.33,29.04454,54851.47981,0.0
1002221,1129048016469.0,20.49,0.29,151.33042,29.04381,54851.48707,0.0
1002221,1129048016469.0,20.41,0.35,151.3303,29.04509,54908.25844,0.0
1002221,1129048016469.0,21.01,0.46,151.33053999999996,29.04407,54909.2795,0.0
1002221,1129048016469.0,20.4,0.35,151.3305,29.044490000000003,54975.19281,0.0
1002221,1129048016469.0,21.22,0.56,151.33032,29.04396,55302.13579,0.0
1002221,1129048016469.0,20.69,0.4,151.33102,29.04407,55242.23172999999,0.0
1002221,1129048016469.0,21.43,0.62,151.32965,29.0446,55242.23791,0.0
1002221,1129048016469.0,20.39,0.33,151.33032,29.04395,55208.379,0.0
1002221,1129048016469.0,20.68,0.39,151.33067,29.04408,55208.38726,0.0
1002221,1129048016469.0,20.01,0.27,151.33102,29.04475,55208.39551,0.0
1002221,1129048016469.0,19.78,0.24,151.33018,29.04349,55274.24802000001,0.0
1002221,1129048016469.0,20.42,0.34,151.33043,29.04428,55274.25551,0.0
1002221,1129048016469.0,20.58,0.39,151.33106999999995,29.04363,55328.23047,0.0
1002221,1129048016469.0,21.13,0.53,151.33103,29.04486,55505.50072,0.0
1002221,1129048016469.0,20.47,0.36,151.33093,29.044490000000003,55516.46776,0.0
1002221,1129048016469.0,20.85,0.44,151.33052,29.04431,55516.47937000001,0.0
1002221,1129048016469.0,20.1,0.25,151.33081,29.0447,55597.3925,0.0
1002221,1129048016469.0,20.81,0.36,151.33063,29.044290000000004,55597.40916,0.0
1002221,1129048016469.0,20.18,0.31,151.33104,29.04457,55617.35114,0.0
1002221,1129048016469.0,20.67,0.4,151.33016,29.04455,55569.37592000001,0.0
1002221,1129048016469.0,19.93,0.27,151.33088999999995,29.04397,55569.38173,0.0
1002221,1129048016469.0,19.47,0.21,151.33059,29.04416,55589.28861,0.0
