InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1002361,1118054033322,20.24,0.31,156.7393,18.50802,53469.26161,0
1002361,1118054033322,20.63,0.4,156.73873999999995,18.50973,53705.46572000001,0
1002361,1118054033322,20.83,0.43,156.73824,18.50919,53733.45095,0
1002361,1118054033322,21.22,0.5,156.7371,18.50914,54116.36502000001,0
1002361,1118054033322,21.04,0.53,156.73782,18.51065,54821.5457,0
1002361,1118054033322,20.78,0.42,156.7371,18.50967,54949.17597999999,0
1002361,1118054033322,20.97,0.35,156.73851000000005,18.50929,54889.30832999999,0
1002361,1118054033322,21.03,0.49,156.73903,18.50869,55347.17249,0
1002361,1118054033322,20.38,0.29,156.73729,18.5094,55597.40497999999,0
1002361,1118054033322,20.64,0.45,156.73707,18.50808,55718.2187,0
1002361,1118054033322,20.59,0.38,156.73756,18.50978,55920.39499,0
1002361,1118054033413,20.76,0.42,156.72628,18.51565,53469.26974,0
1002361,1118054033413,20.24,0.32,156.72557,18.51518,53827.23497000001,0
1002361,1118054033413,19.63,0.22,156.72552,18.51403,54092.47098,0
1002361,1118054033413,20.16,0.32,156.72573,18.51436,53878.18112000001,0
1002361,1118054033413,20.15,0.29,156.72451999999996,18.51427,54029.50054,0
1002361,1118054033413,20.26,0.31,156.7256,18.5144,54535.32279,0
1002361,1118054033413,21.19,0.53,156.7252,18.51631,54949.16928,0
1002361,1118054033413,20.93,0.34,156.72582,18.5149,54889.30832999999,0
1002361,1118054033413,20.86,0.33,156.72506,18.51419,54889.32861,0
1002361,1118054033413,20.4,0.35,156.72543000000005,18.51442,54998.1682,0
1002361,1118054033413,20.25,0.3,156.72666999999996,18.51417,54914.25713,0
1002361,1118054033413,21.38,0.59,156.72528,18.51445,55538.44511,0
1002361,1118054033413,20.76,0.41,156.72565,18.51443,55259.37508,0
1002361,1118054033413,20.47,0.3,156.72542,18.51443,55597.39668,0
1002361,1118054033413,20.61,0.38,156.72618,18.51464,55563.39884,0
1002361,1118054033413,20.57,0.39,156.72565,18.51451,55574.47425,0
1002361,1118054033413,21.16,0.52,156.72581,18.51458,55864.50219,0
1002361,1118054033413,21.04,0.48,156.72538,18.51448,55926.49797999999,0
1002361,1118054033413,21.37,0.49,156.72569,18.51389,55944.3773,0
1002361,1118054033413,20.89,0.38,156.72586,18.51501,55979.37235,0
1002361,1118054033413,19.87,0.26,156.72618,18.51427,55999.21736,0
1002361,1118054033413,20.84,0.44,156.72543000000005,18.51535,56010.33687000001,0
1002361,1118054033413,21.2,0.55,156.72542,18.51496,56010.35263,0
1002361,1118054033413,20.16,0.3,156.72608,18.51494,56033.14436000001,0
1002361,1118054033413,20.55,0.32,156.72614,18.51451,56064.21968,0
1002361,1118054033413,20.43,0.48,156.72581,18.51432,56338.24777,0
1002361,1118054033413,20.14,0.3,156.72536000000005,18.51499,56352.40123,0
1002361,1118054033413,20.68,0.42,156.72576,18.51523,56370.20657,0
1002361,1118054033413,20.53,0.36,156.72513,18.51442,55957.43529,0
1002361,1118054033413,19.48,0.25,156.72457,18.51563,56445.18685,0
1002361,1118054033589,20.8,0.43,156.73154,18.52321,53469.26161,0
1002361,1118054033589,20.46,0.35,156.73203999999996,18.52288,53469.26974,0
1002361,1118054033589,20.21,0.31,156.73241000000004,18.52306,53469.27788,0
1002361,1118054033589,20.27,0.33,156.73269,18.52333,53705.45698,0
1002361,1118054033589,20.0,0.28,156.73241000000004,18.52322,53712.43237,0
1002361,1118054033589,20.34,0.35,156.73192,18.52327,53672.48929,0
1002361,1118054033589,20.67,0.38,156.73148999999995,18.52186,54092.48243,0
1002361,1118054033589,20.34,0.33,156.73186,18.52309,53786.36829,0
1002361,1118054033589,20.87,0.45,156.732,18.52332,53794.31256000001,0
1002361,1118054033589,20.83,0.44,156.73238,18.52335,53794.32727,0
1002361,1118054033589,21.24,0.55,156.73242,18.52276,53761.38982,0
1002361,1118054033589,20.57,0.38,156.73169,18.52343,53761.40616000001,0
1002361,1118054033589,20.82,0.42,156.73217,18.52337,54029.50054,0
1002361,1118054033589,20.85,0.42,156.73243,18.52396,54029.51124,0
1002361,1118054033589,20.28,0.33,156.73228,18.52324,54198.2115,0
1002361,1118054033589,20.43,0.35,156.73275,18.5236,54213.22324,0
1002361,1118054033589,20.65,0.37,156.73216000000005,18.52301,54449.483,0
1002361,1118054033589,20.94,0.44,156.73238999999995,18.52307,54449.49028,0
1002361,1118054033589,19.61,0.21,156.73183999999995,18.5232,54116.36502000001,0
1002361,1118054033589,20.16,0.29,156.73228,18.52242,54175.24343,0
1002361,1118054033589,20.84,0.43,156.73228,18.52346,54564.23062,0
1002361,1118054033589,21.0,0.49,156.73253,18.52296,54581.2537,0
1002361,1118054033589,19.65,0.25,156.73295,18.52224,54821.5415,0
1002361,1118054033589,20.11,0.32,156.73269,18.52275,54821.5457,0
1002361,1118054033589,20.03,0.3,156.73201,18.52286,54821.55003,0
1002361,1118054033589,20.54,0.35,156.73215,18.5235,54830.44327,0
1002361,1118054033589,19.55,0.21,156.73178,18.52314,54830.44949,0
1002361,1118054033589,20.59,0.36,156.73227,18.52309,54502.3022,0
1002361,1118054033589,19.84,0.25,156.73198,18.52275,54535.31724,0
1002361,1118054033589,19.71,0.23,156.73157,18.52342,54535.32835,0
1002361,1118054033589,21.0,0.45,156.73182,18.52312,54535.33389,0
1002361,1118054033589,20.31,0.33,156.73242,18.52287,54592.19982,0
1002361,1118054033589,21.06,0.48,156.73198,18.52338,54923.16351000001,0
1002361,1118054033589,20.88,0.43,156.73163,18.52356,54923.16947000001,0
1002361,1118054033589,20.5,0.35,156.7324,18.52304,54939.19561,0
1002361,1118054033589,21.04,0.48,156.73183999999995,18.52313,54949.17597999999,0
1002361,1118054033589,20.27,0.24,156.73197,18.52303,54889.29813,0
1002361,1118054033589,20.41,0.26,156.73205,18.5229,54889.30832999999,0
1002361,1118054033589,20.29,0.24,156.73245,18.52316,54889.31852000001,0
1002361,1118054033589,20.5,0.27,156.73199,18.52317,54889.32861,0
1002361,1118054033589,20.38,0.33,156.73228999999995,18.52299,54907.21774,0
1002361,1118054033589,20.21,0.3,156.73271,18.52275,54907.22319,0
1002361,1118054033589,19.62,0.23,156.73234,18.52293,54976.19114,0
1002361,1118054033589,20.51,0.35,156.73288,18.5234,55160.4717,0
1002361,1118054033589,20.18,0.3,156.73283999999995,18.52349,55290.17493,0
1002361,1118054033589,20.65,0.39,156.73218,18.52265,55290.18173,0
1002361,1118054033589,20.07,0.28,156.73214,18.52291,55290.19541,0
1002361,1118054033589,21.22,0.54,156.73224,18.52315,55538.44511,0
1002361,1118054033589,21.16,0.53,156.7319,18.52282,55545.40797000001,0
1002361,1118054033589,19.61,0.22,156.73224,18.52307,55236.26234,0
1002361,1118054033589,18.4,0.13,156.73292,18.52285,55242.26172,0
1002361,1118054033589,18.36,0.13,156.73128,18.52422,55242.27094,0
1002361,1118054033589,20.31,0.32,156.73215,18.52325,55242.28023,0
1002361,1118054033589,20.32,0.32,156.73225,18.52269,55242.28949,0
1002361,1118054033589,21.14,0.5,156.73217,18.52339,55204.40494,0
1002361,1118054033589,21.01,0.47,156.73203,18.52291,55268.25902000001,0
1002361,1118054033589,21.33,0.49,156.73203,18.52311,55597.38834,0
1002361,1118054033589,20.37,0.28,156.73254,18.52314,55597.40497999999,0
1002361,1118054033589,20.5,0.3,156.73213,18.522920000000006,55597.41331,0
1002361,1118054033589,20.88,0.38,156.73214,18.52333,55615.26,0
1002361,1118054033589,20.37,0.29,156.73212,18.52317,55615.26902000001,0
1002361,1118054033589,20.4,0.29,156.73261000000005,18.52348,55615.27802000001,0
1002361,1118054033589,20.15,0.31,156.73117,18.52323,55574.47425,0
1002361,1118054033589,21.09,0.51,156.73247,18.52301,55587.43172000001,0
1002361,1118054033589,21.1,0.51,156.73214,18.5233,55587.43871,0
1002361,1118054033589,20.09,0.3,156.73173,18.52294,55645.14924,0
1002361,1118054033589,19.77,0.28,156.73193,18.52294,55718.20894,0
1002361,1118054033589,21.07,0.49,156.73223000000004,18.52297,55864.50902000001,0
1002361,1118054033589,19.85,0.25,156.73228999999995,18.522920000000006,55888.44797000001,0
