InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1002441,1138046018087,19.64,0.23,160.33638,37.58843,53711.40921000001,0
1002441,1138046018087,19.94,0.26,160.33585,37.58832,53711.41662,0
1002441,1138046018087,20.15,0.29,160.3365,37.58846,53711.42403,0
1002441,1138046018087,20.34,0.33,160.33605,37.58839,53711.4314,0
1002441,1138046018087,20.1,0.28,160.33668,37.58839,53734.37655,0
1002441,1138046018087,19.82,0.25,160.33669,37.58845,53734.38439,0
1002441,1138046018087,20.09,0.28,160.33616999999995,37.58861,53734.39221000001,0
1002441,1138046018087,19.65,0.23,160.33638,37.58832,53734.40027000001,0
1002441,1138046018087,19.88,0.27,160.33672,37.58833,53852.23864,0
1002441,1138046018087,20.11,0.3,160.33588999999995,37.58818,53852.24605,0
1002441,1138046018087,20.04,0.24,160.33649,37.58825,54095.39695,0
1002441,1138046018087,20.02,0.24,160.33626,37.58842,54095.40935,0
1002441,1138046018087,20.17,0.26,160.33604,37.58838,54095.42178,0
1002441,1138046018087,20.09,0.29,160.3361,37.58837,53770.294,0
1002441,1138046018087,20.46,0.37,160.33612,37.5885,53770.30261,0
1002441,1138046018087,20.53,0.38,160.33604,37.58829,53770.31117000001,0
1002441,1138046018087,20.14,0.3,160.33616999999995,37.58841,53770.31976000001,0
1002441,1138046018087,21.03,0.48,160.33596,37.58886,53741.38706,0
1002441,1138046018087,20.27,0.31,160.33593,37.58811,53741.39406000001,0
1002441,1138046018087,21.29,0.55,160.33692,37.58801,53741.40105,0
1002441,1138046018087,19.48,0.21,160.33648,37.58873,53741.40812000001,0
1002441,1138046018087,19.9,0.26,160.33615,37.58829,53757.38905,0
1002441,1138046018087,20.19,0.3,160.33573,37.58845,53762.33555,0
1002441,1138046018087,20.02,0.35,160.33717,37.58819,53762.3449,0
1002441,1138046018087,20.05,0.28,160.33607,37.58799000000001,53796.31952999999,0
1002441,1138046018087,19.87,0.26,160.33616999999995,37.58839,53796.3273,0
1002441,1138046018087,20.43,0.35,160.33632,37.58816,53796.33506000001,0
1002441,1138046018087,19.9,0.28,160.33574,37.58844000000001,53860.29197000001,0
1002441,1138046018087,20.34,0.35,160.33629,37.58838,53884.16099999999,0
1002441,1138046018087,20.97,0.5,160.33566000000005,37.58826,53884.17395,0
1002441,1138046018087,20.63,0.41,160.33563,37.58819,54051.45011000001,0
1002441,1138046018087,20.2,0.32,160.33531000000005,37.5888,54051.4618,0
1002441,1138046018087,19.29,0.17,160.3361,37.58858,54066.40073,0
1002441,1138046018087,20.28,0.28,160.33621000000005,37.5885,54066.4116,0
1002441,1138046018087,20.1,0.25,160.33595,37.58838,54066.42256,0
1002441,1138046018087,20.54,0.32,160.33647,37.58812,54066.43349,0
1002441,1138046018087,19.86,0.25,160.33638,37.58838,54208.26584,0
1002441,1138046018087,20.44,0.34,160.33563999999996,37.58809,54208.27471000001,0
1002441,1138046018087,20.18,0.29,160.33643999999995,37.58851,54452.34553,0
1002441,1138046018087,19.71,0.23,160.33706999999995,37.5883,54452.35208,0
1002441,1138046018087,20.66,0.38,160.33623,37.5881,54452.35871,0
1002441,1138046018087,19.61,0.22,160.33614,37.58798,54452.36535,0
1002441,1138046018087,20.02,0.27,160.33635,37.58833,54158.19847999999,0
1002441,1138046018087,20.3,0.31,160.33592,37.58808,54158.2056,0
1002441,1138046018087,20.28,0.22,160.33576000000005,37.58823,54259.19832,0
1002441,1138046018087,20.07,0.2,160.33623,37.58833,54259.21433,0
1002441,1138046018087,19.92,0.19,160.33616,37.58842,54264.17464,0
1002441,1138046018087,19.88,0.18,160.33577,37.58806,54264.18262000001,0
1002441,1138046018087,20.19,0.21,160.33608,37.58815,54264.1906,0
1002441,1138046018087,20.01,0.19,160.33598,37.58796,54264.19862,0
1002441,1138046018087,19.88,0.18,160.33567,37.58834,54270.1599,0
1002441,1138046018087,19.59,0.16,160.33585,37.58854,54270.16712000001,0
1002441,1138046018087,20.43,0.24,160.33645,37.58818,54270.18158,0
1002441,1138046018087,20.04,0.28,160.33661999999995,37.58835,54169.24012,0
1002441,1138046018087,19.99,0.27,160.33593,37.58833,54169.24831,0
1002441,1138046018087,20.6,0.37,160.33606,37.58814,54176.30296,0
1002441,1138046018087,20.03,0.27,160.33578,37.58806,54176.31144,0
1002441,1138046018087,19.78,0.24,160.33656000000005,37.58827,54176.31986,0
1002441,1138046018087,20.5,0.35,160.33637,37.58852,54176.32818,0
1002441,1138046018087,20.54,0.37,160.33536999999995,37.58822,54244.20705,0
1002441,1138046018087,20.32,0.32,160.33626,37.58838,54416.44587,0
1002441,1138046018087,20.84,0.44,160.33643999999995,37.58888,54416.45146,0
1002441,1138046018087,19.91,0.28,160.33625,37.58835,54416.46241,0
1002441,1138046018087,20.16,0.29,160.33641,37.58858,54557.2558,0
1002441,1138046018087,19.72,0.23,160.33631,37.58852,54557.26576,0
1002441,1138046018087,20.56,0.36,160.33618,37.58867,54557.27562000001,0
1002441,1138046018087,19.65,0.22,160.33602,37.58847,54557.28546,0
1002441,1138046018087,20.25,0.31,160.33624,37.5884,54566.25126000001,0
1002441,1138046018087,21.13,0.5,160.33654,37.58839,54566.25784,0
1002441,1138046018087,20.33,0.32,160.33575,37.5886,54584.21469,0
1002441,1138046018087,20.49,0.35,160.33642,37.58838,54584.22117999999,0
1002441,1138046018087,21.27,0.55,160.3369,37.58905,54584.22761,0
1002441,1138046018087,19.63,0.22,160.33618,37.58835,54584.23407000001,0
1002441,1138046018087,20.17,0.29,160.3366,37.58827,54805.41174,0
1002441,1138046018087,20.35,0.32,160.33611000000005,37.58817,54805.41969,0
1002441,1138046018087,20.56,0.35,160.33593,37.58826,54805.42773,0
1002441,1138046018087,20.24,0.3,160.33556000000004,37.58825,54805.43576,0
1002441,1138046018087,20.76,0.52,160.33659,37.58825,54497.24115,0
1002441,1138046018087,19.3,0.2,160.3361,37.58827,54507.28534,0
1002441,1138046018087,20.73,0.48,160.3363,37.58839,54507.29227000001,0
1002441,1138046018087,20.25,0.39,160.33626999999996,37.58837,54507.29922000001,0
1002441,1138046018087,20.04,0.29,160.33653,37.58866,54478.27668,0
1002441,1138046018087,20.83,0.42,160.33636,37.58834,54478.2837,0
1002441,1138046018087,20.51,0.35,160.33588999999995,37.58848,54478.2977,0
1002441,1138046018087,20.52,0.35,160.33606,37.5884,54530.30423,0
1002441,1138046018087,20.45,0.33,160.33604,37.58824,54530.30977000001,0
1002441,1138046018087,21.07,0.51,160.33616,37.58841,54530.31522999999,0
1002441,1138046018087,20.57,0.4,160.33598999999995,37.5885,54530.32076,0
1002441,1138046018087,20.3,0.32,160.33626999999996,37.58808,54594.27919,0
1002441,1138046018087,19.62,0.22,160.33588999999995,37.58822,54594.28677000001,0
1002441,1138046018087,19.88,0.26,160.33586,37.5884,54594.29434,0
1002441,1138046018087,20.32,0.32,160.33616,37.58837,54771.45789,0
1002441,1138046018087,19.93,0.26,160.33681,37.58857,54771.4628,0
1002441,1138046018087,19.95,0.26,160.33629,37.5885,54771.46769,0
1002441,1138046018087,19.55,0.21,160.33642,37.58872,54790.50709,0
1002441,1138046018087,20.19,0.29,160.33623,37.58825,54790.52169,0
1002441,1138046018087,19.64,0.22,160.33605,37.58833,54922.29757,0
1002441,1138046018087,20.03,0.27,160.33583000000004,37.5884,54922.30549,0
1002441,1138046018087,19.82,0.25,160.33597,37.58853,54922.31337,0
1002441,1138046018087,20.44,0.34,160.33602,37.58828,54922.32131,0
1002441,1138046018087,19.75,0.23,160.33607,37.5885,54941.22269,0
1002441,1138046018087,21.08,0.48,160.33616999999995,37.58857,54941.22858,0
1002441,1138046018087,20.16,0.29,160.33629,37.58856,54941.2346,0
1002441,1138046018087,19.55,0.21,160.33577,37.5887,54941.24065,0
1002441,1138046018087,20.32,0.31,160.33616,37.58859,55183.41157,0
1002441,1138046018087,20.22,0.3,160.33623,37.58796,55183.4162,0
1002441,1138046018087,19.5,0.21,160.3359,37.58836,55183.42083,0
1002441,1138046018087,20.42,0.37,160.33645,37.58791,54875.39378,0
1002441,1138046018087,19.55,0.23,160.33606,37.58858,54875.40447,0
1002441,1138046018087,20.77,0.44,160.3359,37.58871,54875.4099,0
1002441,1138046018087,19.94,0.25,160.33603,37.58834,54884.22566,0
1002441,1138046018087,20.67,0.39,160.33649,37.58856,54884.23109,0
1002441,1138046018087,19.73,0.23,160.33614,37.5883,54884.23649,0
1002441,1138046018087,20.06,0.27,160.33616999999995,37.58831,54884.24193,0
1002441,1138046018087,20.09,0.27,160.33629,37.58887,54861.23364,0
1002441,1138046018087,19.92,0.25,160.33645,37.58844000000001,54861.24148,0
1002441,1138046018087,20.2,0.29,160.3363,37.58852,54861.24938,0
1002441,1138046018087,19.64,0.22,160.33556000000004,37.58845,54861.25726000001,0
1002441,1138046018087,20.46,0.33,160.33643,37.58857,54892.20936,0
1002441,1138046018087,19.38,0.19,160.3358,37.58837,54892.21786,0
1002441,1138046018087,20.04,0.26,160.33678,37.58817,54892.22646000001,0
1002441,1138046018087,20.24,0.29,160.33633999999995,37.58856,54892.23533,0
1002441,1138046018087,19.7,0.23,160.33659,37.58843,54911.195999999996,0
1002441,1138046018087,19.67,0.22,160.33583000000004,37.58825,54911.20147000001,0
1002441,1138046018087,20.43,0.33,160.33654,37.58844000000001,54911.20697000001,0
1002441,1138046018087,19.91,0.25,160.3364,37.58851,54911.21257999999,0
1002441,1138046018087,19.8,0.25,160.33643999999995,37.58825,54952.28676,0
1002441,1138046018087,19.8,0.25,160.33625,37.58839,54952.30252999999,0
1002441,1138046018087,20.01,0.28,160.33611000000005,37.58835,54952.31043,0
1002441,1138046018087,19.62,0.23,160.3365,37.58854,54975.21601,0
1002441,1138046018087,19.96,0.27,160.33593,37.58855,54975.22197000001,0
1002441,1138046018087,19.49,0.22,160.3366,37.5885,54975.23034,0
1002441,1138046018087,19.71,0.28,160.33633999999995,37.5884,54975.24024,0
1002441,1138046018087,20.27,0.31,160.33651,37.58829,55155.48211,0
1002441,1138046018087,20.3,0.31,160.33678,37.58803,55155.487,0
1002441,1138046018087,20.39,0.33,160.33588999999995,37.58846,55155.49176,0
1002441,1138046018087,20.11,0.28,160.33643999999995,37.58839,55155.49656,0
1002441,1138046018087,19.98,0.27,160.33683,37.58889,55297.12484,0
1002441,1138046018087,19.76,0.24,160.33642,37.58858,55297.13253,0
1002441,1138046018087,20.43,0.34,160.33595,37.58788,55297.14016,0
1002441,1138046018087,20.21,0.3,160.33626,37.58826,55297.14785,0
1002441,1138046018087,19.92,0.26,160.33614,37.58815,55244.28546,0
1002441,1138046018087,20.16,0.29,160.33608,37.58799000000001,55244.29171000001,0
1002441,1138046018087,19.64,0.22,160.33641,37.58822,55244.29809,0
1002441,1138046018087,19.75,0.24,160.33633,37.58876,55244.30445,0
1002441,1138046018087,19.58,0.21,160.33576000000005,37.58854,55211.37639,0
1002441,1138046018087,20.1,0.28,160.33596,37.58841,55211.38377000001,0
1002441,1138046018087,19.92,0.25,160.33641,37.5883,55211.39125,0
1002441,1138046018087,20.3,0.31,160.33625,37.58834,55211.39875,0
1002441,1138046018087,20.8,0.44,160.33566000000005,37.58961,55381.16921,0
1002441,1138046018087,20.84,0.45,160.33578,37.58819,55381.17037000001,0
1002441,1138046018087,19.39,0.21,160.33584,37.58819,55381.17152999999,0
1002441,1138046018087,20.59,0.37,160.33591,37.58844000000001,55354.15941,0
1002441,1138046018087,20.8,0.42,160.3363,37.58832,55354.16396000001,0
1002441,1138046018087,19.63,0.23,160.33613,37.58823,55354.16849,0
1002441,1138046018087,19.85,0.25,160.33624,37.58852,55354.17307,0
1002441,1138046018087,20.58,0.37,160.33581,37.58812,55272.19511,0
1002441,1138046018087,20.31,0.31,160.33638,37.58809,55272.20537,0
1002441,1138046018087,19.55,0.21,160.33591,37.58793,55272.21055,0
1002441,1138046018087,19.98,0.27,160.33579,37.58754,55323.21049,0
