InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1002461,1009057045612,20.85,0.49,160.75846,-9.19226,54417.51252999999,0
1002461,1009057045612,20.39,0.36,160.75904,-9.19334,55240.32754,0
1002461,1009057045612,19.95,0.28,160.75874,-9.19317,55240.34254,0
1002461,1009057045612,19.93,0.27,160.75835,-9.19285,55245.30469,0
1002461,1009057045612,20.12,0.3,160.75868,-9.19337,55245.31619,0
1002461,1009057045612,20.52,0.38,160.75677,-9.19306,55631.30978,0
1002461,1009057045612,20.88,0.45,160.75853,-9.19243,55929.38795,0
1002461,1009057045612,20.3,0.33,160.75871999999995,-9.1928,55980.35689,0
1002461,1009057045612,20.54,0.37,160.75886,-9.19257,56001.28987000001,0
1002461,1009057045612,20.38,0.35,160.75985,-9.19233,55956.41094,0
1002461,1009057045751,20.85,0.47,160.77218,-9.18328,54206.17606000001,0
1002461,1009057045937,21.01,0.47,160.75125,-9.17737,54093.45131,0
1002461,1009057045937,20.25,0.3,160.75044,-9.17742,54093.45779,0
1002461,1009057045937,19.74,0.25,160.75073,-9.17755,53743.46094,0
1002461,1009057045937,20.79,0.45,160.7511,-9.17682,53743.47192999999,0
1002461,1009057045937,20.27,0.33,160.75095,-9.1774,53763.38155,0
1002461,1009057045937,20.03,0.29,160.75056999999995,-9.17758,53763.40041,0
1002461,1009057045937,20.58,0.4,160.75015,-9.17708,53798.36979,0
1002461,1009057045937,19.88,0.27,160.75072,-9.17726,53856.17536,0
1002461,1009057045937,19.35,0.21,160.75036,-9.17743,53856.18828,0
1002461,1009057045937,19.52,0.21,160.75023000000004,-9.17794,54057.49212,0
1002461,1009057045937,20.87,0.48,160.75078,-9.1775,54206.17053,0
1002461,1009057045937,20.87,0.48,160.75054,-9.17729,54206.18159,0
1002461,1009057045937,20.42,0.37,160.75049,-9.17725,54206.18712,0
1002461,1009057045937,20.12,0.29,160.75063,-9.17753,54172.27559,0
1002461,1009057045937,21.08,0.5,160.7507,-9.17747,54172.28842,0
1002461,1009057045937,20.37,0.34,160.75105,-9.17767,54179.21656,0
1002461,1009057045937,20.16,0.3,160.75066,-9.17698,54179.22355,0
1002461,1009057045937,21.03,0.49,160.75061000000005,-9.1775,54179.23055,0
1002461,1009057045937,20.77,0.46,160.75073,-9.1776,54417.51252999999,0
1002461,1009057045937,20.14,0.33,160.75108,-9.17757,54417.51852000001,0
1002461,1009057045937,20.39,0.33,160.75047,-9.17716,54498.42641,0
1002461,1009057045937,20.65,0.38,160.75051000000005,-9.17759,54524.313120000006,0
1002461,1009057045937,19.27,0.19,160.75041000000004,-9.17741,54524.3274,0
1002461,1009057045937,19.94,0.27,160.75078,-9.1776,54531.26994,0
1002461,1009057045937,19.78,0.25,160.75026,-9.17772,54531.28217000001,0
1002461,1009057045937,20.13,0.3,160.75101999999995,-9.17752,54555.26045,0
1002461,1009057045937,19.91,0.26,160.75082,-9.1775,54555.26757,0
1002461,1009057045937,20.1,0.29,160.75056,-9.17721,54555.274670000006,0
1002461,1009057045937,20.35,0.33,160.75044,-9.17698,54555.28177,0
1002461,1009057045937,19.96,0.27,160.75083,-9.17772,54940.24682000001,0
1002461,1009057045937,19.13,0.2,160.75045,-9.17746,54950.16253,0
1002461,1009057045937,20.37,0.32,160.75054,-9.17743,54864.36958,0
1002461,1009057045937,20.36,0.32,160.75202,-9.1777,54864.39588,0
1002461,1009057045937,20.42,0.34,160.75075,-9.17744,54882.29877,0
1002461,1009057045937,19.69,0.23,160.75067,-9.17731,54882.32042999999,0
1002461,1009057045937,20.89,0.44,160.75025,-9.17723,54834.4204,0
1002461,1009057045937,20.04,0.27,160.75081,-9.17725,54851.40249,0
1002461,1009057045937,20.83,0.42,160.75003,-9.1772,54851.40866,0
1002461,1009057045937,21.1,0.49,160.75075,-9.17741,54851.42092999999,0
1002461,1009057045937,20.06,0.28,160.75054,-9.17714,54909.21425,0
1002461,1009057045937,21.11,0.5,160.74996000000004,-9.17735,54909.24363,0
1002461,1009057045937,20.39,0.34,160.75059,-9.17772,55157.52381,0
1002461,1009057045937,19.44,0.21,160.75075,-9.17717,55157.53351,0
1002461,1009057045937,20.94,0.47,160.75027,-9.17748,55294.25687000001,0
1002461,1009057045937,20.06,0.29,160.7506,-9.17737,55294.26142,0
1002461,1009057045937,20.39,0.34,160.75016000000005,-9.17739,55300.20642,0
1002461,1009057045937,20.48,0.36,160.75073,-9.177,55300.22723,0
1002461,1009057045937,20.38,0.34,160.751,-9.17714,55543.5057,0
1002461,1009057045937,20.15,0.31,160.75085,-9.17729,55240.33503,0
1002461,1009057045937,20.37,0.35,160.75008,-9.17739,55240.34254,0
1002461,1009057045937,20.36,0.35,160.75054,-9.17732,55240.35011,0
1002461,1009057045937,19.98,0.28,160.75103,-9.17753,55245.31619,0
1002461,1009057045937,19.95,0.27,160.7512,-9.17794,55245.32777999999,0
1002461,1009057045937,20.24,0.33,160.75104,-9.17717,55652.21462000001,0
1002461,1009057045937,21.22,0.57,160.75036,-9.17724,55652.22146,0
1002461,1009057045937,20.61,0.33,160.75041000000004,-9.17666,55600.32839,0
1002461,1009057045937,19.83,0.22,160.75088,-9.17643,55600.33604,0
1002461,1009057045937,20.48,0.31,160.75094,-9.17719,55600.34372,0
1002461,1009057045937,19.87,0.26,160.75072,-9.17721,55617.32292000001,0
1002461,1009057045937,20.22,0.28,160.75068000000005,-9.17711,55624.2792,0
1002461,1009057045937,21.35,0.52,160.75092,-9.17715,55624.28747999999,0
1002461,1009057045937,20.15,0.32,160.75076,-9.17717,55646.30724,0
1002461,1009057045937,19.34,0.2,160.75073999999995,-9.17765,55929.37078,0
1002461,1009057045937,20.99,0.48,160.75062,-9.17756,55929.38795,0
1002461,1009057045937,20.51,0.37,160.75026,-9.17746,55929.39659,0
1002461,1009057045937,19.85,0.26,160.75063,-9.17751,55975.35272,0
1002461,1009057045937,20.41,0.35,160.75061000000005,-9.17712,55975.3595,0
1002461,1009057045937,19.99,0.28,160.75056,-9.17719,55980.34967,0
1002461,1009057045937,20.18,0.31,160.75071,-9.17739,56001.2797,0
1002461,1009057045937,20.65,0.42,160.75041000000004,-9.177999999999999,56032.20172999999,0
1002461,1009057045937,20.94,0.49,160.75038999999995,-9.17767,56032.21197,0
1002461,1009057045937,20.62,0.41,160.75065,-9.17716,56032.21709,0
1002461,1009057045937,19.46,0.21,160.75056999999995,-9.17766,56304.43168,0
1002461,1009057045937,19.43,0.21,160.75019,-9.17784,56304.43902000001,0
1002461,1009057045937,20.38,0.34,160.75111,-9.17755,56304.4465,0
1002461,1009057045937,20.72,0.42,160.75061000000005,-9.17747,56304.45386,0
1002461,1009057045937,20.46,0.36,160.75046,-9.17747,56312.3817,0
1002461,1009057045937,20.4,0.35,160.75043,-9.17738,56312.39886,0
1002461,1009057045937,19.57,0.23,160.75088,-9.17735,56312.40744,0
1002461,1009057045937,20.5,0.38,160.75085,-9.17762,56354.32313,0
1002461,1009057045937,20.04,0.29,160.7507,-9.17739,56354.33961,0
1002461,1009057045937,20.15,0.26,160.75063,-9.17737,56364.2291,0
1002461,1009057045937,20.16,0.26,160.75003999999996,-9.17753,56364.23655,0
1002461,1009057045937,20.57,0.33,160.75101999999995,-9.17741,56364.25144,0
1002461,1009057045937,19.88,0.27,160.75053,-9.17746,55956.40426,0
1002461,1009057045937,20.39,0.35,160.75061000000005,-9.17744,55956.4244,0
1002461,1009057045937,21.05,0.52,160.75053,-9.17682,56385.23868,0
1002461,1009057045937,20.01,0.29,160.75079,-9.17706,56385.25017000001,0
1002461,1009057045937,19.73,0.25,160.75013,-9.17761,56415.14865,0
1002461,1009057045988,20.95,0.49,160.75567,-9.17404,53798.36979,0
1002461,1009057045988,21.01,0.48,160.75628999999995,-9.17431,54172.282,0
1002461,1009057045988,20.71,0.41,160.75643,-9.17427,54179.21656,0
1002461,1009057045988,20.79,0.47,160.75608,-9.17378,54417.51852000001,0
1002461,1009057045988,21.09,0.5,160.75585,-9.17439,54531.28217000001,0
1002461,1009057045988,19.78,0.25,160.75611,-9.17482,54538.27833,0
1002461,1009057045988,19.78,0.25,160.75563,-9.17376,54940.24682000001,0
1002461,1009057045988,19.98,0.26,160.75583999999995,-9.17436,54864.37836,0
1002461,1009057045988,20.62,0.37,160.75489,-9.17433,54864.38713,0
1002461,1009057045988,19.64,0.22,160.75513,-9.17532,54851.40866,0
1002461,1009057045988,21.14,0.52,160.75401000000005,-9.17493,55300.20642,0
1002461,1009057045988,20.71,0.41,160.75533,-9.17377,55300.21335,0
1002461,1009057045988,20.34,0.34,160.75556,-9.17368,55543.5057,0
1002461,1009057045988,20.54,0.38,160.75544,-9.17458,55245.31038,0
1002461,1009057045988,20.74,0.43,160.75568,-9.17516,55652.22146,0
1002461,1009057045988,20.58,0.39,160.75567,-9.17474,55617.31488,0
1002461,1009057045988,20.97,0.42,160.75522,-9.17395,55624.2792,0
1002461,1009057045988,21.21,0.55,160.75557,-9.17488,56001.27466,0
1002461,1009057045988,21.28,0.57,160.75627,-9.17415,56001.28987000001,0
1002461,1009057045988,21.03,0.5,160.75573,-9.17393,56312.39886,0
1002461,1009057045988,20.94,0.4,160.75627,-9.17413,56364.24405,0
1002461,1009057046032,15.5,0.06,160.76588,-9.1856,54093.45131,0
1002461,1009057046032,15.49,0.06,160.7659,-9.18561,54093.45779,0
1002461,1009057046032,15.49,0.06,160.76591000000005,-9.18563,54093.46434,0
1002461,1009057046032,15.48,0.06,160.7659,-9.18561,54093.47092000001,0
1002461,1009057046032,15.47,0.06,160.76596,-9.18561,53776.34549,0
1002461,1009057046032,15.53,0.06,160.76591000000005,-9.18557,53776.35201,0
1002461,1009057046032,15.52,0.06,160.7659,-9.18559,53790.2919,0
1002461,1009057046032,15.51,0.06,160.7659,-9.18564,53790.30124,0
1002461,1009057046032,15.49,0.06,160.76591000000005,-9.18558,53790.31058,0
1002461,1009057046032,15.5,0.06,160.76594,-9.18559,53790.3199,0
1002461,1009057046032,15.5,0.06,160.76592,-9.18558,53743.46094,0
1002461,1009057046032,15.48,0.06,160.76591000000005,-9.18558,53743.46641,0
1002461,1009057046032,15.51,0.06,160.76592,-9.18558,53743.47192999999,0
1002461,1009057046032,15.51,0.06,160.76595,-9.18557,53743.47742,0
1002461,1009057046032,15.51,0.06,160.76592,-9.18559,53763.37211,0
1002461,1009057046032,15.5,0.06,160.76595,-9.1856,53763.38155,0
1002461,1009057046032,15.52,0.06,160.76592,-9.18563,53763.39099,0
1002461,1009057046032,15.5,0.06,160.76591000000005,-9.18561,53763.40041,0
1002461,1009057046032,15.48,0.1,160.76584,-9.18563,53765.385120000006,0
1002461,1009057046032,15.51,0.1,160.76591000000005,-9.18561,53765.3893,0
1002461,1009057046032,15.49,0.1,160.76588999999996,-9.18556,53765.39356,0
1002461,1009057046032,15.47,0.1,160.76594,-9.18557,53765.39777,0
