InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1002581,1104059004027,19.49,0.21,165.3355,3.01954,53464.27985,0
1002581,1104059004027,19.77,0.31,165.33507,3.01957,54096.54969,0
1002581,1104059004027,19.79,0.28,165.33491,3.02003,53786.29085,0
1002581,1104059004027,19.31,0.2,165.33524,3.01989,53742.42627,0
1002581,1104059004027,20.08,0.29,165.33488,3.01979,53742.43176,0
1002581,1104059004027,19.3,0.66,165.33572,3.02012,53904.19642000001,0
1002581,1104059004027,20.21,0.33,165.33518,3.01959,53817.23556,0
1002581,1104059004027,21.05,0.43,165.3356,3.02009,54066.48133,0
1002581,1104059004027,21.13,0.52,165.33521000000005,3.0207900000000003,54197.23695,0
1002581,1104059004027,20.35,0.33,165.33463999999995,3.0190200000000003,54197.24343,0
1002581,1104059004027,19.61,0.22,165.33512,3.01949,54439.44729,0
1002581,1104059004027,20.06,0.28,165.33531000000005,3.01936,54439.46154,0
1002581,1104059004027,20.31,0.32,165.33558,3.01965,54453.41277,0
1002581,1104059004027,20.12,0.29,165.33556000000004,3.01994,54453.41992000001,0
1002581,1104059004027,20.52,0.36,165.33522,3.02005,54168.28399,0
1002581,1104059004027,20.51,0.35,165.33579,3.01921,54829.47652999999,0
1002581,1104059004027,20.45,0.34,165.33563999999996,3.01932,54829.48322,0
1002581,1104059004027,19.49,0.21,165.33471,3.02026,54475.48978,0
1002581,1104059004027,20.43,0.34,165.33503000000005,3.01986,54527.2821,0
1002581,1104059004027,19.69,0.24,165.33479,3.01985,54590.20904,0
1002581,1104059004027,20.99,0.48,165.33533,3.02022,54594.21232000001,0
1002581,1104059004027,21.04,0.5,165.33469,3.01948,54951.24699,0
1002581,1104059004027,20.23,0.45,165.33518,3.0196,55006.16748,0
1002581,1104059004027,20.06,0.29,165.33522,3.02006,54966.18742,0
1002581,1104059004027,21.04,0.5,165.33484,3.0197700000000003,54966.19463,0
1002581,1104059004027,20.52,0.37,165.33499,3.01896,55291.27558,0
1002581,1104059004027,20.06,0.29,165.33463999999995,3.01951,55291.28194,0
1002581,1104059004027,20.44,0.36,165.33558,3.01946,55531.46623,0
1002581,1104059004027,20.49,0.36,165.33484,3.0197,55539.48782,0
1002581,1104059004027,19.59,0.23,165.33476000000005,3.02022,55539.49365,0
1002581,1104059004027,20.3,0.34,165.3352,3.01995,55245.33805,0
1002581,1104059004027,20.91,0.46,165.33507,3.01955,55245.35876,0
1002581,1104059004027,20.74,0.44,165.33683,3.02036,55329.23954,0
1002581,1104059004027,20.46,0.31,165.33446999999995,3.02018,55655.27283,0
1002581,1104059004027,19.93,0.23,165.33518,3.01968,55655.27899,0
1002581,1104059004027,20.48,0.3,165.33559,3.01987,55600.40873,0
1002581,1104059004027,20.59,0.39,165.33508999999995,3.0198400000000003,55615.41172,0
1002581,1104059004027,20.98,0.48,165.33567,3.0199700000000003,55572.48015,0
1002581,1104059004027,20.89,0.37,165.3349,3.0196,55630.38502,0
1002581,1104059004027,21.13,0.43,165.33507,3.01979,55630.40164,0
1002581,1104059004027,20.1,0.31,165.33546,3.01971,55688.16391,0
1002581,1104059004027,20.32,0.35,165.33502,3.01991,55688.16902,0
1002581,1104059004027,20.36,0.33,165.33507,3.02022,55887.52282000001,0
1002581,1104059004027,19.94,0.27,165.33592,3.02001,55982.31185,0
1002581,1104059004027,19.81,0.25,165.33479,3.0193,55982.32319,0
1002581,1104059004027,20.17,0.33,165.33489,3.01893,56040.19852000001,0
1002581,1104059004027,19.57,0.23,165.33521000000005,3.02033,56269.42385,0
1002581,1104059004027,20.61,0.39,165.33513,3.01994,56281.46109,0
1002581,1104059004027,20.1,0.3,165.33536,3.01973,56353.27727000001,0
1002581,1104059004027,20.47,0.36,165.33475,3.01945,56362.30257000001,0
1002581,1104059004027,20.51,0.37,165.33553999999995,3.01962,56362.31606000001,0
1002581,1104059004027,20.6,0.32,165.33536,3.01975,55956.48754,0
1002581,1104059004096,20.52,0.39,165.332,3.02081,53494.25617,0
1002581,1104059004096,20.2,0.32,165.3313,3.0196,53786.26813,0
1002581,1104059004096,19.77,0.25,165.33165,3.02048,53786.28328,0
1002581,1104059004096,19.32,0.2,165.33221,3.02029,53742.44269,0
1002581,1104059004096,20.24,1.01,165.33177,3.02033,53797.3182,0
1002581,1104059004096,20.01,0.29,165.33095,3.01989,53817.23556,0
1002581,1104059004096,20.35,0.37,165.33147,3.02077,53817.25166,0
1002581,1104059004096,20.11,0.31,165.33143,3.02074,53881.19975,0
1002581,1104059004096,20.01,0.28,165.3317,3.02013,54197.23695,0
1002581,1104059004096,20.16,0.29,165.33226000000005,3.02052,54439.46154,0
1002581,1104059004096,21.26,0.54,165.33175,3.02016,54448.47755,0
1002581,1104059004096,20.37,0.33,165.33203,3.02074,54453.40569,0
1002581,1104059004096,20.15,0.29,165.33181000000005,3.02047,54453.41992000001,0
1002581,1104059004096,20.58,0.37,165.33167,3.02051,54465.47736,0
1002581,1104059004096,19.93,0.26,165.33236000000005,3.02085,54124.45674,0
1002581,1104059004096,20.22,0.3,165.33178,3.02026,54168.27589,0
1002581,1104059004096,19.12,0.17,165.33103,3.02026,54168.29214,0
1002581,1104059004096,19.81,0.25,165.33145,3.0199700000000003,54422.48563,0
1002581,1104059004096,21.13,0.5,165.33212,3.0215400000000003,54829.47652999999,0
1002581,1104059004096,19.78,0.24,165.33198000000004,3.0203900000000004,54475.49627,0
1002581,1104059004096,21.19,0.52,165.33171000000004,3.02038,54475.50278,0
1002581,1104059004096,21.04,0.48,165.33148,3.02022,54527.2821,0
1002581,1104059004096,19.8,0.25,165.33244,3.02106,54590.18813,0
1002581,1104059004096,19.33,0.2,165.3313,3.01921,54951.22369,0
1002581,1104059004096,20.22,0.31,165.33187,3.0203900000000004,54951.23148,0
1002581,1104059004096,20.39,0.33,165.33151999999995,3.02035,54849.47742,0
1002581,1104059004096,19.41,0.28,165.33065,3.02022,55006.15964,0
1002581,1104059004096,20.07,0.4,165.33276999999995,3.01881,55006.15964,1
1002581,1104059004096,19.53,0.3,165.33082,3.02142,55006.17136,0
1002581,1104059004096,19.92,0.27,165.33139,3.02031,55291.28836000001,0
1002581,1104059004096,19.78,0.25,165.33189,3.02037,55539.47617,0
1002581,1104059004096,19.79,0.26,165.33198000000004,3.02041,55245.33805,0
1002581,1104059004096,20.96,0.47,165.33172,3.01995,55245.34498,0
1002581,1104059004096,20.32,0.33,165.33231999999995,3.0200400000000003,55245.35184,0
1002581,1104059004096,20.39,0.34,165.33166,3.02103,55245.35876,0
1002581,1104059004096,19.57,0.22,165.3308,3.02048,55203.43559,0
1002581,1104059004096,21.26,0.56,165.33133,3.02019,55267.2894,0
1002581,1104059004096,19.4,0.21,165.332,3.02123,55326.20262,0
1002581,1104059004096,20.67,0.41,165.33144,3.02053,55326.21001,0
1002581,1104059004096,19.42,0.18,165.33193,3.02036,55655.26037999999,0
1002581,1104059004096,20.66,0.34,165.33177,3.02051,55655.27899,0
1002581,1104059004096,20.48,0.3,165.3315,3.0198,55600.39635,0
1002581,1104059004096,19.25,0.16,165.33146000000005,3.01992,55600.40252999999,0
