InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1002941,1104064023583.0,20.09,0.32,178.5779,3.95687,53705.48266,0.0
1002941,1104064023583.0,19.93,0.28,178.57827,3.95875,53705.48936,0.0
1002941,1104064023583.0,20.41,0.36,178.57757,3.95821,53705.49611,0.0
1002941,1104064023583.0,19.12,0.19,178.57776,3.95849,53705.50304,0.0
1002941,1104064023583.0,20.22,0.32,178.578,3.9581,53731.45036,0.0
1002941,1104064023583.0,19.59,0.25,178.57762,3.95864,53533.2154,0.0
1002941,1104064023583.0,20.28,0.33,178.57805,3.95826,53498.1652,0.0
1002941,1104064023583.0,20.27,0.33,178.5778,3.95795,53498.1717,0.0
1002941,1104064023583.0,19.68,0.24,178.57777,3.958,53498.17823,0.0
1002941,1104064023583.0,20.02,0.29,178.57754,3.95821,53498.18473,0.0
1002941,1104064023583.0,20.53,0.4,178.57735,3.95829,53845.26652999999,0.0
1002941,1104064023583.0,19.33,0.21,178.57754,3.95812,53845.27402,0.0
1002941,1104064023583.0,21.01,0.47,178.57748,3.95834,54094.46191000001,0.0
1002941,1104064023583.0,19.47,0.21,178.57768000000004,3.95809,53772.41254,0.0
1002941,1104064023583.0,20.33,0.33,178.57745,3.95843,53772.43188,0.0
1002941,1104064023583.0,19.82,0.26,178.57709,3.96016,53788.36344,0.0
1002941,1104064023583.0,20.06,0.29,178.57816,3.95755,53788.36344,1.0
1002941,1104064023583.0,20.43,0.36,178.57736,3.95759,53788.39034,0.0
1002941,1104064023583.0,19.92,0.27,178.5777,3.95894,53742.4856,0.0
1002941,1104064023583.0,19.16,0.18,178.57822,3.95892,53742.49423,0.0
1002941,1104064023583.0,19.71,0.24,178.57795,3.9581,53742.50287,0.0
1002941,1104064023583.0,19.77,0.25,178.57783999999995,3.95802,53765.41251,0.0
1002941,1104064023583.0,19.84,0.27,178.57773999999995,3.95822,53765.41959,0.0
1002941,1104064023583.0,19.75,0.25,178.57773999999995,3.95845,53765.42666000001,0.0
1002941,1104064023583.0,20.45,0.37,178.57773999999995,3.95791,53765.43379,0.0
1002941,1104064023583.0,20.26,0.36,178.57802,3.95817,53907.17207000001,0.0
1002941,1104064023583.0,19.91,0.29,178.57811,3.95834,53817.28033,0.0
1002941,1104064023583.0,20.21,0.34,178.57821,3.9577,53817.28841,0.0
1002941,1104064023583.0,20.14,0.33,178.578,3.958180000000002,53874.21377,0.0
1002941,1104064023583.0,20.89,0.51,178.57716000000005,3.958180000000002,53874.22079,0.0
1002941,1104064023583.0,19.97,0.29,178.57805,3.95756,53880.17723,0.0
1002941,1104064023583.0,20.22,0.33,178.57744,3.9589300000000014,53880.18592,0.0
1002941,1104064023583.0,19.76,0.26,178.57748999999995,3.95855,53880.19467,0.0
1002941,1104064023583.0,20.45,0.39,178.57786000000004,3.95728,53886.21072999999,0.0
1002941,1104064023583.0,19.66,0.23,178.5782,3.95841,54063.50134,0.0
1002941,1104064023583.0,20.93,0.45,178.57746,3.95823,54063.51443,0.0
1002941,1104064023583.0,19.06,0.17,178.57815,3.95885,54197.25646,0.0
1002941,1104064023583.0,20.16,0.3,178.57781,3.95782,54197.2695,0.0
1002941,1104064023583.0,19.86,0.26,178.5774,3.95808,54197.27601,0.0
1002941,1104064023583.0,20.77,0.45,178.5778,3.95783,54146.43957,0.0
1002941,1104064023583.0,19.92,0.26,178.57773999999995,3.95817,54115.38956,0.0
1002941,1104064023583.0,20.1,0.28,178.57738999999995,3.95822,54115.41015,0.0
1002941,1104064023583.0,19.72,0.23,178.57762,3.9584,54124.462,0.0
1002941,1104064023583.0,19.72,0.23,178.57793999999996,3.95788,54124.46902,0.0
1002941,1104064023583.0,20.44,0.34,178.57771,3.95847,54124.47606,0.0
1002941,1104064023583.0,20.42,0.34,178.57776,3.95844,54124.48322,0.0
1002941,1104064023583.0,20.1,0.3,178.57747,3.95819,54261.18848,0.0
1002941,1104064023583.0,20.36,0.35,178.57827,3.95685,54261.19488,0.0
1002941,1104064023583.0,20.38,0.34,178.57788,3.9583,54168.28133,0.0
1002941,1104064023583.0,19.78,0.26,178.5776,3.95787,54229.18417000001,0.0
1002941,1104064023583.0,20.23,0.33,178.57799,3.95739,54242.14916,0.0
1002941,1104064023583.0,20.05,0.3,178.57746,3.95804,54242.15671,0.0
1002941,1104064023583.0,19.66,0.23,178.57805,3.95822,54424.50529,0.0
1002941,1104064023583.0,19.27,0.19,178.57766,3.95796,54568.32127000001,0.0
