InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1002981,1009064026739.0,19.34,0.21,180.66641,-9.94104,53496.23055,0.0
1002981,1009064026739.0,19.21,0.2,180.66586,-9.94089,53855.21385,0.0
1002981,1009064026739.0,19.23,0.19,180.66628,-9.94102,54094.48854,0.0
1002981,1009064026739.0,19.33,0.21,180.6663,-9.94129,53790.3321,0.0
1002981,1009064026739.0,19.09,0.18,180.66593,-9.9412,53790.34145,0.0
1002981,1009064026739.0,19.86,0.27,180.66637,-9.94098,53790.35066,0.0
1002981,1009064026739.0,19.52,0.22,180.66604,-9.94068,53763.4119,0.0
1002981,1009064026739.0,19.31,0.2,180.66634,-9.94085,53763.437970000006,0.0
1002981,1009064026739.0,20.11,0.33,180.66579,-9.94088,53887.19929,0.0
1002981,1009064026739.0,19.7,0.25,180.66628,-9.94081,53798.38313,0.0
1002981,1009064026739.0,19.84,0.27,180.66603,-9.94106,53798.39219,0.0
1002981,1009064026739.0,20.18,0.32,180.66631,-9.94113,53798.40157,0.0
1002981,1009064026739.0,19.35,0.21,180.66607,-9.94106,53798.41079,0.0
1002981,1009064026739.0,19.75,0.26,180.66608,-9.9412,53878.21657,0.0
1002981,1009064026739.0,19.29,0.28,180.66592,-9.94084,54062.529,0.0
1002981,1009064026739.0,19.36,0.21,180.66591,-9.94144,54201.26488,0.0
1002981,1009064026739.0,19.26,0.21,180.66669,-9.94103,54157.32154,0.0
1002981,1009064026739.0,20.19,0.3,180.6664,-9.94101,54115.43684,0.0
1002981,1009064026739.0,19.6,0.22,180.66606,-9.94117,54115.44866,0.0
1002981,1009064026739.0,19.68,0.25,180.66627,-9.94105,54127.3722,0.0
1002981,1009064026739.0,19.25,0.2,180.66607,-9.94108,54127.3813,0.0
1002981,1009064026739.0,19.28,0.21,180.66634,-9.94103,54127.39042,0.0
1002981,1009064026739.0,20.09,0.29,180.66588,-9.94107,54172.32585,0.0
1002981,1009064026739.0,19.76,0.24,180.66634,-9.94115,54172.33187,0.0
1002981,1009064026739.0,19.58,0.22,180.66606,-9.94093,54172.33789,0.0
1002981,1009064026739.0,19.73,0.24,180.66606,-9.94128,54172.34389,0.0
1002981,1009064026739.0,19.49,0.21,180.66614,-9.94063,54179.29365,0.0
1002981,1009064026739.0,19.43,0.21,180.66612,-9.94115,54179.30066,0.0
1002981,1009064026739.0,19.35,0.2,180.66611,-9.9409,54179.30769,0.0
1002981,1009064026739.0,19.75,0.25,180.66577,-9.94102,54179.31467000001,0.0
1002981,1009064026739.0,18.98,0.17,180.66666,-9.94128,54560.28546,0.0
1002981,1009064026739.0,19.65,0.24,180.66611,-9.94098,54560.29098,0.0
1002981,1009064026739.0,19.41,0.21,180.66642,-9.94105,54560.29649,0.0
1002981,1009064026739.0,19.41,0.21,180.66656,-9.94094,54560.30196,0.0
1002981,1009064026739.0,19.49,0.22,180.66625,-9.94101,54567.32439,0.0
1002981,1009064026739.0,19.53,0.23,180.66586,-9.94139,54582.2873,0.0
1002981,1009064026739.0,19.27,0.2,180.66612,-9.94092,54582.30127,0.0
1002981,1009064026739.0,20.0,0.27,180.66632,-9.94119,54499.45591,0.0
1002981,1009064026739.0,20.37,0.34,180.66642,-9.94081,54529.30511,0.0
1002981,1009064026739.0,19.67,0.23,180.66618,-9.94103,54529.31062999999,0.0
1002981,1009064026739.0,19.32,0.2,180.66614,-9.94096,54537.33036,0.0
1002981,1009064026739.0,19.36,0.2,180.66597,-9.94077,54537.3403,0.0
1002981,1009064026739.0,19.26,0.2,180.66621,-9.94088,54597.20084,0.0
1002981,1009064026739.0,19.16,0.19,180.66611,-9.94097,54597.21515,0.0
1002981,1009064026739.0,19.29,0.2,180.66591,-9.94114,54941.29777000001,0.0
1002981,1009064026739.0,19.74,0.25,180.66591,-9.94089,54941.30504,0.0
1002981,1009064026739.0,18.97,0.16,180.66623,-9.94118,54864.45758,0.0
1002981,1009064026739.0,20.34,0.32,180.66587,-9.94076,54864.46433,0.0
1002981,1009064026739.0,19.81,0.24,180.66603,-9.94092,54864.47759,0.0
1002981,1009064026739.0,19.21,0.18,180.66605,-9.94112,54882.403,0.0
1002981,1009064026739.0,19.78,0.25,180.66606,-9.94083,54882.41023,0.0
1002981,1009064026739.0,19.94,0.27,180.66633,-9.94096,54882.41749,0.0
1002981,1009064026739.0,19.93,0.26,180.66585,-9.94051,54882.42483,0.0
1002981,1009064026739.0,19.31,0.19,180.66616,-9.9409,54849.51482,0.0
1002981,1009064026739.0,19.93,0.26,180.66633,-9.94091,54906.31378,0.0
1002981,1009064026739.0,19.56,0.22,180.6662,-9.9411,54906.32468,0.0
1002981,1009064026739.0,19.4,0.21,180.66655,-9.9406,54921.2942,0.0
1002981,1009064026739.0,18.98,0.18,180.66622,-9.94056,54952.22162999999,0.0
1002981,1009064026739.0,19.98,0.28,180.66582,-9.94136,54952.23021,0.0
1002981,1009064026739.0,19.87,0.27,180.66606,-9.94109,55292.31054,0.0
