InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003001,1018063015681,20.18,0.35,181.57359,-18.94719,53818.3243,0
1003001,1018063015681,20.25,0.33,181.57372,-18.94756,54179.30986,0
1003001,1018063015681,19.93,0.27,181.57354,-18.9474,54509.39255,0
1003001,1018063015681,19.52,0.29,181.57311,-18.94811,55363.17402000001,0
1003001,1018063015681,20.63,0.42,181.57302,-18.94772,55629.33389,0
1003001,1018063015681,20.98,0.52,181.57386,-18.94733,55629.34146,0
1003001,1018063015681,20.41,0.36,181.57336,-18.94773,56001.33318,0
1003001,1018063015681,20.44,0.37,181.57352,-18.94708,56001.33952,0
1003001,1018063015681,20.15,0.31,181.57369,-18.94779,55952.46078,0
1003001,1018063015681,20.5,0.38,181.57389,-18.94724,55952.46943,0
1003001,1018063015681,20.58,0.39,181.57296,-18.94771,55952.47802,0
1003001,1018063015726,18.67,0.15,181.58463,-18.9523,53791.38285,0
1003001,1018063015726,18.94,0.17,181.58451,-18.95263,53791.38885,0
1003001,1018063015726,18.93,0.17,181.5845,-18.9528,53791.39487999999,0
1003001,1018063015726,18.55,0.14,181.58471,-18.95244,53791.40086,0
1003001,1018063015726,19.41,0.7,181.58476,-18.95342,53904.16895,0
1003001,1018063015726,19.16,0.2,181.58442,-18.95285,53818.31774,0
1003001,1018063015726,18.64,0.16,181.58449,-18.95275,53818.3243,0
1003001,1018063015726,18.9,0.18,181.58465,-18.9528,53818.33089,0
1003001,1018063015726,18.57,0.16,181.5844,-18.95289,53818.33747000001,0
1003001,1018063015726,19.01,0.54,181.58421,-18.9526,53863.2528,0
1003001,1018063015726,19.01,0.54,181.5848,-18.95278,53863.25362,0
1003001,1018063015726,18.57,0.15,181.5845,-18.95289,54452.53433,0
1003001,1018063015726,18.76,0.17,181.58472,-18.95256,54452.53835,0
1003001,1018063015726,19.02,0.19,181.58466,-18.95235,54452.54247000001,0
1003001,1018063015726,18.85,0.17,181.58445,-18.9527,54452.54654,0
1003001,1018063015726,18.91,0.17,181.58443,-18.95238,54173.3289,0
1003001,1018063015726,19.13,0.18,181.58464,-18.95288,54173.33651,0
1003001,1018063015726,18.95,0.17,181.58458,-18.95281,54173.34413,0
1003001,1018063015726,18.88,0.16,181.58454,-18.95299,54173.35173,0
1003001,1018063015726,18.85,0.16,181.58455,-18.95269,54179.28881000001,0
1003001,1018063015726,18.86,0.16,181.58472,-18.95288,54179.29584,0
1003001,1018063015726,18.73,0.15,181.58483,-18.95252,54179.30287000001,0
1003001,1018063015726,18.76,0.16,181.58461,-18.95267,54179.30986,0
1003001,1018063015726,19.27,0.19,181.5845,-18.95279,54569.26509,0
1003001,1018063015726,18.63,0.15,181.58484,-18.95274,54569.27152,0
1003001,1018063015726,19.22,0.19,181.58437,-18.95251,54569.27797,0
1003001,1018063015726,18.3,0.13,181.5844,-18.95243,54569.28442,0
1003001,1018063015726,18.84,0.16,181.58449,-18.95263,54586.24172000001,0
1003001,1018063015726,18.51,0.14,181.58485,-18.95277,54586.24661,0
1003001,1018063015726,18.55,0.14,181.58461,-18.9526,54586.2515,0
1003001,1018063015726,19.01,0.17,181.58458,-18.95268,54586.2564,0
1003001,1018063015726,18.72,0.15,181.58477,-18.95258,54509.39255,0
1003001,1018063015726,18.74,0.15,181.58438,-18.95263,54509.39957,0
1003001,1018063015726,18.92,0.16,181.5845,-18.9528,54509.40659,0
1003001,1018063015726,18.83,0.16,181.5847,-18.95271,54509.41362000001,0
1003001,1018063015726,18.85,0.16,181.58461,-18.95268,54526.38214,0
1003001,1018063015726,18.86,0.16,181.5845,-18.95258,54526.38917,0
1003001,1018063015726,18.83,0.16,181.58458,-18.95248,54526.39618,0
1003001,1018063015726,19.16,0.18,181.58459,-18.95274,54526.40325,0
1003001,1018063015726,18.88,0.16,181.58457,-18.95279,54537.32813,0
1003001,1018063015726,18.83,0.16,181.58459,-18.95287,54537.33309,0
1003001,1018063015726,19.03,0.18,181.58449,-18.95245,54537.33805,0
1003001,1018063015726,18.97,0.18,181.58462,-18.95269,54537.34309,0
1003001,1018063015726,18.98,0.17,181.58446,-18.95256,54554.33897,0
1003001,1018063015726,19.22,0.19,181.5846,-18.95264,54554.34621,0
1003001,1018063015726,18.92,0.17,181.58476,-18.95247,54554.35342000001,0
1003001,1018063015726,18.44,0.13,181.58464,-18.95254,54554.36069,0
1003001,1018063015726,19.13,0.23,181.58447,-18.95242,55363.15911,0
1003001,1018063015726,18.77,0.2,181.58448,-18.95252,55363.16404,0
1003001,1018063015726,18.94,0.21,181.58466,-18.95268,55363.16905,0
1003001,1018063015726,19.39,0.27,181.58441,-18.9527,55363.17402000001,0
1003001,1018063015726,18.86,0.17,181.58448,-18.95277,55652.27606,0
1003001,1018063015726,18.97,0.18,181.58442,-18.95263,55652.28414,0
1003001,1018063015726,19.07,0.18,181.58463,-18.95259,55652.29219,0
1003001,1018063015726,18.63,0.15,181.58462,-18.95275,55652.30033,0
1003001,1018063015726,18.5,0.15,181.5849,-18.95255,55677.22055,0
1003001,1018063015726,18.69,0.16,181.58457,-18.95279,55677.22794,0
1003001,1018063015726,18.83,0.17,181.58471,-18.95278,55677.23532000001,0
1003001,1018063015726,18.79,0.17,181.58474,-18.95277,55677.24274,0
1003001,1018063015726,18.64,0.15,181.58473,-18.95259,55629.32634,0
1003001,1018063015726,19.03,0.18,181.58458,-18.95274,55629.33389,0
1003001,1018063015726,18.64,0.15,181.58458,-18.95269,55629.34146,0
1003001,1018063015726,18.81,0.17,181.58451,-18.95256,55629.34907999999,0
1003001,1018063015726,18.58,0.15,181.58474,-18.95245,55990.32261,0
1003001,1018063015726,18.62,0.15,181.58463,-18.95259,55990.32721,0
1003001,1018063015726,18.95,0.17,181.58427,-18.952820000000006,55990.33176,0
1003001,1018063015726,18.8,0.16,181.58457,-18.95259,55990.33633,0
1003001,1018063015726,18.85,0.16,181.58466,-18.95248,56001.32051000001,0
1003001,1018063015726,18.62,0.15,181.58481,-18.95265,56001.32685,0
1003001,1018063015726,18.64,0.15,181.58459,-18.95257,56001.33318,0
1003001,1018063015726,18.64,0.15,181.58457,-18.9527,56001.33952,0
1003001,1018063015726,18.92,0.17,181.5846,-18.95276,55952.46078,0
1003001,1018063015726,18.61,0.15,181.58461,-18.95246,55952.46943,0
1003001,1018063015726,19.15,0.19,181.58449,-18.95278,55952.47802,0
1003001,1018063015726,18.87,0.16,181.5846,-18.95278,55952.4867,0
1003001,1018063015900,13.81,0.05,181.56399,-18.95618,53791.38285,0
1003001,1018063015900,13.81,0.05,181.56399,-18.95618,53791.38885,0
1003001,1018063015900,13.82,0.05,181.56399,-18.95619,53791.39487999999,0
1003001,1018063015900,13.81,0.05,181.56404,-18.95619,53791.40086,0
1003001,1018063015900,13.81,0.07,181.56395,-18.95619,53904.16798,0
1003001,1018063015900,13.78,0.07,181.56399,-18.95626,53904.16895,0
1003001,1018063015900,13.76,0.07,181.56396,-18.9562,53904.1699,0
1003001,1018063015900,13.8,0.07,181.56399,-18.95617,53904.17085,0
1003001,1018063015900,13.83,0.05,181.56401,-18.95618,53818.31774,0
1003001,1018063015900,13.81,0.05,181.56398,-18.95617,53818.3243,0
1003001,1018063015900,13.8,0.05,181.56398,-18.95619,53818.33089,0
1003001,1018063015900,13.82,0.05,181.56405,-18.95618,53818.33747000001,0
1003001,1018063015900,13.82,0.07,181.56397,-18.95622,53863.25125,0
1003001,1018063015900,13.81,0.07,181.56403,-18.95625,53863.25207,0
1003001,1018063015900,13.79,0.07,181.56401,-18.95622,53863.2528,0
1003001,1018063015900,13.78,0.07,181.56407,-18.95617,53863.25362,0
1003001,1018063015900,13.79,0.05,181.56404,-18.9562,54452.53433,0
1003001,1018063015900,13.79,0.05,181.56404,-18.95619,54452.53835,0
1003001,1018063015900,13.8,0.05,181.56402,-18.95621,54452.54247000001,0
1003001,1018063015900,13.8,0.05,181.56405,-18.95621,54452.54654,0
1003001,1018063015900,13.79,0.05,181.56403,-18.9562,54173.3289,0
1003001,1018063015900,13.79,0.05,181.56398,-18.95615,54173.33651,0
1003001,1018063015900,13.8,0.05,181.56404,-18.95621,54173.34413,0
1003001,1018063015900,13.78,0.05,181.56405,-18.95617,54173.35173,0
1003001,1018063015900,13.8,0.05,181.56404,-18.95621,54179.28881000001,0
1003001,1018063015900,13.79,0.05,181.56403,-18.9562,54179.29584,0
1003001,1018063015900,13.8,0.05,181.56406,-18.95621,54179.30287000001,0
1003001,1018063015900,13.8,0.05,181.56404,-18.95622,54179.30986,0
1003001,1018063015900,13.79,0.05,181.56406,-18.95623,54569.26509,0
1003001,1018063015900,13.8,0.05,181.56404,-18.95622,54569.27152,0
1003001,1018063015900,13.79,0.05,181.56404,-18.95619,54569.27797,0
1003001,1018063015900,13.79,0.05,181.56401,-18.95619,54569.28442,0
1003001,1018063015900,13.81,0.05,181.56404,-18.9562,54586.24172000001,0
1003001,1018063015900,13.81,0.05,181.56403,-18.95619,54586.24661,0
1003001,1018063015900,13.8,0.05,181.56404,-18.95621,54586.2515,0
1003001,1018063015900,13.8,0.05,181.56402,-18.95618,54586.2564,0
1003001,1018063015900,13.8,0.05,181.56402,-18.95622,54509.39255,0
1003001,1018063015900,13.79,0.05,181.56405,-18.95618,54509.39957,0
1003001,1018063015900,13.79,0.05,181.56405,-18.9562,54509.40659,0
1003001,1018063015900,13.78,0.05,181.56406,-18.9562,54509.41362000001,0
1003001,1018063015900,13.8,0.05,181.56404,-18.9562,54526.38214,0
1003001,1018063015900,13.79,0.05,181.56402,-18.95618,54526.38917,0
1003001,1018063015900,13.8,0.05,181.56403,-18.95621,54526.39618,0
1003001,1018063015900,13.8,0.05,181.56403,-18.9562,54526.40325,0
1003001,1018063015900,13.8,0.05,181.56403,-18.95619,54537.32813,0
1003001,1018063015900,13.77,0.05,181.56403,-18.95618,54537.33309,0
1003001,1018063015900,13.79,0.05,181.56403,-18.95619,54537.33805,0
1003001,1018063015900,13.82,0.05,181.56401,-18.95621,54537.34309,0
1003001,1018063015900,13.8,0.05,181.56403,-18.95619,54554.33897,0
1003001,1018063015900,13.81,0.05,181.56404,-18.9562,54554.34621,0
1003001,1018063015900,13.8,0.05,181.56403,-18.9562,54554.35342000001,0
1003001,1018063015900,13.82,0.05,181.56403,-18.95624,54554.36069,0
1003001,1018063015900,13.83,0.06,181.56398,-18.95617,55363.15911,0
1003001,1018063015900,13.83,0.06,181.56397,-18.95622,55363.16404,0
1003001,1018063015900,13.83,0.06,181.56400000000002,-18.9562,55363.16905,0
1003001,1018063015900,13.81,0.06,181.56400000000002,-18.95625,55363.17402000001,0
1003001,1018063015900,13.78,0.05,181.56404,-18.95618,55652.27606,0
1003001,1018063015900,13.79,0.05,181.56400000000002,-18.95623,55652.28414,0
1003001,1018063015900,13.79,0.05,181.56405,-18.9562,55652.29219,0
1003001,1018063015900,13.78,0.05,181.56405,-18.95621,55652.30033,0
1003001,1018063015900,13.79,0.05,181.56404,-18.95623,55677.22055,0
1003001,1018063015900,13.79,0.05,181.56406,-18.95623,55677.22794,0
1003001,1018063015900,13.79,0.05,181.56403,-18.95622,55677.23532000001,0
1003001,1018063015900,13.79,0.05,181.56404,-18.95622,55677.24274,0
1003001,1018063015900,13.8,0.05,181.56403,-18.95622,55629.32634,0
1003001,1018063015900,13.79,0.05,181.56403,-18.95619,55629.33389,0
1003001,1018063015900,13.8,0.05,181.56403,-18.95621,55629.34146,0
1003001,1018063015900,13.81,0.05,181.56402,-18.95621,55629.34907999999,0
1003001,1018063015900,13.82,0.05,181.56398,-18.9562,55990.32261,0
1003001,1018063015900,13.81,0.05,181.56401,-18.95623,55990.32721,0
1003001,1018063015900,13.82,0.05,181.56400000000002,-18.95623,55990.33176,0
1003001,1018063015900,13.82,0.05,181.56402,-18.95621,55990.33633,0
1003001,1018063015900,13.79,0.05,181.56401,-18.95623,56001.32051000001,0
1003001,1018063015900,13.79,0.05,181.56401,-18.95622,56001.32685,0
1003001,1018063015900,13.8,0.05,181.56400000000002,-18.95621,56001.33318,0
1003001,1018063015900,13.79,0.05,181.56400000000002,-18.95619,56001.33952,0
1003001,1018063015900,13.78,0.05,181.56403,-18.95622,55952.46078,0
1003001,1018063015900,13.78,0.05,181.56402,-18.95621,55952.46943,0
1003001,1018063015900,13.79,0.05,181.56402,-18.95622,55952.47802,0
1003001,1018063015900,13.79,0.05,181.56401,-18.95622,55952.4867,0
1003002,1004065046770,18.8,0.15,181.59465,-3.45436,53709.51561,0
1003002,1004065046770,18.82,0.16,181.59456,-3.45446,53709.52469,0
1003002,1004065046770,18.71,0.15,181.59449,-3.4546900000000003,53709.53393,0
1003002,1004065046770,19.12,0.18,181.59464,-3.4543699999999995,53709.54315,0
1003002,1004065046770,18.44,0.13,181.5948,-3.45468,53524.14334,0
1003002,1004065046770,18.03,0.11,181.59447,-3.45452,53524.14974,0
1003002,1004065046770,18.74,0.15,181.59448,-3.4546300000000003,53524.15616000001,0
1003002,1004065046770,18.58,0.14,181.59457,-3.45456,53524.16265,0
1003002,1004065046770,18.97,0.17,181.59451,-3.45473,53530.17836000001,0
1003002,1004065046770,19.16,0.18,181.59464,-3.45435,53530.18499,0
1003002,1004065046770,18.94,0.17,181.5944,-3.45451,53530.19175,0
1003002,1004065046770,19.08,0.18,181.5946,-3.45459,53530.19848,0
1003002,1004065046770,18.68,0.15,181.59468,-3.4545800000000004,53551.16034,0
1003002,1004065046770,19.63,0.24,181.59425,-3.4545,53551.16673,0
1003002,1004065046770,18.58,0.15,181.59449,-3.45453,53551.17316000001,0
1003002,1004065046770,19.48,0.23,181.59469,-3.45471,53551.17955,0
1003002,1004065046770,18.82,0.16,181.5944,-3.45467,53496.15181,0
1003002,1004065046770,18.73,0.15,181.59471,-3.45462,53496.15818,0
1003002,1004065046770,18.8,0.15,181.59447,-3.45471,53496.16454,0
1003002,1004065046770,18.79,0.15,181.59439,-3.45464,53496.17093,0
1003002,1004065046770,18.95,0.17,181.5945,-3.45465,53846.24543,0
1003002,1004065046770,18.73,0.14,181.59453,-3.4548,54090.50913,0
1003002,1004065046770,18.84,0.15,181.59472,-3.4547,54090.51935,0
1003002,1004065046770,18.94,0.16,181.59455,-3.4547800000000004,54090.52961000001,0
1003002,1004065046770,18.77,0.15,181.59457,-3.4546300000000003,54090.53986,0
1003002,1004065046770,19.22,0.19,181.59461,-3.45459,53772.40825,0
1003002,1004065046770,19.09,0.17,181.5947,-3.45481,53772.41792000001,0
1003002,1004065046770,18.85,0.16,181.59468,-3.45472,53772.42757000001,0
1003002,1004065046770,18.71,0.15,181.59461,-3.45432,53772.43722000001,0
1003002,1004065046770,18.78,0.15,181.59467,-3.45462,53773.44692,0
1003002,1004065046770,18.56,0.14,181.59454,-3.45464,53773.45345,0
1003002,1004065046770,18.79,0.16,181.59456,-3.45462,53773.46001,0
1003002,1004065046770,18.45,0.13,181.59439,-3.45481,53773.46654,0
1003002,1004065046770,18.9,0.16,181.59446,-3.45465,53786.41232,0
1003002,1004065046770,18.67,0.15,181.59468,-3.4546300000000003,53786.4188,0
1003002,1004065046770,19.02,0.17,181.59467,-3.45456,53786.42529,0
1003002,1004065046770,19.03,0.17,181.59471,-3.45457,53786.43187000001,0
1003002,1004065046770,18.96,0.16,181.5945,-3.45461,53741.49672999999,0
1003002,1004065046770,18.58,0.14,181.5947,-3.4546300000000003,53741.50313,0
