InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003021,1004065058461,16.09,0.07,182.51646,-2.89177,53709.51561,0
1003021,1004065058461,16.1,0.07,182.51647,-2.89174,53709.52469,0
1003021,1004065058461,16.09,0.07,182.51646,-2.89173,53709.53393,0
1003021,1004065058461,16.08,0.07,182.51644,-2.89181,53709.54315,0
1003021,1004065058461,15.97,0.07,182.51646,-2.89184,53524.14334,0
1003021,1004065058461,16.1,0.07,182.51644,-2.89181,53524.14974,0
1003021,1004065058461,16.05,0.07,182.51633,-2.89188,53524.15616000001,0
1003021,1004065058461,16.09,0.07,182.5164,-2.89186,53524.16265,0
1003021,1004065058461,16.13,0.07,182.51645,-2.8917900000000003,53530.17836000001,0
1003021,1004065058461,16.11,0.07,182.51641,-2.89178,53530.18499,0
1003021,1004065058461,16.06,0.07,182.51637,-2.8917900000000003,53530.19175,0
1003021,1004065058461,16.11,0.07,182.51645,-2.89176,53530.19848,0
1003021,1004065058461,16.09,0.07,182.51638,-2.8918,53551.16034,0
1003021,1004065058461,16.1,0.07,182.51632,-2.89177,53551.16673,0
1003021,1004065058461,16.17,0.07,182.51638,-2.89174,53551.17316000001,0
1003021,1004065058461,16.06,0.07,182.51636,-2.89182,53551.17955,0
1003021,1004065058461,16.12,0.07,182.5164,-2.89184,53496.15181,0
1003021,1004065058461,16.1,0.07,182.51637,-2.89184,53496.15818,0
1003021,1004065058461,16.11,0.07,182.51641,-2.8917900000000003,53496.16454,0
1003021,1004065058461,16.14,0.07,182.51637,-2.89181,53496.17093,0
1003021,1004065058461,16.12,0.07,182.51645,-2.8917900000000003,53846.24543,0
1003021,1004065058461,16.09,0.07,182.51644,-2.89178,54090.50913,0
1003021,1004065058461,16.04,0.07,182.51646,-2.89178,54090.51935,0
1003021,1004065058461,16.08,0.07,182.51646,-2.8918,54090.52961000001,0
1003021,1004065058461,16.11,0.07,182.51646,-2.89183,54090.53986,0
1003021,1004065058461,16.15,0.07,182.51647,-2.8917900000000003,53772.40825,0
1003021,1004065058461,16.14,0.07,182.51639,-2.89181,53772.41792000001,0
1003021,1004065058461,16.12,0.07,182.51649,-2.89176,53772.42757000001,0
1003021,1004065058461,16.14,0.07,182.51643,-2.89177,53772.43722000001,0
1003021,1004065058461,16.11,0.07,182.51646,-2.89177,53773.44692,0
1003021,1004065058461,16.13,0.07,182.51647,-2.89184,53773.45345,0
1003021,1004065058461,16.14,0.07,182.51639,-2.8917900000000003,53773.46001,0
1003021,1004065058461,16.14,0.07,182.51644,-2.89181,53773.46654,0
1003021,1004065058461,16.09,0.07,182.51651,-2.89185,53786.41232,0
1003021,1004065058461,16.12,0.07,182.51644,-2.8917900000000003,53786.4188,0
1003021,1004065058461,16.16,0.07,182.51639,-2.89167,53786.42529,0
1003021,1004065058461,16.14,0.07,182.51644,-2.89182,53786.43187000001,0
1003021,1004065058461,16.07,0.07,182.51644,-2.8917900000000003,53741.49672999999,0
1003021,1004065058461,16.12,0.07,182.51644,-2.89181,53741.50313,0
1003021,1004065058461,16.08,0.07,182.51643,-2.8917900000000003,53741.5095,0
1003021,1004065058461,16.1,0.07,182.5164,-2.8917900000000003,53741.51587999999,0
1003021,1004065058461,16.11,0.07,182.51642,-2.89174,53758.42823,0
1003021,1004065058461,16.08,0.07,182.51648,-2.89178,53758.43524,0
1003021,1004065058461,16.08,0.07,182.51645,-2.89176,53758.4423,0
1003021,1004065058461,16.08,0.07,182.51645,-2.89181,53758.44959,0
1003021,1004065058461,16.03,0.09,182.5164,-2.89177,53764.47426,0
1003021,1004065058461,16.09,0.09,182.5164,-2.8917900000000003,53764.47729,0
1003021,1004065058461,16.09,0.09,182.51649,-2.89174,53764.48029,0
1003021,1004065058461,16.16,0.09,182.51639,-2.89177,53764.4833,0
1003021,1004065058461,16.05,0.12,182.51627,-2.89178,53903.21391000001,0
1003021,1004065058461,16.06,0.12,182.51642,-2.8917,53903.21487,0
1003021,1004065058461,15.94,0.12,182.51651,-2.89182,53903.21584,0
1003021,1004065058461,16.03,0.12,182.51641,-2.89177,53903.21683,0
1003021,1004065058461,16.1,0.07,182.51651,-2.89177,53875.23398,0
1003021,1004065058461,16.09,0.07,182.5164,-2.89185,53875.24165,0
1003021,1004065058461,16.06,0.07,182.51637,-2.89174,53875.24936,0
1003021,1004065058461,16.14,0.07,182.51638,-2.89178,53875.25700000001,0
1003021,1004065058461,16.15,0.07,182.51649,-2.89177,54064.51572,0
1003021,1004065058461,16.06,0.07,182.51651,-2.89176,54064.5189,0
1003021,1004065058461,16.11,0.07,182.51646,-2.89175,54064.52213,0
1003021,1004065058461,16.15,0.07,182.51648,-2.8917900000000003,54064.52531000001,0
1003021,1004065058461,16.08,0.07,182.51639,-2.8917900000000003,54450.47377999999,0
1003021,1004065058461,16.07,0.07,182.51649,-2.89173,54450.48048,0
1003021,1004065058461,16.1,0.07,182.51645,-2.89175,54450.48716,0
1003021,1004065058461,16.07,0.07,182.51642,-2.89178,54450.49388,0
1003021,1004065058461,16.09,0.07,182.51644,-2.89176,54127.37122000001,0
1003021,1004065058461,16.06,0.07,182.51646,-2.8918,54127.38032,0
1003021,1004065058461,16.08,0.07,182.51641,-2.89182,54127.38944,0
1003021,1004065058461,16.06,0.07,182.51644,-2.8918,54127.39853,0
1003021,1004065058461,16.13,0.07,182.51642,-2.89178,54261.20546000001,0
1003021,1004065058461,16.1,0.07,182.51635,-2.89188,54261.21082000001,0
1003021,1004065058461,16.09,0.07,182.51634,-2.89184,54261.21615,0
1003021,1004065058461,16.08,0.07,182.51639,-2.89182,54261.22147999999,0
1003021,1004065058461,16.11,0.07,182.51633,-2.89178,54232.22026,0
1003021,1004065058461,16.16,0.07,182.51644,-2.89181,54232.22729,0
1003021,1004065058461,16.08,0.07,182.51635,-2.89178,54232.23999,0
1003021,1004065058461,16.07,0.07,182.51643,-2.89177,54232.24879,0
1003021,1004065058461,16.07,0.07,182.51645,-2.8917900000000003,54422.51946,0
1003021,1004065058461,16.13,0.07,182.51647,-2.89177,54422.52111,0
1003021,1004065058461,16.06,0.07,182.51636,-2.89178,54422.52272000001,0
1003021,1004065058461,16.03,0.07,182.51638,-2.89183,54422.52434,0
1003021,1004065058461,16.06,0.06,182.51646,-2.8918,54560.25526000001,0
1003021,1004065058461,16.12,0.06,182.51646,-2.89185,54560.26199,0
1003021,1004065058461,16.13,0.06,182.51644,-2.89175,54560.26871,0
1003021,1004065058461,16.12,0.06,182.51636,-2.89181,54560.27537999999,0
1003021,1004065058461,16.07,0.07,182.51642,-2.89176,54567.26171,0
1003021,1004065058461,16.12,0.07,182.51641,-2.89173,54567.27084,0
1003021,1004065058461,16.09,0.07,182.51643,-2.89176,54567.27997,0
1003021,1004065058461,16.08,0.07,182.51641,-2.89187,54567.28909,0
1003021,1004065058461,16.07,0.07,182.51649,-2.8917,54582.25900000001,0
1003021,1004065058461,16.09,0.07,182.51637,-2.8918,54582.26604,0
1003021,1004065058461,16.09,0.07,182.51642,-2.89176,54582.27306,0
1003021,1004065058461,16.09,0.07,182.51637,-2.89178,54582.28012,0
1003021,1004065058461,16.15,0.07,182.51643,-2.89176,54801.53311,0
1003021,1004065058461,16.13,0.07,182.51643,-2.89177,54801.53644,0
1003021,1004065058461,16.16,0.07,182.51645,-2.89171,54801.53967000001,0
1003021,1004065058461,16.12,0.07,182.51648,-2.89174,54801.54302999999,0
1003021,1004065058461,16.12,0.07,182.51643,-2.89182,54829.49205,0
1003021,1004065058461,16.12,0.07,182.51645,-2.89177,54829.49812,0
1003021,1004065058461,16.11,0.07,182.51646,-2.89176,54829.50413,0
1003021,1004065058461,16.14,0.07,182.51649,-2.89174,54829.5102,0
1003021,1004065058461,16.12,0.07,182.51646,-2.89175,54505.46311,0
1003021,1004065058461,16.08,0.07,182.51645,-2.89177,54505.47185,0
1003021,1004065058461,16.09,0.07,182.51644,-2.89178,54505.47905,0
1003021,1004065058461,16.06,0.07,182.51645,-2.89177,54505.48626000001,0
1003021,1004065058461,16.12,0.07,182.51649,-2.8917200000000003,54533.317870000006,0
1003021,1004065058461,16.09,0.07,182.51647,-2.89181,54533.32432000001,0
1003021,1004065058461,16.1,0.07,182.51644,-2.89173,54533.33075,0
1003021,1004065058461,16.09,0.07,182.51647,-2.89176,54533.33721000001,0
1003021,1004065058461,16.04,0.07,182.51642,-2.89177,54597.22594,0
1003021,1004065058461,16.07,0.07,182.51646,-2.89183,54597.23309,0
1003021,1004065058461,16.1,0.07,182.51638,-2.89177,54597.24024,0
1003021,1004065058461,16.09,0.07,182.51641,-2.8917900000000003,54597.24736,0
1003021,1004065058461,16.12,0.07,182.51638,-2.8917900000000003,54924.2744,0
1003021,1004065058461,16.04,0.07,182.51646,-2.8918,54924.28127000001,0
1003021,1004065058461,16.17,0.07,182.51641,-2.89178,54924.28819,0
1003021,1004065058461,16.07,0.07,182.5164,-2.8918,54924.29518,0
1003021,1004065058461,16.12,0.07,182.51639,-2.89177,54938.21732,0
1003021,1004065058461,16.16,0.07,182.51642,-2.8917900000000003,54938.22214,0
1003021,1004065058461,16.07,0.07,182.51647,-2.8918,54938.22696,0
1003021,1004065058461,16.06,0.07,182.51644,-2.89183,54938.23182000001,0
1003021,1004065058461,16.15,0.07,182.51639,-2.89168,54849.49638,0
1003021,1004065058461,16.1,0.07,182.51646,-2.89171,54849.50385,0
1003021,1004065058461,16.12,0.07,182.5164,-2.89177,54849.51118,0
1003021,1004065058461,16.16,0.07,182.51642,-2.89171,54849.51857000001,0
1003021,1004065058461,16.02,0.07,182.51642,-2.8917,54905.34601,0
1003021,1004065058461,16.02,0.07,182.51649,-2.89174,54905.35201,0
1003021,1004065058461,16.04,0.07,182.51639,-2.89178,54905.35815,0
1003021,1004065058461,16.05,0.07,182.51637,-2.89185,54905.36436,0
1003021,1004065058461,16.13,0.07,182.51637,-2.89185,54966.22,0
1003021,1004065058461,16.06,0.07,182.51647,-2.89183,54966.22792000001,0
1003021,1004065058461,16.11,0.07,182.5164,-2.89183,54966.23575,0
1003021,1004065058461,16.14,0.07,182.51638,-2.8917900000000003,54966.24344,0
1003021,1004065058461,16.1,0.07,182.5164,-2.89188,55292.32606,0
1003021,1004065058461,16.05,0.07,182.51638,-2.89193,55292.33304,0
1003021,1004065058461,16.14,0.07,182.51636,-2.89181,55292.33995,0
1003021,1004065058461,16.11,0.07,182.51638,-2.89184,55292.34692999999,0
1003021,1004065058461,16.1,0.07,182.5164,-2.89182,55204.5212,0
1003021,1004065058461,16.06,0.07,182.51641,-2.8918,55204.52491,0
1003021,1004065058461,16.14,0.07,182.51647,-2.8919,55204.52865,0
1003021,1004065058461,16.07,0.07,182.5164,-2.89197,55204.53242,0
1003021,1004065058461,16.14,0.07,182.51637,-2.89193,55267.3761,0
1003021,1004065058461,16.07,0.07,182.51632,-2.8919,55267.38381,0
1003021,1004065058461,16.09,0.07,182.51636,-2.89195,55267.3915,0
1003021,1004065058461,16.1,0.07,182.51637,-2.89194,55267.39916,0
1003021,1004065058461,16.16,0.07,182.5164,-2.89177,55326.20775,0
1003021,1004065058461,16.13,0.07,182.51646,-2.89186,55326.22266,0
1003021,1004065058461,16.08,0.07,182.51641,-2.89181,55326.23009,0
1003021,1004065058461,16.08,0.06,182.51637,-2.89187,55662.35605,0
1003021,1004065058461,16.12,0.07,182.5164,-2.89184,55662.365,0
1003021,1004065058461,16.17,0.07,182.5163,-2.89177,55662.37402999999,0
1003021,1004065058461,16.1,0.07,182.51627,-2.89184,55662.38289,0
1003021,1004065058461,16.11,0.07,182.51642,-2.89176,55677.18141000001,0
1003021,1004065058461,16.15,0.07,182.51641,-2.89174,55677.19046000001,0
1003021,1004065058461,16.07,0.07,182.51645,-2.8918,55677.19967,0
1003021,1004065058461,16.12,0.07,182.51638,-2.89177,55677.20879,0
1003021,1004065058461,16.15,0.06,182.51639,-2.8918,55596.39699,0
1003021,1004065058461,16.14,0.06,182.51634,-2.89186,55596.40533,0
1003021,1004065058461,16.13,0.06,182.51646,-2.89182,55596.41372,0
1003021,1004065058461,16.09,0.06,182.51641,-2.89188,55596.4221,0
1003021,1004065058461,16.15,0.07,182.51639,-2.89183,55577.47871,0
1003021,1004065058461,16.14,0.07,182.51629,-2.8917200000000003,55577.48674,0
1003021,1004065058461,16.16,0.07,182.51649,-2.8918,55577.49408,0
1003021,1004065058461,16.07,0.07,182.5163,-2.89167,55577.50135,0
1003021,1004065058461,16.09,0.07,182.51644,-2.89189,55588.4486,0
1003021,1004065058461,16.12,0.07,182.51634,-2.89176,55588.45385,0
1003021,1004065058461,16.21,0.07,182.51667,-2.89183,55588.46433,0
1003021,1004065058461,16.12,0.07,182.51633,-2.89173,55717.20676,0
1003021,1004065058461,16.1,0.07,182.51635,-2.89173,55717.21593,0
1003021,1004065058461,16.01,0.07,182.5163,-2.89182,55717.22589,0
1003021,1004065058461,16.1,0.07,182.51637,-2.89177,55717.23555,0
1003021,1004065058461,16.02,0.07,182.51649,-2.89173,55742.17144,0
1003021,1004065058461,16.06,0.07,182.51629,-2.8918,55742.17655,0
1003021,1004065058461,15.95,0.07,182.51619,-2.89188,55742.18177,0
1003021,1004065058461,16.11,0.07,182.51631,-2.89178,55742.18695,0
1003021,1004065058461,16.13,0.06,182.51638,-2.89182,55621.39156,0
1003021,1004065058461,16.07,0.06,182.51638,-2.89185,55621.39939,0
1003021,1004065058461,16.1,0.06,182.51634,-2.89186,55621.40721000001,0
1003021,1004065058461,16.05,0.06,182.51639,-2.89185,55621.41508,0
1003021,1004065058461,16.1,0.07,182.51635,-2.89185,55644.22355,0
1003021,1004065058461,16.06,0.07,182.51655,-2.89186,55644.2298,0
1003021,1004065058461,16.11,0.07,182.51642,-2.89175,55644.23609,0
1003021,1004065058461,16.08,0.07,182.51646,-2.89184,55644.24241,0
1003021,1004065058461,16.12,0.07,182.51638,-2.89182,55689.19632,0
1003021,1004065058461,16.1,0.07,182.5164,-2.89184,55689.20208,0
1003021,1004065058461,16.11,0.07,182.51637,-2.89176,55689.20782,0
1003021,1004065058461,16.04,0.07,182.51637,-2.89191,55689.21356,0
1003021,1004065058461,16.1,0.07,182.51641,-2.89177,53846.2549,0
1003021,1004065058461,16.11,0.07,182.5164,-2.89174,53846.26465,0
1003021,1004065058461,16.1,0.07,182.51647,-2.8917900000000003,53846.2745,0
1003021,1004065058461,16.02,0.07,182.51639,-2.8919,53846.28437,0
1003021,1004065058461,16.06,0.07,182.51636,-2.89176,53764.49925,0
1003021,1004065058461,16.12,0.07,182.5164,-2.89177,53764.50532,0
1003021,1004065058461,16.07,0.07,182.51651,-2.89176,53764.51139,0
1003021,1004065058461,16.09,0.07,182.51643,-2.89177,53764.51748,0
1003021,1004065058461,16.09,0.07,182.5164,-2.8918,55924.53291,0
1003021,1004065058461,16.09,0.07,182.51642,-2.89185,55924.53805,0
1003021,1004065058461,16.09,0.07,182.51642,-2.89182,55924.54307000001,0
1003021,1004065058461,16.08,0.07,182.51641,-2.89183,55924.5482,0
1003021,1004065058461,16.14,0.07,182.51637,-2.89184,55959.46521,0
1003021,1004065058461,16.17,0.07,182.5164,-2.8918,55959.47029,0
