InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003041,1109065051128,20.81,0.44,183.40833,10.91121,53774.44395,0
1003041,1109065051128,20.87,0.46,183.40833,10.90977,53765.44396,0
1003041,1109065051128,21.12,0.5,183.40834,10.91097,54450.45907,0
1003041,1109065051128,21.22,0.53,183.40782,10.91056,54587.169,0
1003041,1109065051128,19.98,0.27,183.40851,10.90985,55275.39315,0
1003041,1109065051128,21.3,0.56,183.40817,10.91054,55927.51292000001,0
1003041,1109065051134,21.02,0.5,183.41671,10.91138,53705.50192,0
1003041,1109065051134,20.92,0.47,183.417,10.90985,53774.42899,0
1003041,1109065051134,19.94,0.29,183.41829,10.91129,54265.22301,0
1003041,1109065051134,20.87,0.43,183.41715,10.91077,54523.45495,0
1003041,1109065051134,20.82,0.44,183.41761,10.91085,54948.31755,0
1003041,1109065051134,20.91,0.46,183.41665,10.90972,55617.47467999999,0
1003041,1109065051134,21.1,0.53,183.41918,10.90985,55644.28975,0
1003041,1109065051134,20.28,0.34,183.41848,10.90938,55705.14162,0
1003041,1109065051134,20.61,0.38,183.41847,10.91011,55959.45677999999,0
1003041,1109065051134,20.64,0.4,183.4177,10.91103,56263.51261000001,0
1003041,1109065051134,20.33,0.42,183.41826,10.91217,56371.22763,0
1003041,1109065051175,19.83,0.24,183.42195,10.9074,53466.2632,0
1003041,1109065051175,21.02,0.47,183.4226,10.90739,53466.27072,0
1003041,1109065051175,20.16,0.32,183.42233,10.90699,53705.48159,0
1003041,1109065051175,19.86,0.26,183.42219,10.90755,53528.19183,0
1003041,1109065051175,19.89,0.27,183.42177,10.90758,53528.20681,0
1003041,1109065051175,20.42,0.37,183.42185,10.90758,53520.24277,0
1003041,1109065051175,19.55,0.23,183.42201,10.90823,53843.29173,0
1003041,1109065051175,20.1,0.28,183.42236,10.90727,54095.44046000001,0
1003041,1109065051175,20.0,0.27,183.42237,10.90769,54095.45238,0
1003041,1109065051175,19.8,0.24,183.42167,10.90749,54095.4643,0
1003041,1109065051175,19.85,0.25,183.42209,10.90747,54095.47618,0
