InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003061,1004066044315,19.02,0.17,184.01307,-3.55216,53709.51616,0
1003061,1004066044315,20.29,0.33,184.01355,-3.55296,53709.52522,0
1003061,1004066044315,19.86,0.26,184.01395,-3.55214,53709.53448,0
1003061,1004066044315,20.73,0.42,184.01379,-3.5525900000000004,53709.54369,0
1003061,1004066044315,19.88,0.26,184.01362,-3.55186,53524.14387,0
1003061,1004066044315,19.53,0.22,184.01408,-3.5525300000000004,53524.16318,0
1003061,1004066044315,19.73,0.26,184.01385,-3.55227,53551.17369,0
1003061,1004066044315,20.18,0.31,184.01413,-3.55215,53498.19222,0
1003061,1004066044315,19.6,0.23,184.01358,-3.55223,53498.19871,0
1003061,1004066044315,19.9,0.27,184.01376,-3.5523800000000003,53498.20515,0
1003061,1004066044315,19.76,0.25,184.01379,-3.55247,53498.21158,0
1003061,1004066044315,20.08,0.34,184.01424,-3.55197,53832.31792,0
1003061,1004066044315,19.28,0.2,184.01373,-3.55226,53846.25762999999,0
1003061,1004066044315,20.93,0.49,184.01371,-3.55217,53846.26739,0
1003061,1004066044315,20.1,0.32,184.01367,-3.55255,53846.27725,0
1003061,1004066044315,19.61,0.24,184.014,-3.55211,53846.28702,0
1003061,1004066044315,20.37,0.33,184.01343,-3.5529,54090.51021,0
1003061,1004066044315,19.78,0.24,184.01408,-3.55262,54090.52044,0
1003061,1004066044315,19.75,0.24,184.0138,-3.55256,54090.53071,0
1003061,1004066044315,19.68,0.24,184.01377,-3.5527,53773.44746,0
1003061,1004066044315,19.76,0.25,184.01379,-3.55285,53773.45400000001,0
1003061,1004066044315,20.05,0.29,184.01371,-3.55242,53786.41286,0
1003061,1004066044315,20.12,0.3,184.01406,-3.55234,53786.42582,0
1003061,1004066044315,20.03,0.29,184.01379,-3.55214,53786.43242000001,0
1003061,1004066044315,20.5,0.37,184.01387,-3.55228,53742.48387999999,0
1003061,1004066044315,19.5,0.22,184.01345,-3.55251,53742.49254,0
1003061,1004066044315,19.91,0.27,184.01405,-3.55246,53742.50117999999,0
1003061,1004066044315,19.41,0.21,184.0137,-3.55239,53742.50984,0
1003061,1004066044315,19.49,0.22,184.01377,-3.5523800000000003,53758.42876,0
1003061,1004066044315,20.16,0.31,184.01367,-3.55235,53758.43577999999,0
1003061,1004066044315,20.34,0.34,184.01381,-3.5518400000000003,53758.44284,0
1003061,1004066044315,19.55,0.22,184.014,-3.55208,53758.45019,0
1003061,1004066044315,20.62,0.44,184.01374,-3.55254,53906.16186,0
1003061,1004066044315,20.01,0.3,184.01402,-3.55175,53875.2422,0
1003061,1004066044315,19.5,0.21,184.01375,-3.55197,54450.47435,0
1003061,1004066044315,19.39,0.2,184.01405,-3.5523,54450.48103,0
1003061,1004066044315,19.21,0.18,184.01395,-3.5523,54450.4877,0
1003061,1004066044315,20.04,0.27,184.01398,-3.55223,54450.49443,0
1003061,1004066044315,19.37,0.2,184.01394,-3.5528,54124.49043,0
1003061,1004066044315,19.58,0.22,184.0146,-3.55227,54124.50024,0
1003061,1004066044315,19.14,0.18,184.01332,-3.5531900000000003,54124.50517,0
1003061,1004066044315,19.83,0.26,184.01371,-3.55231,54232.21973,0
1003061,1004066044315,20.34,0.35,184.01413,-3.5520400000000003,54232.22675,0
1003061,1004066044315,19.96,0.27,184.01447,-3.5525,54422.52,0
1003061,1004066044315,20.64,0.39,184.01371,-3.55254,54422.52165,0
1003061,1004066044315,19.34,0.2,184.01391,-3.55257,54422.52489,0
1003061,1004066044315,19.82,0.21,184.01374,-3.55256,54560.25592,0
1003061,1004066044315,19.8,0.21,184.01374,-3.55247,54560.26265,0
1003061,1004066044315,19.29,0.17,184.01353,-3.55241,54560.26936000001,0
1003061,1004066044315,20.06,0.24,184.01381,-3.55235,54560.27604,0
1003061,1004066044315,19.54,0.22,184.01374,-3.5523300000000004,54567.27138,0
1003061,1004066044315,19.68,0.23,184.0138,-3.55305,54567.28962,0
1003061,1004066044315,19.51,0.22,184.01319,-3.5524,54580.30325,0
1003061,1004066044315,19.94,0.27,184.01417,-3.55202,54580.3097,0
1003061,1004066044315,19.22,0.21,184.01371,-3.55249,54801.53365,0
1003061,1004066044315,19.92,0.26,184.01399,-3.5524400000000003,54829.51716,0
1003061,1004066044315,20.11,0.28,184.0137,-3.55231,54829.52258,0
1003061,1004066044315,20.05,0.27,184.01388,-3.55242,54829.52812,0
1003061,1004066044315,19.35,0.19,184.01407,-3.55243,54829.53352999999,0
1003061,1004066044315,20.24,0.31,184.01398,-3.5524,54505.4724,0
1003061,1004066044315,19.91,0.26,184.01373,-3.55241,54505.47959,0
1003061,1004066044315,20.12,0.29,184.01338,-3.5524400000000003,54505.4868,0
1003061,1004066044315,19.95,0.27,184.01365,-3.55225,54533.31841,0
1003061,1004066044315,19.68,0.23,184.01406,-3.55254,54533.32485,0
1003061,1004066044315,20.34,0.33,184.01391,-3.55226,54533.3313,0
1003061,1004066044315,19.7,0.23,184.01385,-3.55226,54533.33774,0
1003061,1004066044315,19.72,0.25,184.01365,-3.55249,54597.22647,0
1003061,1004066044315,19.55,0.23,184.01329,-3.552,54597.233620000006,0
1003061,1004066044315,19.54,0.23,184.01404,-3.5525900000000004,54597.24789,0
1003061,1004066044315,19.83,0.25,184.0137,-3.5524400000000003,54924.28189,0
1003061,1004066044315,19.69,0.24,184.01392,-3.55182,54924.2888,0
1003061,1004066044315,19.55,0.22,184.01339,-3.5523300000000004,54938.22153,0
1003061,1004066044315,19.69,0.24,184.01355,-3.55254,54938.22635,0
1003061,1004066044315,19.66,0.23,184.01361,-3.55191,54938.23122,0
1003061,1004066044315,19.78,0.24,184.01347,-3.55228,54859.39328,0
1003061,1004066044315,19.94,0.26,184.01362,-3.5524400000000003,54859.39811,0
1003061,1004066044315,20.07,0.28,184.01351,-3.55256,54906.31676,0
1003061,1004066044315,19.86,0.25,184.01351,-3.55255,54906.32224,0
1003061,1004066044315,19.98,0.28,184.01364,-3.55248,54966.25286,0
1003061,1004066044315,19.87,0.27,184.01361,-3.55221,54966.26079,0
1003061,1004066044315,19.72,0.25,184.01332,-3.55225,54966.26874,0
1003061,1004066044315,20.04,0.29,184.014,-3.55243,55161.50834,0
1003061,1004066044315,19.64,0.23,184.01367,-3.55215,55292.32665,0
1003061,1004066044315,19.85,0.26,184.01361,-3.55161,55292.33362000001,0
1003061,1004066044315,19.46,0.21,184.01304,-3.55226,55292.34751,0
1003061,1004066044315,19.75,0.25,184.01383,-3.5522,55245.36829,0
1003061,1004066044315,19.37,0.2,184.01389,-3.55249,55245.37518,0
1003061,1004066044315,20.08,0.29,184.01355,-3.5522400000000003,55245.38217,0
1003061,1004066044315,20.32,0.33,184.01375,-3.5525800000000003,55245.3891,0
1003061,1004066044315,19.82,0.31,184.014,-3.5521300000000005,55204.52537999999,0
1003061,1004066044315,19.74,0.3,184.01399,-3.5524,55204.52912000001,0
1003061,1004066044315,19.63,0.28,184.01368,-3.5527,55204.53289,0
1003061,1004066044315,19.85,0.26,184.01374,-3.55248,55267.37553,0
1003061,1004066044315,19.76,0.25,184.01417,-3.55246,55267.38322999999,0
1003061,1004066044315,20.04,0.29,184.01387,-3.55236,55267.39091,0
1003061,1004066044315,20.17,0.31,184.01339,-3.55216,55267.39858,0
1003061,1004066044315,19.26,0.19,184.01346,-3.5521800000000003,55326.20832000001,0
1003061,1004066044315,20.13,0.3,184.01347,-3.55265,55326.21579,0
1003061,1004066044315,20.0,0.25,184.01327,-3.55257,55662.37469,0
1003061,1004066044315,19.52,0.24,184.01422,-3.55264,55674.18935,0
1003061,1004066044315,19.56,0.24,184.014,-3.55249,55677.20825,0
1003061,1004066044315,19.65,0.23,184.01445,-3.55175,55563.50836,0
1003061,1004066044315,19.42,0.21,184.01384,-3.55251,55563.52348,0
1003061,1004066044315,20.15,0.31,184.0141,-3.55219,55588.46996,0
1003061,1004066044315,19.9,0.27,184.01367,-3.55222,55588.4804,0
1003061,1004066044315,19.92,0.27,184.01391,-3.55225,55588.48566000001,0
1003061,1004066044315,20.38,0.39,184.01378,-3.55225,55717.21709,0
1003061,1004066044315,20.21,0.27,184.01403,-3.55197,55622.351420000006,0
1003061,1004066044315,19.67,0.2,184.01377,-3.55211,55622.36114,0
1003061,1004066044315,19.97,0.24,184.01385,-3.5521800000000003,55622.37089,0
1003061,1004066044315,19.83,0.22,184.01351,-3.55199,55622.38066,0
1003061,1004066044315,19.95,0.28,184.01385,-3.5522,55644.22297,0
1003061,1004066044315,20.42,0.37,184.01359,-3.5526,55644.2355,0
1003061,1004066044315,19.38,0.21,184.01376,-3.55225,55644.24184,0
1003061,1004066044315,19.82,0.27,184.01386,-3.55247,55688.20402000001,0
1003061,1004066044315,20.22,0.33,184.01388,-3.55284,55688.21541,0
1003061,1004066044315,20.33,0.38,184.0138,-3.55217,53764.49979,0
1003061,1004066044315,19.47,0.23,184.01349,-3.55251,53764.51192999999,0
1003061,1004066044315,20.19,0.34,184.01379,-3.5519199999999995,53764.51802,0
1003061,1004066044315,20.6,0.44,184.01399,-3.55271,53906.16662,0
1003061,1004066044315,20.24,0.36,184.01366,-3.5523800000000003,53906.17304,0
1003061,1004066044315,19.89,0.3,184.01314,-3.5525,53906.17943,0
1003061,1004066044315,20.65,0.42,184.01398,-3.55222,54241.23469,0
1003061,1004066044315,20.61,0.39,184.0135,-3.55269,55351.19936000001,0
1003061,1004066044315,19.84,0.26,184.01404,-3.5527900000000003,55351.21469,0
1003061,1004066044315,19.75,0.25,184.01394,-3.55217,55351.2222,0
1003061,1004066044315,19.2,0.19,184.01371,-3.55284,55924.53346000001,0
1003061,1004066044315,19.17,0.18,184.01383,-3.5527,55924.5386,0
1003061,1004066044315,20.06,0.29,184.01359,-3.55252,55924.54366,0
1003061,1004066044315,19.38,0.2,184.01298,-3.5527300000000004,55924.54876000001,0
1003061,1004066044315,20.02,0.28,184.01351,-3.55246,55959.46463,0
1003061,1004066044315,19.97,0.27,184.01352,-3.55271,55959.46975,0
1003061,1004066044315,19.86,0.26,184.01364,-3.55241,55959.47994,0
1003061,1004066044315,19.47,0.22,184.01391,-3.55232,56000.43446,0
1003061,1004066044315,20.03,0.29,184.01391,-3.55234,56000.44087000001,0
1003061,1004066044315,19.49,0.19,184.01381,-3.55246,56007.32615,0
1003061,1004066044315,19.59,0.19,184.01353,-3.55254,56007.33826,0
1003061,1004066044315,19.56,0.19,184.0138,-3.5522,56007.35025,0
1003061,1004066044315,19.67,0.2,184.01389,-3.55267,56007.36239,0
1003061,1004066044315,19.73,0.25,184.01411,-3.5521199999999995,56041.21737000001,0
1003061,1004066044315,19.45,0.24,184.01381,-3.55226,56041.22246000001,0
1003061,1004066044315,19.69,0.25,184.01395,-3.55205,56041.2275,0
1003061,1004066044315,19.55,0.23,184.01364,-3.5524400000000003,56041.23257000001,0
1003061,1004066044315,19.99,0.27,184.01357,-3.55232,56066.26154,0
1003061,1004066044315,20.33,0.33,184.01352,-3.5527300000000004,56066.28194,0
1003061,1004066044315,19.31,0.22,184.01425,-3.55257,56075.19533,0
1003061,1004066044315,19.81,0.28,184.01396,-3.55264,56101.17243,0
1003061,1004066044315,19.52,0.19,184.01399,-3.55265,56256.51033,0
1003061,1004066044315,19.45,0.19,184.01422,-3.55209,56256.5144,0
1003061,1004066044315,20.27,0.32,184.01371,-3.5522400000000003,56271.51249,0
1003061,1004066044315,20.02,0.28,184.01395,-3.55239,56271.51931,0
1003061,1004066044315,19.56,0.25,184.01447,-3.55225,56298.52831,0
1003061,1004066044315,19.42,0.28,184.01379,-3.5519300000000005,56298.54072999999,0
1003061,1004066044315,20.24,0.32,184.01354,-3.55249,56299.50769,0
1003061,1004066044315,19.56,0.22,184.01369,-3.55223,56299.51235,0
1003061,1004066044315,19.67,0.24,184.01362,-3.55242,56299.51693,0
1003061,1004066044315,20.16,0.31,184.0137,-3.5524400000000003,56299.52157999999,0
1003061,1004066044315,19.53,0.22,184.01382,-3.55219,56312.41712000001,0
1003061,1004066044315,19.88,0.27,184.01386,-3.55216,56312.4267,0
1003061,1004066044315,19.98,0.28,184.01356,-3.55217,56312.43637,0
1003061,1004066044315,19.45,0.21,184.0139,-3.55228,56330.48625,0
1003061,1004066044315,19.64,0.24,184.01397,-3.55217,56330.49787000001,0
1003061,1004066044315,19.77,0.21,184.01386,-3.55229,56337.41059,0
1003061,1004066044315,19.62,0.2,184.01386,-3.5522,56337.42079,0
1003061,1004066044315,20.11,0.25,184.01374,-3.55219,56337.43097,0
1003061,1004066044315,19.76,0.21,184.01377,-3.55256,56337.44118,0
1003061,1004066044315,19.71,0.24,184.0132,-3.5524400000000003,56346.38654,0
1003061,1004066044315,19.73,0.25,184.01401,-3.55232,56356.28677000001,0
1003061,1004066044315,20.15,0.31,184.01332,-3.55243,56356.29582000001,0
1003061,1004066044315,19.69,0.24,184.01438,-3.55235,56356.30489,0
1003061,1004066044315,19.38,0.21,184.01407,-3.55254,56356.31387000001,0
1003061,1004066044315,19.51,0.19,184.0132,-3.55227,56364.3969,0
1003061,1004066044315,19.36,0.18,184.01346,-3.55247,56364.40404,0
1003061,1004066044315,20.14,0.26,184.01397,-3.55262,56364.41124,0
1003061,1004066044315,19.42,0.18,184.0139,-3.5525,56364.41842,0
1003061,1004066044315,19.78,0.25,184.01361,-3.5522400000000003,55947.45884,0
1003061,1004066044315,20.33,0.33,184.0139,-3.55229,55947.4639,0
1003061,1004066044315,19.95,0.27,184.01374,-3.55261,55947.46897,0
1003061,1004066044315,19.93,0.27,184.01393,-3.55235,55947.47409,0
1003061,1004066044315,19.33,0.2,184.01337,-3.55232,56384.33286,0
1003061,1004066044315,19.29,0.2,184.01378,-3.5524400000000003,56384.3408,0
1003061,1004066044315,19.44,0.22,184.01412,-3.5521199999999995,56396.19878,0
1003061,1004066044315,19.45,0.22,184.01354,-3.55214,56396.20773,0
1003061,1004066044315,19.57,0.24,184.01347,-3.55225,56396.21679,0
1003061,1004066044315,20.0,0.3,184.01358,-3.55211,56425.16699,0
1003061,1004066044315,19.35,0.21,184.01398,-3.55226,56425.17376000001,0
1003061,1004066044315,19.7,0.25,184.01315,-3.55214,56425.18045,0
1003061,1004066044315,19.73,0.26,184.01334,-3.55247,56441.19655,0
1003061,1004066044315,19.74,0.26,184.01326,-3.5524,56447.17924,0
1003061,1004066044315,20.09,0.31,184.01403,-3.5521800000000003,56447.19044,0
1003061,1004066044315,19.99,0.3,184.01366,-3.5519300000000005,56447.19605,0
1003061,1004066044315,19.21,0.21,184.01318,-3.55234,56456.18871,0
1003061,1004066044408,18.35,0.13,184.03447,-3.55306,53709.51616,0
1003061,1004066044408,18.61,0.14,184.03448,-3.55315,53709.52522,0
1003061,1004066044408,18.12,0.12,184.03465,-3.55311,53709.53448,0
1003061,1004066044408,18.44,0.13,184.03459,-3.55304,53709.54369,0
1003061,1004066044408,18.72,0.15,184.03451,-3.5532,53524.14387,0
1003061,1004066044408,18.6,0.14,184.03448,-3.55312,53524.15028,0
1003061,1004066044408,18.64,0.15,184.03447,-3.55316,53524.1567,0
1003061,1004066044408,18.32,0.13,184.03455,-3.5530800000000005,53524.16318,0
1003061,1004066044408,18.12,0.12,184.03451,-3.55321,53551.16087,0
1003061,1004066044408,18.29,0.13,184.03451,-3.55327,53551.16726,0
1003061,1004066044408,18.26,0.13,184.03434,-3.55314,53551.17369,0
1003061,1004066044408,18.55,0.15,184.03438,-3.55325,53551.18008,0
1003061,1004066044408,18.31,0.13,184.03457,-3.5532800000000004,53498.19222,0
1003061,1004066044408,18.39,0.13,184.0346,-3.55322,53498.19871,0
1003061,1004066044408,18.49,0.14,184.03441,-3.55322,53498.20515,0
1003061,1004066044408,18.09,0.12,184.03455,-3.55335,53498.21158,0
1003061,1004066044408,18.32,0.14,184.03431,-3.55309,53832.31792,0
1003061,1004066044408,18.18,0.14,184.03446,-3.5530699999999995,53832.32555,0
1003061,1004066044408,18.56,0.16,184.03452,-3.55309,53832.33322000001,0
1003061,1004066044408,18.2,0.14,184.03456,-3.55317,53832.34087000001,0
1003061,1004066044408,18.45,0.14,184.03464,-3.55317,53846.25762999999,0
1003061,1004066044408,18.5,0.14,184.03453,-3.5530699999999995,53846.26739,0
1003061,1004066044408,18.14,0.13,184.03478,-3.55303,53846.27725,0
1003061,1004066044408,18.33,0.13,184.03451,-3.55317,53846.28702,0
1003061,1004066044408,18.31,0.12,184.03445,-3.55312,54090.51021,0
1003061,1004066044408,18.38,0.13,184.03448,-3.5530699999999995,54090.52044,0
1003061,1004066044408,18.31,0.12,184.03449,-3.55326,54090.53071,0
1003061,1004066044408,18.36,0.13,184.03462,-3.55318,54090.54093,0
1003061,1004066044408,18.42,0.13,184.03453,-3.5531900000000003,53773.44746,0
1003061,1004066044408,18.06,0.12,184.03449,-3.55334,53773.45400000001,0
1003061,1004066044408,18.46,0.14,184.03472,-3.55318,53773.46055,0
1003061,1004066044408,18.36,0.13,184.03444,-3.55327,53773.46707000001,0
1003061,1004066044408,18.46,0.14,184.03446,-3.55327,53786.41286,0
1003061,1004066044408,18.31,0.13,184.03454,-3.5533300000000003,53786.41934,0
1003061,1004066044408,18.41,0.13,184.03447,-3.55304,53786.42582,0
1003061,1004066044408,18.27,0.13,184.03449,-3.5531,53786.43242000001,0
