InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003141,1135055027563,20.06,0.3,186.66065,35.23862000000001,54156.29222999999,0
1003141,1135055027563,20.48,0.31,186.66048,35.23891,54272.16996,0
1003141,1135055027563,20.9,0.44,186.65974,35.23875,54584.25435,0
1003141,1135055027563,20.63,0.54,186.65943,35.23856,54497.33965,0
1003141,1135055027563,20.16,0.31,186.65937,35.23905,54640.20539,0
1003141,1135055027563,20.38,0.32,186.65877,35.23794,54942.2317,0
1003141,1135055027563,19.87,0.29,186.65961,35.23839,54954.21826,0
1003141,1135055027563,21.32,0.57,186.65947,35.23831,55325.31714,0
1003141,1135055027563,20.81,0.45,186.65744,35.23823,55723.24319,0
1003141,1135055027563,20.43,0.34,186.65877,35.23871,55983.48743,0
1003141,1135055027563,20.37,0.33,186.6593,35.23768,55990.27707,0
1003141,1135055027563,20.95,0.46,186.65918,35.23912,56001.43227000001,0
1003141,1135055027563,21.25,0.46,186.65926,35.23764,56008.25147,0
1003141,1135055027563,21.41,0.6,186.65987,35.23816,56015.27741,0
1003141,1135055027563,21.23,0.56,186.65963,35.23881,56037.19599,0
1003141,1135055027563,20.36,0.34,186.65902,35.23898,56037.20958,0
1003141,1135055027563,20.37,0.33,186.65995,35.23773,56302.46852,0
1003141,1135055027579,20.27,0.32,186.64506,35.23531,53712.47177999999,0
1003141,1135055027579,20.62,0.39,186.6454,35.23484000000001,53526.2061,0
1003141,1135055027579,20.7,0.42,186.64461,35.23496,53852.25543,0
1003141,1135055027579,20.73,0.42,186.64557,35.23454,53852.27001,0
1003141,1135055027579,20.18,0.31,186.64485,35.2354,53852.27724,0
1003141,1135055027579,21.25,0.54,186.64546,35.23497000000001,53742.45195,0
1003141,1135055027579,21.34,0.57,186.6461,35.23539,53742.45739,0
1003141,1135055027579,20.96,0.47,186.64475,35.23499,53796.34047,0
1003141,1135055027579,21.39,0.6,186.64461,35.23471,53796.34915,0
1003141,1135055027579,20.67,0.4,186.64577,35.23505,53796.3578,0
1003141,1135055027579,19.97,0.34,186.64489,35.23502,53803.34252000001,0
1003141,1135055027579,20.1,0.3,186.64501,35.23439000000001,53861.20105,0
1003141,1135055027579,20.59,0.34,186.64539,35.23499,53885.21654,0
