InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003161,1146047035129,20.09,0.29,187.47383,47.02845,53714.47745,0
1003161,1146047035129,20.21,0.35,187.47349,47.02872,53531.21855,0
1003161,1146047035129,20.92,0.53,187.47302,47.02786,53531.23327,0
1003161,1146047035129,18.53,0.22,187.47261,47.02865,53769.4076,0
1003161,1146047035129,21.11,0.52,187.47351,47.02838,53799.28802000001,0
1003161,1146047035129,20.6,0.38,187.47372,47.02842,53799.29485,0
1003161,1146047035129,20.36,0.34,187.4737,47.02827,53799.30148,0
1003161,1146047035129,20.16,0.3,187.47381,47.02844,53799.30826000001,0
1003161,1146047035129,20.14,0.32,187.47367,47.02809,53883.18899,0
1003161,1146047035129,20.36,0.35,187.47261,47.0284,53883.19551000001,0
1003161,1146047035129,19.76,0.26,187.47302,47.02842,53883.20206,0
1003161,1146047035129,19.89,0.26,187.47328,47.02811,54204.22979,0
1003161,1146047035129,21.26,0.55,187.47423,47.02886,54204.23579,0
1003161,1146047035129,21.23,0.54,187.47369,47.02835,54204.24174,0
1003161,1146047035129,20.62,0.38,187.47363,47.02824,54204.24775,0
1003161,1146047035129,19.96,0.26,187.47398,47.02815,54157.39816,0
1003161,1146047035129,20.95,0.44,187.47312,47.02823,54157.40972999999,0
1003161,1146047035129,20.39,0.32,187.47306,47.02842,54157.42115,0
1003161,1146047035129,19.87,0.25,187.47346,47.02892,54157.4324,0
1003161,1146047035129,19.76,0.25,187.47442,47.02962,54270.2329,0
1003161,1146047035129,20.01,0.27,187.47403,47.02849000000001,54172.30261,0
1003161,1146047035129,20.24,0.3,187.47363,47.02824,54172.30814,0
1003161,1146047035129,20.04,0.27,187.47453,47.02846,54172.31358,0
1003161,1146047035129,19.95,0.26,187.47386,47.02841,54178.36568,0
1003161,1146047035129,19.46,0.22,187.4741,47.02819,54803.54028,0
1003161,1146047035129,19.6,0.25,187.47456,47.0273,54787.5154,0
1003161,1146047035129,20.1,0.29,187.47352,47.02839,54946.1998,0
1003161,1146047035129,20.1,0.28,187.47399,47.02814,54946.20531000001,0
1003161,1146047035129,20.53,0.4,187.47473,47.02781,54876.48284,0
1003161,1146047035129,19.84,0.28,187.47293,47.02859,54886.34881,0
1003161,1146047035129,19.71,0.27,187.4739,47.02849000000001,54886.35313,0
1003161,1146047035129,19.8,0.27,187.47394,47.02827,54886.35747,0
1003161,1146047035129,20.53,0.35,187.47385,47.02823,54862.30017,0
1003161,1146047035129,20.33,0.32,187.47383,47.02837,54862.30641000001,0
1003161,1146047035129,19.85,0.25,187.47423,47.02838,54862.3126,0
1003161,1146047035129,20.1,0.29,187.47432,47.02826,55005.18584,0
1003161,1146047035129,20.28,0.33,187.47375,47.02813,55005.19297,0
1003161,1146047035129,20.22,0.32,187.47399,47.02872,55005.20743,0
1003161,1146047035129,20.53,0.4,187.47355,47.0279,54892.41541,0
1003161,1146047035129,19.67,0.25,187.47358,47.02823,54892.42233,0
1003161,1146047035129,20.76,0.45,187.47448,47.02867,54892.42912000001,0
1003161,1146047035129,19.86,0.28,187.47401,47.02844,54892.43603,0
1003161,1146047035129,19.89,0.25,187.47295,47.02868,54906.40654,0
1003161,1146047035129,20.3,0.31,187.47407,47.02833,54906.41145,0
1003161,1146047035129,20.0,0.26,187.47382,47.0282,54906.42128,0
1003161,1146047035129,19.19,0.21,187.47378,47.0286,54912.25779,0
1003161,1146047035129,20.7,0.39,187.47354,47.02829000000001,54920.28017000001,0
1003161,1146047035129,19.84,0.25,187.47334,47.02854,54920.28715,0
1003161,1146047035129,19.8,0.24,187.47388,47.02826,54920.29412000001,0
1003161,1146047035129,20.11,0.28,187.47403,47.02846,54920.30101,0
1003161,1146047035129,20.48,0.37,187.47413,47.028,54969.30419,0
1003161,1146047035129,20.22,0.32,187.47299,47.02846,54969.31002999999,0
1003161,1146047035129,19.85,0.26,187.47379,47.02855,54969.31582999999,0
1003161,1146047035129,19.4,0.2,187.47396,47.02849000000001,55297.17794,0
1003161,1146047035129,19.81,0.25,187.4737,47.02851,55297.19198,0
1003161,1146047035129,20.45,0.35,187.47432,47.02826,55297.1989,0
1003161,1146047035129,20.53,0.37,187.47398,47.02805,55247.29319,0
1003161,1146047035129,20.06,0.28,187.47344,47.02873,55269.29272000001,0
1003161,1146047035129,20.44,0.34,187.47377,47.02894000000001,55269.30308,0
1003161,1146047035129,20.87,0.44,187.47348,47.02819,55269.30836,0
1003161,1146047035129,19.92,0.26,187.47333,47.02875,55273.38955,0
1003161,1146047035129,20.49,0.35,187.4741,47.02871,55273.39418,0
1003161,1146047035129,20.8,0.42,187.47359,47.02845,55273.40346,0
1003161,1146047035129,20.0,0.27,187.47331,47.0284,55274.28309,0
1003161,1146047035129,20.36,0.33,187.47363,47.02827,55274.29145,0
1003161,1146047035129,20.08,0.28,187.47371,47.02861,55274.30531,0
1003161,1146047035129,19.76,0.24,187.47286,47.02843,55275.27413,0
1003161,1146047035129,20.18,0.3,187.47292,47.02812,55275.28111,0
1003161,1146047035129,20.24,0.32,187.47421,47.02858,55678.18214,0
1003161,1146047035129,20.18,0.34,187.47432,47.02812,55632.44146,0
1003161,1146047035129,19.48,0.22,187.47268,47.02858,55650.29908,0
1003161,1146047035129,20.67,0.41,187.47411,47.02873,55650.31533,0
1003161,1146047035129,19.79,0.26,187.47283,47.02782,55687.22449,0
1003161,1146047035129,19.89,0.25,187.4734,47.02849000000001,55274.28309,0
1003161,1146047035129,20.36,0.33,187.47362,47.02828,55274.29145,0
1003161,1146047035129,20.08,0.28,187.47371,47.02861,55274.30531,0
1003161,1146047035129,20.22,0.31,187.47383,47.02876,56003.25321,0
1003161,1146047035129,19.98,0.27,187.47429,47.02851,56003.26162000001,0
1003161,1146047035129,20.09,0.29,187.47362,47.02838,56003.2787,0
1003161,1146047035129,20.66,0.4,187.47462,47.02922,56038.30737,0
1003161,1146047035129,20.25,0.32,187.47431,47.02851,56038.31325,0
1003161,1146047035129,20.63,0.39,187.47383,47.02869000000001,56038.31913,0
1003161,1146047035129,19.91,0.27,187.47367,47.02852,56041.34639,0
1003161,1146047035129,19.58,0.23,187.47406,47.0283,56041.3521,0
1003161,1146047035129,20.16,0.3,187.47425,47.02861,56302.46572000001,0
1003161,1146047035129,20.27,0.31,187.4743,47.02838,56302.47592999999,0
1003161,1146047035129,18.84,0.16,187.4733,47.02939,56314.4128,0
1003161,1146047035129,20.41,0.34,187.47415,47.02853,56314.42367,0
1003161,1146047035129,19.69,0.23,187.47358,47.02883,56314.44541,0
1003161,1146047035129,19.77,0.24,187.47400000000002,47.02817,55955.52077999999,0
1003161,1146047035129,20.15,0.29,187.47465,47.02851,55955.52758,0
1003161,1146047035129,19.94,0.26,187.47413,47.02858,55955.53437,0
1003161,1146047035129,20.5,0.36,187.47402,47.02823,56397.30825,0
1003161,1146047035129,20.87,0.44,187.47403,47.02816,56397.31555,0
1003161,1146047035129,20.25,0.31,187.47401,47.02826,56397.33021,0
1003161,1146047035129,20.11,0.3,187.47447,47.0284,56419.26794,0
1003161,1146047035129,20.33,0.33,187.47337,47.02822000000001,56419.27646,0
1003161,1146047035129,20.68,0.36,187.47367,47.02794,56452.23316,0
1003161,1146047035129,19.7,0.21,187.47296,47.02795,56452.23857,0
1003161,1146047035129,20.38,0.3,187.47321,47.02834,56452.24947,0
1003161,1146047035172,20.81,0.43,187.47903,47.0336,53714.47745,0
1003161,1146047035172,21.09,0.53,187.47878,47.03387,54270.22527,0
1003161,1146047035172,21.41,0.59,187.4776,47.03366,54946.20531000001,0
1003161,1146047035172,20.5,0.4,187.47794,47.03376,54886.34453,0
1003161,1146047035172,21.17,0.54,187.47687,47.03386,55005.20743,0
1003161,1146047035172,20.8,0.41,187.47844,47.03392,54906.41145,0
1003161,1146047035172,20.78,0.44,187.47791,47.03363,54969.32164,0
1003161,1146047035172,20.16,0.47,187.47918,47.03294,55351.17449,0
1003161,1146047035172,20.57,0.37,187.47793,47.03415,55273.38955,0
1003161,1146047035172,20.78,0.41,187.47799999999998,47.03346,55274.28309,0
1003161,1146047035172,21.07,0.49,187.47829,47.03342,55274.29145,0
1003161,1146047035172,20.79,0.42,187.47799999999998,47.03346,55274.28309,0
1003161,1146047035172,21.07,0.49,187.4783,47.03342,55274.29145,0
1003161,1146047035172,19.92,0.27,187.47746,47.0351,56038.325,0
1003161,1146047035172,21.22,0.53,187.47824,47.03398,55955.54113,0
1003161,1146047035172,21.22,0.49,187.47895,47.03379,56452.23316,0
1003161,1146047035403,20.03,0.28,187.46582,47.04444,53714.46216,0
1003161,1146047035403,19.33,0.2,187.46493,47.04482,53714.4698,0
1003161,1146047035403,19.93,0.26,187.46615,47.04473,53714.47745,0
1003161,1146047035403,19.22,0.27,187.46556,47.04519000000001,53769.39956000001,0
1003161,1146047035403,20.07,0.29,187.46511,47.04492,53799.28802000001,0
1003161,1146047035403,20.36,0.34,187.46588,47.04486,53799.30148,0
1003161,1146047035403,20.07,0.29,187.46594,47.04422,53799.30826000001,0
1003161,1146047035403,20.66,0.42,187.46591,47.04445,53883.18899,0
1003161,1146047035403,19.5,0.21,187.4653,47.04437,54204.24775,0
1003161,1146047035403,21.11,0.49,187.46494,47.04478,54157.4324,0
1003161,1146047035403,20.03,0.27,187.46552,47.04511,54172.30261,0
1003161,1146047035403,20.5,0.35,187.46582,47.04452,54172.30814,0
1003161,1146047035403,20.24,0.3,187.46525,47.04454000000001,54172.31358,0
1003161,1146047035403,20.07,0.27,187.46536,47.04487,54178.37876,0
1003161,1146047035403,20.19,0.29,187.46596,47.04432,54178.385270000006,0
1003161,1146047035403,20.05,0.3,187.4667,47.04408,54803.52937,0
1003161,1146047035403,20.27,0.34,187.46573,47.04477,54803.5348,0
1003161,1146047035403,20.21,0.33,187.46564,47.04488,54803.54028,0
1003161,1146047035403,19.94,0.3,187.46453,47.04471,54787.50248,0
1003161,1146047035403,20.1,0.29,187.4653,47.0447,54946.21069,0
1003161,1146047035403,19.86,0.28,187.46584,47.04476,54886.34453,0
1003161,1146047035403,20.52,0.4,187.46625,47.04573,54886.34881,0
1003161,1146047035403,19.25,0.21,187.46548,47.0447,54886.35313,0
1003161,1146047035403,20.19,0.29,187.46534,47.0446,54862.3126,0
1003161,1146047035403,19.61,0.22,187.46554,47.04466,54862.31885,0
1003161,1146047035403,20.49,0.37,187.46468,47.04482,55005.19297,0
1003161,1146047035403,19.37,0.2,187.46575,47.04464,55005.20743,0
1003161,1146047035403,20.48,0.39,187.46481,47.04494,54892.42233,0
1003161,1146047035403,20.1,0.31,187.46485,47.04479,54892.43603,0
1003161,1146047035403,20.12,0.28,187.46543,47.04466,54906.42128,0
1003161,1146047035403,20.89,0.53,187.46522,47.04421,54912.25779,0
1003161,1146047035403,19.86,0.25,187.46607,47.04515,54920.28017000001,0
1003161,1146047035403,20.7,0.39,187.46402,47.04474,54920.30101,0
1003161,1146047035403,20.55,0.39,187.46551,47.04464,54969.30419,0
1003161,1146047035403,19.55,0.23,187.46542,47.04489,54969.31002999999,0
1003161,1146047035403,20.77,0.44,187.46518,47.04492,54969.31582999999,0
1003161,1146047035403,20.07,0.28,187.46581,47.044,55297.17794,0
1003161,1146047035403,21.28,0.56,187.46515,47.04417,55297.18506,0
1003161,1146047035403,20.02,0.28,187.46538,47.04489,55247.28672,0
1003161,1146047035403,19.78,0.24,187.46512,47.0448,55247.29319,0
1003161,1146047035403,20.28,0.48,187.46592,47.04444,55351.16824,0
1003161,1146047035403,19.7,0.23,187.46559,47.04527,55269.30308,0
1003161,1146047035403,19.83,0.25,187.46617,47.04451,55273.39885,0
1003161,1146047035403,19.53,0.21,187.46513,47.04511,55273.40346,0
1003161,1146047035403,18.99,0.16,187.46575,47.04481,55274.28309,0
1003161,1146047035403,19.38,0.2,187.46502,47.04531,55274.29145,0
1003161,1146047035403,19.73,0.24,187.46498,47.04488,55275.26718,0
1003161,1146047035403,20.96,0.46,187.4653,47.04505,55275.28819,0
1003161,1146047035403,19.58,0.23,187.46573,47.04541,55678.16497000001,0
1003161,1146047035403,19.68,0.24,187.46539,47.04482,55678.17068,0
1003161,1146047035403,20.12,0.32,187.46572,47.04452,55632.42578,0
1003161,1146047035403,19.84,0.29,187.46521,47.04546,55632.43041,0
1003161,1146047035403,19.91,0.32,187.46462,47.04426,55632.43683,0
1003161,1146047035403,20.48,0.37,187.46592,47.04472,55650.30481,0
1003161,1146047035403,19.99,0.28,187.46484,47.04496,55650.31009,0
1003161,1146047035403,19.53,0.23,187.4653,47.04452,55687.22449,0
1003161,1146047035403,19.29,0.19,187.46541,47.04491,55274.28309,0
1003161,1146047035403,19.31,0.19,187.46502,47.04531,55274.29145,0
1003161,1146047035403,18.72,0.15,187.46484,47.04542,55930.39042,0
1003161,1146047035403,20.03,0.28,187.46666,47.04505,56003.25321,0
1003161,1146047035403,20.09,0.29,187.46604,47.04501,56003.26162000001,0
1003161,1146047035403,20.41,0.34,187.46621,47.04435,56003.2787,0
1003161,1146047035403,19.76,0.24,187.4658,47.04504,56018.23229,0
1003161,1146047035403,20.29,0.33,187.46554,47.04483,56038.31325,0
1003161,1146047035403,20.09,0.29,187.4662,47.04509,56038.31913,0
1003161,1146047035403,21.2,0.53,187.46682,47.04429,56302.46572000001,0
1003161,1146047035403,21.16,0.52,187.46582,47.04454000000001,56314.42367,0
1003161,1146047035403,19.71,0.24,187.46495,47.04521,56314.44541,0
1003161,1146047035403,19.57,0.22,187.46617,47.04508,55955.52077999999,0
1003161,1146047035403,21.01,0.47,187.4663,47.04531,55955.52758,0
1003161,1146047035403,19.98,0.27,187.46601,47.04459,55955.53437,0
1003161,1146047035403,21.05,0.48,187.46627,47.04496,55955.54113,0
1003161,1146047035403,20.51,0.36,187.46508,47.04443,56397.30825,0
1003161,1146047035403,19.22,0.19,187.46508,47.04448,56397.32289,0
1003161,1146047035403,20.47,0.36,187.46496,47.04456,56397.33021,0
1003161,1146047035403,19.48,0.19,187.46512,47.04455,56452.24400000001,0
1003161,1146047035489,19.48,0.21,187.46391,47.04764,53714.46216,0
1003161,1146047035489,19.03,0.17,187.46406,47.04772,53714.47745,0
1003161,1146047035489,19.18,0.18,187.46397,47.0477,53714.4851,0
1003161,1146047035489,20.44,0.4,187.46431,47.04714,53531.22599,0
1003161,1146047035489,19.84,0.25,187.46448,47.04824,53799.28802000001,0
1003161,1146047035489,19.17,0.18,187.46541,47.0464,53799.29485,0
1003161,1146047035489,19.69,0.24,187.46383,47.04772,53799.30148,0
1003161,1146047035489,19.71,0.24,187.46319,47.04758,53799.30826000001,0
1003161,1146047035489,19.64,0.24,187.46439,47.0476,53883.18241,0
1003161,1146047035489,20.39,0.36,187.46349,47.04777,53883.19551000001,0
1003161,1146047035489,19.19,0.19,187.46479,47.04809,53883.20206,0
1003161,1146047035489,20.09,0.28,187.46484,47.04762,54204.22979,0
1003161,1146047035489,19.63,0.22,187.46459,47.04735,54204.23579,0
1003161,1146047035489,20.2,0.3,187.46391,47.04796,54204.24174,0
1003161,1146047035489,19.75,0.24,187.46433,47.04679,54204.24775,0
1003161,1146047035489,18.88,0.19,187.46411,47.04771,54138.37361,0
1003161,1146047035489,20.72,0.39,187.46502,47.04727000000001,54157.40972999999,0
1003161,1146047035489,20.19,0.29,187.46394,47.0474,54157.42115,0
1003161,1146047035489,20.48,0.34,187.46454,47.0476,54157.4324,0
1003161,1146047035489,19.65,0.24,187.4646,47.04851,54270.2329,0
1003161,1146047035489,20.18,0.29,187.46442,47.04794,54172.2971,0
1003161,1146047035489,21.27,0.54,187.46425,47.04817,54172.30261,0
1003161,1146047035489,20.06,0.27,187.46404,47.04741,54172.30814,0
1003161,1146047035489,19.93,0.26,187.46459,47.04754000000001,54172.31358,0
1003161,1146047035489,19.18,0.18,187.46469,47.04623,54178.36568,0
1003161,1146047035489,19.89,0.25,187.46443,47.04802,54178.37222000001,0
1003161,1146047035489,20.44,0.34,187.46396,47.04788,54178.37876,0
1003161,1146047035489,19.81,0.24,187.4645,47.04802,54178.385270000006,0
1003161,1146047035489,20.26,0.34,187.46429,47.04811,54803.5348,0
1003161,1146047035489,19.26,0.21,187.4636,47.04743,54515.28802000001,0
1003161,1146047035489,19.49,0.23,187.46396,47.04809,54787.49816,0
1003161,1146047035489,19.66,0.25,187.46446,47.04766,54787.50248,0
1003161,1146047035489,19.53,0.24,187.46418,47.0479,54787.51109,0
1003161,1146047035489,18.93,0.16,187.46311,47.04736,54946.19435,0
1003161,1146047035489,19.07,0.17,187.46422,47.04589,54946.1998,0
1003161,1146047035489,19.27,0.19,187.46454,47.0479,54946.20531000001,0
1003161,1146047035489,19.95,0.26,187.46415,47.0478,54946.21069,0
1003161,1146047035489,20.54,0.4,187.46526,47.04827,54876.48829,0
1003161,1146047035489,19.25,0.2,187.46509,47.04763,54876.49372000001,0
1003161,1146047035489,21.02,0.53,187.46449,47.0475,54876.4992,0
1003161,1146047035489,20.45,0.39,187.46408,47.04791,54886.34453,0
1003161,1146047035489,20.45,0.39,187.46432,47.04788,54886.34881,0
1003161,1146047035489,19.82,0.28,187.46481,47.04789,54886.35313,0
1003161,1146047035489,19.8,0.27,187.4639,47.04782,54886.35747,0
1003161,1146047035489,19.48,0.2,187.46385,47.04761,54862.30017,0
1003161,1146047035489,19.02,0.16,187.46438,47.04672,54862.30641000001,0
1003161,1146047035489,20.85,0.42,187.46452,47.0483,54862.3126,0
1003161,1146047035489,19.35,0.2,187.46299,47.04759,55005.18584,0
1003161,1146047035489,19.75,0.25,187.46404,47.04747,55005.19297,0
1003161,1146047035489,20.18,0.31,187.46502,47.04777,55005.20026000001,0
1003161,1146047035489,20.36,0.34,187.46389,47.04758,55005.20743,0
1003161,1146047035489,20.0,0.3,187.46365,47.04724,54892.41541,0
1003161,1146047035489,20.43,0.38,187.46417,47.04801,54892.42233,0
1003161,1146047035489,19.46,0.22,187.46401,47.04725,54892.42912000001,0
1003161,1146047035489,19.73,0.26,187.46402,47.048,54892.43603,0
1003161,1146047035489,20.45,0.33,187.4636,47.04792,54906.40654,0
1003161,1146047035489,19.61,0.22,187.46396,47.04715,54906.41145,0
1003161,1146047035489,19.72,0.23,187.46433,47.04756,54906.41638,0
1003161,1146047035489,18.93,0.25,187.46508,47.04805,54912.24915,0
1003161,1146047035489,20.57,0.44,187.46463,47.04766,54912.25779,0
1003161,1146047035489,19.7,0.23,187.46405,47.04791,54920.28715,0
1003161,1146047035489,19.45,0.2,187.46395,47.04764,54920.29412000001,0
1003161,1146047035489,20.09,0.3,187.46401,47.04786,54969.31002999999,0
1003161,1146047035489,19.59,0.23,187.46461,47.04779,54969.32164,0
1003161,1146047035489,20.25,0.31,187.46507,47.04755,55297.17794,0
1003161,1146047035489,20.07,0.28,187.46386,47.0472,55297.18506,0
1003161,1146047035489,19.69,0.23,187.46404,47.04787,55297.19198,0
1003161,1146047035489,19.96,0.27,187.46398,47.04793,55297.1989,0
1003161,1146047035489,18.98,0.17,187.46403,47.04775,55247.28672,0
1003161,1146047035489,19.66,0.23,187.46443,47.04748,55247.29319,0
1003161,1146047035489,19.08,0.2,187.46484,47.04795,55247.29971,0
1003161,1146047035489,19.86,0.38,187.46436,47.04801,55351.16515,0
1003161,1146047035489,19.85,0.38,187.46391,47.04758,55351.16824,0
1003161,1146047035489,20.19,0.47,187.46343,47.04767,55351.17449,0
1003161,1146047035489,18.95,0.16,187.46433,47.04623,55269.29788,0
1003161,1146047035489,20.23,0.31,187.46428,47.0479,55269.30308,0
1003161,1146047035489,20.66,0.39,187.4643,47.0488,55269.30836,0
1003161,1146047035489,19.24,0.18,187.46423,47.04792,55273.39418,0
1003161,1146047035489,20.35,0.33,187.46448,47.04798,55273.39885,0
1003161,1146047035489,19.68,0.23,187.46373,47.04776,55273.40346,0
1003161,1146047035489,19.03,0.17,187.46424,47.04788,55274.29145,0
1003161,1146047035489,20.18,0.3,187.46398,47.04816,55274.29837,0
1003161,1146047035489,19.62,0.22,187.46504,47.0457,55274.29837,1
1003161,1146047035489,21.0,0.47,187.46425,47.04822,55274.30531,0
1003161,1146047035489,20.16,0.3,187.46398,47.0479,55275.27413,0
1003161,1146047035489,19.85,0.25,187.4642,47.0481,55275.28819,0
1003161,1146047035489,19.43,0.21,187.46429,47.04742,55326.27247999999,0
1003161,1146047035489,19.49,0.21,187.46517,47.04607,55326.28632000001,0
1003161,1146047035489,19.32,0.19,187.46447,47.04784,55326.2933,0
1003161,1146047035489,19.32,0.2,187.46421,47.04778,55678.17641,0
1003161,1146047035489,20.0,0.3,187.46394,47.04794,55632.44146,0
1003161,1146047035489,19.45,0.21,187.46335,47.04767,55650.29908,0
1003161,1146047035489,19.87,0.26,187.46384,47.04758,55650.30481,0
1003161,1146047035489,19.59,0.23,187.46442,47.04835,55650.31009,0
1003161,1146047035489,20.08,0.31,187.46593,47.04717,55687.21312000001,0
1003161,1146047035489,20.1,0.31,187.46456,47.04825,55687.22449,0
1003161,1146047035489,20.35,0.33,187.46451,47.0483,55274.28309,0
1003161,1146047035489,19.16,0.18,187.46436,47.04777,55274.29145,0
1003161,1146047035489,20.18,0.3,187.46413,47.04824,55274.29837,0
1003161,1146047035489,19.62,0.22,187.46496,47.0458,55274.29837,1
1003161,1146047035489,21.0,0.47,187.46425,47.04821,55274.30531,0
1003161,1146047035489,19.97,0.27,187.4655,47.0477,55930.37423,0
1003161,1146047035489,19.71,0.24,187.46503,47.04784,55930.38229,0
1003161,1146047035489,19.02,0.17,187.46394,47.04793,56003.2701,0
1003161,1146047035489,19.75,0.24,187.46499,47.04807,56003.2787,0
1003161,1146047035489,21.04,0.49,187.46467,47.04808,56018.21399,0
1003161,1146047035489,19.71,0.24,187.465,47.04794,56018.2231,0
1003161,1146047035489,20.65,0.39,187.4646,47.04787,56018.24154,0
1003161,1146047035489,19.16,0.18,187.46419,47.04743,56038.30737,0
1003161,1146047035489,20.28,0.32,187.46426,47.04763,56038.31325,0
1003161,1146047035489,19.83,0.26,187.4646,47.04784,56038.325,0
1003161,1146047035489,19.52,0.22,187.46405,47.04776,56041.3521,0
1003161,1146047035489,19.68,0.23,187.46516,47.04759,56067.30762000001,0
1003161,1146047035489,19.64,0.22,187.465,47.04734000000001,56067.3149,0
1003161,1146047035489,20.89,0.44,187.4651,47.04785,56067.32161,0
1003161,1146047035489,20.01,0.27,187.46474,47.04772,56067.3284,0
1003161,1146047035489,20.01,0.28,187.46442,47.04781,56302.46572000001,0
1003161,1146047035489,20.16,0.3,187.4648,47.04817,56302.47077000001,0
1003161,1146047035489,19.03,0.17,187.46427,47.04831,56302.47592999999,0
1003161,1146047035489,18.78,0.15,187.4637,47.04762,56302.48106000001,0
1003161,1146047035489,19.55,0.22,187.46425,47.04856,56314.42367,0
1003161,1146047035489,19.5,0.21,187.46459,47.04926,56314.43456,0
1003161,1146047035489,20.1,0.29,187.46439,47.04816,56314.44541,0
1003161,1146047035489,19.99,0.28,187.46475,47.0486,56374.24782999999,0
1003161,1146047035489,19.52,0.21,187.46398,47.04793,55955.52077999999,0
1003161,1146047035489,19.12,0.17,187.46628,47.04827,55955.53437,0
1003161,1146047035489,19.57,0.22,187.46393,47.04746,56397.30825,0
1003161,1146047035489,19.07,0.17,187.46421,47.04719,56397.31555,0
1003161,1146047035489,20.3,0.32,187.46384,47.04754000000001,56397.32289,0
1003161,1146047035489,20.29,0.32,187.46381,47.04781,56397.33021,0
1003161,1146047035489,18.93,0.17,187.4641,47.04702,56419.26794,0
1003161,1146047035489,19.96,0.27,187.46493,47.0486,56419.27646,0
1003161,1146047035489,20.47,0.36,187.46414,47.04774000000001,56419.29372,0
1003161,1146047035489,19.69,0.21,187.46406,47.04667,56452.23316,0
1003162,1109067034623,20.87,0.46,187.48744,10.08422,53528.22714,0
1003162,1109067034623,20.09,0.31,187.48795,10.08462,53843.28262000001,0
1003162,1109067034623,20.72,0.43,187.48792,10.08463,53744.46231,0
1003162,1109067034623,21.06,0.43,187.48768,10.08441,54562.39344,0
