InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003201,1121064017229,17.63,0.1,188.56916,20.63019,53469.3228,0
1003201,1121064017229,17.73,0.1,188.5691,20.63023,53469.33093,0
1003201,1121064017229,17.65,0.1,188.56906,20.63019,53469.33904,0
1003201,1121064017229,17.71,0.1,188.56913,20.6303,53733.4661,0
1003201,1121064017229,17.71,0.12,188.5691,20.63026,53733.47267,0
1003201,1121064017229,17.72,0.12,188.56916,20.63013,53733.48178,0
1003201,1121064017229,17.56,0.14,188.56913,20.63032,53733.49579,0
1003201,1121064017229,17.66,0.11,188.56915,20.63032,53506.21924,0
1003201,1121064017229,17.71,0.11,188.56898,20.63029,53506.22688,0
1003201,1121064017229,17.63,0.11,188.56911,20.63017,53506.23455,0
1003201,1121064017229,17.86,0.11,188.56901,20.63019,53506.24226,0
1003201,1121064017229,17.72,0.11,188.56907,20.63027,53832.37309,0
1003201,1121064017229,17.72,0.11,188.56897,20.6303,53832.38265,0
1003201,1121064017229,17.77,0.11,188.56901,20.63015,53832.39221000001,0
1003201,1121064017229,17.72,0.11,188.56911,20.63034,53832.40172,0
1003201,1121064017229,17.73,0.1,188.56914,20.63025,53851.1616,0
1003201,1121064017229,17.77,0.11,188.56914,20.63021,53851.16837000001,0
1003201,1121064017229,17.78,0.11,188.5691,20.63031,53851.17519,0
1003201,1121064017229,17.76,0.11,188.56905,20.63021,53851.18202000001,0
1003201,1121064017229,17.7,0.1,188.56918,20.63031,53767.34207000001,0
1003201,1121064017229,17.75,0.1,188.56918,20.63026,53767.3503,0
1003201,1121064017229,17.66,0.1,188.56908,20.63021,53767.35857,0
1003201,1121064017229,17.73,0.1,188.56913,20.63026,53767.36688,0
1003201,1121064017229,17.79,0.1,188.56908,20.63025,53790.39121,0
1003201,1121064017229,17.83,0.11,188.56903,20.63025,53790.39991,0
1003201,1121064017229,17.78,0.1,188.56912,20.63019,53790.40866,0
1003201,1121064017229,17.8,0.11,188.5691,20.63026,53790.41746,0
1003201,1121064017229,17.7,0.1,188.56921,20.6302,53739.50777999999,0
1003201,1121064017229,17.68,0.1,188.56899,20.63027,53739.51703,0
1003201,1121064017229,17.78,0.1,188.56912,20.63028,53739.52631,0
1003201,1121064017229,17.74,0.1,188.56909,20.63024,53739.53557000001,0
1003201,1121064017229,17.74,0.11,188.56903,20.63019,53887.22765,0
1003201,1121064017229,17.67,0.1,188.56896,20.63018,53887.23738,0
1003201,1121064017229,17.72,0.27,188.56892,20.63011,53902.27651,0
1003201,1121064017229,17.76,0.27,188.56923,20.63013,53902.27749,0
1003201,1121064017229,17.72,0.27,188.56896,20.63025,53902.27847000001,0
1003201,1121064017229,17.31,0.22,188.56889,20.63014,53902.27947,0
1003201,1121064017229,17.68,0.12,188.56896,20.63026,53800.4252,0
1003201,1121064017229,17.72,0.11,188.56911,20.63027,53800.43096000001,0
1003201,1121064017229,17.78,0.11,188.56904,20.63028,53800.43669,0
1003201,1121064017229,17.75,0.11,188.56907,20.63024,53800.44252,0
1003201,1121064017229,17.78,0.11,188.56914,20.63032,53819.27691,0
1003201,1121064017229,17.7,0.11,188.56900000000002,20.63018,53819.28509,0
1003201,1121064017229,17.76,0.11,188.56915,20.63025,53819.29324,0
1003201,1121064017229,17.82,0.11,188.56904,20.63027,53819.30142999999,0
1003201,1121064017229,17.78,0.11,188.56911,20.6303,53859.21865,0
1003201,1121064017229,17.68,0.1,188.56907,20.63025,53859.22564,0
1003201,1121064017229,17.59,0.1,188.56912,20.630370000000006,53859.23256,0
1003201,1121064017229,17.7,0.1,188.56909,20.63028,53859.23948,0
1003201,1121064017229,17.79,0.11,188.56911,20.63017,53878.23667000001,0
1003201,1121064017229,17.69,0.1,188.56905,20.63025,53878.24415,0
1003201,1121064017229,17.67,0.1,188.56909,20.63023,53878.25164,0
1003201,1121064017229,17.62,0.1,188.5691,20.63021,53878.2591,0
1003201,1121064017229,17.69,0.1,188.56913,20.63022,53885.26339,0
1003201,1121064017229,17.7,0.1,188.56908,20.63013,54204.25418,0
1003201,1121064017229,17.75,0.1,188.56911,20.63028,54204.26169,0
1003201,1121064017229,17.77,0.1,188.56917,20.63021,54204.26924,0
1003201,1121064017229,17.66,0.1,188.56913,20.63021,54204.27677999999,0
1003201,1121064017229,17.71,0.1,188.56908,20.63028,54452.46118,0
1003201,1121064017229,17.71,0.1,188.56913,20.63021,54452.46797000001,0
1003201,1121064017229,17.79,0.1,188.56918,20.63024,54452.47477000001,0
1003201,1121064017229,17.72,0.1,188.56912,20.63017,54452.48164,0
1003201,1121064017229,17.69,0.1,188.56916,20.63029,54128.44445,0
1003201,1121064017229,17.75,0.1,188.56909,20.63026,54128.44931,0
1003201,1121064017229,17.76,0.1,188.56906,20.63021,54128.45422000001,0
1003201,1121064017229,17.71,0.1,188.56912,20.63021,54128.45912000001,0
1003201,1121064017229,17.58,0.1,188.56921,20.63016,54276.18714,0
1003201,1121064017229,17.82,0.11,188.56895,20.6302,54276.19366,0
1003201,1121064017229,17.72,0.1,188.56903,20.63007,54276.20016,0
1003201,1121064017229,17.73,0.1,188.56901,20.63015,54276.20668,0
