InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003221,1132058013998,19.23,0.19,189.25322,31.804240000000004,53527.24236,0
1003221,1132058013998,20.18,0.31,189.25316,31.80442,53527.25254,0
1003221,1132058013998,19.92,0.27,189.25268,31.80389000000001,53527.26255,0
1003221,1132058013998,19.92,0.27,189.25273,31.80455,53527.27258,0
1003221,1132058013998,19.54,0.25,189.25357,31.8031,53833.226570000006,0
1003221,1132058013998,19.58,0.26,189.25309,31.80418,53833.24405,0
1003221,1132058013998,19.5,0.22,189.25307,31.80443,53852.19168,0
1003221,1132058013998,19.51,0.22,189.25308,31.80436,53852.19949,0
1003221,1132058013998,19.76,0.25,189.25304,31.80441,53852.20726,0
1003221,1132058013998,19.43,0.21,189.25335,31.80412,53852.21508,0
1003221,1132058013998,19.89,0.35,189.25299,31.80422,54096.51786,0
1003221,1132058013998,20.16,0.4,189.25269,31.8042,54096.51967,0
1003221,1132058013998,19.94,0.35,189.25292,31.80456,54096.52148,0
1003221,1132058013998,19.77,0.32,189.25336,31.80432,54096.52324,0
1003221,1132058013998,19.23,0.19,189.25329,31.80426,53740.47369,0
1003221,1132058013998,19.47,0.21,189.25356,31.80433,53740.48161,0
1003221,1132058013998,19.7,0.23,189.25271,31.80425,53740.48952,0
1003221,1132058013998,19.15,0.18,189.25307,31.80447,53740.49755,0
1003221,1132058013998,19.21,0.2,189.25263,31.80427,53887.23198,0
1003221,1132058013998,19.87,0.27,189.25306,31.8042,53797.39835,0
1003221,1132058013998,19.75,0.27,189.25311,31.8044,53797.40538,0
1003221,1132058013998,19.77,0.27,189.25347,31.80473,53797.41199,0
1003221,1132058013998,18.93,0.19,189.25316,31.80476,53797.41859,0
1003221,1132058013998,19.55,0.24,189.253,31.80448,53823.23922999999,0
1003221,1132058013998,19.52,0.23,189.25293,31.80395,53823.24784,0
1003221,1132058013998,19.73,0.28,189.25303,31.804240000000004,53823.2565,0
1003221,1132058013998,20.03,0.35,189.25236,31.80417000000001,53823.26512999999,0
1003221,1132058013998,19.86,0.27,189.25303,31.804040000000004,53861.20041000001,0
1003221,1132058013998,19.79,0.26,189.2532,31.80476,53861.20821,0
1003221,1132058013998,19.81,0.26,189.25283,31.80463,53861.21549,0
1003221,1132058013998,19.48,0.22,189.2532,31.804240000000004,53861.22274,0
1003221,1132058013998,19.78,0.25,189.25261,31.80423,54209.29514,0
1003221,1132058013998,19.51,0.21,189.25293,31.80422,54209.30318,0
1003221,1132058013998,19.95,0.27,189.25286,31.80427,54209.31126,0
1003221,1132058013998,20.07,0.28,189.25232,31.80432,54209.31936,0
1003221,1132058013998,20.1,0.32,189.25311,31.80449,54141.42957000001,0
1003221,1132058013998,19.75,0.24,189.25338,31.80443,54156.29594,0
1003221,1132058013998,19.62,0.22,189.25292,31.80447,54156.3046,0
1003221,1132058013998,19.53,0.21,189.25311,31.8041,54156.31325,0
1003221,1132058013998,19.75,0.23,189.25311,31.8045,54156.32193,0
1003221,1132058013998,20.18,0.26,189.25318,31.804440000000003,54272.15949,0
1003221,1132058013998,19.65,0.2,189.25301,31.80403,54272.16737,0
1003221,1132058013998,19.54,0.19,189.25332,31.80402,54272.17526,0
1003221,1132058013998,19.15,0.18,189.25302,31.804040000000004,54169.31207000001,0
1003221,1132058013998,19.83,0.25,189.25302,31.80441,54169.32246,0
1003221,1132058013998,19.05,0.18,189.25307,31.80431,54169.33286,0
1003221,1132058013998,19.77,0.23,189.25307,31.80413,54169.34344,0
1003221,1132058013998,19.47,0.21,189.25319,31.80429,54176.41032,0
1003221,1132058013998,19.96,0.26,189.25306,31.80406,54176.42166,0
1003221,1132058013998,19.53,0.21,189.2532,31.80418,54176.43298,0
1003221,1132058013998,19.62,0.22,189.2536,31.8045,54176.44427000001,0
1003221,1132058013998,19.67,0.26,189.2525,31.80409,54235.22062000001,0
1003221,1132058013998,20.18,0.34,189.25302,31.80453,54235.22625,0
1003221,1132058013998,19.22,0.19,189.25286,31.80448,54235.23185,0
1003221,1132058013998,19.82,0.27,189.25317,31.80394,54235.23748,0
1003221,1132058013998,19.69,0.24,189.25314,31.80476,54244.24522,0
1003221,1132058013998,19.82,0.25,189.25341,31.80396,54244.25379,0
1003221,1132058013998,19.6,0.23,189.25294,31.80387,54244.27102000001,0
1003221,1132058013998,19.61,0.22,189.25323,31.80429,54557.36329,0
1003221,1132058013998,19.14,0.18,189.25275,31.80441,54557.37197000001,0
1003221,1132058013998,19.69,0.23,189.25321,31.80435,54557.3806,0
1003221,1132058013998,19.4,0.2,189.25311,31.804340000000003,54557.38927000001,0
1003221,1132058013998,19.21,0.18,189.25312,31.80436,54564.35889,0
1003221,1132058013998,19.63,0.23,189.25324,31.80436,54564.36576,0
1003221,1132058013998,19.85,0.25,189.25282,31.8042,54564.37261000001,0
1003221,1132058013998,19.59,0.22,189.25286,31.80439,54564.37957000001,0
1003221,1132058013998,20.58,0.37,189.2527,31.80423,54571.16732000001,0
1003221,1132058013998,19.72,0.23,189.25344,31.80429,54571.17432000001,0
1003221,1132058013998,20.26,0.31,189.25368,31.80464000000001,54571.18132,0
1003221,1132058013998,20.57,0.37,189.25272,31.8043,54571.18833,0
1003221,1132058013998,19.08,0.17,189.25306,31.804440000000003,54807.45806,0
1003221,1132058013998,19.87,0.25,189.25332,31.80447,54807.46355,0
1003221,1132058013998,19.56,0.21,189.25302,31.80464000000001,54807.46894,0
1003221,1132058013998,19.31,0.19,189.25285,31.80443,54807.47442000001,0
1003221,1132058013998,19.81,0.24,189.25332,31.8047,54499.40056,0
1003221,1132058013998,19.22,0.18,189.25308,31.8042,54499.40606,0
1003221,1132058013998,19.38,0.19,189.25336,31.80463,54499.41154,0
1003221,1132058013998,19.23,0.18,189.25332,31.80431,54499.41706,0
1003221,1132058013998,19.2,0.21,189.25317,31.80431,54507.36776,0
1003221,1132058013998,19.83,0.27,189.2533,31.80382,54514.29441,0
1003221,1132058013998,19.18,0.19,189.25286,31.80448,54514.30041,0
1003221,1132058013998,19.99,0.28,189.25296,31.80417000000001,54514.3064,0
1003221,1132058013998,20.08,0.31,189.25304,31.80422,54482.48998,0
