InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003321,1001069011049,21.14,0.51,192.63812,-2.2924,53464.33982,0
1003321,1001069011049,19.54,0.22,192.63851,-2.29369,53786.51367000001,0
1003321,1001069011049,21.11,0.5,192.63594,-2.29156,54124.48883,0
1003321,1001069011049,21.12,0.5,192.6378,-2.29266,54124.4937,0
1003321,1001069011049,21.05,0.51,192.63728,-2.29259,54229.25732999999,0
1003321,1001069011049,20.7,0.39,192.63813,-2.29048,54830.47581,0
1003321,1001069011049,20.18,0.29,192.63776,-2.29199,54483.48159,0
1003321,1001069011049,20.42,0.33,192.6378,-2.29222,54483.49488,0
1003321,1001069011049,20.18,0.31,192.63708,-2.2923,54966.30954,0
1003321,1001069011049,20.24,0.32,192.63753,-2.29222,55301.33778,0
1003321,1001069011049,19.92,0.27,192.63806,-2.29286,56038.24023,0
1003321,1001069011049,19.17,0.18,192.63771,-2.29282,56098.185999999994,0
1003321,1001069011049,20.81,0.43,192.63822,-2.2924900000000004,56281.52374,0
1003321,1001069011049,21.34,0.61,192.63777,-2.29229,56356.31724,0
1003321,1001069011049,21.35,0.61,192.63805,-2.2928900000000003,56356.32511000001,0
1003321,1001069011049,20.75,0.35,192.63725,-2.29176,56365.3528,0
1003321,1001069011105,20.46,0.35,192.6416,-2.29063,53464.33982,0
1003321,1001069011105,20.05,0.29,192.64193,-2.29042,53709.54692000001,0
1003321,1001069011105,20.95,0.51,192.6417,-2.29021,53845.31492,0
1003321,1001069011105,21.17,0.55,192.64077,-2.29003,53765.48089,0
1003321,1001069011105,19.86,0.28,192.64086,-2.29089,53874.23215,0
1003321,1001069011105,20.16,0.33,192.6413,-2.2903,53874.24502,0
1003321,1001069011105,21.04,0.49,192.64123,-2.29047,54205.30832,0
1003321,1001069011105,20.5,0.37,192.64067,-2.29074,54261.2028,0
1003321,1001069011105,20.95,0.48,192.64095,-2.29048,54229.27584,0
1003321,1001069011105,21.23,0.53,192.6412,-2.29029,54502.48886000001,0
1003321,1001069011105,21.18,0.52,192.64196,-2.29016,54502.50944,0
1003321,1001069011105,19.12,0.17,192.64167,-2.29178,54480.49639,0
1003321,1001069011105,19.55,0.2,192.64319,-2.28904,54480.502920000006,0
1003321,1001069011105,20.71,0.4,192.64125,-2.29055,54938.24066,0
1003321,1001069011105,20.79,0.42,192.64104,-2.29052,54938.25515,0
1003321,1001069011105,21.33,0.56,192.64168,-2.28962,54881.44633,0
1003321,1001069011105,21.32,0.56,192.64107,-2.29034,54881.46272,0
1003321,1001069011105,21.02,0.49,192.64148,-2.29019,54921.37178,0
1003321,1001069011105,20.82,0.45,192.6409,-2.29055,54966.30954,0
1003321,1001069011105,18.75,0.38,192.64108,-2.29219,55159.54722000001,0
1003321,1001069011105,20.46,0.36,192.64134,-2.29057,55301.33075,0
1003321,1001069011105,20.7,0.43,192.64187,-2.29111,55240.46012999999,0
1003321,1001069011105,20.82,0.43,192.64163,-2.29093,55267.37326,0
1003321,1001069011105,20.08,0.29,192.64131,-2.29038,55563.50659,0
1003321,1001069011105,21.06,0.5,192.64156,-2.29008,55351.19761,0
1003321,1001069011105,20.09,0.29,192.64209,-2.28971,55929.46395,0
1003321,1001069011105,20.85,0.44,192.64198,-2.29125,55999.37042000001,0
1003321,1001069011105,20.56,0.32,192.64154,-2.29038,56010.39195,0
1003321,1001069011105,20.86,0.46,192.6412,-2.29091,56038.25596,0
1003321,1001069011105,21.13,0.54,192.64197,-2.29023,56038.26386,0
1003321,1001069011105,20.93,0.47,192.64006,-2.2914,56068.28173,0
1003321,1001069011105,19.94,0.3,192.64202,-2.28995,56075.20576,0
1003321,1001069011105,20.44,0.35,192.64185,-2.29108,56092.18581,0
1003321,1001069011105,20.4,0.34,192.64118,-2.29088,56092.19258,0
1003321,1001069011105,19.61,0.23,192.64219,-2.29055,56098.185999999994,0
1003321,1001069011105,20.45,0.35,192.64166,-2.29028,56281.52944,0
1003321,1001069011105,20.52,0.31,192.64169,-2.29027,56337.44653,0
1003321,1001069011105,20.5,0.31,192.64158,-2.29048,56337.4575,0
1003321,1001069011105,20.26,0.27,192.64171,-2.29057,56337.47952000001,0
1003321,1001069011105,21.46,0.53,192.64193,-2.29015,56365.34462,0
1003321,1001069011105,20.78,0.42,192.64136,-2.29103,55947.48133,0
1003321,1001069011105,20.57,0.38,192.64081,-2.2898400000000003,56393.30127,0
1003321,1001069011105,21.04,0.51,192.64164,-2.28978,56419.21833,0
1003321,1001069011142,19.98,0.27,192.63363,-2.29132,53464.35602,0
1003321,1001069011142,20.8,0.44,192.63318,-2.29078,53732.51769,0
1003321,1001069011142,19.98,0.28,192.63379,-2.2913,53498.1901,0
1003321,1001069011142,20.91,0.46,192.63356,-2.2915400000000004,53498.19659,0
1003321,1001069011142,19.76,0.26,192.63365,-2.29127,53845.30103,0
1003321,1001069011142,20.21,0.33,192.63359,-2.29102,53845.30797,0
1003321,1001069011142,20.17,0.32,192.63368,-2.29095,53845.31492,0
1003321,1001069011142,20.33,0.31,192.63371,-2.29089,54093.52332000001,0
1003321,1001069011142,20.98,0.46,192.63393,-2.29117,54093.52777000001,0
1003321,1001069011142,19.93,0.27,192.63381,-2.29084,53743.52032999999,0
1003321,1001069011142,20.18,0.32,192.63363,-2.29105,53765.48089,0
1003321,1001069011142,20.16,0.33,192.6338,-2.29132,53874.23215,0
1003321,1001069011142,19.55,0.24,192.63399,-2.29075,53874.23859,0
1003321,1001069011142,19.62,0.24,192.63344,-2.2907900000000003,53886.20802000001,0
1003321,1001069011142,19.98,0.29,192.63344,-2.29163,53886.2262,0
1003321,1001069011142,19.95,0.29,192.63327,-2.29093,53886.23529,0
1003321,1001069011142,20.0,0.27,192.63359,-2.29134,54197.30882000001,0
1003321,1001069011142,19.97,0.27,192.6335,-2.29064,54197.324,0
1003321,1001069011142,19.81,0.25,192.63362,-2.29109,54205.30227000001,0
1003321,1001069011142,19.67,0.23,192.6333,-2.29086,54205.30832,0
1003321,1001069011142,20.39,0.34,192.63373,-2.29098,54205.31436,0
1003321,1001069011142,20.11,0.29,192.63369,-2.29074,54439.52202999999,0
1003321,1001069011142,19.57,0.22,192.63374,-2.29087,54454.50126000001,0
1003321,1001069011142,20.14,0.29,192.63403,-2.29102,54124.50354,0
1003321,1001069011142,20.18,0.31,192.63381,-2.2909,54261.2028,0
1003321,1001069011142,19.68,0.24,192.63396,-2.2913,54229.24676,0
1003321,1001069011142,19.87,0.26,192.63349,-2.29087,54229.25732999999,0
1003321,1001069011142,19.51,0.22,192.63327,-2.2911,54241.24709,0
1003321,1001069011142,20.26,0.32,192.63388,-2.29072,54580.28582000001,0
1003321,1001069011142,19.86,0.25,192.63353,-2.2908,54502.49915,0
1003321,1001069011142,19.83,0.24,192.63388,-2.29081,54502.50944,0
1003321,1001069011142,20.11,0.28,192.63355,-2.29116,54483.47496,0
1003321,1001069011142,20.44,0.3,192.6332,-2.2911200000000003,54624.2139,0
1003321,1001069011142,20.39,0.29,192.63344,-2.29117,54624.22387,0
1003321,1001069011142,20.63,0.4,192.63395,-2.291,54966.29269,0
1003321,1001069011142,20.76,0.44,192.63278,-2.29047,55161.52617000001,0
1003321,1001069011142,20.32,0.28,192.63352,-2.29026,55603.43446,0
1003321,1001069011142,21.09,0.51,192.63487,-2.29047,55563.50659,0
1003321,1001069011142,20.12,0.32,192.63454,-2.29096,55736.18296000001,0
1003321,1001069011142,20.94,0.5,192.6337,-2.2911900000000003,55736.188120000006,0
1003321,1001069011142,20.59,0.38,192.6339,-2.28913,56068.28173,0
1003321,1001069011142,20.32,0.33,192.63355,-2.29065,55947.49663,0
1003321,1001069011253,18.07,0.11,192.64831,-2.2892900000000003,53464.33177,0
1003321,1001069011253,17.95,0.11,192.64858,-2.28918,53464.33982,0
1003321,1001069011253,17.98,0.11,192.64849,-2.28924,53464.34796,0
1003321,1001069011253,18.05,0.11,192.64842,-2.2892,53464.35602,0
1003321,1001069011253,17.7,0.33,192.64757,-2.28962,53706.52864,0
1003321,1001069011253,18.11,0.13,192.64847,-2.28916,53706.5376,0
1003321,1001069011253,18.0,0.11,192.64842,-2.28915,53709.51932000001,0
1003321,1001069011253,18.04,0.11,192.64838,-2.28927,53709.52852000001,0
1003321,1001069011253,17.92,0.11,192.64841,-2.28919,53709.53772000001,0
1003321,1001069011253,17.83,0.11,192.64846,-2.28915,53709.54692000001,0
1003321,1001069011253,18.0,0.11,192.64839,-2.2891,53732.4917,0
1003321,1001069011253,17.93,0.11,192.64871,-2.2892200000000003,53732.50029,0
1003321,1001069011253,18.13,0.12,192.64837,-2.28919,53732.50898,0
1003321,1001069011253,18.02,0.11,192.64835,-2.28919,53732.51769,0
1003321,1001069011253,18.02,0.11,192.64848,-2.2892,53498.1901,0
1003321,1001069011253,18.04,0.11,192.64841,-2.28927,53498.19659,0
1003321,1001069011253,18.01,0.11,192.64847,-2.28932,53498.20304,0
1003321,1001069011253,17.83,0.11,192.64857,-2.28933,53498.20945,0
1003321,1001069011253,17.94,0.11,192.64842,-2.28904,53521.22988,0
1003321,1001069011253,17.87,0.11,192.64838,-2.28917,53521.23847,0
1003321,1001069011253,18.04,0.12,192.64834,-2.28923,53521.24709,0
1003321,1001069011253,18.09,0.12,192.64836,-2.28928,53521.25571000001,0
1003321,1001069011253,18.12,0.12,192.6484,-2.28927,53845.30103,0
1003321,1001069011253,18.05,0.12,192.64847,-2.28918,53845.30797,0
1003321,1001069011253,18.06,0.12,192.64847,-2.28906,53845.31492,0
1003321,1001069011253,17.98,0.12,192.64854,-2.2891,53845.32191,0
1003321,1001069011253,18.04,0.11,192.64842,-2.28914,54093.51448,0
1003321,1001069011253,18.03,0.11,192.6485,-2.28926,54093.5189,0
1003321,1001069011253,18.06,0.11,192.64852,-2.28914,54093.52332000001,0
1003321,1001069011253,18.11,0.11,192.64849,-2.28903,54093.52777000001,0
1003321,1001069011253,18.12,0.12,192.64846,-2.28924,53773.47298,0
1003321,1001069011253,17.86,0.11,192.64838,-2.28921,53773.4795,0
1003321,1001069011253,18.03,0.12,192.64842,-2.2892200000000003,53773.48602999999,0
1003321,1001069011253,18.18,0.12,192.64843,-2.28917,53773.49256,0
1003321,1001069011253,17.99,0.11,192.64842,-2.28931,53786.49749,0
1003321,1001069011253,17.86,0.11,192.64849,-2.28923,53786.50294,0
1003321,1001069011253,18.1,0.12,192.64856,-2.28931,53786.50835,0
1003321,1001069011253,17.97,0.11,192.64842,-2.28931,53786.51367000001,0
1003321,1001069011253,18.18,0.12,192.64841,-2.28912,53743.50754,0
1003321,1001069011253,17.94,0.11,192.64857,-2.2891,53743.51182000001,0
1003321,1001069011253,18.05,0.12,192.64851,-2.28916,53743.51607000001,0
1003321,1001069011253,18.16,0.12,192.64855,-2.28927,53743.52032999999,0
1003321,1001069011253,18.1,0.12,192.64841,-2.28912,53758.49313,0
1003321,1001069011253,18.06,0.12,192.64844,-2.28916,53758.50154,0
1003321,1001069011253,18.05,0.12,192.64846,-2.2892,53758.50989,0
1003321,1001069011253,18.07,0.12,192.64841,-2.28914,53758.51828,0
1003321,1001069011253,17.94,0.11,192.64839,-2.28925,53765.4749,0
1003321,1001069011253,18.14,0.12,192.64841,-2.28917,53765.48089,0
1003321,1001069011253,18.0,0.11,192.64835,-2.28917,53765.48692999999,0
1003321,1001069011253,18.19,0.12,192.64843,-2.2891,53765.49303,0
1003321,1001069011253,17.91,0.3,192.64825,-2.28961,53903.2463,0
1003321,1001069011253,17.94,0.3,192.64843,-2.28925,53903.24729,0
1003321,1001069011253,17.93,0.3,192.64802,-2.28931,53903.24827,0
1003321,1001069011253,18.05,0.32,192.64862,-2.28956,53903.24925,0
1003321,1001069011253,18.28,0.34,192.64855,-2.28916,53863.3127,0
1003321,1001069011253,17.51,0.23,192.64867,-2.28947,53863.31376000001,0
1003321,1001069011253,17.79,0.26,192.64802,-2.2892900000000003,53863.31468,0
1003321,1001069011253,17.98,0.12,192.64848,-2.28914,53874.23215,0
1003321,1001069011253,17.71,0.11,192.64832,-2.28923,53874.23859,0
