InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003341,1115067025654,20.59,0.38,193.66699,15.44984,53763.50566,0
1003341,1115067025654,21.25,0.55,193.66877,15.4493,54204.32475,0
1003341,1115067025654,20.87,0.44,193.66859,15.45079,54204.33873,0
1003341,1115067025654,21.51,0.53,193.66677,15.44977,54563.32064,0
1003341,1115067025654,21.22,0.54,193.66798,15.44935,54585.33837000001,0
1003341,1115067025654,20.68,0.33,193.66708,15.44939,54538.32347,0
1003341,1115067025654,20.61,0.38,193.66694,15.44967,54939.39913,0
1003341,1115067025654,20.4,0.35,193.66708,15.45001,54886.39206000001,0
1003341,1115067025654,21.39,0.58,193.66626,15.44894,54886.39684,0
1003341,1115067025654,21.0,0.45,193.66689,15.45009,54856.45928,0
1003341,1115067025654,20.82,0.41,193.6669,15.44951,54893.34687,0
1003341,1115067025654,21.14,0.49,193.66812,15.44955,54893.35714,0
1003341,1115067025654,21.0,0.49,193.6689,15.45002,55334.16175,0
1003341,1115067025654,20.57,0.46,193.66679,15.45059,55576.49129,0
1003341,1115067025654,20.97,0.49,193.66733,15.44962,55644.33512,0
1003341,1115067025654,20.03,0.29,193.66592,15.44856,55644.35251,0
1003341,1115067025654,20.24,0.22,193.66797,15.44968,55648.27381,0
1003341,1115067025654,21.13,0.52,193.66772,15.44991,55930.45021,0
1003341,1115067025654,20.13,0.29,193.66782,15.45084,55982.46068,0
1003341,1115067025654,20.43,0.35,193.66781,15.44955,55982.46626,0
1003341,1115067025654,21.34,0.59,193.66765,15.4518,56029.21777,0
1003341,1115067025654,20.53,0.32,193.66707,15.44971,56388.28815,0
1003341,1115067025717,18.0,0.11,193.68864,15.444120000000002,53469.31801,0
1003341,1115067025717,17.94,0.11,193.68859,15.44414,53469.33424,0
1003341,1115067025717,17.85,0.11,193.68864,15.44409,53731.51482,0
1003341,1115067025717,17.89,0.11,193.68879,15.44416,53731.52068,0
1003341,1115067025717,17.87,0.11,193.68874,15.444070000000002,53731.52657,0
1003341,1115067025717,17.92,0.11,193.68886,15.444170000000002,53731.53246,0
1003341,1115067025717,18.09,0.12,193.68851,15.44406,53556.16448,0
1003341,1115067025717,18.07,0.12,193.68854,15.44413,53556.17085,0
1003341,1115067025717,17.97,0.11,193.68868,15.4441,53556.17729,0
1003341,1115067025717,18.0,0.12,193.68862,15.44403,53556.1837,0
1003341,1115067025717,17.96,0.11,193.68862,15.44416,53524.17255,0
1003341,1115067025717,17.96,0.11,193.68863,15.44415,53524.17903,0
1003341,1115067025717,17.94,0.11,193.68853,15.44414,53524.18544,0
1003341,1115067025717,17.94,0.11,193.68856,15.44413,53524.19191,0
1003341,1115067025717,18.03,0.11,193.68866,15.44418,53499.20759,0
1003341,1115067025717,17.96,0.11,193.68859,15.444120000000002,53499.21191000001,0
1003341,1115067025717,18.05,0.11,193.68865,15.444120000000002,53499.2162,0
1003341,1115067025717,18.01,0.11,193.68857,15.44418,53499.22046,0
1003341,1115067025717,17.79,0.11,193.68848,15.4442,53507.25068000001,0
1003341,1115067025717,17.76,0.1,193.68871,15.44418,53507.25709,0
1003341,1115067025717,18.08,0.12,193.68838,15.44414,53507.26618,0
1003341,1115067025717,18.05,0.12,193.68857,15.44409,53507.2726,0
1003341,1115067025717,17.93,0.11,193.68856,15.444070000000002,53827.28616,0
1003341,1115067025717,17.95,0.11,193.68861,15.44415,53827.29419,0
1003341,1115067025717,18.03,0.12,193.68861,15.44414,53827.30225,0
1003341,1115067025717,17.98,0.11,193.68856,15.4441,53827.31057,0
1003341,1115067025717,18.03,0.12,193.68852,15.44414,53833.2677,0
1003341,1115067025717,18.08,0.12,193.6885,15.44415,53833.27679,0
1003341,1115067025717,17.88,0.11,193.68855,15.443929999999998,53833.30372999999,0
1003341,1115067025717,18.14,0.12,193.68856,15.44421,53833.33012000001,0
1003341,1115067025717,18.02,0.11,193.68867,15.44423,53850.23029,0
1003341,1115067025717,17.91,0.11,193.68854,15.444170000000002,53850.2374,0
1003341,1115067025717,17.91,0.11,193.68863,15.44405,53850.2444,0
1003341,1115067025717,17.98,0.11,193.68873,15.44405,54089.49564,0
1003341,1115067025717,18.02,0.11,193.68869,15.4441,54089.50206,0
1003341,1115067025717,18.0,0.11,193.68863,15.444070000000002,54089.5085,0
1003341,1115067025717,17.91,0.1,193.68861,15.44404,54089.51495,0
1003341,1115067025717,17.96,0.11,193.68855,15.44411,53794.45781,0
1003341,1115067025717,17.91,0.11,193.68852,15.444120000000002,53794.46341,0
1003341,1115067025717,17.94,0.11,193.68851,15.44408,53794.46898,0
1003341,1115067025717,17.98,0.13,193.68842,15.44425,53794.47455,0
1003341,1115067025717,17.96,0.11,193.68862,15.444120000000002,53739.48467000001,0
1003341,1115067025717,18.02,0.11,193.68864,15.4441,53739.49013,0
1003341,1115067025717,18.02,0.11,193.68869,15.44411,53739.49559,0
1003341,1115067025717,18.01,0.11,193.68865,15.444120000000002,53739.50105,0
1003341,1115067025717,17.98,0.11,193.68869,15.44425,53763.49032,0
1003341,1115067025717,17.91,0.11,193.68874,15.44411,53763.498,0
1003341,1115067025717,17.97,0.11,193.68859,15.444120000000002,53763.50566,0
1003341,1115067025717,17.9,0.11,193.6886,15.44399,53763.51333,0
1003341,1115067025717,17.96,0.29,193.68852,15.44426,53905.22278,0
1003341,1115067025717,17.98,0.29,193.68858,15.44408,53905.22381,0
1003341,1115067025717,18.03,0.3,193.68839,15.444070000000002,53905.22486,0
1003341,1115067025717,17.96,0.12,193.68866,15.4441,53819.28078,0
1003341,1115067025717,18.02,0.12,193.68858,15.44401,53819.28895,0
1003341,1115067025717,17.84,0.11,193.68857,15.44415,53819.29711,0
1003341,1115067025717,18.03,0.12,193.68859,15.44414,53819.30527,0
1003341,1115067025717,17.92,0.11,193.68858,15.44424,53858.26825,0
1003341,1115067025717,17.83,0.11,193.68875,15.44421,53858.27634,0
1003341,1115067025717,18.26,0.13,193.68809,15.443970000000002,53858.28442,0
1003341,1115067025717,18.02,0.12,193.68848,15.444070000000002,53858.29255,0
1003341,1115067025717,17.96,0.12,193.68851,15.44419,53876.24603,0
1003341,1115067025717,18.01,0.12,193.68856,15.44414,53876.25238,0
1003341,1115067025717,17.98,0.12,193.68865,15.44424,53876.25876,0
1003341,1115067025717,17.99,0.12,193.68849,15.44416,53876.26512999999,0
1003341,1115067025717,17.93,0.11,193.68859,15.444,54204.31775,0
1003341,1115067025717,18.0,0.11,193.68854,15.44414,54204.32475,0
1003341,1115067025717,17.92,0.11,193.68857,15.44418,54204.33175,0
1003341,1115067025717,17.94,0.11,193.68855,15.443970000000002,54204.33873,0
1003341,1115067025717,18.05,0.11,193.68849,15.44406,54214.31495,0
1003341,1115067025717,18.06,0.11,193.68855,15.44419,54214.32146,0
1003341,1115067025717,17.94,0.11,193.68858,15.44416,54214.32797000001,0
1003341,1115067025717,17.88,0.11,193.68861,15.4441,54214.33447,0
1003341,1115067025717,17.92,0.11,193.68864,15.44416,54451.49688,0
1003341,1115067025717,18.04,0.11,193.68862,15.44405,54451.5042,0
1003341,1115067025717,17.96,0.11,193.68875,15.44411,54451.51151,0
1003341,1115067025717,17.9,0.11,193.68875,15.44416,54451.5188,0
1003341,1115067025717,17.84,0.1,193.68855,15.44419,54117.41745,0
1003341,1115067025717,17.85,0.1,193.6887,15.44411,54117.42397,0
1003341,1115067025717,18.04,0.11,193.68856,15.444020000000002,54117.43056,0
1003341,1115067025717,17.94,0.11,193.6887,15.444170000000002,54117.43711,0
1003341,1115067025717,17.88,0.11,193.68852,15.44395,54264.21774,0
1003341,1115067025717,17.97,0.11,193.68857,15.44415,54264.22629,0
1003341,1115067025717,17.97,0.11,193.68861,15.44408,54264.23484,0
1003341,1115067025717,17.87,0.11,193.6885,15.4441,54264.24337999999,0
1003341,1115067025717,17.96,0.11,193.68863,15.44413,54175.29007,0
1003341,1115067025717,17.89,0.11,193.68868,15.44409,54175.29651,0
1003341,1115067025717,17.96,0.11,193.68866,15.44414,54175.30295,0
1003341,1115067025717,17.97,0.11,193.6886,15.44419,54175.30939,0
1003341,1115067025717,18.01,0.12,193.68863,15.44424,54233.20364,0
1003341,1115067025717,17.95,0.12,193.68862,15.44418,54233.21222,0
1003341,1115067025717,17.97,0.11,193.68864,15.44423,54233.22079,0
1003341,1115067025717,17.82,0.11,193.68868,15.444070000000002,54233.22939,0
1003341,1115067025717,17.96,0.12,193.68848,15.444070000000002,54242.27251,0
1003341,1115067025717,17.95,0.12,193.68854,15.44413,54242.27974,0
1003341,1115067025717,17.77,0.11,193.68849,15.44409,54242.28698,0
1003341,1115067025717,17.89,0.11,193.68845,15.44403,54242.29425,0
1003341,1115067025717,17.96,0.1,193.6886,15.4441,54563.31476,0
1003341,1115067025717,18.02,0.1,193.68858,15.4442,54563.32064,0
1003341,1115067025717,17.97,0.1,193.68857,15.44423,54563.32653,0
1003341,1115067025717,17.88,0.1,193.68854,15.4441,54563.33242000001,0
1003341,1115067025717,17.92,0.11,193.68851,15.444170000000002,54585.33837000001,0
1003341,1115067025717,18.04,0.11,193.68856,15.44411,54585.34452000001,0
1003341,1115067025717,18.15,0.12,193.68844,15.44411,54585.35069,0
1003341,1115067025717,17.9,0.11,193.68844,15.44413,54585.35679,0
1003341,1115067025717,17.95,0.11,193.68859,15.44421,54802.51137000001,0
1003341,1115067025717,17.71,0.1,193.68836,15.44406,54802.51581,0
1003341,1115067025717,17.94,0.11,193.68871,15.44413,54802.5203,0
1003341,1115067025717,17.96,0.11,193.68852,15.44418,54802.52474,0
1003341,1115067025717,17.86,0.11,193.68847,15.4441,54822.53016,0
1003341,1115067025717,18.09,0.12,193.68855,15.44418,54822.53615,0
1003341,1115067025717,17.98,0.12,193.68861,15.444170000000002,54822.54224,0
1003341,1115067025717,18.04,0.12,193.68864,15.44416,54822.54837999999,0
