InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003401,1021066051478,20.3,0.33,195.47245,-20.41259,54509.40876000001,0
1003401,1021066051478,20.27,0.33,195.4728,-20.41244,54509.41579,0
1003401,1021066051478,19.6,0.23,195.47276,-20.413120000000006,54554.35665,0
1003401,1021066051478,19.93,0.29,195.47266,-20.41243,55363.19372999999,0
1003401,1021066051478,19.43,0.22,195.47117,-20.41304,55979.45902,0
1003401,1021066051478,19.39,0.21,195.47311,-20.41292,55979.47309,0
1003401,1021066051478,19.59,0.24,195.47202,-20.41283,55979.48006,0
1003401,1021066051478,20.11,0.31,195.47233,-20.41297,56002.34247,0
1003401,1021066051478,20.12,0.31,195.47296,-20.41229,56002.35966,0
1003401,1021066051478,19.53,0.2,195.4728,-20.41261,56037.27929,0
1003401,1021066051478,19.95,0.28,195.4726,-20.41254,56062.22916,0
1003401,1021066051542,19.42,0.21,195.47877,-20.41,54509.41579,0
1003401,1021066051542,19.52,0.23,195.47851,-20.41004,55652.33778,0
1003401,1021066051542,18.7,0.16,195.47828,-20.41057,55716.18558,0
1003401,1021066051542,18.82,0.16,195.47914,-20.40957,55979.45902,0
1003401,1021066051542,19.36,0.21,195.47866,-20.41003,55979.46603,0
1003401,1021066051542,19.87,0.27,195.47686,-20.40969,56011.31032999999,0
1003401,1021066051542,20.05,0.3,195.479,-20.41014,56011.31032999999,1
1003401,1021066051542,19.86,0.27,195.47855,-20.40986,56062.24509,0
1003401,1021066051542,19.5,0.23,195.47912,-20.41006,56385.30701,0
1003401,1021066051851,16.91,0.18,195.47065,-20.3992,53904.17647000001,0
1003401,1021066051851,16.87,0.18,195.47058,-20.39929,53904.17842999999,0
1003401,1021066051851,16.64,0.16,195.47054,-20.39932,53863.26954,0
1003401,1021066051851,16.69,0.16,195.47044,-20.39932,53863.27036,0
1003401,1021066051851,16.96,0.18,195.4706,-20.39917,53863.27109,0
1003401,1021066051851,16.46,0.15,195.47048,-20.39938,53863.27184,0
1003401,1021066051851,16.92,0.08,195.47062,-20.39916,54570.26195,0
1003401,1021066051851,16.86,0.08,195.47055,-20.39929,54570.26789,0
1003401,1021066051851,16.96,0.08,195.47059,-20.39919,54570.27384,0
1003401,1021066051851,16.92,0.08,195.47052,-20.39914,54570.27984,0
1003401,1021066051851,16.94,0.08,195.47068,-20.39909,54583.255999999994,0
1003401,1021066051851,16.88,0.08,195.47061,-20.39917,54583.2619,0
1003401,1021066051851,16.9,0.08,195.47063,-20.39922,54583.26782000001,0
1003401,1021066051851,16.85,0.08,195.47063,-20.39914,54583.2737,0
1003401,1021066051851,16.95,0.08,195.47054,-20.39927,54509.39472999999,0
1003401,1021066051851,16.93,0.08,195.47056,-20.39912,54509.40175,0
1003401,1021066051851,16.9,0.08,195.47055,-20.39925,54509.40876000001,0
1003401,1021066051851,16.92,0.08,195.47059,-20.39925,54509.41579,0
1003401,1021066051851,16.8,0.08,195.4706,-20.39923,54554.3422,0
1003401,1021066051851,17.04,0.08,195.47055,-20.39914,54554.34943,0
1003401,1021066051851,16.93,0.08,195.47054,-20.39911,54554.35665,0
1003401,1021066051851,16.94,0.08,195.47055,-20.39917,54554.36392999999,0
1003401,1021066051851,16.91,0.08,195.47055,-20.39914,54939.2695,0
1003401,1021066051851,16.97,0.08,195.47059,-20.39915,54939.27492,0
1003401,1021066051851,16.92,0.08,195.47054,-20.39914,54939.28038,0
1003401,1021066051851,16.98,0.08,195.47054,-20.39914,54939.28573,0
1003401,1021066051851,16.98,0.08,195.47055,-20.39921,55294.29024,0
1003401,1021066051851,16.91,0.08,195.47059,-20.39927,55294.29545,0
1003401,1021066051851,16.92,0.08,195.47063,-20.3993,55294.30076000001,0
1003401,1021066051851,16.99,0.08,195.47052,-20.39927,55294.30595,0
1003401,1021066051851,16.95,0.08,195.4705,-20.39914,55300.29654,0
1003401,1021066051851,16.97,0.08,195.47047,-20.39921,55300.30353,0
1003401,1021066051851,17.01,0.08,195.47051,-20.39923,55300.31047,0
1003401,1021066051851,17.02,0.08,195.47046,-20.39912,55300.31747,0
1003401,1021066051851,16.85,0.09,195.47051,-20.39931,55363.18,0
1003401,1021066051851,16.99,0.08,195.47051,-20.39896,55652.32392,0
1003401,1021066051851,16.88,0.08,195.47039,-20.39906,55652.32853,0
1003401,1021066051851,17.08,0.09,195.47038,-20.39882,55652.33318,0
1003401,1021066051851,16.95,0.08,195.47048,-20.39896,55652.33778,0
1003401,1021066051851,16.93,0.08,195.47046,-20.39891,55662.31262,0
1003401,1021066051851,16.86,0.08,195.47047,-20.39898,55662.32212,0
1003401,1021066051851,16.91,0.08,195.47057,-20.39899,55662.33105,0
1003401,1021066051851,16.97,0.08,195.47049,-20.39902,55662.34001,0
1003401,1021066051851,16.93,0.09,195.47045,-20.39895,55716.1712,0
1003401,1021066051851,16.94,0.09,195.47055,-20.39899,55716.17574,0
1003401,1021066051851,16.88,0.08,195.47052,-20.39885,55716.18096000001,0
1003401,1021066051851,16.93,0.09,195.47058,-20.39903,55716.18558,0
1003401,1021066051851,16.95,0.09,195.47055,-20.39901,55706.20277,0
1003401,1021066051851,16.9,0.08,195.47061,-20.39898,55706.21226,0
1003401,1021066051851,16.89,0.08,195.47057,-20.39901,55706.22171000001,0
1003401,1021066051851,16.92,0.08,195.4706,-20.39895,55706.23104,0
1003401,1021066051851,16.9,0.08,195.47046,-20.3992,55363.19372999999,0
1003401,1021066051851,16.95,0.08,195.47039,-20.39922,55363.19962000001,0
1003401,1021066051851,16.95,0.08,195.47047,-20.39933,55363.20543,0
1003401,1021066051851,16.92,0.08,195.4705,-20.39916,55363.21122999999,0
1003401,1021066051851,16.99,0.08,195.47054,-20.39934,55979.45902,0
1003401,1021066051851,16.88,0.08,195.47063,-20.39941,55979.46603,0
1003401,1021066051851,16.96,0.08,195.47052,-20.39923,55979.47309,0
1003401,1021066051851,16.94,0.08,195.47061,-20.399420000000006,55979.48006,0
1003401,1021066051851,16.98,0.08,195.4706,-20.39926,56002.33377000001,0
