InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003501,1007071018821,19.53,0.22,198.96999,-7.536339999999999,53734.50164,0
1003501,1007071018821,20.91,0.47,198.9704,-7.53585,53734.50954,0
1003501,1007071018821,19.99,0.28,198.97086,-7.536010000000001,53498.23436,0
1003501,1007071018821,19.86,0.27,198.97101,-7.53615,53776.47345,0
1003501,1007071018821,20.59,0.4,198.97005,-7.5354199999999985,53776.49452000001,0
1003501,1007071018821,20.23,0.32,198.97063,-7.5358399999999985,53742.52352,0
1003501,1007071018821,20.69,0.46,198.97189,-7.53538,53874.26937,0
1003501,1007071018821,20.92,0.49,198.96989,-7.5358100000000015,54206.27321,0
1003501,1007071018821,19.99,0.29,198.97041,-7.5358800000000015,54206.27922,0
1003501,1007071018821,19.82,0.27,198.97028,-7.5357699999999985,54206.28526,0
1003501,1007071018821,20.95,0.45,198.97047,-7.53574,54115.49059,0
1003501,1007071018821,20.02,0.27,198.97058,-7.535889999999997,54115.50004,0
1003501,1007071018821,20.16,0.3,198.97003,-7.5358800000000015,54129.4803,0
1003501,1007071018821,19.5,0.22,198.97029,-7.53573,54260.23271,0
1003501,1007071018821,20.38,0.35,198.9704,-7.53569,54260.24778,0
1003501,1007071018821,20.66,0.42,198.97078,-7.535710000000001,54241.26005,0
1003501,1007071018821,19.89,0.26,198.9698,-7.53602,54580.31993,0
1003501,1007071018821,20.39,0.48,198.97016,-7.535139999999997,54648.16768,0
1003501,1007071018821,20.19,0.31,198.97037,-7.5352,54591.26551000001,0
1003501,1007071018821,19.99,0.28,198.97111,-7.53607,54591.27405,0
1003501,1007071018821,20.22,0.32,198.97005,-7.535710000000001,54591.28261,0
1003501,1007071018821,19.62,0.23,198.9702,-7.53591,54591.29119,0
1003501,1007071018821,19.47,0.18,198.97092,-7.53587,54950.26116,0
1003501,1007071018821,20.95,0.47,198.97097,-7.5364,55185.51002,0
1003501,1007071018821,19.77,0.24,198.97046,-7.535539999999999,55185.51352000001,0
1003501,1007071018821,20.03,0.28,198.97026,-7.5363,55185.52058,0
1003501,1007071018821,20.56,0.37,198.97007,-7.5354800000000015,54859.45313,0
1003501,1007071018821,20.11,0.29,198.97032,-7.535589999999999,54859.45799,0
1003501,1007071018821,20.37,0.34,198.97099999999998,-7.53592,54996.17842999999,0
