InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003541,1109071015572,21.09,0.52,200.76454,9.25386,53817.34446,0
1003541,1109071015572,20.23,0.31,200.76414,9.25475,54179.47452999999,0
1003541,1109071015572,20.2,0.32,200.76491,9.25404,54242.21492000001,0
1003541,1109071015572,20.97,0.49,200.76433,9.25407,54562.41331,0
1003541,1109071015572,20.14,0.3,200.76476,9.25392,54585.36911,0
1003541,1109071015572,20.88,0.44,200.76446,9.25401,54554.30646,0
1003541,1109071015572,20.67,0.39,200.76454,9.25358,54591.32721,0
1003541,1109071015572,20.67,0.33,200.76478,9.25287,54941.34503,0
1003541,1109071015572,21.34,0.55,200.76516,9.25447,54859.48127,0
1003541,1109071015572,20.45,0.35,200.76485,9.25385,54998.19633,0
1003541,1109071015572,20.5,0.35,200.76552,9.25309,54908.36252,0
1003541,1109071015572,19.08,0.19,200.76539,9.25333,55246.5139,0
1003541,1109071015572,20.58,0.46,200.7636,9.25435,55675.3397,0
1003541,1109071015572,20.23,0.31,200.76457,9.25416,55604.48741,0
1003541,1109071015572,21.48,0.64,200.7653,9.25355,55591.42731,0
1003541,1109071015572,20.56,0.38,200.76507,9.25396,55591.43255,0
1003541,1109071015572,20.14,0.31,200.76514,9.25405,55719.27106,0
1003541,1109071015572,19.73,0.25,200.76425,9.25438,55632.4784,0
1003541,1109071015572,20.88,0.5,200.76512,9.25445,55632.48363,0
1003541,1109071015572,20.62,0.41,200.76459,9.25461,55644.44446,0
1003541,1109071015572,20.77,0.28,200.76523,9.25389,55649.32433,0
1003541,1109071015572,21.45,0.55,200.76329,9.25488,55705.21286,0
1003541,1109071015572,20.47,0.31,200.76486,9.25315,55705.22457000001,0
1003541,1109071015572,20.63,0.4,200.76547,9.25379,55919.48498,0
1003541,1109071015572,20.41,0.35,200.76566,9.25338,55930.44507,0
1003541,1109071015572,21.24,0.54,200.76459,9.25382,55977.50366,0
1003541,1109071015572,20.8,0.43,200.76491,9.25419,55984.37215,0
1003541,1109071015572,20.18,0.3,200.76433,9.25417,55984.38746000001,0
1003541,1109071015572,20.58,0.38,200.76312,9.2527,56061.24733,0
1003541,1109071015572,20.64,0.41,200.7649,9.2547,56061.25586000001,0
1003541,1109071015572,20.38,0.34,200.76341,9.25522,56069.3215,0
1003541,1109071015572,20.39,0.35,200.76468,9.25452,56356.43881,0
1003541,1109071015572,20.37,0.35,200.76505,9.25377,56424.26521000001,0
1003541,1109071015605,20.4,0.33,200.77232,9.25305,53466.29419,0
1003541,1109071015605,19.97,0.26,200.77156,9.25378,53466.30224,0
1003541,1109071015605,19.67,0.23,200.77215,9.25305,53466.31034,0
1003541,1109071015605,19.71,0.23,200.77237,9.25321,53466.3185,0
1003541,1109071015605,19.47,0.22,200.77278,9.25322,53705.52231,0
1003541,1109071015605,19.14,0.19,200.77214,9.25312,53705.52903,0
1003541,1109071015605,20.24,0.32,200.77278,9.25273,53714.50115,0
1003541,1109071015605,19.9,0.27,200.77282,9.25294,53714.5106,0
1003541,1109071015605,19.91,0.27,200.77244,9.25307,53714.52001,0
1003541,1109071015605,19.23,0.19,200.773,9.25309,53714.52948,0
1003541,1109071015605,19.79,0.25,200.77104,9.25257,53734.46209,0
1003541,1109071015605,20.58,0.38,200.77269,9.25331,53734.46988,0
1003541,1109071015605,20.02,0.28,200.77264,9.25339,53734.47769,0
1003541,1109071015605,20.07,0.3,200.77205,9.25232,53554.1867,0
1003541,1109071015605,20.54,0.38,200.77271,9.25286,53528.2218,0
1003541,1109071015605,19.39,0.2,200.77249,9.25286,53498.24468,0
1003541,1109071015605,19.32,0.2,200.7722,9.25305,53498.25171,0
1003541,1109071015605,20.14,0.3,200.77243,9.25348,53498.25876,0
1003541,1109071015605,20.16,0.3,200.77228,9.25292,53498.2658,0
1003541,1109071015605,19.47,0.22,200.77229,9.25334,53520.28577,0
1003541,1109071015605,19.82,0.27,200.77239,9.25317,53520.30506,0
1003541,1109071015605,20.04,0.33,200.77223,9.25336,53832.28672,0
1003541,1109071015605,19.14,0.2,200.77195,9.25303,53832.310999999994,0
1003541,1109071015605,20.24,0.34,200.77194,9.25241,53843.30282,0
1003541,1109071015605,19.72,0.25,200.77252,9.25265,53843.31217000001,0
1003541,1109071015605,20.34,0.33,200.77212,9.25341,53772.47751,0
1003541,1109071015605,19.88,0.26,200.77258,9.25359,53772.48556,0
1003541,1109071015605,20.07,0.29,200.77185,9.25311,53772.50193,0
1003541,1109071015605,19.62,0.24,200.77264,9.25289,53762.47771,0
1003541,1109071015605,19.56,0.23,200.77236,9.2531,53762.4842,0
1003541,1109071015605,19.77,0.25,200.77229,9.25318,53762.49067000001,0
1003541,1109071015605,19.85,0.26,200.77231,9.2533,53798.42579,0
1003541,1109071015605,20.43,0.36,200.77229,9.25282,53817.34446,0
1003541,1109071015605,20.19,0.31,200.77252,9.25284,53817.35359,0
1003541,1109071015605,19.7,0.24,200.77253,9.25328,53817.36272000001,0
1003541,1109071015605,19.47,0.21,200.77258,9.25316,53817.37186,0
1003541,1109071015605,19.44,0.22,200.7726,9.25303,53857.28045,0
1003541,1109071015605,20.09,0.32,200.77192,9.25301,53857.29537000001,0
1003541,1109071015605,21.1,0.53,200.77246,9.25254,53878.27228,0
1003541,1109071015605,20.54,0.39,200.77237,9.25308,53878.28941000001,0
1003541,1109071015605,19.65,0.23,200.77259,9.25284,54212.22659,0
1003541,1109071015605,19.78,0.24,200.77233,9.25265,54212.24521,0
1003541,1109071015605,20.02,0.27,200.7726,9.25299,54449.513,0
1003541,1109071015605,19.91,0.25,200.77209,9.25298,54449.52084,0
1003541,1109071015605,20.2,0.3,200.77248,9.25312,54449.52857,0
1003541,1109071015605,20.87,0.43,200.77259,9.25291,54129.42581,0
1003541,1109071015605,20.42,0.34,200.77215,9.25306,54129.43284,0
1003541,1109071015605,19.42,0.2,200.77229,9.25285,54129.43986000001,0
1003541,1109071015605,20.21,0.32,200.77237,9.25297,54261.27818,0
1003541,1109071015605,19.97,0.28,200.77239,9.25352,54261.28675,0
1003541,1109071015605,20.67,0.39,200.77185,9.25303,54170.36642000001,0
1003541,1109071015605,20.37,0.33,200.77253,9.25319,54170.37293,0
1003541,1109071015605,20.65,0.39,200.77253,9.25251,54170.3794,0
1003541,1109071015605,19.73,0.24,200.77188,9.25305,54179.45866,0
1003541,1109071015605,19.74,0.24,200.77229,9.25317,54179.46665,0
1003541,1109071015605,20.07,0.28,200.77175,9.25274,54179.48244,0
1003541,1109071015605,21.05,0.51,200.77113,9.25291,54233.26727999999,0
1003541,1109071015605,21.05,0.51,200.77198,9.25274,54233.28133,0
1003541,1109071015605,19.77,0.25,200.77226,9.25301,54242.19316,0
1003541,1109071015605,19.75,0.25,200.77247,9.25279,54242.20045,0
1003541,1109071015605,19.39,0.21,200.77239,9.25283,54242.2077,0
1003541,1109071015605,19.54,0.22,200.77191,9.25313,54562.41331,0
1003541,1109071015605,19.65,0.24,200.77168,9.25359,54562.41888,0
1003541,1109071015605,19.09,0.18,200.77256,9.25347,54562.42442,0
1003541,1109071015605,18.99,0.17,200.77195,9.25358,54562.42997999999,0
1003541,1109071015605,19.76,0.24,200.77219,9.25297,54568.27721,0
1003541,1109071015605,20.17,0.29,200.77257,9.25322,54568.28798,0
1003541,1109071015605,20.73,0.4,200.77273,9.25391,54568.2987,0
1003541,1109071015605,20.15,0.3,200.77233,9.2532,54585.36911,0
1003541,1109071015605,19.57,0.22,200.77207,9.25276,54585.38522999999,0
1003541,1109071015605,19.96,0.27,200.77265,9.25276,54585.39325,0
1003541,1109071015605,19.37,0.22,200.77245,9.25307,54802.53139,0
1003541,1109071015605,19.6,0.25,200.77207,9.25272,54802.54064,0
1003541,1109071015605,19.76,0.24,200.77239,9.253,54502.40929,0
1003541,1109071015605,19.69,0.23,200.77238,9.2533,54502.41771,0
1003541,1109071015605,20.11,0.28,200.77259,9.25311,54502.42612,0
1003541,1109071015605,19.43,0.2,200.7722,9.25308,54502.43453,0
1003541,1109071015605,20.53,0.36,200.77218,9.25298,54510.38965,0
1003541,1109071015605,20.37,0.33,200.77221,9.25325,54510.39617000001,0
1003541,1109071015605,20.02,0.27,200.77235,9.25296,54510.40269,0
1003541,1109071015605,19.82,0.24,200.77235,9.25342,54510.409170000006,0
1003541,1109071015605,20.37,0.33,200.77194,9.25347,54525.418820000006,0
1003541,1109071015605,19.82,0.25,200.77205,9.25297,54525.43321,0
1003541,1109071015605,19.8,0.17,200.77213,9.25302,54531.33275,0
1003541,1109071015605,19.42,0.14,200.77276,9.25296,54531.34337,0
1003541,1109071015605,19.73,0.16,200.77262,9.25306,54531.35397999999,0
1003541,1109071015605,19.54,0.15,200.77237,9.25296,54531.36459,0
1003541,1109071015605,19.68,0.2,200.77258,9.25327,54538.35518,0
1003541,1109071015605,20.25,0.31,200.77219,9.2531,54554.30646,0
1003541,1109071015605,19.76,0.24,200.77235,9.25334,54554.31402000001,0
1003541,1109071015605,20.21,0.3,200.77233,9.25313,54554.3216,0
1003541,1109071015605,19.5,0.21,200.77235,9.25315,54554.3292,0
1003541,1109071015605,20.12,0.29,200.77211,9.25315,54591.30434,0
1003541,1109071015605,19.8,0.25,200.77217,9.2528,54591.3196,0
1003541,1109071015605,18.52,0.13,200.77154,9.25329,54591.32721,0
1003541,1109071015605,18.95,0.16,200.77201,9.25268,54924.3184,0
1003541,1109071015605,20.22,0.31,200.77243,9.25272,54924.32382000001,0
1003541,1109071015605,20.43,0.34,200.77241,9.2528,54924.33464,0
1003541,1109071015605,19.55,0.18,200.77253,9.25311,54941.32628,0
1003541,1109071015605,19.82,0.21,200.77236,9.2531,54941.33569,0
1003541,1109071015605,19.87,0.22,200.77221,9.25295,54941.34503,0
1003541,1109071015605,19.83,0.21,200.77224,9.25291,54941.3544,0
1003541,1109071015605,20.06,0.28,200.77274,9.25317,54949.21625,0
1003541,1109071015605,19.66,0.23,200.7725,9.25318,54949.22288,0
1003541,1109071015605,20.03,0.28,200.77235,9.25291,54949.22944,0
1003541,1109071015605,20.12,0.29,200.77200000000002,9.25323,54949.23602999999,0
1003541,1109071015605,19.37,0.22,200.77216,9.25317,54867.36143,0
1003541,1109071015605,19.18,0.2,200.77268,9.25327,54867.37877,0
1003541,1109071015605,19.71,0.26,200.77235,9.25292,54867.38745,0
1003541,1109071015605,19.7,0.23,200.77195,9.25296,54882.47495,0
1003541,1109071015605,19.73,0.23,200.77235,9.2534,54859.48127,0
1003541,1109071015605,19.67,0.22,200.77227,9.25313,54859.48614,0
1003541,1109071015605,20.47,0.34,200.77215,9.25327,54859.49209,0
1003541,1109071015605,19.67,0.22,200.7722,9.25273,54859.4969,0
1003541,1109071015605,19.57,0.22,200.77273,9.25293,54998.1855,0
1003541,1109071015605,19.97,0.27,200.77243,9.25311,54998.19092000001,0
1003541,1109071015605,19.97,0.27,200.77207,9.25341,54998.20176,0
1003541,1109071015605,19.39,0.19,200.77254,9.25315,54908.36252,0
1003541,1109071015605,19.78,0.24,200.77261,9.25311,54908.37538,0
1003541,1109071015605,19.97,0.26,200.77213,9.2532,54908.38817000001,0
1003541,1109071015605,20.36,0.32,200.77249,9.25324,54908.40098,0
1003541,1109071015605,20.19,0.3,200.77191,9.25313,54918.32923,0
1003541,1109071015605,19.98,0.27,200.77276,9.25304,54918.334,0
1003541,1109071015605,19.71,0.23,200.77228,9.25285,54918.33882,0
1003541,1109071015605,20.11,0.29,200.77234,9.2529,54918.34346,0
1003541,1109071015605,19.83,0.25,200.77245,9.253,54965.26799,0
1003541,1109071015605,20.43,0.35,200.77247,9.25301,54965.27561,0
1003541,1109071015605,20.2,0.31,200.77246,9.25262,54965.28322000001,0
1003541,1109071015605,19.12,0.18,200.77246,9.25276,54965.29077000001,0
1003541,1109071015605,19.13,0.18,200.77266,9.25281,55290.37748,0
1003541,1109071015605,20.23,0.31,200.77262,9.25293,55290.39659,0
1003541,1109071015605,20.6,0.38,200.77228,9.25297,55299.28949,0
1003541,1109071015605,19.9,0.26,200.77248,9.25289,55299.29648,0
1003541,1109071015605,20.4,0.34,200.77262,9.25331,55299.30341,0
1003541,1109071015605,19.84,0.25,200.77203,9.25297,55299.31042,0
1003541,1109071015605,20.58,0.45,200.77213,9.25321,55246.50455,0
1003541,1109071015605,19.95,0.3,200.77239,9.25298,55246.5139,0
1003541,1109071015605,19.31,0.21,200.77254,9.25293,55246.52335,0
1003541,1109071015605,20.02,0.29,200.77193,9.25273,55359.164000000004,0
1003541,1109071015605,20.31,0.34,200.77265,9.25279,55359.17764,0
1003541,1109071015605,19.72,0.24,200.77245,9.2531,55269.34023,0
1003541,1109071015605,19.92,0.26,200.77223,9.25297,55269.35412999999,0
1003541,1109071015605,19.9,0.26,200.77258,9.25328,55269.36109,0
1003541,1109071015605,19.54,0.21,200.77242,9.25341,55275.39603,0
1003541,1109071015605,19.73,0.24,200.77265,9.25299,55275.40243,0
1003541,1109071015605,20.21,0.3,200.77229,9.25314,55275.40881,0
1003541,1109071015605,20.42,0.34,200.77229,9.25305,55323.26957999999,0
1003541,1109071015605,20.26,0.31,200.77224,9.25319,55323.2765,0
1003541,1109071015605,19.09,0.17,200.77232,9.25297,55323.28343,0
1003541,1109071015605,20.13,0.29,200.77195,9.25319,55323.29041,0
1003541,1109071015605,20.11,0.29,200.77244,9.25243,55336.26952,0
1003541,1109071015605,20.3,0.32,200.77235,9.253,55336.27759,0
1003541,1109071015605,19.92,0.26,200.77229,9.25228,55336.28567999999,0
1003541,1109071015605,20.08,0.29,200.7724,9.25276,55336.29372,0
1003541,1109071015605,19.74,0.21,200.7722,9.2529,55655.3686,0
1003541,1109071015605,19.86,0.22,200.77225,9.25322,55655.37487000001,0
1003541,1109071015605,19.39,0.18,200.77254,9.25317,55655.38107999999,0
1003541,1109071015605,19.67,0.2,200.77226,9.25332,55655.38728,0
1003541,1109071015605,19.79,0.24,200.77281,9.2528,55663.21087,0
1003541,1109071015605,20.24,0.38,200.77213,9.25314,55675.33316,0
1003541,1109071015605,20.17,0.36,200.77215,9.25285,55675.3397,0
1003541,1109071015605,20.95,0.57,200.77219,9.25317,55675.35303,0
1003541,1109071015605,19.7,0.24,200.77236,9.25323,55604.46662000001,0
1003541,1109071015605,19.79,0.25,200.7726,9.25344,55604.47354,0
1003541,1109071015605,19.47,0.21,200.77234,9.25317,55604.48049,0
1003541,1109071015605,19.57,0.22,200.77202,9.25289,55604.48741,0
1003541,1109071015605,20.15,0.3,200.77272,9.2532,55591.42209,0
1003541,1109071015605,19.31,0.2,200.77216,9.25313,55591.42731,0
1003541,1109071015605,20.35,0.34,200.77244,9.25313,55591.43255,0
1003541,1109071015605,20.7,0.41,200.77244,9.25318,55591.43779,0
1003541,1109071015605,19.65,0.24,200.7724,9.25336,55719.27106,0
1003541,1109071015605,19.76,0.26,200.7725,9.25316,55719.2802,0
1003541,1109071015605,19.71,0.25,200.77232,9.25278,55719.28947,0
1003541,1109071015605,20.19,0.35,200.77166,9.25351,55626.41117000001,0
1003541,1109071015605,19.28,0.22,200.77243,9.25277,55626.41692999999,0
1003541,1109071015605,20.16,0.36,200.77218,9.25303,55626.42273,0
1003541,1109071015605,19.71,0.28,200.77238,9.25305,55626.42853,0
1003541,1109071015605,20.01,0.29,200.77277,9.25269,55632.4731,0
1003541,1109071015605,19.61,0.23,200.77243,9.25327,55632.4784,0
1003541,1109071015605,20.87,0.48,200.77231,9.25296,55632.4889,0
