InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003561,1126065012574,19.87,0.26,201.41947,25.97817,53793.45889,0
1003561,1126065012574,20.58,0.49,201.4198,25.97813,53803.31148,0
1003561,1126065012574,21.07,0.53,201.42138,25.97767,53860.32866,0
1003561,1126065012574,21.25,0.58,201.41906,25.97786,53879.26657000001,0
1003561,1126065012574,20.07,0.32,201.42019,25.97679,54807.48432,0
1003561,1126065012574,20.45,0.36,201.42017,25.97719,55001.24175,0
1003561,1126065012574,19.86,0.25,201.4207,25.97807,54981.19808,0
1003561,1126065012574,20.1,0.29,201.42024,25.97786,55296.32775,0
1003561,1126065012574,21.46,0.62,201.41875,25.97789,55296.34499,0
1003561,1126065012574,19.9,0.28,201.41977,25.97734,55724.30559,0
1003561,1126065012574,20.53,0.37,201.41947,25.97769,55999.51221,0
1003561,1126065012574,20.4,0.29,201.4209,25.97739,56008.42469,0
1003561,1126065012574,20.58,0.38,201.41902,25.97775,56036.30677,0
1003561,1126065012574,21.1,0.5,201.41872,25.97685,56088.1786,0
1003561,1126065012574,20.64,0.45,201.41823,25.97725,56298.50547,0
1003561,1126065012629,20.1,0.32,201.405,25.9786,53470.29274,0
1003561,1126065012629,20.54,0.4,201.40482,25.9787,53470.30082,0
1003561,1126065012629,20.12,0.32,201.40537,25.97821,53470.31681,0
1003561,1126065012629,20.33,0.33,201.40467,25.97875,53490.31388,0
1003561,1126065012629,20.99,0.49,201.40537,25.97843,53558.18389,0
1003561,1126065012629,19.3,0.2,201.40523,25.97863,53558.19461000001,0
1003561,1126065012629,20.54,0.39,201.4053,25.97848,53558.19998,0
1003561,1126065012629,19.36,0.23,201.40557,25.97859,53832.39696000001,0
1003561,1126065012629,21.19,0.56,201.40528,25.9788,53851.30417,0
1003561,1126065012629,21.2,0.57,201.40532,25.97919,53851.31175,0
1003561,1126065012629,19.86,0.27,201.40663,25.97931,53851.31934,0
1003561,1126065012629,19.61,0.23,201.40523,25.97836,53793.45889,0
1003561,1126065012629,19.63,0.23,201.40542,25.97886,53793.46762,0
1003561,1126065012629,20.02,0.28,201.4053,25.97845,53793.47628,0
1003561,1126065012629,19.12,0.18,201.40577,25.97891,53819.35681000001,0
