InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003581,1115070024576,17.61,0.1,202.2374,15.28813,53469.34978,0
1003581,1115070024576,17.61,0.1,202.23732,15.28818,53469.35789,0
1003581,1115070024576,17.69,0.1,202.23734,15.28809,53469.36599,0
1003581,1115070024576,17.61,0.1,202.23744,15.28813,53469.3741,0
1003581,1115070024576,17.59,0.1,202.23747,15.28806,53731.51643,0
1003581,1115070024576,17.59,0.1,202.2375,15.28819,53731.52229,0
1003581,1115070024576,17.57,0.1,202.23737,15.28827,53731.52818,0
1003581,1115070024576,17.63,0.1,202.23738,15.28821,53731.53406000001,0
1003581,1115070024576,17.66,0.1,202.23746,15.28805,53556.16288,0
1003581,1115070024576,17.73,0.1,202.23741,15.28806,53556.16924,0
1003581,1115070024576,17.54,0.1,202.23741,15.28805,53556.17568,0
1003581,1115070024576,17.64,0.1,202.23741,15.28814,53556.1821,0
1003581,1115070024576,17.61,0.1,202.23736,15.28812,53524.20072,0
1003581,1115070024576,17.64,0.1,202.23736,15.28813,53524.20716000001,0
1003581,1115070024576,17.58,0.1,202.23741,15.28817,53524.21361,0
1003581,1115070024576,17.61,0.1,202.23751,15.28825,53524.22007,0
1003581,1115070024576,17.66,0.1,202.23738,15.28809,53499.2511,0
1003581,1115070024576,17.56,0.1,202.23739,15.28805,53499.25557,0
1003581,1115070024576,17.58,0.1,202.2374,15.28817,53499.26,0
1003581,1115070024576,17.72,0.1,202.23738,15.2881,53499.26444,0
1003581,1115070024576,17.34,0.09,202.23723,15.28809,53507.2523,0
1003581,1115070024576,17.47,0.09,202.23739,15.28802,53507.26139,0
1003581,1115070024576,17.58,0.1,202.23728,15.28809,53507.2678,0
1003581,1115070024576,17.71,0.1,202.23744,15.28818,53507.27425,0
1003581,1115070024576,17.65,0.1,202.23737,15.28811,53827.32549,0
1003581,1115070024576,17.62,0.1,202.23743,15.2882,53827.33582000001,0
1003581,1115070024576,17.44,0.09,202.23743,15.28821,53827.34601,0
1003581,1115070024576,17.61,0.1,202.23748,15.28806,53827.35631,0
1003581,1115070024576,17.42,0.1,202.2375,15.28799,53833.3382,0
1003581,1115070024576,17.42,0.1,202.23716,15.28825,53833.35741,0
1003581,1115070024576,17.52,0.1,202.23731,15.28812,53833.40901,0
1003581,1115070024576,17.61,0.11,202.23732,15.28813,53833.41831,0
1003581,1115070024576,17.57,0.1,202.23733,15.28812,53850.23345,0
1003581,1115070024576,17.63,0.1,202.23732,15.28811,53850.24057,0
1003581,1115070024576,17.64,0.1,202.23735,15.2881,53850.24757000001,0
1003581,1115070024576,17.62,0.1,202.23735,15.28814,53850.25477000001,0
1003581,1115070024576,17.5,0.09,202.23744,15.28812,53767.37757999999,0
1003581,1115070024576,17.57,0.1,202.23733,15.28811,53767.38642,0
1003581,1115070024576,17.59,0.1,202.23743,15.28818,53767.39529,0
1003581,1115070024576,17.59,0.1,202.2374,15.28816,53767.40413,0
1003581,1115070024576,17.54,0.1,202.23733,15.28813,53794.45942000001,0
1003581,1115070024576,17.68,0.1,202.23727,15.28819,53794.46504,0
1003581,1115070024576,17.54,0.1,202.23748,15.28828,53794.4706,0
1003581,1115070024576,17.65,0.1,202.2374,15.28814,53794.47615,0
1003581,1115070024576,17.6,0.1,202.23742,15.28817,53763.52217999999,0
1003581,1115070024576,17.53,0.23,202.23748,15.28806,53905.2401,0
1003581,1115070024576,17.8,0.26,202.23743,15.28799,53905.24113,0
1003581,1115070024576,17.35,0.21,202.23732,15.28786,53905.24218,0
1003581,1115070024576,17.72,0.25,202.23724,15.28802,53905.24322,0
1003581,1115070024576,17.73,0.11,202.23734,15.288,53819.31355,0
1003581,1115070024576,17.6,0.1,202.23734,15.28814,53819.32016,0
1003581,1115070024576,17.52,0.1,202.23734,15.2882,53819.32675,0
1003581,1115070024576,17.68,0.1,202.23735,15.28815,53819.33334,0
1003581,1115070024576,17.64,0.1,202.23745,15.28804,53858.26665,0
1003581,1115070024576,17.57,0.1,202.23728,15.28813,53858.27475,0
1003581,1115070024576,17.57,0.1,202.2373,15.28812,53858.28283,0
1003581,1115070024576,17.62,0.1,202.23732,15.28811,53858.29097,0
1003581,1115070024576,17.6,0.1,202.23737,15.28819,53878.26804,0
1003581,1115070024576,17.61,0.1,202.23731,15.28813,53878.27659,0
1003581,1115070024576,17.53,0.1,202.23732,15.28816,53878.28517,0
1003581,1115070024576,17.62,0.1,202.23735,15.28821,53878.29368,0
1003581,1115070024576,17.67,0.1,202.23745,15.28804,54205.27066,0
1003581,1115070024576,17.53,0.09,202.23744,15.28807,54205.27727000001,0
1003581,1115070024576,17.64,0.1,202.23739,15.28812,54205.28389,0
1003581,1115070024576,17.63,0.1,202.23738,15.28807,54205.29053,0
1003581,1115070024576,17.53,0.09,202.23741,15.28818,54214.34194,0
1003581,1115070024576,17.65,0.1,202.23739,15.28809,54214.34847999999,0
1003581,1115070024576,17.51,0.09,202.2373,15.28808,54214.355,0
1003581,1115070024576,17.58,0.1,202.23732,15.28809,54214.36152000001,0
1003581,1115070024576,17.5,0.09,202.23758,15.28817,54438.50679,0
1003581,1115070024576,17.61,0.1,202.23729,15.28813,54438.51289,0
1003581,1115070024576,17.65,0.1,202.23737,15.28818,54438.51897000001,0
1003581,1115070024576,17.55,0.09,202.23743,15.28809,54438.52502000001,0
1003581,1115070024576,17.68,0.1,202.23739,15.28817,54117.44797000001,0
1003581,1115070024576,17.59,0.09,202.23747,15.28813,54117.45498,0
1003581,1115070024576,17.64,0.1,202.23737,15.28809,54117.46197,0
1003581,1115070024576,17.69,0.1,202.23739,15.28811,54117.46894,0
1003581,1115070024576,17.62,0.1,202.23734,15.2881,54292.16737999999,0
1003581,1115070024576,17.59,0.1,202.23735,15.28804,54264.21614,0
1003581,1115070024576,17.61,0.1,202.23744,15.28801,54264.22469,0
1003581,1115070024576,17.65,0.1,202.23743,15.28806,54264.23324,0
1003581,1115070024576,17.7,0.1,202.2374,15.2881,54264.24178,0
1003581,1115070024576,17.6,0.1,202.23748,15.28804,54175.35668,0
1003581,1115070024576,17.69,0.1,202.23741,15.28814,54175.36314,0
1003581,1115070024576,17.61,0.1,202.23748,15.28804,54175.36958,0
1003581,1115070024576,17.6,0.1,202.23742,15.28809,54175.37605,0
1003581,1115070024576,17.65,0.1,202.23734,15.28809,54233.28659,0
1003581,1115070024576,17.63,0.1,202.23746,15.28805,54233.29142,0
1003581,1115070024576,17.57,0.1,202.23747,15.28816,54233.296270000006,0
1003581,1115070024576,17.57,0.1,202.23729,15.28814,54233.30108,0
1003581,1115070024576,17.68,0.1,202.23723,15.28817,54242.27413,0
1003581,1115070024576,17.52,0.1,202.2373,15.28812,54242.28136,0
1003581,1115070024576,17.51,0.1,202.23735,15.28803,54242.2886,0
1003581,1115070024576,17.69,0.1,202.23735,15.28815,54242.29587,0
1003581,1115070024576,17.65,0.1,202.23731,15.2881,54566.28177,0
1003581,1115070024576,17.68,0.1,202.23736,15.28818,54566.28606000001,0
1003581,1115070024576,17.64,0.1,202.23733,15.2881,54566.29033,0
1003581,1115070024576,17.69,0.1,202.23745,15.28811,54566.29463,0
1003581,1115070024576,17.67,0.1,202.23738,15.28822,54571.2904,0
1003581,1115070024576,17.56,0.09,202.2373,15.28825,54571.29781,0
1003581,1115070024576,17.66,0.1,202.23744,15.28822,54571.3052,0
1003581,1115070024576,17.67,0.1,202.23738,15.28804,54571.31262,0
1003581,1115070024576,17.54,0.09,202.23728,15.28819,54585.33999,0
1003581,1115070024576,17.59,0.1,202.23732,15.28812,54585.34614,0
1003581,1115070024576,17.5,0.09,202.23741,15.28809,54585.35229,0
1003581,1115070024576,17.54,0.09,202.23728,15.28813,54585.35841,0
1003581,1115070024576,17.56,0.1,202.23743,15.28812,54802.51321000001,0
1003581,1115070024576,17.68,0.1,202.23732,15.2881,54802.51766000001,0
1003581,1115070024576,17.76,0.1,202.2374,15.28814,54802.52213,0
1003581,1115070024576,17.61,0.1,202.23744,15.28813,54802.52664,0
1003581,1115070024576,17.62,0.1,202.23741,15.2882,54497.50146,0
1003581,1115070024576,17.59,0.09,202.23737,15.28821,54497.50801000001,0
1003581,1115070024576,17.57,0.09,202.23735,15.28805,54497.51448,0
1003581,1115070024576,17.67,0.1,202.23734,15.28817,54497.52097000001,0
1003581,1115070024576,17.59,0.09,202.23739,15.28819,54506.41106000001,0
1003581,1115070024576,17.59,0.09,202.23734,15.28818,54506.41963,0
1003581,1115070024576,17.55,0.09,202.23744,15.28818,54506.42814,0
1003581,1115070024576,17.64,0.1,202.23738,15.28809,54506.43666,0
1003581,1115070024576,17.58,0.09,202.23744,15.28814,54510.3627,0
1003581,1115070024576,17.55,0.09,202.23727,15.28819,54510.36916,0
1003581,1115070024576,17.64,0.1,202.23743,15.28816,54510.375620000006,0
1003581,1115070024576,17.64,0.1,202.23733,15.28815,54510.38213,0
1003581,1115070024576,17.66,0.1,202.23733,15.2881,54525.40942999999,0
1003581,1115070024576,17.55,0.09,202.23731,15.28807,54525.41659,0
1003581,1115070024576,17.61,0.1,202.2375,15.2881,54525.42376000001,0
1003581,1115070024576,17.66,0.1,202.23739,15.28813,54525.43096000001,0
1003581,1115070024576,17.62,0.1,202.23736,15.28825,54480.45965,0
1003581,1115070024576,17.59,0.09,202.23739,15.28812,54480.4668,0
1003581,1115070024576,17.61,0.09,202.23744,15.28814,54480.47396,0
1003581,1115070024576,17.67,0.1,202.23745,15.2881,54480.48111,0
1003581,1115070024576,17.63,0.1,202.23738,15.28804,54531.29547999999,0
1003581,1115070024576,17.66,0.1,202.23733,15.2881,54531.30273,0
1003581,1115070024576,17.56,0.1,202.23741,15.28805,54531.30998,0
1003581,1115070024576,17.59,0.1,202.23746,15.28806,54531.31725,0
1003581,1115070024576,17.57,0.1,202.2373,15.28819,54556.43167000001,0
1003581,1115070024576,17.49,0.09,202.23735,15.28813,54556.4388,0
1003581,1115070024576,17.64,0.1,202.23739,15.28808,54556.44598,0
1003581,1115070024576,17.58,0.1,202.23732,15.28807,54556.45316000001,0
