InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003621,1138059059613,20.73,0.41,203.44158,39.39664000000001,53796.40171000001,0
1003621,1138059059613,21.01,0.47,203.44159,39.39646,54209.35694,0
1003621,1138059059613,21.15,0.5,203.44291,39.39656,54169.38639,0
1003621,1138059059613,21.3,0.55,203.44288,39.39538,54177.32368,0
1003621,1138059059613,20.59,0.38,203.44148,39.39669,54232.3561,0
1003621,1138059059613,21.2,0.52,203.44148,39.3964,54560.42939,0
1003621,1138059059613,20.82,0.41,203.4415,39.39691,54508.34721,0
1003621,1138059059613,20.83,0.42,203.44101,39.39679,54626.26848,0
1003621,1138059059613,19.98,0.27,203.4414,39.39716,54626.28321,0
1003621,1138059059613,21.03,0.5,203.44128,39.398,54593.43707000001,0
1003621,1138059059613,20.85,0.41,203.44201,39.39573,54942.27355,0
1003621,1138059059613,20.72,0.38,203.44219,39.39569,54861.44322000001,0
1003621,1138059059613,21.12,0.48,203.44283,39.39618,54906.46524,0
1003621,1138059059613,20.29,0.32,203.44281,39.39655,55678.25387000001,0
1003621,1138059059613,20.82,0.45,203.4421,39.39685,56016.3987,0
1003621,1138059059613,21.08,0.47,203.44212,39.3981,56065.3162,0
1003621,1138059059636,19.5,0.21,203.48137,39.41452,53480.26263000001,0
1003621,1138059059636,18.95,0.16,203.48115,39.41435,53480.27917,0
1003621,1138059059636,19.69,0.23,203.4813,39.41472,53480.28762,0
1003621,1138059059636,19.23,0.19,203.48133,39.41445,53526.23333,0
1003621,1138059059636,19.3,0.19,203.4813,39.41467,53526.24156,0
1003621,1138059059636,19.09,0.17,203.4814,39.41474,53526.24973,0
1003621,1138059059636,19.24,0.19,203.48149,39.41452,53526.25791,0
1003621,1138059059636,19.36,0.2,203.48147,39.41463,53534.20125,0
1003621,1138059059636,19.08,0.17,203.48158,39.41442,53534.20999,0
1003621,1138059059636,18.95,0.16,203.4816,39.41441,53534.2187,0
1003621,1138059059636,18.57,0.14,203.48136,39.41435,53534.2275,0
1003621,1138059059636,19.87,0.34,203.48186,39.41436,53834.23007000001,0
1003621,1138059059636,18.83,0.2,203.48185,39.41472,53834.23734,0
1003621,1138059059636,18.99,0.21,203.4814,39.41478,53834.24463,0
1003621,1138059059636,18.52,0.17,203.48206,39.41448,53834.25196,0
1003621,1138059059636,19.37,0.21,203.48157,39.41446,53852.38578,0
1003621,1138059059636,18.8,0.16,203.48169,39.41437,53852.39338,0
1003621,1138059059636,19.31,0.2,203.48134,39.41458,53852.401,0
