InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003641,1104073019485,19.51,0.22,204.12784,3.69151,53494.3393,0
1003641,1104073019485,20.01,0.32,204.12781,3.69204,53832.3015,0
1003641,1104073019485,19.94,0.28,204.12857,3.69233,53844.33226,0
1003641,1104073019485,19.42,0.21,204.12723,3.69217,53786.52582,0
1003641,1104073019485,21.11,0.53,204.12831,3.69004,53856.25998,0
1003641,1104073019485,20.16,0.31,204.12864,3.69285,53856.25998,1
1003641,1104073019485,20.2,0.33,204.12786,3.69186,53876.29657000001,0
1003641,1104073019485,21.07,0.52,204.12856,3.69302,54206.2705,0
1003641,1104073019485,21.07,0.52,204.127,3.69227,54206.27652000001,0
1003641,1104073019485,19.7,0.24,204.12729,3.69276,54213.30944,0
1003641,1104073019485,21.19,0.52,204.12646,3.69285,54171.37599,0
1003641,1104073019485,20.92,0.5,204.12738,3.69235,54237.22773,0
1003641,1104073019485,20.91,0.49,204.12699,3.69183,54239.24178,0
1003641,1104073019485,19.78,0.25,204.12593,3.69295,54562.41441000001,0
1003641,1104073019485,19.89,0.26,204.12713,3.69222,54585.40111,0
1003641,1104073019485,20.58,0.36,204.12723,3.69228,54509.43171,0
1003641,1104073019485,20.12,0.28,204.12718,3.69264,54509.44469,0
1003641,1104073019485,20.49,0.34,204.12685,3.6925,54496.49101000001,0
1003641,1104073019485,20.28,0.31,204.12679,3.69192,54554.38379,0
1003641,1104073019485,21.18,0.52,204.12813,3.69249,54938.31566,0
1003641,1104073019485,20.44,0.29,204.12663,3.69229,54949.27933,0
1003641,1104073019485,20.06,0.31,204.12677,3.69289,54867.4785,0
1003641,1104073019485,21.03,0.47,204.12785,3.6917800000000014,54909.31924,0
1003641,1104073019485,19.98,0.26,204.1269,3.69192,54909.34347000001,0
1003641,1104073019485,20.71,0.33,204.12576,3.69233,54965.26444,0
1003641,1104073019485,20.45,0.3,204.12661,3.69298,54965.27205,0
1003641,1104073019485,19.54,0.19,204.12731,3.69214,54965.27966,0
1003641,1104073019485,20.31,0.27,204.12774,3.69163,54965.28727000001,0
1003641,1104073019485,21.34,0.57,204.1269,3.69235,55293.36147,0
1003641,1104073019485,21.12,0.49,204.12714,3.69241,55211.49462000001,0
1003641,1104073019485,20.38,0.33,204.12717,3.69242,55211.50386,0
1003641,1104073019485,20.07,0.29,204.12731,3.69207,55353.25477000001,0
1003641,1104073019485,21.25,0.55,204.12655,3.69322,55270.38624,0
1003641,1104073019485,20.32,0.32,204.12708,3.69206,55276.41247,0
1003641,1104073019485,20.46,0.35,204.12708,3.69213,55322.28364,0
1003641,1104073019485,21.2,0.46,204.12754,3.69177,55655.39368,0
1003641,1104073019485,19.85,0.22,204.12712,3.69212,55655.40109,0
1003641,1104073019485,20.84,0.38,204.1275,3.69224,55663.27234,0
1003641,1104073019485,19.75,0.26,204.12566,3.69204,55675.25598,0
1003641,1104073019485,20.08,0.29,204.12696,3.69237,55570.52926,0
1003641,1104073019485,20.28,0.33,204.12712,3.69227,55633.41932000001,0
1003641,1104073019485,19.91,0.18,204.12712,3.69243,55649.31876,0
1003641,1104073019485,20.56,0.26,204.12772,3.69231,55649.33173,0
1003641,1104073019485,21.12,0.49,204.12714,3.69241,55211.49462000001,0
1003641,1104073019485,20.38,0.33,204.12717,3.69242,55211.50386,0
1003641,1104073019485,20.24,0.31,204.12783,3.6925,55982.49549,0
1003641,1104073019485,21.05,0.49,204.12822,3.69232,55982.50791,0
1003641,1104073019485,20.31,0.27,204.12759,3.69135,56010.43577999999,0
1003641,1104073019485,19.68,0.21,204.12823,3.69175,56037.33377999999,0
1003641,1104073019485,21.27,0.49,204.12938,3.69064,56037.34127,0
1003641,1104073019485,20.68,0.4,204.1278,3.69217,56069.30957000001,0
1003641,1104073019485,20.56,0.37,204.12709,3.69201,56069.32319,0
1003641,1104073019485,20.79,0.43,204.12887,3.69115,56090.24841,0
1003641,1104073019485,20.26,0.32,204.12695,3.6905,56099.18556000001,0
1003641,1104073019485,19.34,0.2,204.12692,3.69214,56301.4732,0
1003641,1104073019485,19.78,0.25,204.12773,3.69249,56301.47832,0
1003641,1104073019485,19.89,0.26,204.12812,3.69228,56313.54172000001,0
1003641,1104073019485,20.11,0.29,204.12699,3.69264,56328.47391,0
1003641,1104073019485,19.97,0.27,204.12816,3.69236,56328.4812,0
1003641,1104073019485,19.84,0.25,204.12731,3.69229,56340.45748,0
1003641,1104073019485,20.69,0.4,204.12657,3.69262,56340.46427999999,0
1003641,1104073019485,20.47,0.35,204.12709,3.69131,56340.47107000001,0
1003641,1104073019485,20.39,0.34,204.12739,3.69241,56358.35525,0
1003641,1104073019485,20.06,0.29,204.1274,3.69294,56367.31121,0
1003641,1104073019485,20.57,0.44,204.12601,3.69075,56367.31916,0
1003641,1104073019485,18.87,0.16,204.128,3.69209,56367.32707000001,0
1003641,1104073019485,20.09,0.29,204.12714,3.69194,56393.31416,0
1003641,1104073019485,19.74,0.24,204.12772,3.69195,56393.31927000001,0
1003641,1104073019485,20.63,0.39,204.12812,3.69226,56393.32437,0
1003641,1104073019485,20.6,0.4,204.12832,3.69176,56424.24987000001,0
1003641,1104073019512,20.15,0.29,204.12026,3.69454,53464.36927,0
