InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003761,1146052023612,20.66,0.38,208.02424,46.49358,54172.35602000001,0
1003761,1146052023612,20.96,0.46,208.02464,46.49517,54628.26046000001,0
1003761,1146052023612,20.58,0.36,208.02365,46.49396,54943.35638,0
1003761,1146052023612,21.26,0.56,208.02514,46.49462,55005.27353,0
1003761,1146052023612,20.22,0.33,208.02397,46.49432,54892.34526,0
1003761,1146052023612,21.52,0.7,208.02443,46.49424000000001,54892.36364,0
1003761,1146052023612,19.75,0.24,208.02621,46.49318,54916.45292999999,0
1003761,1146052023612,20.18,0.3,208.02488,46.49345,55297.27213,0
1003761,1146052023612,20.7,0.4,208.02395,46.49429,55297.28771,0
1003761,1146052023612,20.16,0.3,208.02478,46.49397,56397.37515,0
1003761,1146052023670,20.05,0.28,208.06354,46.4936,53799.37653,0
1003761,1146052023670,20.63,0.39,208.06366,46.4932,53799.38419,0
1003761,1146052023670,19.69,0.24,208.06369,46.49327,53799.39197,0
1003761,1146052023670,19.7,0.25,208.0632,46.49375,53883.2105,0
1003761,1146052023670,19.97,0.28,208.0644,46.49473,54202.47975,0
1003761,1146052023670,19.96,0.27,208.06334,46.49269,54209.46196,0
1003761,1146052023670,19.66,0.22,208.06433,46.49427,54172.365999999995,0
1003761,1146052023670,20.48,0.38,208.06348,46.49327,54239.28202000001,0
1003761,1146052023670,20.99,0.51,208.06366,46.49325,54239.29154,0
1003761,1146052023670,20.13,0.29,208.06339,46.49394,54943.35096,0
1003761,1146052023670,20.56,0.36,208.06297,46.4941,54943.35638,0
1003761,1146052023670,20.47,0.34,208.06409,46.49341,54943.36173,0
1003761,1146052023670,19.17,0.17,208.06315,46.49329,54862.40066,0
1003761,1146052023670,20.57,0.4,208.06258,46.49331,54892.36364,0
1003761,1146052023670,20.42,0.37,208.06238,46.49364,54892.3731,0
1003761,1146052023670,19.74,0.24,208.06365,46.4936,54916.46412,0
1003761,1146052023670,19.57,0.22,208.0628,46.49403,54969.27827,0
1003761,1146052023670,20.2,0.31,208.06416,46.4935,54969.29057999999,0
1003761,1146052023670,21.21,0.55,208.06298,46.49338,54969.29676000001,0
1003761,1146052023670,20.35,0.33,208.0627,46.49293,55297.27976000001,0
1003761,1146052023670,20.51,0.43,208.06445,46.49349,55281.31427,0
1003761,1146052023670,20.29,0.31,208.06339,46.49322,55321.38692,0
1003761,1146052023670,20.54,0.36,208.06425,46.49299,55321.39152999999,0
1003761,1146052023670,19.77,0.24,208.06259,46.4927,55321.39617000001,0
1003761,1146052023670,19.56,0.22,208.06415,46.49369,55678.25215,0
1003761,1146052023670,20.4,0.34,208.06377,46.49348,56018.25101,0
1003761,1146052023670,20.72,0.41,208.06278,46.49285,56018.27499,0
1003761,1146052023670,20.88,0.45,208.06329,46.49285,56044.32749,0
1003761,1146052023670,20.25,0.33,208.06331,46.49371,56449.2878,0
1003761,1146052023670,20.89,0.47,208.06432,46.4941,56449.29675,0
1003761,1146052023674,21.28,0.57,208.04665,46.49815,54209.47291,0
1003761,1146052023674,20.57,0.36,208.04422,46.49698,54943.36173,0
1003761,1146052023674,21.51,0.63,208.04604,46.49724000000001,55297.29582000001,0
1003761,1146052023674,20.22,0.31,208.04535,46.49776,55678.24072,0
1003761,1146052023674,20.15,0.31,208.0449,46.49741,55721.2395,0
1003761,1146052023696,19.92,0.26,208.05616,46.4964,53799.38419,0
1003761,1146052023696,21.33,0.58,208.05596,46.49653,53799.39197,0
1003761,1146052023696,20.04,0.3,208.05591,46.4959,53883.22371000001,0
1003761,1146052023696,20.42,0.33,208.05579,46.49636,54172.35602000001,0
1003761,1146052023696,21.43,0.6,208.05511,46.49649,54943.35096,0
1003761,1146052023696,20.1,0.28,208.05597,46.4964,54862.37306000001,0
1003761,1146052023696,21.08,0.54,208.05548,46.49637,54892.36364,0
1003761,1146052023696,20.58,0.41,208.05544,46.49614,54892.3731,0
1003761,1146052023696,20.73,0.4,208.05541,46.496,55297.27213,0
1003761,1146052023696,20.18,0.3,208.05559,46.4965,55297.28771,0
1003761,1146052023696,20.34,0.33,208.05494,46.4962,56044.30515,0
1003761,1146052023787,17.86,0.12,208.03174,46.49798,53531.2482,0
1003761,1146052023787,17.93,0.12,208.03182,46.49797,53531.25607,0
1003761,1146052023787,17.78,0.11,208.03174,46.49801,53531.26404,0
1003761,1146052023787,17.76,0.11,208.03172,46.49794,53531.27184,0
1003761,1146052023787,17.69,0.14,208.03187,46.49808,53769.48483,0
1003761,1146052023787,17.92,0.14,208.03196,46.49805,53769.49311,0
1003761,1146052023787,17.54,0.13,208.03172,46.4981,53769.50144,0
1003761,1146052023787,17.69,0.12,208.03192,46.49792,53769.50996,0
1003761,1146052023787,17.57,0.25,208.03158,46.4976,53901.30484,0
1003761,1146052023787,17.67,0.26,208.03154,46.49777,53901.30594,0
1003761,1146052023787,17.83,0.29,208.03147,46.49778,53901.30706,0
1003761,1146052023787,17.68,0.27,208.0314,46.49779,53901.30817999999,0
1003761,1146052023787,17.8,0.1,208.03169,46.49804,53799.37653,0
1003761,1146052023787,17.84,0.11,208.03181,46.49802,53799.38419,0
1003761,1146052023787,17.77,0.1,208.03166,46.49795,53799.39197,0
1003761,1146052023787,17.78,0.1,208.03183,46.49802,53799.39971000001,0
1003761,1146052023787,17.68,0.1,208.03164,46.49805,53883.2105,0
1003761,1146052023787,17.71,0.1,208.03172,46.49800000000001,53883.21716,0
1003761,1146052023787,17.8,0.11,208.0317,46.49802,53883.22371000001,0
1003761,1146052023787,17.65,0.1,208.03154,46.49813,53883.23026,0
1003761,1146052023787,17.75,0.1,208.03159,46.49808,54202.47431000001,0
1003761,1146052023787,17.83,0.11,208.03171,46.49803,54202.47975,0
1003761,1146052023787,17.69,0.1,208.03183,46.49791,54202.48514,0
1003761,1146052023787,17.74,0.1,208.03181,46.49803,54202.49055,0
1003761,1146052023787,17.73,0.1,208.03154,46.49807,54209.46196,0
1003761,1146052023787,17.78,0.1,208.03171,46.49793,54209.46741000001,0
1003761,1146052023787,17.81,0.11,208.03164,46.49800000000001,54209.47291,0
1003761,1146052023787,17.71,0.1,208.0317,46.49802,54209.47837999999,0
1003761,1146052023787,17.71,0.1,208.03181,46.49803,54138.42529,0
1003761,1146052023787,17.65,0.1,208.03179,46.49808,54138.42966,0
1003761,1146052023787,17.63,0.1,208.03175,46.49794,54138.43397000001,0
1003761,1146052023787,17.64,0.1,208.03168,46.49793,54138.43831000001,0
1003761,1146052023787,17.72,0.1,208.0318,46.49805,54270.25704,0
1003761,1146052023787,17.7,0.1,208.03163,46.49807,54270.26577000001,0
1003761,1146052023787,17.83,0.11,208.03188,46.49796,54270.27451,0
1003761,1146052023787,17.73,0.1,208.03172,46.49798,54270.28322000001,0
1003761,1146052023787,17.7,0.1,208.03178,46.49789000000001,54279.26598,0
1003761,1146052023787,17.55,0.1,208.03162,46.49800000000001,54279.27032,0
1003761,1146052023787,17.66,0.1,208.03165,46.49789000000001,54279.27462999999,0
1003761,1146052023787,17.7,0.1,208.03176,46.49793,54279.27896,0
1003761,1146052023787,17.81,0.1,208.03173,46.49797,54172.35105,0
1003761,1146052023787,17.78,0.1,208.0318,46.49804,54172.35602000001,0
1003761,1146052023787,17.76,0.1,208.03165,46.49803,54172.361,0
1003761,1146052023787,17.85,0.1,208.03172,46.49804,54172.365999999995,0
1003761,1146052023787,17.88,0.11,208.0318,46.49798,54239.27246,0
1003761,1146052023787,17.76,0.11,208.03183,46.49802,54239.28202000001,0
1003761,1146052023787,17.83,0.11,208.0317,46.49797,54239.29154,0
1003761,1146052023787,17.77,0.11,208.03168,46.49806,54239.301020000006,0
1003761,1146052023787,17.78,0.1,208.03174,46.49805,54628.26046000001,0
1003761,1146052023787,17.7,0.1,208.03164,46.49816,54628.2654,0
1003761,1146052023787,17.96,0.11,208.03183,46.49813,54628.27036,0
1003761,1146052023787,17.45,0.09,208.03206,46.49793,54628.27532000001,0
1003761,1146052023787,17.8,0.1,208.03165,46.49794,54943.34549,0
1003761,1146052023787,17.82,0.1,208.0316,46.49802,54943.35096,0
1003761,1146052023787,17.88,0.1,208.03154,46.49801,54943.35638,0
1003761,1146052023787,17.82,0.1,208.03167,46.49795,54943.36173,0
1003761,1146052023787,17.68,0.12,208.03182,46.49792,55061.133,0
1003761,1146052023787,17.87,0.13,208.03182,46.49804,55061.13871,0
1003761,1146052023787,17.66,0.12,208.03147,46.49784,55061.14459,0
1003761,1146052023787,17.68,0.12,208.03158,46.49804,55061.15045,0
1003761,1146052023787,17.77,0.1,208.03168,46.49799,54862.37306000001,0
1003761,1146052023787,17.78,0.1,208.03169,46.4981,54862.38224,0
1003761,1146052023787,17.68,0.1,208.03173,46.49798,54862.39144,0
1003761,1146052023787,17.75,0.1,208.03175,46.49800000000001,54862.40066,0
1003761,1146052023787,17.74,0.12,208.03174,46.49797,55043.15665,0
1003761,1146052023787,17.73,0.12,208.03168,46.49815,55043.16156,0
1003761,1146052023787,17.53,0.11,208.03179,46.49791,55043.16653,0
1003761,1146052023787,17.91,0.13,208.03142,46.49791,55043.17152,0
1003761,1146052023787,17.66,0.1,208.03162,46.49802,55005.25171,0
1003761,1146052023787,17.68,0.1,208.0317,46.49793,55005.25897,0
1003761,1146052023787,17.79,0.1,208.03168,46.49807,55005.26625,0
1003761,1146052023787,17.85,0.11,208.03163,46.49800000000001,55005.27353,0
1003761,1146052023787,17.78,0.11,208.03163,46.49801,54892.34526,0
1003761,1146052023787,17.77,0.11,208.03181,46.49792,54892.35435,0
1003761,1146052023787,17.76,0.11,208.03186,46.49796,54892.36364,0
1003761,1146052023787,17.85,0.11,208.03175,46.49803,54892.3731,0
