InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003801,1123069018008,19.22,0.2,209.54126,23.43608,53470.32346,0
1003801,1123069018008,19.3,0.21,209.54099,23.43611,53470.33163,0
1003801,1123069018008,19.34,0.21,209.54102,23.43609,53470.33981000001,0
1003801,1123069018008,19.28,0.21,209.54113,23.43627,53470.34792,0
1003801,1123069018008,18.87,0.16,209.54109,23.43609,53490.29863000001,0
1003801,1123069018008,19.32,0.19,209.54106,23.43611,53490.30787,0
1003801,1123069018008,19.07,0.17,209.5411,23.43642,53490.3171,0
1003801,1123069018008,19.07,0.17,209.54129,23.43623,53490.32638,0
1003801,1123069018008,19.29,0.2,209.54094,23.43616,53557.19476000001,0
1003801,1123069018008,19.54,0.23,209.54121,23.43609,53557.20077,0
1003801,1123069018008,19.02,0.18,209.54114,23.43605,53557.20673,0
1003801,1123069018008,19.27,0.2,209.54116,23.43608,53557.21267,0
1003801,1123069018008,18.0,0.13,209.54067,23.4361,53567.17594,0
1003801,1123069018008,19.77,0.29,209.54082,23.43609,53567.19109,0
1003801,1123069018008,19.29,0.23,209.54085,23.43818,53567.19109,1
1003801,1123069018008,19.79,0.29,209.54068,23.43612000000001,53567.19867,0
1003801,1123069018008,18.88,0.16,209.54104,23.43612000000001,53551.19906,0
1003801,1123069018008,18.74,0.15,209.5411,23.43638,53551.20705,0
1003801,1123069018008,19.17,0.19,209.54101,23.43598,53551.21515,0
1003801,1123069018008,19.26,0.2,209.5411,23.43619,53551.22319,0
1003801,1123069018008,19.23,0.21,209.54118,23.4363,53506.25409,0
1003801,1123069018008,19.09,0.2,209.54131,23.43594,53506.26174,0
1003801,1123069018008,18.87,0.17,209.54082,23.43637,53506.26943,0
1003801,1123069018008,18.95,0.18,209.54114,23.43591,53506.27712,0
1003801,1123069018008,18.6,0.18,209.54124,23.43608,53834.44037,0
1003801,1123069018008,18.77,0.2,209.5411,23.43624,53834.444,0
1003801,1123069018008,19.07,0.23,209.54105,23.43625,53834.44761,0
1003801,1123069018008,19.13,0.24,209.54112,23.43615,53834.45123,0
1003801,1123069018008,18.8,0.16,209.54124,23.43611,53851.19266,0
1003801,1123069018008,18.38,0.13,209.54196,23.43565,53851.20211000001,0
1003801,1123069018008,18.91,0.17,209.54125,23.43592,53851.21165,0
1003801,1123069018008,18.74,0.16,209.54088,23.4362,53851.22116,0
1003801,1123069018008,18.99,0.17,209.54114,23.43622,53793.48776,0
1003801,1123069018008,19.18,0.19,209.54108,23.43611,53793.49497000001,0
1003801,1123069018008,18.62,0.14,209.54205,23.4357,53793.50222,0
1003801,1123069018008,18.86,0.16,209.54117,23.43618,53793.5095,0
1003801,1123069018008,19.27,0.24,209.54117,23.43603,53803.37186,0
1003801,1123069018008,18.92,0.2,209.54115,23.43616,53803.37886,0
1003801,1123069018008,19.26,0.24,209.54139,23.43616,53803.38587000001,0
1003801,1123069018008,18.9,0.17,209.54126,23.43606,53819.36987,0
1003801,1123069018008,18.86,0.17,209.54102,23.43617,53819.37874,0
1003801,1123069018008,19.23,0.22,209.54088,23.43621,53819.38779,0
1003801,1123069018008,18.91,0.17,209.54106,23.43609,53819.39665,0
1003801,1123069018008,18.69,0.15,209.54097,23.43621,53859.25055,0
1003801,1123069018008,18.98,0.18,209.54099,23.43614,53859.26157,0
1003801,1123069018008,19.02,0.18,209.5408,23.43598,53859.26816,0
1003801,1123069018008,19.14,0.19,209.54128,23.43602000000001,53859.27459,0
1003801,1123069018008,18.45,0.14,209.5409,23.43634,53878.37982,0
1003801,1123069018008,18.95,0.18,209.54101,23.43633,53878.38477999999,0
1003801,1123069018008,19.04,0.18,209.54111,23.43633,53878.38969,0
1003801,1123069018008,18.98,0.18,209.54097,23.43614,53878.39459,0
1003801,1123069018008,18.85,0.16,209.54106,23.4362,54204.28517,0
1003801,1123069018008,18.64,0.14,209.54093,23.43617,54204.29207999999,0
1003801,1123069018008,19.09,0.17,209.54115,23.43613,54204.29902000001,0
1003801,1123069018008,18.94,0.16,209.54106,23.43631,54204.30594,0
1003801,1123069018008,19.0,0.17,209.54144,23.43616,54437.50508,0
1003801,1123069018008,19.46,0.21,209.54098,23.43593,54437.50837999999,0
1003801,1123069018008,18.89,0.16,209.5413,23.43622,54437.51167000001,0
1003801,1123069018008,18.99,0.17,209.54115,23.43638,54437.51496,0
1003801,1123069018008,18.92,0.17,209.54113,23.43623,54257.20457,0
1003801,1123069018008,19.13,0.2,209.54096,23.43621,54257.21128,0
1003801,1123069018008,18.51,0.15,209.54105,23.43634,54257.21799,0
1003801,1123069018008,18.39,0.13,209.54107,23.43623,54257.22474,0
1003801,1123069018008,18.91,0.16,209.54095,23.43599,54276.22077000001,0
1003801,1123069018008,19.25,0.19,209.54101,23.43587,54276.22832,0
1003801,1123069018008,19.24,0.19,209.54059,23.43616,54276.23591,0
1003801,1123069018008,18.86,0.16,209.54098,23.43612000000001,54276.24352,0
1003801,1123069018008,18.7,0.15,209.54082,23.4361,54169.49235,0
1003801,1123069018008,18.79,0.15,209.5412,23.43629,54169.49931,0
1003801,1123069018008,18.96,0.16,209.54118,23.43632,54169.5063,0
1003801,1123069018008,18.75,0.15,209.54108,23.43602000000001,54169.51329,0
1003801,1123069018008,18.3,0.12,209.54118,23.43605,54175.3212,0
1003801,1123069018008,19.01,0.16,209.54096,23.43621,54175.32919,0
1003801,1123069018008,18.89,0.16,209.54128,23.43627,54175.33725,0
1003801,1123069018008,18.85,0.16,209.54117,23.43612000000001,54175.34525,0
1003801,1123069018008,18.68,0.15,209.54114,23.43614,54230.29681,0
1003801,1123069018008,18.81,0.16,209.54119,23.4362,54230.30334,0
1003801,1123069018008,18.66,0.15,209.54107,23.4362,54230.30981,0
1003801,1123069018008,19.27,0.19,209.54099,23.43613,54230.31627,0
1003801,1123069018008,18.56,0.14,209.54127,23.43615,54236.28895,0
1003801,1123069018008,18.86,0.16,209.54117,23.43611,54236.29592,0
1003801,1123069018008,18.67,0.15,209.54119,23.43618,54236.30291000001,0
1003801,1123069018008,18.74,0.16,209.54102,23.43624,54236.3099,0
1003801,1123069018008,18.62,0.14,209.54117,23.43616,54245.24197,0
1003801,1123069018008,19.02,0.17,209.5411,23.43579,54245.25117999999,0
1003801,1123069018008,18.66,0.15,209.54117,23.43615,54245.2604,0
1003801,1123069018008,18.56,0.14,209.54096,23.43617,54245.26976,0
1003801,1123069018008,19.14,0.18,209.54099,23.43636,54557.40054,0
1003801,1123069018008,19.42,0.2,209.54095,23.43611,54557.40918,0
1003801,1123069018008,19.08,0.17,209.54108,23.43618,54557.418,0
1003801,1123069018008,19.11,0.17,209.54096,23.43624,54557.42663,0
1003801,1123069018008,19.18,0.18,209.54122,23.43618,54564.32125,0
1003801,1123069018008,19.06,0.17,209.54116,23.43627,54564.32972,0
1003801,1123069018008,19.08,0.17,209.54111,23.43639,54564.33816,0
1003801,1123069018008,19.16,0.18,209.54101,23.4362,54564.34661,0
1003801,1123069018008,18.73,0.15,209.54121,23.43623,54571.25745,0
1003801,1123069018008,19.19,0.18,209.54115,23.43614,54571.26504,0
1003801,1123069018008,19.35,0.2,209.54114,23.4361,54571.27262999999,0
1003801,1123069018008,19.33,0.19,209.54102,23.43588,54571.28023,0
1003801,1123069018008,19.35,0.2,209.54096,23.43612000000001,54585.2517,0
1003801,1123069018008,18.9,0.16,209.54103,23.43607,54585.25959,0
1003801,1123069018008,19.23,0.18,209.5411,23.43599,54585.26746,0
1003801,1123069018008,19.15,0.18,209.54103,23.43601,54585.27534,0
1003801,1123069018008,19.36,0.23,209.54114,23.43623,54807.50983,0
1003801,1123069018008,19.48,0.24,209.54111,23.43615,54807.51469,0
1003801,1123069018008,19.46,0.23,209.54103,23.43606,54807.51959,0
1003801,1123069018008,19.15,0.2,209.54156,23.43607,54807.52447,0
1003801,1123069018008,18.95,0.16,209.541,23.43613,54497.47542,0
1003801,1123069018008,19.21,0.18,209.54107,23.43617,54497.48148,0
1003801,1123069018008,19.18,0.18,209.54108,23.4362,54497.4877,0
1003801,1123069018008,19.22,0.18,209.54114,23.43624,54497.49375,0
1003801,1123069018008,19.27,0.2,209.54131,23.43625,54507.42953,0
1003801,1123069018008,19.4,0.2,209.54102,23.43638,54507.43807,0
1003801,1123069018008,19.21,0.2,209.5411,23.43627,54507.4466,0
1003801,1123069018008,19.91,0.33,209.54068,23.43607,54507.45507999999,0
1003801,1123069018008,18.88,0.16,209.54098,23.43606,54514.44501,0
1003801,1123069018008,19.32,0.19,209.54084,23.43618,54514.45102000001,0
1003801,1123069018008,19.58,0.22,209.54112,23.43613,54514.457,0
1003801,1123069018008,19.27,0.19,209.54126,23.43604,54514.46298,0
1003801,1123069018008,19.67,0.23,209.54103,23.43623,54625.28687,0
1003801,1123069018008,19.44,0.21,209.54079,23.43621,54625.29397000001,0
1003801,1123069018008,19.1,0.18,209.54108,23.43625,54625.3011,0
1003801,1123069018008,19.43,0.21,209.54088,23.43604,54625.30823,0
1003801,1123069018008,19.06,0.18,209.54095,23.43607,54641.2744,0
1003801,1123069018008,19.38,0.21,209.54099,23.4364,54641.28091,0
1003801,1123069018008,19.26,0.2,209.54103,23.43637,54641.28744,0
1003801,1123069018008,19.12,0.19,209.54095,23.43592,54641.29395,0
1003801,1123069018008,18.83,0.15,209.54082,23.43625,54527.38914,0
1003801,1123069018008,19.27,0.19,209.54132,23.43607,54527.39723,0
1003801,1123069018008,19.11,0.17,209.54129,23.43607,54527.4053,0
1003801,1123069018008,18.77,0.15,209.5413,23.43629,54527.41341,0
1003801,1123069018008,20.18,0.36,209.54105,23.43611,54537.40019,0
1003801,1123069018008,19.25,0.2,209.54108,23.43624,54537.40929,0
1003801,1123069018008,19.0,0.2,209.54091,23.43622,54537.41515,0
1003801,1123069018008,19.11,0.19,209.5412,23.43629,54537.42189,0
1003801,1123069018008,18.92,0.16,209.54103,23.43606,54592.3178,0
1003801,1123069018008,19.14,0.18,209.54108,23.43615,54593.2697,0
1003801,1123069018008,19.28,0.19,209.54107,23.43608,54593.27616,0
1003801,1123069018008,19.21,0.19,209.54094,23.43612000000001,54593.28257,0
1003801,1123069018008,19.21,0.19,209.54114,23.43607,54593.289000000004,0
1003801,1123069018008,19.65,0.24,209.54134,23.43635,54599.16322,0
1003801,1123069018008,19.64,0.24,209.54138,23.43625,54599.16971,0
1003801,1123069018008,19.69,0.24,209.54099,23.43589,54599.17622,0
1003801,1123069018008,19.5,0.22,209.54068,23.43612000000001,54599.18269,0
1003801,1123069018008,20.43,0.36,209.54128,23.43648,54715.1161,0
1003801,1123069018008,18.85,0.16,209.54147,23.43647,54715.12094,0
1003801,1123069018008,19.87,0.27,209.54129,23.43596,54715.12632,0
1003801,1123069018008,19.4,0.21,209.54102,23.43627,54715.13116,0
1003801,1123069018008,19.54,0.27,209.54114,23.43613,54944.35321,0
1003801,1123069018008,18.99,0.17,209.54103,23.43621,54944.36205,0
1003801,1123069018008,19.06,0.17,209.54119,23.43622,54944.371,0
1003801,1123069018008,18.86,0.16,209.54115,23.43619,54944.37991,0
1003801,1123069018008,18.79,0.17,209.54094,23.43606,54884.36852,0
1003801,1123069018008,19.3,0.23,209.54151,23.43615,54884.37452000001,0
1003801,1123069018008,18.84,0.19,209.54117,23.43636,54884.38053,0
1003801,1123069018008,19.12,0.17,209.54111,23.43622,54861.39613,0
1003801,1123069018008,19.29,0.19,209.5411,23.43615,54861.40785,0
1003801,1123069018008,19.49,0.21,209.54113,23.43623,54861.4195,0
1003801,1123069018008,18.54,0.13,209.54118,23.43612000000001,54861.43106,0
1003801,1123069018008,18.74,0.15,209.54066,23.43621,55017.19063,0
1003801,1123069018008,19.15,0.18,209.54103,23.43647,55017.19676,0
1003801,1123069018008,18.52,0.14,209.54062,23.43614,55017.20282000001,0
1003801,1123069018008,18.97,0.17,209.54082,23.43611,55017.20892999999,0
1003801,1123069018008,18.96,0.16,209.54089,23.43626,54999.17215,0
1003801,1123069018008,19.07,0.17,209.54097,23.43635,54999.17758,0
1003801,1123069018008,19.08,0.17,209.54108,23.43617,54999.18306,0
1003801,1123069018008,19.01,0.17,209.54114,23.43627,54999.18841,0
1003801,1123069018008,19.3,0.18,209.54089,23.43616,54893.40866,0
1003801,1123069018008,19.26,0.18,209.54093,23.43618,54893.41534,0
1003801,1123069018008,19.24,0.18,209.54104,23.43613,54893.42214,0
1003801,1123069018008,19.07,0.17,209.54113,23.43619,54893.42879,0
1003801,1123069018008,19.24,0.18,209.541,23.43629,54909.41827,0
1003801,1123069018008,19.35,0.19,209.54107,23.43626,54909.42752000001,0
1003801,1123069018008,19.2,0.18,209.54111,23.43615,54909.43684,0
1003801,1123069018008,19.03,0.16,209.54116,23.43596,54909.4461,0
1003801,1123069018008,18.97,0.16,209.5411,23.43623,54918.30681,0
1003801,1123069018008,19.34,0.19,209.54126,23.43612000000001,54918.31226,0
1003801,1123069018008,18.77,0.15,209.54111,23.43616,54918.31776000001,0
1003801,1123069018008,18.98,0.16,209.54127,23.43606,54918.32317999999,0
1003801,1123069018008,18.88,0.16,209.54096,23.43622,54964.29979,0
1003801,1123069018008,18.9,0.16,209.54114,23.43623,54964.3064,0
1003801,1123069018008,19.23,0.19,209.54104,23.43623,54964.31307,0
1003801,1123069018008,19.14,0.18,209.5411,23.43622,54964.31974,0
1003801,1123069018008,18.89,0.16,209.54106,23.43628,54981.33144,0
1003801,1123069018008,19.19,0.19,209.54092,23.43626,54981.3496,0
1003801,1123069018008,18.99,0.17,209.5412,23.4363,55292.41087000001,0
1003801,1123069018008,19.02,0.17,209.54094,23.43613,55292.41716000001,0
1003801,1123069018008,18.69,0.15,209.5412,23.43613,55292.42356,0
1003801,1123069018008,18.7,0.15,209.54126,23.4363,55292.42996,0
1003801,1123069018008,18.94,0.16,209.54101,23.43599,55301.30018,0
1003801,1123069018008,18.84,0.15,209.54104,23.43632,55301.30591,0
1003801,1123069018008,19.16,0.18,209.5409,23.43621,55301.31167,0
1003801,1123069018008,18.87,0.16,209.54076,23.43604,55301.31741,0
1003801,1123069018008,18.66,0.15,209.54131,23.43611,55242.43469,0
1003801,1123069018008,18.95,0.16,209.54093,23.43599,55242.44352000001,0
1003801,1123069018008,19.08,0.17,209.54111,23.43609,55242.45229,0
1003801,1123069018008,18.98,0.17,209.5409,23.43605,55242.46105,0
1003801,1123069018008,18.94,0.17,209.54085,23.43616,55350.26909,0
