InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003841,1009075019830,20.14,0.31,211.2233,-10.42783,53740.53221000001,0
1003841,1009075019830,20.46,0.36,211.22352,-10.42766,55320.25472999999,0
1003841,1009075019830,20.73,0.36,211.22316,-10.42746,55600.44159,0
1003841,1009075019830,20.95,0.5,211.22365,-10.42704,55633.43887000001,0
1003841,1009075019830,20.86,0.47,211.22336,-10.42706,56033.31589,0
1003841,1009075019839,18.55,0.14,211.22156,-10.42662,53753.5008,0
1003841,1009075019839,20.4,0.35,211.2213,-10.42641,54197.36955,0
1003841,1009075019839,20.09,0.31,211.22095,-10.42627,54213.33213,0
1003841,1009075019839,19.2,0.16,211.22168,-10.42662,54536.46172000001,0
1003841,1009075019839,21.08,0.42,211.22075,-10.42613,54536.46958,0
1003841,1009075019839,20.42,0.29,211.22085,-10.42628,54536.48539,0
1003841,1009075019839,21.13,0.43,211.22316,-10.42701,54536.48539,1
1003841,1009075019839,20.18,0.31,211.22185,-10.42715,54591.27139,0
1003841,1009075019839,19.7,0.24,211.2206,-10.4261,55185.52847999999,0
1003841,1009075019839,20.02,0.28,211.22312,-10.42712,54982.22371000001,0
1003841,1009075019839,19.92,0.27,211.22218,-10.42697,55291.38564,0
1003841,1009075019839,20.62,0.4,211.22062000000003,-10.42651,55348.18151,0
1003841,1009075019839,20.45,0.36,211.22308,-10.42731,55320.26112999999,0
1003841,1009075019839,21.01,0.5,211.22085,-10.42672,55332.24469,0
1003841,1009075019839,21.14,0.45,211.22235,-10.42727,55600.44789,0
1003841,1009075019839,20.19,0.32,211.22088,-10.42599,55563.53197,0
1003841,1009075019839,20.13,0.34,211.22279,-10.42647,55713.19687000001,0
1003841,1009075019839,20.73,0.5,211.22322000000003,-10.42676,55713.20089,0
1003841,1009075019839,19.98,0.3,211.22088,-10.42562,55688.25477000001,0
1003841,1009075019839,20.0,0.3,211.22102,-10.42683,55688.25996,0
1003841,1009075019839,18.8,0.17,211.22184,-10.42677,55980.49969,0
1003841,1009075019839,20.23,0.35,211.22107000000003,-10.4257,56423.27294,0
1003841,1009075019839,20.94,0.51,211.2219,-10.42671,56428.25497,0
1003841,1009075019898,17.39,0.09,211.23072,-10.43453,53734.52027000001,0
1003841,1009075019898,17.37,0.09,211.23072,-10.43473,53734.52608,0
1003841,1009075019898,17.5,0.1,211.23081,-10.4345,53734.53185,0
1003841,1009075019898,17.42,0.09,211.23077,-10.43473,53734.53773,0
1003841,1009075019898,17.48,0.1,211.2309,-10.43458,53555.19379,0
