InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003901,1104077044539,19.92,0.27,213.88352000000003,4.67762,53799.42079,0
1003901,1104077044539,19.43,0.21,213.88448,4.6775,53799.44638,0
1003901,1104077044539,20.34,0.34,213.88408,4.67762,53856.28917999999,0
1003901,1104077044539,21.03,0.52,213.88432000000003,4.67818,53876.27309,0
1003901,1104077044539,20.29,0.35,213.88432000000003,4.67738,53876.28163,0
1003901,1104077044539,19.45,0.22,213.88434,4.67729,53876.29017000001,0
1003901,1104077044539,20.64,0.4,213.88426,4.67779,54213.33435,0
1003901,1104077044539,21.31,0.55,213.88381,4.67703,54129.50484,0
1003901,1104077044539,20.05,0.29,213.88405,4.6775,54269.20537999999,0
1003901,1104077044539,20.28,0.31,213.88441,4.67748,54172.39566,0
1003901,1104077044539,20.95,0.47,213.88427,4.6775,54562.43382000001,0
1003901,1104077044539,21.17,0.52,213.88456,4.67755,54568.41236,0
1003901,1104077044539,20.16,0.29,213.88396,4.67756,54568.41793,0
1003901,1104077044539,20.47,0.34,213.88547000000003,4.6772800000000005,54497.52926,0
1003901,1104077044539,20.47,0.34,213.88433,4.67751,54510.46331,0
1003901,1104077044539,20.62,0.32,213.88404,4.67741,54624.26583,0
1003901,1104077044539,21.13,0.42,213.8844,4.6776300000000015,54587.28141,0
1003901,1104077044539,21.28,0.46,213.88404,4.67739,54587.29222,0
1003901,1104077044539,20.11,0.28,213.88365,4.67794,54939.34086,0
1003901,1104077044539,20.07,0.28,213.88459,4.67735,54939.34688,0
1003901,1104077044539,19.9,0.26,213.88424,4.67748,54948.33289,0
1003901,1104077044539,19.26,0.19,213.88315,4.67783,54948.3571,0
1003901,1104077044539,19.94,0.26,213.88373,4.67741,54909.32161,0
1003901,1104077044539,20.22,0.31,213.88461,4.67775,54975.24752999999,0
1003901,1104077044539,20.14,0.3,213.88267,4.67784,54975.26066,0
1003901,1104077044539,19.95,0.27,213.88411,4.67745,54975.26716,0
1003901,1104077044539,20.34,0.33,213.88407,4.67734,55295.305770000006,0
1003901,1104077044539,20.34,0.33,213.88456,4.67721,55295.31152,0
1003901,1104077044539,20.24,0.3,213.88357,4.67734,55211.54146,0
1003901,1104077044539,21.02,0.48,213.88342000000003,4.67909,55350.20907,0
1003901,1104077044539,20.87,0.49,213.88444,4.67697,55350.22955,0
1003901,1104077044539,19.98,0.27,213.88371,4.6775699999999985,55270.4437,0
1003901,1104077044539,19.55,0.22,213.88408,4.67746,55276.44337000001,0
1003901,1104077044539,20.69,0.39,213.8842,4.67807,55322.29705,0
1003901,1104077044539,19.68,0.23,213.88374,4.677969999999998,55322.30858,0
1003901,1104077044539,19.39,0.2,213.88437,4.67767,55338.30452000001,0
1003901,1104077044539,20.56,0.32,213.8842,4.67784,55656.39442,0
1003901,1104077044539,19.95,0.32,213.88416,4.67787,55675.30518,0
1003901,1104077044539,19.71,0.24,213.88413,4.67759,55570.54324,0
1003901,1104077044539,20.7,0.43,213.88549,4.67749,55634.38087000001,0
1003901,1104077044539,20.86,0.47,213.8841,4.678,55634.40847,0
1003901,1104077044539,20.2,0.36,213.88385,4.67782,55694.33119,0
1003901,1104077044539,20.73,0.44,213.88414,4.67734,54241.38015,0
1003901,1104077044539,19.38,0.2,213.88438,4.6776800000000005,55338.30452000001,0
1003901,1104077044539,19.83,0.25,213.88243,4.67744,55926.53007000001,0
1003901,1104077044539,20.4,0.34,213.88431,4.67752,55982.50565,0
1003901,1104077044539,20.11,0.29,213.88341,4.67815,55988.39423,0
1003901,1104077044539,19.67,0.23,213.88414,4.67736,56003.3791,0
1003901,1104077044539,20.35,0.34,213.88418,4.6775,56013.40549,0
1003901,1104077044539,20.88,0.46,213.8839,4.67732,56013.41057000001,0
1003901,1104077044539,20.33,0.33,213.88427,4.67791,56033.28499,0
1003901,1104077044539,20.11,0.3,213.88443,4.6772300000000016,56033.29014,0
1003901,1104077044539,20.2,0.27,213.8834,4.67778,56037.3872,0
1003901,1104077044539,20.95,0.46,213.88401,4.6773099999999985,56059.29541,0
1003901,1104077044539,20.0,0.27,213.88428,4.67773,56098.23199,0
1003901,1104077044539,20.1,0.29,213.88399,4.67775,56098.24112000001,0
1003901,1104077044539,20.14,0.3,213.88517,4.67651,56301.50935,0
1003901,1104077044539,20.2,0.26,213.88343,4.67773,56340.50453,0
1003901,1104077044539,20.36,0.34,213.88437,4.67687,56358.35697000001,0
1003901,1104077044539,20.52,0.37,213.88442,4.67739,56393.33367000001,0
1003901,1104077044539,20.21,0.31,213.88372,4.6777,56393.34015,0
1003901,1104077044539,20.17,0.3,213.88394,4.67782,56393.34672,0
1003901,1104077044539,21.28,0.57,213.88413,4.67771,56393.35329,0
1003901,1104077044539,20.69,0.41,213.88402,4.67713,56402.43905,0
1003901,1104077044539,20.15,0.32,213.88325,4.67823,56423.288920000006,0
1003901,1104077044539,20.52,0.39,213.88416,4.67773,56423.30338,0
1003901,1104077044539,19.92,0.28,213.88389,4.67734,56445.22467999999,0
1003901,1104077044733,19.33,0.19,213.89177,4.6788,53464.37141,0
1003901,1104077044733,19.79,0.24,213.89182,4.67916,53464.37949,0
1003901,1104077044733,19.62,0.22,213.89118,4.67905,53464.38753,0
1003901,1104077044733,19.91,0.25,213.89127,4.678999999999999,53464.39561,0
1003901,1104077044733,19.69,0.24,213.89121,4.67896,53494.3241,0
1003901,1104077044733,19.51,0.22,213.89144,4.6790699999999985,53494.33273,0
1003901,1104077044733,19.78,0.25,213.89146,4.67896,53494.34154,0
1003901,1104077044733,20.2,0.31,213.89101,4.67855,53509.14947,0
1003901,1104077044733,19.96,0.27,213.89136,4.67906,53521.28958,0
1003901,1104077044733,19.8,0.26,213.89089,4.67876,53843.40339,0
1003901,1104077044733,19.35,0.2,213.89169,4.6790400000000005,53767.44022,0
1003901,1104077044733,20.66,0.4,213.89151,4.6784300000000005,53767.4462,0
1003901,1104077044733,19.55,0.22,213.89158,4.6788300000000005,53786.53677000001,0
1003901,1104077044733,19.35,0.2,213.89069,4.67874,53786.54336,0
1003901,1104077044733,20.13,0.33,213.89123,4.67951,53736.54014,0
1003901,1104077044733,19.76,0.25,213.89147000000003,4.67951,53799.42079,0
1003901,1104077044733,19.49,0.22,213.89141,4.6789,53799.42936,0
1003901,1104077044733,19.54,0.22,213.89126,4.6791,53799.43779,0
1003901,1104077044733,20.64,0.4,213.8917,4.67917,53799.44638,0
1003901,1104077044733,20.36,0.35,213.89124,4.67948,53856.27431,0
1003901,1104077044733,19.62,0.23,213.89135,4.67915,53856.28917999999,0
1003901,1104077044733,19.52,0.22,213.89168,4.67902,53856.29663,0
1003901,1104077044733,19.84,0.27,213.89133,4.67888,53876.27309,0
1003901,1104077044733,20.02,0.3,213.89123,4.67897,53876.28163,0
1003901,1104077044733,19.91,0.28,213.89156,4.67892,53876.29017000001,0
1003901,1104077044733,19.41,0.22,213.8913,4.679119999999998,53876.29874,0
1003901,1104077044733,19.83,0.26,213.89158,4.67925,54206.32732999999,0
1003901,1104077044733,20.16,0.31,213.89154,4.67925,54206.34216,0
1003901,1104077044733,19.95,0.27,213.89142,4.67922,54206.34958,0
1003901,1104077044733,20.03,0.29,213.89128,4.67903,54213.30602999999,0
1003901,1104077044733,19.67,0.23,213.89142,4.67888,54213.3155,0
1003901,1104077044733,20.67,0.41,213.89105,4.67909,54213.32492000001,0
1003901,1104077044733,19.9,0.27,213.89109,4.67925,54213.33435,0
1003901,1104077044733,19.36,0.21,213.8915,4.67931,54464.53548,0
1003901,1104077044733,20.69,0.44,213.89165,4.6788300000000005,54464.54142,0
1003901,1104077044733,19.72,0.23,213.89125,4.67895,54116.49712000001,0
1003901,1104077044733,20.25,0.3,213.89116,4.67892,54129.49272,0
1003901,1104077044733,19.51,0.21,213.89146,4.678999999999999,54129.49876,0
1003901,1104077044733,19.81,0.24,213.8915,4.6795300000000015,54129.50484,0
1003901,1104077044733,20.01,0.3,213.89143,4.67908,54256.18983,0
1003901,1104077044733,18.65,0.18,213.8916,4.67877,54256.19623,0
1003901,1104077044733,19.79,0.26,213.89136,4.67916,54263.20991000001,0
1003901,1104077044733,19.46,0.22,213.89201,4.67915,54263.21634,0
1003901,1104077044733,20.2,0.32,213.89146,4.678999999999999,54263.22277000001,0
1003901,1104077044733,19.58,0.23,213.89161,4.67924,54263.22917000001,0
1003901,1104077044733,20.12,0.3,213.89134,4.67897,54269.1978,0
1003901,1104077044733,20.07,0.29,213.89122000000003,4.67905,54269.20537999999,0
1003901,1104077044733,20.62,0.39,213.89172,4.67924,54269.21298,0
1003901,1104077044733,20.03,0.27,213.89136,4.67881,54172.37612000001,0
1003901,1104077044733,19.7,0.23,213.89142,4.67892,54172.38262,0
1003901,1104077044733,19.61,0.22,213.89128,4.679130000000002,54172.38917,0
1003901,1104077044733,19.32,0.19,213.89166,4.67901,54172.39566,0
1003901,1104077044733,19.9,0.27,213.89168,4.67875,54241.33285,0
1003901,1104077044733,20.43,0.35,213.8913,4.67857,54562.43382000001,0
1003901,1104077044733,19.66,0.24,213.89144,4.67931,54562.43943,0
1003901,1104077044733,20.12,0.3,213.89134,4.6786,54562.44507,0
1003901,1104077044733,19.52,0.21,213.8911,4.67887,54568.41236,0
1003901,1104077044733,19.41,0.2,213.89147000000003,4.67876,54568.41793,0
1003901,1104077044733,19.4,0.19,213.89125,4.67865,54568.42346000001,0
1003901,1104077044733,20.37,0.33,213.8915,4.6791,54568.429000000004,0
1003901,1104077044733,20.12,0.29,213.89152,4.67903,54580.39097000001,0
1003901,1104077044733,20.23,0.31,213.8915,4.67905,54580.39753,0
1003901,1104077044733,19.64,0.23,213.89102000000003,4.67922,54580.40412000001,0
1003901,1104077044733,20.09,0.29,213.89139,4.67929,54580.4107,0
1003901,1104077044733,18.98,0.18,213.89178,4.679130000000002,54831.53066,0
1003901,1104077044733,20.04,0.3,213.89107,4.67917,54831.53893,0
1003901,1104077044733,19.41,0.22,213.8913,4.67874,54831.5472,0
1003901,1104077044733,19.7,0.25,213.89095,4.67892,54831.55541,0
1003901,1104077044733,19.85,0.24,213.89166,4.67927,54497.52926,0
1003901,1104077044733,20.02,0.27,213.89161,4.6791,54497.53575,0
1003901,1104077044733,19.99,0.26,213.89169,4.67902,54497.54224,0
1003901,1104077044733,19.73,0.23,213.8918,4.67862,54510.4503,0
1003901,1104077044733,21.16,0.5,213.89198,4.679130000000002,54510.4568,0
1003901,1104077044733,19.33,0.19,213.89134,4.67894,54510.46979,0
1003901,1104077044733,20.22,0.34,213.8915,4.67881,54525.44569,0
1003901,1104077044733,19.44,0.18,213.89132,4.67915,54624.26583,0
1003901,1104077044733,20.12,0.25,213.89077000000003,4.67893,54624.27365,0
1003901,1104077044733,20.46,0.3,213.8911,4.679119999999998,54624.28151,0
1003901,1104077044733,19.92,0.23,213.89137,4.67923,54624.28937000001,0
1003901,1104077044733,19.82,0.25,213.89135,4.67924,54531.37578,0
1003901,1104077044733,20.42,0.34,213.89132,4.67896,54531.38122999999,0
1003901,1104077044733,19.72,0.24,213.89144,4.67891,54531.38667000001,0
1003901,1104077044733,19.56,0.22,213.89152,4.6794,54531.39212,0
1003901,1104077044733,20.24,0.26,213.89155,4.6789,54587.28141,0
1003901,1104077044733,20.4,0.28,213.89113,4.67936,54587.28682,0
1003901,1104077044733,19.52,0.18,213.89138,4.679130000000002,54587.29222,0
1003901,1104077044733,19.68,0.2,213.89157000000003,4.67919,54587.29763,0
1003901,1104077044733,19.9,0.26,213.89151,4.67901,54939.34086,0
1003901,1104077044733,19.97,0.27,213.89142,4.6792,54939.34688,0
1003901,1104077044733,19.3,0.19,213.89123,4.6795300000000015,54939.35298,0
1003901,1104077044733,20.16,0.29,213.8915,4.67894,54939.35909,0
1003901,1104077044733,20.03,0.28,213.89118,4.6790699999999985,54948.34101,0
1003901,1104077044733,19.52,0.21,213.89143,4.67895,54948.34901000001,0
1003901,1104077044733,19.84,0.33,213.89178,4.67927,55044.17729,0
1003901,1104077044733,19.87,0.28,213.89156,4.67901,54867.48062,0
1003901,1104077044733,19.85,0.29,213.8909,4.67884,54867.49091,0
1003901,1104077044733,19.49,0.24,213.89158,4.679119999999998,54867.50156,0
1003901,1104077044733,19.94,0.31,213.8917,4.67899,54867.51216000001,0
1003901,1104077044733,20.05,0.27,213.89116,4.67917,54909.30951,0
1003901,1104077044733,19.92,0.26,213.89103,4.67914,54909.32161,0
1003901,1104077044733,19.81,0.24,213.89145,4.67893,54909.33372,0
1003901,1104077044733,19.72,0.23,213.89139,4.679869999999998,54909.34586,0
1003901,1104077044733,19.89,0.26,213.89134,4.67928,54917.41829,0
1003901,1104077044733,19.74,0.24,213.89101,4.67917,54917.42312000001,0
1003901,1104077044733,19.71,0.23,213.89106,4.67899,54917.42791000001,0
1003901,1104077044733,19.43,0.2,213.89138,4.67874,54975.24752999999,0
1003901,1104077044733,19.93,0.26,213.89135,4.67911,54975.25409,0
1003901,1104077044733,19.6,0.22,213.89194,4.67879,54975.26066,0
1003901,1104077044733,19.12,0.18,213.89143,4.67927,54975.26716,0
1003901,1104077044733,20.0,0.28,213.89144,4.67902,54981.234000000004,0
1003901,1104077044733,20.13,0.29,213.89119,4.678999999999999,54981.24848,0
1003901,1104077044733,20.04,0.28,213.89139,4.67896,55295.29437,0
1003901,1104077044733,19.5,0.21,213.89111,4.67881,55295.30005,0
1003901,1104077044733,19.23,0.18,213.89105,4.6788300000000005,55295.305770000006,0
