InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003941,1138062006152,20.16,0.3,215.19604,36.9855,53526.23995,0
1003941,1138062006152,21.03,0.49,215.19613,36.98552,53534.23832,0
1003941,1138062006152,20.91,0.48,215.19597,36.98521,53549.1659,0
1003941,1138062006152,20.28,0.34,215.1962,36.9861,53549.17895,0
1003941,1138062006152,19.95,0.27,215.19593,36.98563,53509.34408,0
1003941,1138062006152,19.06,0.17,215.19638,36.98588,53509.36041,0
1003941,1138062006152,20.87,0.46,215.19624,36.98565,53848.29277000001,0
1003941,1138062006152,20.55,0.39,215.1962,36.98553,53848.30917000001,0
1003941,1138062006152,20.2,0.33,215.19528,36.98577,53854.37702000001,0
1003941,1138062006152,20.12,0.31,215.19619,36.98539,53855.29543,0
1003941,1138062006152,19.72,0.25,215.19635,36.98573,53861.30259,0
1003941,1138062006152,20.23,0.33,215.19565,36.98551,53883.24166,0
1003941,1138062006152,20.83,0.46,215.1956,36.98594,53883.24829,0
1003941,1138062006152,20.26,0.34,215.19576,36.98572,53883.25483,0
1003941,1138062006152,19.64,0.24,215.19563,36.98571,53883.26135,0
1003941,1138062006152,20.2,0.31,215.19541,36.98545,54209.38298,0
1003941,1138062006152,20.66,0.4,215.19631,36.98604,54209.3938,0
1003941,1138062006152,19.41,0.2,215.19603,36.9854,54209.39917999999,0
1003941,1138062006152,20.43,0.35,215.19608,36.98527,54261.29162999999,0
1003941,1138062006152,20.46,0.36,215.19614,36.98548,54261.29917000001,0
1003941,1138062006152,19.79,0.25,215.19658,36.98539,54261.30673,0
1003941,1138062006152,19.55,0.23,215.19575,36.98559,54272.22004,0
1003941,1138062006152,19.7,0.25,215.19598,36.9857,54272.226570000006,0
1003941,1138062006152,20.04,0.28,215.19564,36.98567,54177.33288,0
1003941,1138062006152,20.18,0.3,215.19579,36.98543,54177.33999,0
1003941,1138062006152,19.89,0.26,215.1961,36.98468,54177.3471,0
1003941,1138062006152,18.51,0.14,215.19638,36.98549000000001,54177.35425,0
1003941,1138062006152,19.79,0.25,215.19594,36.98583,54232.36422999999,0
1003941,1138062006152,20.7,0.42,215.19626,36.98547,54232.3708,0
1003941,1138062006152,19.77,0.25,215.19612,36.98521,54232.37736000001,0
1003941,1138062006152,20.07,0.29,215.19538,36.98518,54240.27306,0
1003941,1138062006152,20.0,0.27,215.19579,36.98531,54560.44995,0
1003941,1138062006152,19.91,0.26,215.19578,36.98561,54560.45445,0
1003941,1138062006152,19.99,0.27,215.1957,36.98563,54560.46338,0
1003941,1138062006152,19.99,0.27,215.19593,36.98508,54568.24691,0
1003941,1138062006152,19.43,0.2,215.19623,36.98568,54568.25342000001,0
1003941,1138062006152,19.94,0.26,215.19606,36.98533,54568.26645,0
1003941,1138062006152,21.34,0.57,215.19587,36.98589000000001,54584.33583,0
1003941,1138062006152,21.34,0.57,215.1953,36.98528,54584.34919,0
1003941,1138062006152,20.51,0.35,215.19596,36.98571,54508.40682,0
1003941,1138062006152,20.84,0.42,215.19559,36.98567,54508.41674,0
1003941,1138062006152,19.56,0.26,215.19644,36.98545,54525.39574,0
1003941,1138062006152,20.33,0.33,215.19577,36.98578,54626.27747000001,0
1003941,1138062006152,20.16,0.3,215.19574,36.98552,54626.28483,0
1003941,1138062006152,21.1,0.53,215.19676,36.98556,54537.37496,0
1003941,1138062006152,20.04,0.28,215.19627000000003,36.98555,54537.38106,0
1003941,1138062006152,19.95,0.26,215.19616,36.98577,54942.28992,0
1003941,1138062006152,19.3,0.19,215.19626,36.98563,54942.29545,0
1003941,1138062006152,17.81,0.1,215.19516,36.98496,54942.30097,0
1003941,1138062006152,20.19,0.35,215.19596,36.98558,54950.4058,0
1003941,1138062006152,20.67,0.45,215.19646,36.98506,54950.41063,0
1003941,1138062006152,20.16,0.34,215.19629,36.98525,54950.41545,0
1003941,1138062006152,19.61,0.29,215.19607,36.98597,55061.13724,0
1003941,1138062006152,20.39,0.32,215.19629,36.98576,54861.44497999999,0
1003941,1138062006152,20.65,0.38,215.19616,36.98563,54861.46725,0
1003941,1138062006152,19.99,0.26,215.19531,36.98556,54861.47836,0
1003941,1138062006152,19.62,0.24,215.19601,36.98547,55005.3373,0
1003941,1138062006152,20.34,0.32,215.19584,36.98548,54891.39129,0
1003941,1138062006152,20.29,0.31,215.19625,36.98578,54891.39852,0
1003941,1138062006152,20.19,0.29,215.19571,36.98568,54891.40589,0
1003941,1138062006152,18.08,0.11,215.19547000000003,36.98574,54891.41323,0
1003941,1138062006152,20.41,0.33,215.19574,36.98571,54906.47987,0
1003941,1138062006152,20.08,0.28,215.19538,36.98536,54906.48969,0
1003941,1138062006152,19.65,0.22,215.1964,36.98527,54914.46709,0
1003941,1138062006152,19.67,0.22,215.19566,36.98553,54914.47544,0
1003941,1138062006152,20.31,0.32,215.19572,36.98545,54914.49182,0
1003941,1138062006152,20.75,0.41,215.19559,36.9852,54964.22087000001,0
1003941,1138062006152,20.26,0.31,215.19574,36.98533,54964.22688,0
1003941,1138062006152,19.22,0.21,215.19608,36.98554,54979.25728,0
1003941,1138062006152,20.33,0.33,215.19613,36.98552,54979.28474,0
1003941,1138062006152,20.51,0.36,215.19611,36.98509,55297.31244,0
1003941,1138062006152,20.05,0.28,215.19592000000003,36.98553,55297.32522000001,0
1003941,1138062006152,19.83,0.25,215.19521,36.98615,55353.2838,0
1003941,1138062006152,20.66,0.4,215.1962,36.98605,55353.29897999999,0
1003941,1138062006152,20.42,0.35,215.19579,36.98544,55353.30646,0
1003941,1138062006152,20.36,0.33,215.19574,36.98594,55273.36268,0
1003941,1138062006152,20.38,0.33,215.19592000000003,36.98547,55273.36843,0
1003941,1138062006152,20.17,0.3,215.19603,36.98575,55273.3742,0
1003941,1138062006152,20.7,0.4,215.19602000000003,36.9857,55273.38002,0
1003941,1138062006152,19.96,0.27,215.1963,36.98526,55321.41959,0
1003941,1138062006152,19.82,0.25,215.19638,36.986,55321.4248,0
1003941,1138062006152,21.01,0.5,215.19635,36.98551,55659.36128,0
1003941,1138062006152,20.12,0.3,215.19546,36.98576,55659.36882,0
1003941,1138062006152,20.03,0.29,215.19598,36.98545,55659.37712000001,0
1003941,1138062006152,19.5,0.23,215.19631,36.98558,55722.26239,0
1003941,1138062006152,19.66,0.24,215.19559,36.9857,55722.27623,0
1003941,1138062006152,20.24,0.32,215.19576,36.98554,56016.37467000001,0
1003941,1138062006152,20.16,0.3,215.19596,36.98542,56016.38222000001,0
1003941,1138062006152,20.43,0.36,215.19592000000003,36.98642,56037.41563,0
1003941,1138062006152,19.65,0.24,215.19607,36.98535,56037.42182999999,0
1003941,1138062006152,19.8,0.26,215.19635,36.98532,56037.42809,0
1003941,1138062006152,20.0,0.28,215.19571,36.98606,56037.43428,0
1003941,1138062006152,20.45,0.34,215.19616,36.98494,56065.34513,0
