InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003981,1121073013135,18.89,0.16,217.21376,20.34678,53469.38844,0
1003981,1121073013135,19.17,0.19,217.21374,20.34693,53469.39662,0
1003981,1121073013135,18.78,0.16,217.21367,20.34724,53469.40481,0
1003981,1121073013135,18.99,0.17,217.21364,20.34675,53469.41299,0
1003981,1121073013135,18.95,0.17,217.21358,20.34695,53557.21911000001,0
1003981,1121073013135,18.57,0.15,217.21363,20.34688,53557.22559,0
1003981,1121073013135,18.4,0.14,217.21337000000003,20.347,53557.23213,0
1003981,1121073013135,18.81,0.16,217.21368,20.34702,53557.23866,0
1003981,1121073013135,18.69,0.15,217.21388,20.34713,53550.1728,0
1003981,1121073013135,19.01,0.18,217.21364,20.34691,53550.18248,0
1003981,1121073013135,18.65,0.15,217.21377,20.34684,53550.19211,0
1003981,1121073013135,18.75,0.16,217.21359,20.34704,53550.20173,0
1003981,1121073013135,19.24,0.21,217.21392000000003,20.34682,53506.28485,0
1003981,1121073013135,19.37,0.22,217.21376,20.3468,53506.29359,0
1003981,1121073013135,18.68,0.16,217.21386,20.34711,53506.30231,0
1003981,1121073013135,18.71,0.16,217.21373,20.34693,53851.19531,0
1003981,1121073013135,18.53,0.15,217.2138,20.34712,53851.20477,0
1003981,1121073013135,18.66,0.15,217.21395,20.34697,53851.2143,0
1003981,1121073013135,18.72,0.16,217.21397,20.34711,53851.22382000001,0
1003981,1121073013135,18.88,0.16,217.21383,20.34699,53793.50331,0
1003981,1121073013135,19.66,0.3,217.21433,20.34709,53803.36773,0
1003981,1121073013135,19.67,0.3,217.21372,20.34683,53803.3747,0
1003981,1121073013135,19.05,0.22,217.2134,20.34703,53803.38166,0
1003981,1121073013135,18.54,0.17,217.21439,20.34673,53803.38872,0
1003981,1121073013135,18.86,0.18,217.21386,20.34695,53819.38893,0
1003981,1121073013135,18.67,0.15,217.21369,20.34656,53859.269770000006,0
1003981,1121073013135,18.82,0.16,217.21351,20.34696,53878.35072,0
1003981,1121073013135,18.87,0.17,217.21357000000003,20.34684,53878.35777,0
1003981,1121073013135,18.71,0.16,217.21355,20.34697,53878.36481,0
1003981,1121073013135,18.6,0.15,217.21349,20.34685,53878.37189,0
1003981,1121073013135,18.76,0.16,217.21366,20.34691,53885.2687,0
1003981,1121073013135,18.65,0.15,217.21392000000003,20.34695,53885.27852000001,0
1003981,1121073013135,18.74,0.16,217.21379,20.34684,53885.28834,0
1003981,1121073013135,18.85,0.16,217.21375,20.34695,54204.39362,0
1003981,1121073013135,18.63,0.14,217.21367,20.34695,54204.40127,0
1003981,1121073013135,18.42,0.13,217.21362,20.3471,54204.40893,0
1003981,1121073013135,18.7,0.15,217.21366,20.34697,54204.41657,0
1003981,1121073013135,18.84,0.16,217.21383,20.34682,54559.27576,0
1003981,1121073013135,18.92,0.16,217.21366,20.34702,54559.28404,0
1003981,1121073013135,18.76,0.15,217.21397,20.34698,54559.29222999999,0
1003981,1121073013135,18.65,0.15,217.2137,20.34714,54559.30042000001,0
1003981,1121073013135,18.78,0.15,217.21357000000003,20.34711,54564.44931,0
1003981,1121073013135,18.77,0.15,217.21384,20.34711,54564.45544,0
1003981,1121073013135,19.07,0.17,217.21387,20.346870000000006,54564.46167999999,0
