InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004041,1118076059168,20.58,0.39,219.86904,19.51873,53827.39968,0
1004041,1118076059168,19.92,0.28,219.8692,19.5184,53858.31369,0
1004041,1118076059168,20.73,0.44,219.86876,19.51812,54557.48479,0
1004041,1118076059168,20.34,0.33,219.86949,19.51879,54557.48922999999,0
1004041,1118076059168,20.04,0.29,219.86899,19.518420000000006,54557.4937,0
1004041,1118076059168,20.24,0.31,219.86964,19.51829,54588.38566,0
1004041,1118076059168,20.4,0.34,219.86881,19.5182,54593.30886000001,0
1004041,1118076059168,20.53,0.36,219.8691,19.51841,54950.34053,0
1004041,1118076059168,20.13,0.29,219.86883,19.51831,54950.35378,0
1004041,1118076059168,19.52,0.21,219.86957,19.51867,54861.49539,0
1004041,1118076059168,20.04,0.28,219.86911,19.51845,54912.32946,0
1004041,1118076059168,19.1,0.2,219.86895,19.5188,54964.39134,0
1004041,1118076059168,21.1,0.5,219.86873,19.51836,54974.18162999999,0
1004041,1118076059168,20.51,0.36,219.86922,19.51849,55301.42423,0
1004041,1118076059168,20.4,0.34,219.86892000000003,19.51851,55365.26551000001,0
1004041,1118076059168,21.09,0.5,219.86938,19.5182,55274.36583,0
1004041,1118076059168,19.87,0.26,219.86868,19.51831,55325.29384,0
1004041,1118076059168,20.15,0.3,219.86938,19.51834,55325.30127999999,0
1004041,1118076059168,20.04,0.28,219.86893,19.51793,55332.28401,0
1004041,1118076059168,19.99,0.28,219.86904,19.51864,55657.38079,0
1004041,1118076059168,20.09,0.3,219.86922,19.51828,55657.39338,0
1004041,1118076059168,20.67,0.44,219.86895,19.51863,55717.33948,0
1004041,1118076059168,20.44,0.39,219.86895,19.5187,55717.34883,0
1004041,1118076059168,20.7,0.42,219.86916,19.51845,55649.3874,0
1004041,1118076059168,20.02,0.29,219.8694,19.51886,55689.36483,0
1004041,1118076059168,19.89,0.27,219.86902,19.51818,55706.35537999999,0
1004041,1118076059168,20.02,0.28,219.86849,19.5184,55944.52601,0
1004041,1118076059168,20.42,0.34,219.86979,19.51847,55981.53038,0
1004041,1118076059168,20.31,0.32,219.86946,19.51799,56009.38334,0
1004041,1118076059168,20.48,0.36,219.86896,19.51866,56061.34017999999,0
1004041,1118076059168,20.24,0.26,219.86915,19.51804,56071.23694,0
1004041,1118076059168,20.17,0.25,219.86897,19.518420000000006,56071.25193,0
1004041,1118076059168,20.0,0.23,219.8691,19.51878,56071.25952000001,0
1004041,1118076059168,19.89,0.26,219.86902,19.51837,56090.27104,0
1004041,1118076059168,20.74,0.41,219.86916,19.51876,56358.44654,0
1004041,1118076059168,19.54,0.22,219.86855,19.51809,56367.46166,0
1004041,1118076059168,20.1,0.29,219.86896,19.51866,56367.49045,0
1004041,1118076059168,20.2,0.34,219.86884,19.5185,56454.33452,0
1004041,1118076059340,18.91,0.16,219.86657,19.52444,53469.38683,0
1004041,1118076059340,18.84,0.16,219.86674,19.52434,53469.39503,0
1004041,1118076059340,18.96,0.17,219.86664,19.5243,53469.40321,0
1004041,1118076059340,19.41,0.21,219.86687,19.52439,53469.41139,0
1004041,1118076059340,19.08,0.18,219.8667,19.5241,53557.21644,0
1004041,1118076059340,18.86,0.16,219.86676,19.52439,53557.22292,0
1004041,1118076059340,19.04,0.18,219.86682,19.52437,53557.22942,0
1004041,1118076059340,19.22,0.19,219.86687,19.52443,53557.23599,0
1004041,1118076059340,19.16,0.2,219.86728,19.52408,53567.17277,0
1004041,1118076059340,18.85,0.19,219.86692,19.52433,53567.18032,0
1004041,1118076059340,19.46,0.24,219.86654,19.52439,53567.19549,0
1004041,1118076059340,19.0,0.24,219.86691,19.52486,53523.22496,0
1004041,1118076059340,19.56,0.39,219.86726,19.52405,53523.23032,0
1004041,1118076059340,18.87,0.19,219.86686,19.52434,53523.2357,0
1004041,1118076059340,19.12,0.18,219.86681,19.52449,53523.24106,0
1004041,1118076059340,19.04,0.12,219.86681,19.52456,53529.24412,0
1004041,1118076059340,19.08,0.13,219.86688,19.52431,53529.25488,0
