InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004061,1012078059802.0,19.87,0.29,220.61717,-11.57568,53846.33866,0.0
1004061,1012078059802.0,20.0,0.22,220.61681,-11.57496,55679.35803,0.0
1004061,1012078059802.0,19.99,0.28,220.61799,-11.5753,56074.23166000001,0.0
1004061,1012078059802.0,20.27,0.35,220.61733,-11.57505,56404.3015,0.0
1004061,1012078059802.0,20.78,0.48,220.61721,-11.5752,56428.26384,0.0
1004061,1012078059827.0,19.54,0.24,220.5966,-11.57304,53555.22399,0.0
1004061,1012078059827.0,19.53,0.23,220.59727,-11.5731,54259.28122999999,0.0
1004061,1012078059827.0,20.11,0.3,220.5972,-11.57295,54499.54206,0.0
1004061,1012078059827.0,20.94,0.41,220.59742000000003,-11.57278,54624.20235,0.0
1004061,1012078059827.0,21.05,0.44,220.59677,-11.57297,54624.21236000001,0.0
1004061,1012078059827.0,20.8,0.44,220.59702,-11.57229,54526.44775,0.0
1004061,1012078059827.0,20.21,0.32,220.59752000000003,-11.57283,54538.43384,0.0
1004061,1012078059827.0,19.27,0.21,220.59614,-11.57325,54597.34265,0.0
1004061,1012078059827.0,20.85,0.46,220.59711,-11.57296,55268.4554,0.0
1004061,1012078059827.0,20.93,0.48,220.59728,-11.5734,55268.46702,0.0
1004061,1012078059827.0,19.93,0.28,220.59714,-11.57311,55320.31582,0.0
1004061,1012078059827.0,20.26,0.34,220.59704,-11.57215,55332.27052000001,0.0
1004061,1012078059827.0,19.7,0.25,220.59705,-11.57361,55603.51667000001,0.0
1004061,1012078059827.0,20.87,0.51,220.59697000000003,-11.57293,55688.27769,0.0
1004061,1012078059827.0,20.35,0.35,220.59698,-11.57276,55984.47087000001,0.0
1004061,1012078059827.0,21.01,0.52,220.59718,-11.57277,56010.44834,0.0
1004061,1012078059827.0,20.28,0.34,220.59731,-11.57303,56010.46126,0.0
1004061,1012078059827.0,19.88,0.27,220.59739,-11.57299,56010.46768,0.0
1004061,1012078059827.0,20.81,0.48,220.59733,-11.57301,56032.38936,0.0
1004061,1012078059827.0,20.81,0.48,220.59704,-11.57287,56032.39469,0.0
1004061,1012078059827.0,20.81,0.48,220.5972,-11.57271,56041.37319,0.0
1004061,1012078059827.0,20.86,0.49,220.59758,-11.57335,56041.37892,0.0
1004061,1012078059827.0,19.91,0.29,220.59772,-11.57334,56041.38462,0.0
1004061,1012078059827.0,19.6,0.24,220.59695,-11.57305,56068.35077999999,0.0
1004061,1012078059827.0,20.43,0.37,220.59706,-11.57288,56068.36422,0.0
1004061,1012078059827.0,20.89,0.47,220.59745,-11.57326,56074.22658,0.0
1004061,1012078059827.0,19.9,0.27,220.59713,-11.57278,56086.2291,0.0
1004061,1012078059827.0,20.59,0.4,220.59668,-11.57337,56086.23409,0.0
1004061,1012078059827.0,20.31,0.38,220.59743,-11.573,56101.21895,0.0
1004061,1012078059942.0,20.44,0.37,220.60824,-11.56941,53734.54369,0.0
1004061,1012078059942.0,20.14,0.32,220.60816,-11.56985,53761.51615,0.0
1004061,1012078059942.0,19.72,0.26,220.60807000000003,-11.57043,54259.2941,0.0
1004061,1012078059942.0,20.24,0.34,220.60792,-11.56918,54241.28719,0.0
1004061,1012078059942.0,19.76,0.22,220.60822,-11.56949,54624.20235,0.0
1004061,1012078059942.0,20.63,0.35,220.60756,-11.56978,54624.21236000001,0.0
1004061,1012078059942.0,20.36,0.3,220.60794,-11.56989,54624.22233,0.0
1004061,1012078059942.0,20.36,0.3,220.60811,-11.56978,54624.23231,0.0
1004061,1012078059942.0,20.72,0.46,220.60784,-11.56967,54597.32079,0.0
1004061,1012078059942.0,19.6,0.24,220.60775,-11.56992,55242.51511,0.0
1004061,1012078059942.0,20.37,0.36,220.60811,-11.56986,55245.46345,0.0
1004061,1012078059942.0,20.93,0.49,220.60767,-11.56955,55245.48089,0.0
1004061,1012078059942.0,20.55,0.39,220.60844,-11.56966,55268.46124,0.0
1004061,1012078059942.0,20.52,0.39,220.60829,-11.57,55332.27052000001,0.0
1004061,1012078059942.0,21.0,0.52,220.60801,-11.56963,55603.51148,0.0
1004061,1012078059942.0,20.62,0.41,220.60794,-11.56895,55603.51667000001,0.0
1004061,1012078059942.0,19.63,0.25,220.60789,-11.56957,55688.27769,0.0
1004061,1012078059942.0,20.27,0.34,220.60812,-11.56949,55978.49414,0.0
1004061,1012078059942.0,20.79,0.45,220.60865,-11.56963,55978.50212000001,0.0
1004061,1012078059942.0,20.56,0.4,220.60808,-11.56963,55978.5102,0.0
