InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004101,1018076060173,19.24,0.21,221.84757,-17.69024,53525.26745,0
1004101,1018076060173,19.55,0.25,221.84741,-17.6901,53525.27564,0
1004101,1018076060173,19.38,0.22,221.84775,-17.68968,53532.25845,0
1004101,1018076060173,19.52,0.24,221.84771,-17.68969,53532.26601,0
1004101,1018076060173,18.99,0.19,221.84811,-17.69002,53846.33811,0
1004101,1018076060173,19.58,0.25,221.84795,-17.689729999999994,53846.34788,0
1004101,1018076060173,19.59,0.25,221.84768,-17.68979,53846.35766,0
1004101,1018076060173,19.59,0.25,221.84837,-17.69019,53846.36746,0
1004101,1018076060173,20.03,0.32,221.84799,-17.68949,53744.53078,0
1004101,1018076060173,19.97,0.31,221.8479,-17.68948,53744.53405,0
1004101,1018076060173,19.07,0.2,221.84787000000003,-17.689870000000006,53744.5406,0
1004101,1018076060173,19.76,0.28,221.84896,-17.68968,53761.52881,0
1004101,1018076060173,19.41,0.22,221.8479,-17.68994,53761.54156000001,0
1004101,1018076060173,19.22,0.2,221.84769,-17.68989,53761.54805,0
1004101,1018076060173,19.61,0.25,221.84777000000003,-17.68968,53818.40217,0
1004101,1018076060173,19.57,0.25,221.84799,-17.68986,53818.40657000001,0
1004101,1018076060173,19.73,0.27,221.84784,-17.6899,53818.41097999999,0
1004101,1018076060173,19.4,0.23,221.84788,-17.68986,53818.41543,0
1004101,1018076060173,19.05,0.57,221.84773,-17.69032,53861.33926,0
1004101,1018076060173,19.1,0.2,221.8475,-17.68978,54115.52784,0
1004101,1018076060173,19.85,0.29,221.8479,-17.68995,54115.5345,0
1004101,1018076060173,19.63,0.26,221.84799,-17.69031,54115.547999999995,0
1004101,1018076060173,19.53,0.23,221.84792,-17.68978,54129.51463,0
1004101,1018076060173,19.78,0.25,221.84799,-17.6897,54129.51957,0
1004101,1018076060173,19.08,0.18,221.84757,-17.68965,54129.52446,0
1004101,1018076060173,19.58,0.23,221.84737,-17.69003,54129.52935,0
1004101,1018076060173,19.1,0.18,221.84755,-17.689870000000006,54173.44692,0
1004101,1018076060173,19.48,0.22,221.84783,-17.68984,54173.45383,0
1004101,1018076060173,19.17,0.19,221.84766,-17.69,54173.46079,0
1004101,1018076060173,19.26,0.2,221.84759,-17.68986,54173.46773,0
1004101,1018076060173,19.22,0.2,221.84795,-17.68954,54227.32833,0
1004101,1018076060173,19.96,0.29,221.84766,-17.68947,54227.3375,0
1004101,1018076060173,19.37,0.22,221.84772,-17.68994,54581.33405,0
1004101,1018076060173,19.39,0.21,221.8478,-17.68988,54538.41372999999,0
1004101,1018076060173,19.22,0.2,221.84771,-17.68966,54538.42135,0
1004101,1018076060173,19.21,0.2,221.84795,-17.69,54538.42897000001,0
1004101,1018076060173,20.11,0.31,221.84794,-17.68988,54538.43662000001,0
1004101,1018076060173,19.54,0.2,221.84803,-17.68989,54587.30465,0
1004101,1018076060173,18.95,0.18,221.84754,-17.68966,54597.31751,0
1004101,1018076060173,19.51,0.26,221.84802,-17.68968,54597.33185,0
1004101,1018076060173,19.63,0.24,221.84753,-17.68994,54939.37134,0
1004101,1018076060173,19.47,0.22,221.84786,-17.68935,54939.37748,0
1004101,1018076060173,19.87,0.27,221.84752000000003,-17.68962,54939.38359,0
1004101,1018076060173,19.72,0.25,221.84775,-17.69011,54982.2325,0
1004101,1018076060173,19.4,0.22,221.84763,-17.689729999999994,54982.23792000001,0
1004101,1018076060173,19.72,0.25,221.8474,-17.68974,54982.24879,0
1004101,1018076060173,19.81,0.27,221.84786,-17.68952,55292.38515,0
1004101,1018076060173,19.28,0.21,221.84771,-17.69024,55292.39155,0
1004101,1018076060173,18.92,0.17,221.84827,-17.68913,55292.40444,0
1004101,1018076060173,19.37,0.21,221.84762,-17.69004,55243.46601,0
1004101,1018076060173,19.04,0.18,221.84779,-17.68983,55243.47267999999,0
1004101,1018076060173,19.93,0.28,221.84778,-17.68959,55243.47944,0
1004101,1018076060173,19.39,0.22,221.84756,-17.68986,55243.48621,0
1004101,1018076060173,18.78,0.16,221.84799999999998,-17.68928,55245.46636000001,0
1004101,1018076060173,19.36,0.22,221.84795,-17.69013,55245.47505,0
1004101,1018076060173,19.31,0.21,221.8481,-17.68968,55245.48382,0
1004101,1018076060173,19.33,0.21,221.84761,-17.68969,55245.49261,0
1004101,1018076060173,20.32,0.36,221.84755,-17.68966,55348.26176,0
1004101,1018076060173,19.47,0.19,221.84812,-17.68955,55272.43665,0
1004101,1018076060173,19.75,0.22,221.84748,-17.689529999999994,55272.44444,0
1004101,1018076060173,20.3,0.29,221.84736,-17.689510000000006,55272.45221,0
1004101,1018076060173,19.43,0.19,221.84768,-17.69006,55272.45993,0
1004101,1018076060173,20.9,0.5,221.84771,-17.68957,55603.50402000001,0
1004101,1018076060173,19.77,0.27,221.84781,-17.689239999999995,55603.50917000001,0
1004101,1018076060173,19.97,0.29,221.84819,-17.689770000000006,55603.51957,0
1004101,1018076060173,19.68,0.27,221.84762,-17.68938,55715.25453,0
1004101,1018076060173,19.36,0.22,221.84752000000003,-17.68996,55715.26126,0
1004101,1018076060173,20.45,0.4,221.84807,-17.68958,55734.15418,0
1004101,1018076060173,19.57,0.25,221.84766,-17.68911,55734.15929,0
1004101,1018076060173,19.2,0.21,221.84797000000003,-17.68983,55734.1644,0
1004101,1018076060173,19.37,0.22,221.84778,-17.68923,55734.16955,0
1004101,1018076060173,19.81,0.28,221.84801,-17.68939,55629.43263,0
1004101,1018076060173,19.99,0.3,221.84792,-17.68947,55629.44026,0
1004101,1018076060173,19.36,0.22,221.84814,-17.68962,55629.44782,0
1004101,1018076060173,19.55,0.21,221.84807,-17.6895,55683.29248,0
1004101,1018076060173,19.7,0.22,221.84772,-17.689770000000006,55683.30223,0
1004101,1018076060173,19.2,0.18,221.8475,-17.68972,55683.32264,0
1004101,1018076060173,19.22,0.21,221.84787000000003,-17.68978,55689.2728,0
1004101,1018076060173,20.15,0.34,221.84756,-17.68927,55689.2786,0
1004101,1018076060173,19.37,0.22,221.84742000000003,-17.689989999999995,55689.28441,0
1004101,1018076060173,19.39,0.23,221.84779,-17.68986,55689.29023,0
1004101,1018076060173,19.95,0.24,221.84753,-17.689610000000005,54587.31254,0
1004101,1018076060173,19.48,0.19,221.84801,-17.689629999999994,54587.33058,0
1004101,1018076060173,20.62,0.42,221.84808,-17.69108,55990.42242,0
1004101,1018076060173,20.26,0.35,221.84811,-17.68971,55990.42635,0
1004101,1018076060173,19.55,0.24,221.84818,-17.68994,55990.4304,0
1004101,1018076060173,19.14,0.19,221.84786,-17.689729999999994,55990.43444,0
1004101,1018076060173,19.46,0.23,221.8478,-17.6896,56002.45199,0
1004101,1018076060173,19.01,0.18,221.84768,-17.68985,56002.46116,0
1004101,1018076060173,19.68,0.25,221.84786,-17.68982,56002.47033,0
1004101,1018076060173,19.47,0.23,221.84794,-17.6901,56002.47956,0
1004101,1018076060173,18.97,0.18,221.84783,-17.690070000000006,56010.44473,0
1004101,1018076060173,19.3,0.21,221.84759,-17.68976,56010.45112000001,0
1004101,1018076060173,19.34,0.21,221.84781,-17.6896,56010.4576,0
1004101,1018076060173,19.41,0.22,221.84778,-17.6899,56010.46405,0
1004101,1018076060173,19.69,0.27,221.84825,-17.68949,56061.26587,0
1004101,1018076060173,20.35,0.38,221.8481,-17.68975,56061.2745,0
1004101,1018076060173,20.07,0.32,221.84829,-17.68954,56061.28333,0
1004101,1018076060173,19.47,0.23,221.84813,-17.68976,56061.29182000001,0
1004101,1018076060173,18.52,0.14,221.84811,-17.68917,56074.21344,0
1004101,1018076060173,20.09,0.31,221.84819,-17.68986,56074.21872999999,0
1004101,1018076060173,19.09,0.18,221.84799,-17.6899,56074.22377999999,0
1004101,1018076060173,19.88,0.27,221.8477,-17.68995,56074.228870000006,0
1004101,1018076060173,19.66,0.24,221.84777000000003,-17.68966,56087.2274,0
1004101,1018076060173,19.09,0.18,221.8477,-17.68994,56087.23248,0
1004101,1018076060173,19.18,0.19,221.84771,-17.68975,56087.23751,0
1004101,1018076060173,19.69,0.25,221.84812,-17.68969,56087.24262000001,0
1004101,1018076060173,19.3,0.21,221.84764,-17.68972,55952.50591,0
1004101,1018076060173,19.21,0.2,221.84733,-17.69006,55952.51451,0
1004101,1018076060173,19.03,0.18,221.84768,-17.68968,55952.52324,0
1004101,1018076060173,20.32,0.31,221.84788,-17.68956,56404.31745,0
1004101,1018076060173,19.23,0.21,221.84787000000003,-17.68974,56428.26441,0
1004101,1018076060173,19.55,0.25,221.84794,-17.68974,56428.27061,0
1004101,1018076060173,19.06,0.19,221.84765,-17.6897,56428.27687,0
1004101,1018076060173,19.34,0.22,221.84794,-17.69002,56428.28309,0
1004101,1018076060173,19.76,0.29,221.84771,-17.68939,56451.22445,0
1004101,1018076060173,19.0,0.2,221.84794,-17.68975,56451.23119,0
1004101,1018076060173,18.79,0.18,221.84733,-17.69004,56451.23797,0
1004101,1018076060173,19.2,0.22,221.84824,-17.69008,56451.24469,0
1004101,1018076060221,18.21,0.14,221.85643,-17.69131,53563.20298,0
1004101,1018076060221,17.89,0.12,221.85615,-17.69144,53563.20938,0
1004101,1018076060221,17.73,0.12,221.85625,-17.691670000000006,53563.21583,0
1004101,1018076060221,18.32,0.15,221.85601,-17.69148,53563.22231000001,0
1004101,1018076060221,17.6,0.11,221.85628,-17.69156,53525.26745,0
1004101,1018076060221,17.58,0.1,221.85614,-17.69158,53525.27564,0
